UniProtID	UniProtID	score
PYR1_HUMAN	STAU1_HUMAN	1.6
PYR1_HUMAN	SRC_HUMAN	1.6
PYR1_HUMAN	CTRO_HUMAN	0.8
PYR1_HUMAN	KS6B1_HUMAN	0.8
PYR1_HUMAN	TBA4A_HUMAN	2.2
PYR1_HUMAN	ACTZ_HUMAN	0.8
PYR1_HUMAN	FAS_HUMAN	0.8
PYR1_HUMAN	TCPZ_HUMAN	0.8
PYR1_HUMAN	NEDD4_HUMAN	0.8
PYR1_HUMAN	CYLD_HUMAN	1.6
PYR1_HUMAN	MLP3A_HUMAN	0.8
PYR1_HUMAN	PSMD1_HUMAN	0.8
PYR1_HUMAN	UBC12_HUMAN	0.8
PYR1_HUMAN	SMC3_HUMAN	0.8
PYR1_HUMAN	PRS6A_HUMAN	0.8
PYR1_HUMAN	AATM_HUMAN	0.6
PYR1_HUMAN	FYN_HUMAN	1.6
PYR1_HUMAN	GBRL2_HUMAN	0.8
PYR1_HUMAN	RAB5A_HUMAN	1.6
PYR1_HUMAN	MP2K3_HUMAN	2.4000000000000004
PYR1_HUMAN	GSK3B_HUMAN	0.8
PYR1_HUMAN	RS3_HUMAN	0.8
PYR1_HUMAN	KPCE_HUMAN	1.6
PYR1_HUMAN	XPO1_HUMAN	1.6
PYR1_HUMAN	DNJA3_HUMAN	0.8
PYR1_HUMAN	BAD_HUMAN	2.4000000000000004
PYR1_HUMAN	KPCZ_HUMAN	1.6
PYR1_HUMAN	PHB_HUMAN	0.8
PYR1_HUMAN	IGF1R_HUMAN	0.8
PYR1_HUMAN	PTEN_HUMAN	0.8
PYR1_HUMAN	DNJA1_HUMAN	0.8
PYR1_HUMAN	EF1A1_HUMAN	0.8
PYR1_HUMAN	HD_HUMAN	1.6
PYR1_HUMAN	TCPG_HUMAN	0.8
PYR1_HUMAN	FXR1_HUMAN	1.28
PYR1_HUMAN	ACTG_HUMAN	0.8
PYR1_HUMAN	GLSL_HUMAN	0.6
