UniProtID	UniProtID	score
RAB13_HUMAN	LONM_HUMAN	0.8
RAB13_HUMAN	RAB17_HUMAN	0.6
RAB13_HUMAN	RAB6B_HUMAN	0.6
RAB13_HUMAN	CTRO_HUMAN	0.8
RAB13_HUMAN	EXOC1_HUMAN	0.6
RAB13_HUMAN	RAB5B_HUMAN	0.6
RAB13_HUMAN	UBL4A_HUMAN	0.8
RAB13_HUMAN	RB11B_HUMAN	0.6
RAB13_HUMAN	1433Z_HUMAN	0.6
RAB13_HUMAN	RS24_HUMAN	0.64
RAB13_HUMAN	SRPRB_HUMAN	0.8
RAB13_HUMAN	RAB14_HUMAN	0.6
RAB13_HUMAN	RAB2A_HUMAN	0.6
RAB13_HUMAN	EXOC8_HUMAN	0.6
RAB13_HUMAN	RAB8A_HUMAN	2.24
RAB13_HUMAN	RALA_HUMAN	0.6
RAB13_HUMAN	RAB7A_HUMAN	1.6
RAB13_HUMAN	EXOC5_HUMAN	0.6
RAB13_HUMAN	HNRH1_HUMAN	0.8
RAB13_HUMAN	RS8_HUMAN	0.64
RAB13_HUMAN	1433F_HUMAN	0.6
RAB13_HUMAN	RAB35_HUMAN	1.88
RAB13_HUMAN	MYO5A_HUMAN	0.6
RAB13_HUMAN	RAB12_HUMAN	0.6
RAB13_HUMAN	RAB15_HUMAN	0.6
RAB13_HUMAN	RS3A_HUMAN	0.64
RAB13_HUMAN	EXOC7_HUMAN	0.6
RAB13_HUMAN	RAB13_HUMAN	4.0
RAB13_HUMAN	GBRD_HUMAN	1.6
RAB13_HUMAN	MARCS_HUMAN	0.8
RAB13_HUMAN	1433S_HUMAN	0.6
RAB13_HUMAN	RAB3C_HUMAN	0.6
RAB13_HUMAN	RASH_HUMAN	0.8
RAB13_HUMAN	RASN_HUMAN	0.8
RAB13_HUMAN	EXOC4_HUMAN	0.6
RAB13_HUMAN	MIRO2_HUMAN	0.8
RAB13_HUMAN	RAB21_HUMAN	0.6
RAB13_HUMAN	GDIA_HUMAN	3.8000000000000003
RAB13_HUMAN	RAB18_HUMAN	0.6
RAB13_HUMAN	RHOB_HUMAN	0.8
RAB13_HUMAN	GRB2_HUMAN	1.6
RAB13_HUMAN	TBA1A_HUMAN	1.6
RAB13_HUMAN	TNPO1_HUMAN	0.64
RAB13_HUMAN	RAB8B_HUMAN	2.8400000000000003
RAB13_HUMAN	RAB1A_HUMAN	0.6
RAB13_HUMAN	A4_HUMAN	1.0
RAB13_HUMAN	1433T_HUMAN	0.6
RAB13_HUMAN	1433E_HUMAN	0.6
RAB13_HUMAN	1433G_HUMAN	0.6
RAB13_HUMAN	RAB4A_HUMAN	0.6
RAB13_HUMAN	RAB5C_HUMAN	0.6
RAB13_HUMAN	EXOC6_HUMAN	0.6
RAB13_HUMAN	SNP23_HUMAN	0.6
RAB13_HUMAN	STXB3_HUMAN	0.6
RAB13_HUMAN	VAMP2_HUMAN	0.6
RAB13_HUMAN	GDIB_HUMAN	0.6
RAB13_HUMAN	RB11A_HUMAN	1.6
RAB13_HUMAN	RAB5A_HUMAN	0.6
RAB13_HUMAN	ITB1_HUMAN	1.0
RAB13_HUMAN	RAB10_HUMAN	1.88
RAB13_HUMAN	1433B_HUMAN	0.6
RAB13_HUMAN	RAB4B_HUMAN	0.6
RAB13_HUMAN	EXOC3_HUMAN	0.6
RAB13_HUMAN	STX4_HUMAN	0.6
RAB13_HUMAN	RAB3A_HUMAN	0.6
RAB13_HUMAN	TBB3_HUMAN	0.8
RAB13_HUMAN	BAG6_HUMAN	0.8
RAB13_HUMAN	RAB37_HUMAN	0.6
RAB13_HUMAN	RASK_HUMAN	1.6
RAB13_HUMAN	RAB6A_HUMAN	0.6
RAB13_HUMAN	RAB1B_HUMAN	1.88
RAB13_HUMAN	HXK1_HUMAN	0.64
RAB13_HUMAN	ACTN4_HUMAN	1.6
RAB13_HUMAN	EXOC2_HUMAN	0.6
