UniProtID	UniProtID	score
RAB2A_HUMAN	RAB17_HUMAN	1.24
RAB2A_HUMAN	SRC_HUMAN	0.8
RAB2A_HUMAN	SEPT7_HUMAN	0.8
RAB2A_HUMAN	RAB5B_HUMAN	1.4
RAB2A_HUMAN	FAS_HUMAN	0.8
RAB2A_HUMAN	RAB14_HUMAN	1.4
RAB2A_HUMAN	EFNB2_HUMAN	0.8
RAB2A_HUMAN	SUCB1_HUMAN	0.8
RAB2A_HUMAN	VATH_HUMAN	0.8
RAB2A_HUMAN	RAC1_HUMAN	0.8
RAB2A_HUMAN	FLOT2_HUMAN	3.0000000000000004
RAB2A_HUMAN	HS90B_HUMAN	0.8
RAB2A_HUMAN	VDAC1_HUMAN	2.4000000000000004
RAB2A_HUMAN	MARCS_HUMAN	0.8
RAB2A_HUMAN	EPHB2_HUMAN	0.8
RAB2A_HUMAN	ERLN2_HUMAN	0.8
RAB2A_HUMAN	AKA12_HUMAN	0.8
RAB2A_HUMAN	RPN1_HUMAN	1.6
RAB2A_HUMAN	GDIA_HUMAN	1.6
RAB2A_HUMAN	RAB18_HUMAN	0.6
RAB2A_HUMAN	MIC19_HUMAN	1.6
RAB2A_HUMAN	NBEA_HUMAN	0.8
RAB2A_HUMAN	STOM_HUMAN	0.8
RAB2A_HUMAN	LTOR1_HUMAN	0.8
RAB2A_HUMAN	CTBP1_HUMAN	0.8
RAB2A_HUMAN	EPB41_HUMAN	0.8
RAB2A_HUMAN	COF2_HUMAN	3.2
RAB2A_HUMAN	DHB12_HUMAN	0.8
RAB2A_HUMAN	VAMP2_HUMAN	0.8
RAB2A_HUMAN	RAB5A_HUMAN	1.4
RAB2A_HUMAN	RB11A_HUMAN	1.4
RAB2A_HUMAN	PLCB1_HUMAN	0.8
RAB2A_HUMAN	SPTB2_HUMAN	0.8
RAB2A_HUMAN	RAF1_HUMAN	0.8
RAB2A_HUMAN	SC24C_HUMAN	0.8
RAB2A_HUMAN	VDAC3_HUMAN	0.8
RAB2A_HUMAN	ESYT2_HUMAN	0.8
RAB2A_HUMAN	PKP4_HUMAN	0.8
RAB2A_HUMAN	IQGA1_HUMAN	0.8
RAB2A_HUMAN	RGS14_HUMAN	0.64
RAB2A_HUMAN	TJAP1_HUMAN	0.8
RAB2A_HUMAN	COX6C_HUMAN	1.6
RAB2A_HUMAN	PHB_HUMAN	3.2
RAB2A_HUMAN	LIPA1_HUMAN	0.8
RAB2A_HUMAN	DCTN1_HUMAN	2.4000000000000004
RAB2A_HUMAN	ADDG_HUMAN	0.8
RAB2A_HUMAN	SAR1A_HUMAN	0.8
RAB2A_HUMAN	EFR3B_HUMAN	0.8
RAB2A_HUMAN	ICA69_HUMAN	4.64
RAB2A_HUMAN	CXA1_HUMAN	0.8
RAB2A_HUMAN	FMNL2_HUMAN	0.8
RAB2A_HUMAN	ACSL3_HUMAN	0.8
RAB2A_HUMAN	K1549_HUMAN	0.8
RAB2A_HUMAN	EF1A1_HUMAN	0.8
RAB2A_HUMAN	RAB35_HUMAN	1.4
RAB2A_HUMAN	AGRL2_HUMAN	0.8
RAB2A_HUMAN	BASI_HUMAN	0.8
RAB2A_HUMAN	ITA5_HUMAN	0.8
RAB2A_HUMAN	MYO5A_HUMAN	0.8
RAB2A_HUMAN	ATP7A_HUMAN	0.8
RAB2A_HUMAN	RAB12_HUMAN	0.6
RAB2A_HUMAN	RGPA1_HUMAN	0.8
RAB2A_HUMAN	WDR6_HUMAN	0.8
RAB2A_HUMAN	ARFG2_HUMAN	0.8
RAB2A_HUMAN	ANO6_HUMAN	0.8
RAB2A_HUMAN	RAB3C_HUMAN	0.6
RAB2A_HUMAN	VAMP3_HUMAN	0.8
RAB2A_HUMAN	EFR3A_HUMAN	0.8
RAB2A_HUMAN	ROR2_HUMAN	0.8
RAB2A_HUMAN	HMOX2_HUMAN	0.8
RAB2A_HUMAN	ACTB_HUMAN	1.6
RAB2A_HUMAN	RAB1A_HUMAN	3.0000000000000004
RAB2A_HUMAN	RAB4A_HUMAN	0.6
RAB2A_HUMAN	VATA_HUMAN	0.8
RAB2A_HUMAN	SYGP1_HUMAN	3.2
RAB2A_HUMAN	MPP7_HUMAN	0.8
RAB2A_HUMAN	MY18A_HUMAN	0.8
RAB2A_HUMAN	MRCKA_HUMAN	0.8
RAB2A_HUMAN	WLS_HUMAN	0.8
RAB2A_HUMAN	MARK2_HUMAN	0.8
RAB2A_HUMAN	FMN2_HUMAN	0.8
RAB2A_HUMAN	GOSR1_HUMAN	0.8
RAB2A_HUMAN	RAB10_HUMAN	0.6
RAB2A_HUMAN	ZNT1_HUMAN	0.8
RAB2A_HUMAN	RAB1B_HUMAN	3.0000000000000004
RAB2A_HUMAN	AKT2_HUMAN	0.8
RAB2A_HUMAN	CYB5B_HUMAN	0.8
RAB2A_HUMAN	XRP2_HUMAN	0.8
RAB2A_HUMAN	LONM_HUMAN	0.8
RAB2A_HUMAN	RAB6B_HUMAN	1.4
RAB2A_HUMAN	MYL6_HUMAN	0.8
RAB2A_HUMAN	STX7_HUMAN	0.8
RAB2A_HUMAN	ARF1_HUMAN	2.4000000000000004
RAB2A_HUMAN	USO1_HUMAN	1.6
RAB2A_HUMAN	RS24_HUMAN	0.64
RAB2A_HUMAN	RAB2A_HUMAN	12.0
RAB2A_HUMAN	S29A1_HUMAN	0.8
RAB2A_HUMAN	LYN_HUMAN	0.8
RAB2A_HUMAN	DLG1_HUMAN	0.8
RAB2A_HUMAN	SC6A8_HUMAN	0.8
RAB2A_HUMAN	ARF6_HUMAN	0.8
RAB2A_HUMAN	RAB15_HUMAN	0.6
RAB2A_HUMAN	VA0D1_HUMAN	2.4000000000000004
RAB2A_HUMAN	VDAC2_HUMAN	0.8
RAB2A_HUMAN	NUMB_HUMAN	0.8
RAB2A_HUMAN	SPTN2_HUMAN	0.8
RAB2A_HUMAN	CTND1_HUMAN	0.8
