UniProtID	UniProtID	score
RAC3_HUMAN	DLG3_HUMAN	0.8
RAC3_HUMAN	PAK2_HUMAN	0.8
RAC3_HUMAN	ARHG7_HUMAN	0.8
RAC3_HUMAN	ARHG6_HUMAN	0.8
RAC3_HUMAN	LYN_HUMAN	0.8
RAC3_HUMAN	YES_HUMAN	0.8
RAC3_HUMAN	NCK2_HUMAN	0.8
RAC3_HUMAN	SRGP2_HUMAN	0.8
RAC3_HUMAN	ESR1_HUMAN	7
RAC3_HUMAN	KHDR1_HUMAN	0.64
RAC3_HUMAN	GDIR1_HUMAN	4.319999999999999
RAC3_HUMAN	GDIR2_HUMAN	2.88
RAC3_HUMAN	NRBP_HUMAN	3
RAC3_HUMAN	RXRA_HUMAN	1
RAC3_HUMAN	CTR1_HUMAN	3.2
RAC3_HUMAN	SL9A6_HUMAN	2.4000000000000004
RAC3_HUMAN	GDS1_HUMAN	2.4000000000000004
RAC3_HUMAN	RAC2_HUMAN	2.4000000000000004
RAC3_HUMAN	XIAP_HUMAN	1
RAC3_HUMAN	WASP_HUMAN	1
RAC3_HUMAN	PTBP3_HUMAN	0.8
RAC3_HUMAN	ANS1B_HUMAN	0.64
RAC3_HUMAN	CTTB2_HUMAN	0.8
RAC3_HUMAN	GOGA2_HUMAN	0.8
RAC3_HUMAN	PAR6B_HUMAN	3.2
RAC3_HUMAN	ARFP2_HUMAN	3.2
RAC3_HUMAN	LDHB_HUMAN	0.8
RAC3_HUMAN	RBM41_HUMAN	0.8
RAC3_HUMAN	ZEP2_HUMAN	0.8
RAC3_HUMAN	CWC15_HUMAN	0.8
RAC3_HUMAN	ZN706_HUMAN	0.8
RAC3_HUMAN	DDX46_HUMAN	0.8
RAC3_HUMAN	NUCL_HUMAN	0.8
RAC3_HUMAN	RSRC1_HUMAN	0.8
RAC3_HUMAN	NFM_HUMAN	0.8
RAC3_HUMAN	CYBP_HUMAN	0.8
RAC3_HUMAN	NP1L1_HUMAN	0.8
RAC3_HUMAN	RWDD1_HUMAN	0.8
RAC3_HUMAN	EPHA6_HUMAN	1.6
RAC3_HUMAN	CFTR_HUMAN	2.4000000000000004
RAC3_HUMAN	CIB1_HUMAN	3
RAC3_HUMAN	HDAC7_HUMAN	0.8
RAC3_HUMAN	NEB1_HUMAN	1.6
RAC3_HUMAN	FXL19_HUMAN	2
RAC3_HUMAN	DUS9_HUMAN	0.8
RAC3_HUMAN	RAC1_HUMAN	2.4000000000000004
RAC3_HUMAN	HNRPK_HUMAN	0.64
RAC3_HUMAN	BIP_HUMAN	2
RAC3_HUMAN	PKHA4_HUMAN	0.8
RAC3_HUMAN	RHG35_HUMAN	1.6
RAC3_HUMAN	PACE1_HUMAN	0.8
RAC3_HUMAN	TGFA_HUMAN	0.8
RAC3_HUMAN	T4S5_HUMAN	0.8
