UniProtID	UniProtID	score
RAGP1_HUMAN	CKAP5_HUMAN	1.24
RAGP1_HUMAN	CTRO_HUMAN	0.8
RAGP1_HUMAN	EF1G_HUMAN	0.8
RAGP1_HUMAN	PRDX6_HUMAN	0.8
RAGP1_HUMAN	CLAP1_HUMAN	1.24
RAGP1_HUMAN	FMR1_HUMAN	0.64
RAGP1_HUMAN	2AAA_HUMAN	0.6
RAGP1_HUMAN	CYLD_HUMAN	0.8
RAGP1_HUMAN	PPIB_HUMAN	0.8
RAGP1_HUMAN	RAN_HUMAN	6.839999999999999
RAGP1_HUMAN	OGT1_HUMAN	0.8
RAGP1_HUMAN	DC1L1_HUMAN	2.04
RAGP1_HUMAN	NDUA7_HUMAN	0.8
RAGP1_HUMAN	DDRGK_HUMAN	0.8
RAGP1_HUMAN	MIB1_HUMAN	0.8
RAGP1_HUMAN	LIS1_HUMAN	0.6
RAGP1_HUMAN	KIF2C_HUMAN	0.6
RAGP1_HUMAN	UBC12_HUMAN	0.8
RAGP1_HUMAN	SMC3_HUMAN	0.6
RAGP1_HUMAN	DC1I1_HUMAN	0.6
RAGP1_HUMAN	GBRL2_HUMAN	0.8
RAGP1_HUMAN	ARPC2_HUMAN	0.8
RAGP1_HUMAN	PLCB1_HUMAN	0.64
RAGP1_HUMAN	CDC42_HUMAN	0.6
RAGP1_HUMAN	XPO1_HUMAN	1.4
RAGP1_HUMAN	ARP2_HUMAN	1.44
RAGP1_HUMAN	DCTN1_HUMAN	0.64
RAGP1_HUMAN	PTEN_HUMAN	0.8
RAGP1_HUMAN	HD_HUMAN	8.799999999999999
RAGP1_HUMAN	UBR4_HUMAN	0.8
RAGP1_HUMAN	FXR1_HUMAN	1.28
RAGP1_HUMAN	TAOK1_HUMAN	0.6
RAGP1_HUMAN	PP2AA_HUMAN	0.6
RAGP1_HUMAN	DLDH_HUMAN	1.6
RAGP1_HUMAN	DBNL_HUMAN	0.8
RAGP1_HUMAN	ODPA_HUMAN	2.4000000000000004
RAGP1_HUMAN	CADH1_HUMAN	0.8
RAGP1_HUMAN	MY18A_HUMAN	1.6
RAGP1_HUMAN	PP1G_HUMAN	0.6
RAGP1_HUMAN	SAE1_HUMAN	1.4
RAGP1_HUMAN	CLIP1_HUMAN	0.6
RAGP1_HUMAN	DC1L2_HUMAN	0.6
RAGP1_HUMAN	IMB1_HUMAN	2.2
RAGP1_HUMAN	KIF2B_HUMAN	0.6
RAGP1_HUMAN	EF2K_HUMAN	0.8
RAGP1_HUMAN	GNAI1_HUMAN	2.4000000000000004
RAGP1_HUMAN	HNRH1_HUMAN	0.8
RAGP1_HUMAN	DCTN4_HUMAN	1.28
RAGP1_HUMAN	ARRB2_HUMAN	3.0400000000000005
RAGP1_HUMAN	RAGP1_HUMAN	27.6
RAGP1_HUMAN	TMUB1_HUMAN	1.0
RAGP1_HUMAN	ODO2_HUMAN	2.4000000000000004
RAGP1_HUMAN	CLAP2_HUMAN	1.24
RAGP1_HUMAN	PSN1_HUMAN	1.6
RAGP1_HUMAN	RENR_HUMAN	1.6
RAGP1_HUMAN	DYL1_HUMAN	0.6
RAGP1_HUMAN	ZWINT_HUMAN	0.6
RAGP1_HUMAN	XPO7_HUMAN	0.64
RAGP1_HUMAN	ZN451_HUMAN	0.6
RAGP1_HUMAN	IMA1_HUMAN	0.6
RAGP1_HUMAN	KIF2A_HUMAN	0.6
RAGP1_HUMAN	DYL2_HUMAN	0.6
RAGP1_HUMAN	DLRB1_HUMAN	1.28
RAGP1_HUMAN	CSK21_HUMAN	1.0
RAGP1_HUMAN	MARE1_HUMAN	0.6
RAGP1_HUMAN	IPO5_HUMAN	0.8
RAGP1_HUMAN	ZDHC5_HUMAN	0.8
RAGP1_HUMAN	MYCB2_HUMAN	0.8
RAGP1_HUMAN	GNAI3_HUMAN	1.6
RAGP1_HUMAN	2A5D_HUMAN	1.4
RAGP1_HUMAN	GNL1_HUMAN	0.8
RAGP1_HUMAN	DYHC1_HUMAN	0.6
RAGP1_HUMAN	DCTN2_HUMAN	0.64
RAGP1_HUMAN	DISC1_HUMAN	2.4000000000000004
RAGP1_HUMAN	NDEL1_HUMAN	0.6
RAGP1_HUMAN	SEC13_HUMAN	1.24
RAGP1_HUMAN	DC1I2_HUMAN	0.6
RAGP1_HUMAN	ARP3_HUMAN	0.8
RAGP1_HUMAN	LMNA_HUMAN	0.8
CKAP5_HUMAN	CKAP5_HUMAN	9.36
CKAP5_HUMAN	CTRO_HUMAN	0.8
CKAP5_HUMAN	CLAP1_HUMAN	2.04
CKAP5_HUMAN	FMR1_HUMAN	0.64
CKAP5_HUMAN	2AAA_HUMAN	0.6
CKAP5_HUMAN	CYLD_HUMAN	0.8
CKAP5_HUMAN	DC1L1_HUMAN	1.24
CKAP5_HUMAN	DDRGK_HUMAN	0.8
CKAP5_HUMAN	LIS1_HUMAN	1.24
CKAP5_HUMAN	KIF2C_HUMAN	0.6
CKAP5_HUMAN	UBC12_HUMAN	0.8
CKAP5_HUMAN	SMC3_HUMAN	1.4
CKAP5_HUMAN	DC1I1_HUMAN	1.24
CKAP5_HUMAN	CDC42_HUMAN	0.6
CKAP5_HUMAN	XPO1_HUMAN	0.6
CKAP5_HUMAN	DCTN1_HUMAN	0.64
CKAP5_HUMAN	TAOK1_HUMAN	0.6
CKAP5_HUMAN	PP2AA_HUMAN	0.6
CKAP5_HUMAN	CADH1_HUMAN	0.8
CKAP5_HUMAN	PP1G_HUMAN	0.6
CKAP5_HUMAN	CLIP1_HUMAN	0.6
CKAP5_HUMAN	DC1L2_HUMAN	0.6
CKAP5_HUMAN	KIF2B_HUMAN	0.6
CKAP5_HUMAN	CLAP2_HUMAN	1.24
CKAP5_HUMAN	DYL1_HUMAN	1.24
CKAP5_HUMAN	ZWINT_HUMAN	0.6
CKAP5_HUMAN	KIF2A_HUMAN	0.6
CKAP5_HUMAN	DYL2_HUMAN	0.6
CKAP5_HUMAN	MARE1_HUMAN	3.0000000000000004
CKAP5_HUMAN	ZDHC5_HUMAN	0.8
CKAP5_HUMAN	2A5D_HUMAN	0.6
CKAP5_HUMAN	DYHC1_HUMAN	1.88
CKAP5_HUMAN	DCTN2_HUMAN	1.24
CKAP5_HUMAN	NDEL1_HUMAN	0.6
CKAP5_HUMAN	SEC13_HUMAN	1.24
CKAP5_HUMAN	DC1I2_HUMAN	0.6
CTRO_HUMAN	CTRO_HUMAN	1.6
CTRO_HUMAN	EF1G_HUMAN	0.8
