UniProtID	UniProtID	score
RALA_HUMAN	RBP1_HUMAN	17.240000000000002
RALA_HUMAN	EXOC4_HUMAN	0.8
RALA_HUMAN	NMDE2_HUMAN	0.64
RALA_HUMAN	UBQL1_HUMAN	0.8
RALA_HUMAN	TRI25_HUMAN	0.8
RALA_HUMAN	DEND_HUMAN	1.6
RALA_HUMAN	CNKR2_HUMAN	1
RALA_HUMAN	RAF1_HUMAN	0.8
RALA_HUMAN	SHAN3_HUMAN	0.64
RALA_HUMAN	CUL7_HUMAN	0.8
RALA_HUMAN	FLNA_HUMAN	2
RALA_HUMAN	FLNB_HUMAN	2.08
RALA_HUMAN	HDAC6_HUMAN	0.8
RALA_HUMAN	RGPS1_HUMAN	1
RALA_HUMAN	RYBP_HUMAN	2.4000000000000004
RALA_HUMAN	HSPB1_HUMAN	1.6
RALA_HUMAN	RASH_HUMAN	3.4000000000000004
RALA_HUMAN	CALM3_HUMAN	8.399999999999999
RALA_HUMAN	SMAD4_HUMAN	1.6
RALA_HUMAN	CTCF_HUMAN	2
RALA_HUMAN	2AAB_HUMAN	7.199999999999999
RALA_HUMAN	MYO1C_HUMAN	1.6
RALA_HUMAN	RENR_HUMAN	1.6
RALA_HUMAN	ACTB_HUMAN	1.28
RALA_HUMAN	LIMA1_HUMAN	1.6
RALA_HUMAN	TMOD3_HUMAN	1.28
RALA_HUMAN	TPM1_HUMAN	1.28
RALA_HUMAN	COR1C_HUMAN	1.28
RALA_HUMAN	AP4M1_HUMAN	1.6
RALA_HUMAN	FBH1_HUMAN	1.6
RALA_HUMAN	VPS4B_HUMAN	1.6
RALA_HUMAN	CEP55_HUMAN	1.6
RALA_HUMAN	ZNHI3_HUMAN	1.6
RALA_HUMAN	ATP5J_HUMAN	1.6
RALA_HUMAN	ALAT1_HUMAN	1.6
RALA_HUMAN	ARK72_HUMAN	1.6
RALA_HUMAN	RHOF_HUMAN	1.6
RALA_HUMAN	K2013_HUMAN	1.6
RALA_HUMAN	MCM5_HUMAN	1.6
RALA_HUMAN	ZDHC5_HUMAN	0.8
RALA_HUMAN	ZBT18_HUMAN	0.8
RALA_HUMAN	NPC1_HUMAN	1.44
RALA_HUMAN	RMXL2_HUMAN	1.6
RALA_HUMAN	DJB11_HUMAN	1.6
RALA_HUMAN	ZBT10_HUMAN	1.6
RALA_HUMAN	SMC3_HUMAN	1.6
RALA_HUMAN	EXOC2_HUMAN	8.24
RALA_HUMAN	CFTR_HUMAN	6.3999999999999995
RALA_HUMAN	HASP_HUMAN	1.6
RALA_HUMAN	PRIO_HUMAN	1.6
RALA_HUMAN	CCND1_HUMAN	4.2
RALA_HUMAN	HSC20_HUMAN	1.6
RALA_HUMAN	CNDD3_HUMAN	0.8
RALA_HUMAN	CUL3_HUMAN	0.8
RALA_HUMAN	CAC1C_HUMAN	0.8
RALA_HUMAN	HCN1_HUMAN	0.8
RALA_HUMAN	RASK_HUMAN	2.4000000000000004
RALA_HUMAN	RASN_HUMAN	1.6
RALA_HUMAN	KCNK3_HUMAN	0.8
RALA_HUMAN	RGL2_HUMAN	1
RALA_HUMAN	EXOC8_HUMAN	7.3999999999999995
RALA_HUMAN	CALM2_HUMAN	5.4
RALA_HUMAN	CALM1_HUMAN	7.0
RALA_HUMAN	PLCD1_HUMAN	3
RALA_HUMAN	YBOX3_HUMAN	0.8
RALA_HUMAN	RAB34_HUMAN	1
RALA_HUMAN	LSM2_HUMAN	1
RALA_HUMAN	PIHD2_HUMAN	1
RALA_HUMAN	UBP33_HUMAN	1.8
RALA_HUMAN	TSC2_HUMAN	1
RALA_HUMAN	ARF6_HUMAN	1.8
RALA_HUMAN	EXOC3_HUMAN	0.8
RALA_HUMAN	PP2AA_HUMAN	0.8
RALA_HUMAN	ELAV1_HUMAN	0.8
RALA_HUMAN	UBC_HUMAN	0.64
RALA_HUMAN	CCDC8_HUMAN	0.8
RALA_HUMAN	ABCE1_HUMAN	0.8
RALA_HUMAN	S2541_HUMAN	0.8
RALA_HUMAN	NTRK1_HUMAN	0.8
