UniProtID	UniProtID	score
RANB9_HUMAN	RS12_HUMAN	0.8
RANB9_HUMAN	DDX5_HUMAN	2.4000000000000004
RANB9_HUMAN	SRC_HUMAN	2.0
RANB9_HUMAN	PP1A_HUMAN	3.2
RANB9_HUMAN	TNIK_HUMAN	1.28
RANB9_HUMAN	UBC_HUMAN	0.8
RANB9_HUMAN	DCTN1_HUMAN	0.8
RANB9_HUMAN	RS13_HUMAN	0.8
RANB9_HUMAN	RANB9_HUMAN	5.6
RANB9_HUMAN	RAB8A_HUMAN	1.6
RANB9_HUMAN	UCHL1_HUMAN	2.0
RANB9_HUMAN	L1CAM_HUMAN	1.6
RANB9_HUMAN	TAU_HUMAN	0.8
RANB9_HUMAN	CALB1_HUMAN	2.0
RANB9_HUMAN	EF1A1_HUMAN	0.8
RANB9_HUMAN	FMR1_HUMAN	4.4399999999999995
RANB9_HUMAN	DRD1_HUMAN	1.0
RANB9_HUMAN	FXR1_HUMAN	0.8
RANB9_HUMAN	KPCD_HUMAN	1.0
RANB9_HUMAN	APC_HUMAN	1.6
RANB9_HUMAN	RAN_HUMAN	2.0
RANB9_HUMAN	ARRB1_HUMAN	1.6
RANB9_HUMAN	RASH_HUMAN	0.6
RANB9_HUMAN	PROF1_HUMAN	0.8
RANB9_HUMAN	RASN_HUMAN	0.6
RANB9_HUMAN	GCR_HUMAN	2.0
RANB9_HUMAN	RS27L_HUMAN	0.8
RANB9_HUMAN	E41L3_HUMAN	1.6
RANB9_HUMAN	L2GL1_HUMAN	4.0
RANB9_HUMAN	WNK1_HUMAN	0.8
RANB9_HUMAN	MIB1_HUMAN	0.8
RANB9_HUMAN	NTRK2_HUMAN	2.0
RANB9_HUMAN	A4_HUMAN	4.2
RANB9_HUMAN	DYHC1_HUMAN	0.8
RANB9_HUMAN	GRM3_HUMAN	0.64
RANB9_HUMAN	KPCG_HUMAN	1.0
RANB9_HUMAN	DCTN2_HUMAN	0.8
RANB9_HUMAN	PRS6A_HUMAN	0.8
RANB9_HUMAN	DISC1_HUMAN	7.3999999999999995
RANB9_HUMAN	PP1G_HUMAN	3.4000000000000004
RANB9_HUMAN	GRM7_HUMAN	0.64
RANB9_HUMAN	OPRM_HUMAN	9.399999999999999
RANB9_HUMAN	KAPCA_HUMAN	1.6
RANB9_HUMAN	ITB1_HUMAN	1.0
RANB9_HUMAN	RAF1_HUMAN	5.8
RANB9_HUMAN	TBA1B_HUMAN	1.0
RANB9_HUMAN	DDX1_HUMAN	0.8
RANB9_HUMAN	GRM2_HUMAN	4.64
RANB9_HUMAN	1433B_HUMAN	0.64
RANB9_HUMAN	CDC42_HUMAN	1.6
RANB9_HUMAN	LRP4_HUMAN	0.8
RANB9_HUMAN	RASK_HUMAN	0.6
RANB9_HUMAN	LMNA_HUMAN	0.8
RANB9_HUMAN	RS27_HUMAN	0.8
RANB9_HUMAN	LRP1_HUMAN	1.8
RANB9_HUMAN	EXOC2_HUMAN	0.8
