UniProtID	UniProtID	score
RASK_HUMAN	SYNJ1_HUMAN	0.8
RASK_HUMAN	FNBP4_HUMAN	0.8
RASK_HUMAN	GRB2_HUMAN	2.6
RASK_HUMAN	DLG3_HUMAN	1.6
RASK_HUMAN	SRC_HUMAN	3.2
RASK_HUMAN	PAK2_HUMAN	0.8
RASK_HUMAN	HCK_HUMAN	0.8
RASK_HUMAN	VINEX_HUMAN	0.8
RASK_HUMAN	LYN_HUMAN	4.0
RASK_HUMAN	YES_HUMAN	4.0
RASK_HUMAN	SNX9_HUMAN	0.8
RASK_HUMAN	DLG2_HUMAN	0.8
RASK_HUMAN	SRGP2_HUMAN	0.8
RASK_HUMAN	DNM1L_HUMAN	1.6
RASK_HUMAN	MYL6_HUMAN	0.8
RASK_HUMAN	IF4B_HUMAN	0.8
RASK_HUMAN	EF1A1_HUMAN	4.0
RASK_HUMAN	NECT1_HUMAN	1.6
RASK_HUMAN	EGLN1_HUMAN	1.6
RASK_HUMAN	TBC3H_HUMAN	0.8
RASK_HUMAN	NECT3_HUMAN	2.4000000000000004
RASK_HUMAN	SCRIB_HUMAN	1.6
RASK_HUMAN	PKP4_HUMAN	3.2
RASK_HUMAN	MK12_HUMAN	0.8
RASK_HUMAN	RBP1_HUMAN	0.8
RASK_HUMAN	ADA22_HUMAN	1.6
RASK_HUMAN	KCNB2_HUMAN	0.8
RASK_HUMAN	CTNB1_HUMAN	4.0
RASK_HUMAN	MET_HUMAN	0.8
RASK_HUMAN	ANR50_HUMAN	2.4000000000000004
RASK_HUMAN	RPR1B_HUMAN	0.8
RASK_HUMAN	S4A4_HUMAN	0.8
RASK_HUMAN	DLG1_HUMAN	2.4000000000000004
RASK_HUMAN	EXOC4_HUMAN	1.6
RASK_HUMAN	PRR5_HUMAN	0.8
RASK_HUMAN	ERBIN_HUMAN	2.4000000000000004
RASK_HUMAN	ARVC_HUMAN	0.8
RASK_HUMAN	ITSN1_HUMAN	0.8
RASK_HUMAN	NEDD8_HUMAN	0.8
RASK_HUMAN	ADA10_HUMAN	0.8
RASK_HUMAN	GRAP2_HUMAN	0.8
RASK_HUMAN	RHG32_HUMAN	1.6
RASK_HUMAN	MYO1E_HUMAN	0.8
RASK_HUMAN	SPTA1_HUMAN	0.8
RASK_HUMAN	SPTN1_HUMAN	1.6
RASK_HUMAN	CSKP_HUMAN	1.6
RASK_HUMAN	ADAM9_HUMAN	3.2
RASK_HUMAN	IRS4_HUMAN	2.4000000000000004
RASK_HUMAN	PABP1_HUMAN	0.8
RASK_HUMAN	UNK_HUMAN	1.44
RASK_HUMAN	WEE1_HUMAN	0.8
RASK_HUMAN	PICAL_HUMAN	0.8
RASK_HUMAN	STON2_HUMAN	1.6
RASK_HUMAN	SH3B4_HUMAN	0.8
RASK_HUMAN	EPN1_HUMAN	0.8
RASK_HUMAN	DOCK1_HUMAN	0.8
RASK_HUMAN	TRI25_HUMAN	0.8
RASK_HUMAN	KMT2E_HUMAN	0.8
RASK_HUMAN	WDR83_HUMAN	2.4000000000000004
RASK_HUMAN	DOCK5_HUMAN	0.8
RASK_HUMAN	SCAM3_HUMAN	1.6
RASK_HUMAN	ANK3_HUMAN	0.8
RASK_HUMAN	RHBD2_HUMAN	1.6
RASK_HUMAN	ESS2_HUMAN	0.8
RASK_HUMAN	BI2L1_HUMAN	1.6
RASK_HUMAN	YAP1_HUMAN	1.6
RASK_HUMAN	FAF2_HUMAN	3.2
RASK_HUMAN	RM43_HUMAN	0.8
RASK_HUMAN	EPN4_HUMAN	0.8
RASK_HUMAN	FRPD1_HUMAN	0.8
RASK_HUMAN	AFTIN_HUMAN	0.8
RASK_HUMAN	CLH1_HUMAN	0.8
RASK_HUMAN	TMM94_HUMAN	0.8
RASK_HUMAN	IMB1_HUMAN	0.8
RASK_HUMAN	PDC6I_HUMAN	0.8
RASK_HUMAN	NU155_HUMAN	2.4000000000000004
RASK_HUMAN	UBP7_HUMAN	0.8
RASK_HUMAN	NU214_HUMAN	0.8
RASK_HUMAN	GPC5B_HUMAN	0.8
RASK_HUMAN	STK10_HUMAN	1.6
RASK_HUMAN	PCNT_HUMAN	0.8
RASK_HUMAN	SQSTM_HUMAN	0.8
RASK_HUMAN	RIC1_HUMAN	0.8
RASK_HUMAN	TITIN_HUMAN	0.8
RASK_HUMAN	NED4L_HUMAN	0.8
RASK_HUMAN	RHG31_HUMAN	1.6
RASK_HUMAN	RIN1_HUMAN	1.6
RASK_HUMAN	WASF2_HUMAN	1.6
RASK_HUMAN	AP2M1_HUMAN	2.4000000000000004
RASK_HUMAN	ATG9A_HUMAN	0.8
RASK_HUMAN	NUMB_HUMAN	2.4000000000000004
RASK_HUMAN	DP13A_HUMAN	0.8
RASK_HUMAN	RM49_HUMAN	0.8
RASK_HUMAN	CDC37_HUMAN	0.8
RASK_HUMAN	NPM_HUMAN	0.8
RASK_HUMAN	GGA3_HUMAN	0.8
RASK_HUMAN	ITCH_HUMAN	1.6
RASK_HUMAN	RBM14_HUMAN	0.8
RASK_HUMAN	TMM51_HUMAN	3.2
RASK_HUMAN	DYN2_HUMAN	1.6
RASK_HUMAN	DYN3_HUMAN	0.8
RASK_HUMAN	SFPQ_HUMAN	1.6
RASK_HUMAN	SNTB1_HUMAN	0.8
RASK_HUMAN	LIN7C_HUMAN	0.8
RASK_HUMAN	MPDZ_HUMAN	0.8
RASK_HUMAN	TERA_HUMAN	0.8
RASK_HUMAN	MAGI1_HUMAN	0.8
RASK_HUMAN	RAF1_HUMAN	41.60000000000001
RASK_HUMAN	TRI39_HUMAN	0.8
RASK_HUMAN	NFS1_HUMAN	0.8
RASK_HUMAN	HNRPR_HUMAN	0.8
RASK_HUMAN	ASB16_HUMAN	0.8
RASK_HUMAN	SOS2_HUMAN	1
RASK_HUMAN	TF3A_HUMAN	1.6
RASK_HUMAN	DDX41_HUMAN	0.8
RASK_HUMAN	SF3B4_HUMAN	0.8
RASK_HUMAN	ORC1_HUMAN	0.8
RASK_HUMAN	SHAN3_HUMAN	0.8
RASK_HUMAN	DPOD1_HUMAN	0.8
RASK_HUMAN	SUV92_HUMAN	0.8
RASK_HUMAN	CDKL5_HUMAN	0.8
RASK_HUMAN	CKAP5_HUMAN	0.8
RASK_HUMAN	VP13A_HUMAN	0.8
RASK_HUMAN	GRIP2_HUMAN	0.8
RASK_HUMAN	CDC27_HUMAN	4.0
RASK_HUMAN	RIMS1_HUMAN	0.8
RASK_HUMAN	LRP2_HUMAN	0.8
RASK_HUMAN	MED14_HUMAN	0.8
RASK_HUMAN	NELFB_HUMAN	0.8
RASK_HUMAN	CO6_HUMAN	0.8
RASK_HUMAN	SNX3_HUMAN	2.4000000000000004
RASK_HUMAN	E41L3_HUMAN	2.4000000000000004
RASK_HUMAN	G3BP2_HUMAN	0.8
RASK_HUMAN	DLGP4_HUMAN	2.4000000000000004
RASK_HUMAN	STF1_HUMAN	0.8
RASK_HUMAN	PHAR2_HUMAN	0.8
RASK_HUMAN	FANCA_HUMAN	0.8
RASK_HUMAN	ABL2_HUMAN	0.8
RASK_HUMAN	PLAK2_HUMAN	0.8
RASK_HUMAN	I20L2_HUMAN	0.8
RASK_HUMAN	SOS1_HUMAN	15.8
RASK_HUMAN	FLNB_HUMAN	0.64
RASK_HUMAN	CELR2_HUMAN	0.8
RASK_HUMAN	TPX2_HUMAN	0.8
RASK_HUMAN	RL13_HUMAN	0.8
RASK_HUMAN	EIF3D_HUMAN	1.6
RASK_HUMAN	DAG1_HUMAN	4.8
RASK_HUMAN	TRAIP_HUMAN	0.8
RASK_HUMAN	MYPT1_HUMAN	0.8
RASK_HUMAN	CAF1A_HUMAN	0.8
RASK_HUMAN	M4K5_HUMAN	0.8
RASK_HUMAN	M4K3_HUMAN	1.6
RASK_HUMAN	HMGN2_HUMAN	0.8
RASK_HUMAN	SYDC_HUMAN	1.6
RASK_HUMAN	RPA2_HUMAN	0.8
RASK_HUMAN	ANK2_HUMAN	0.8
RASK_HUMAN	PP2BB_HUMAN	0.8
RASK_HUMAN	RAGE_HUMAN	1
RASK_HUMAN	UGPA_HUMAN	0.8
RASK_HUMAN	KCNH7_HUMAN	0.8
RASK_HUMAN	SMRD1_HUMAN	0.8
RASK_HUMAN	TNPO1_HUMAN	1.6
RASK_HUMAN	SNPC3_HUMAN	0.8
RASK_HUMAN	TNIK_HUMAN	1.6
RASK_HUMAN	P85A_HUMAN	0.8
RASK_HUMAN	A4_HUMAN	2.4000000000000004
RASK_HUMAN	DDX3X_HUMAN	0.8
RASK_HUMAN	1433S_HUMAN	0.8
RASK_HUMAN	MED28_HUMAN	0.8
