UniProtID	UniProtID	score
REEP5_HUMAN	LRC59_HUMAN	2.4000000000000004
REEP5_HUMAN	HS71A_HUMAN	0.8
REEP5_HUMAN	ATLA1_HUMAN	2.08
REEP5_HUMAN	LMNB1_HUMAN	0.8
REEP5_HUMAN	SCFD1_HUMAN	0.8
REEP5_HUMAN	S27A4_HUMAN	0.8
REEP5_HUMAN	RB3GP_HUMAN	0.8
REEP5_HUMAN	SSRA_HUMAN	0.8
REEP5_HUMAN	RAB5B_HUMAN	1.6
REEP5_HUMAN	MYPR_HUMAN	0.8
REEP5_HUMAN	VAPB_HUMAN	0.8
REEP5_HUMAN	AT2B1_HUMAN	0.8
REEP5_HUMAN	ESYT1_HUMAN	0.8
REEP5_HUMAN	ACSL3_HUMAN	2.4000000000000004
REEP5_HUMAN	SRPRB_HUMAN	0.8
REEP5_HUMAN	RTN4_HUMAN	0.8
REEP5_HUMAN	RBGPR_HUMAN	0.8
REEP5_HUMAN	RL6_HUMAN	0.8
REEP5_HUMAN	RAB7A_HUMAN	0.8
REEP5_HUMAN	RAB35_HUMAN	0.8
REEP5_HUMAN	MYO1C_HUMAN	0.8
REEP5_HUMAN	AT2A1_HUMAN	0.8
REEP5_HUMAN	AT131_HUMAN	0.8
REEP5_HUMAN	ACM5_HUMAN	1.6
REEP5_HUMAN	VAPA_HUMAN	0.8
REEP5_HUMAN	CALX_HUMAN	2.4000000000000004
REEP5_HUMAN	PEBP1_HUMAN	0.8
REEP5_HUMAN	AL3A2_HUMAN	0.8
REEP5_HUMAN	TACC1_HUMAN	0.8
REEP5_HUMAN	MFN2_HUMAN	1.6
REEP5_HUMAN	TMM33_HUMAN	0.8
REEP5_HUMAN	S12A2_HUMAN	0.8
REEP5_HUMAN	DDRGK_HUMAN	0.8
REEP5_HUMAN	SYAP1_HUMAN	0.8
REEP5_HUMAN	RRBP1_HUMAN	0.8
REEP5_HUMAN	RPN1_HUMAN	0.8
REEP5_HUMAN	RHG01_HUMAN	0.8
REEP5_HUMAN	HMOX2_HUMAN	0.8
REEP5_HUMAN	PGRC1_HUMAN	0.8
REEP5_HUMAN	RS9_HUMAN	0.8
REEP5_HUMAN	NCPR_HUMAN	0.8
REEP5_HUMAN	GBB1_HUMAN	0.6
REEP5_HUMAN	RENR_HUMAN	0.8
REEP5_HUMAN	SC22B_HUMAN	0.8
REEP5_HUMAN	LYRIC_HUMAN	0.8
REEP5_HUMAN	FKBP8_HUMAN	0.8
REEP5_HUMAN	SIR2_HUMAN	0.8
REEP5_HUMAN	RPN2_HUMAN	0.8
REEP5_HUMAN	SNP47_HUMAN	0.8
REEP5_HUMAN	RTN1_HUMAN	1.4
REEP5_HUMAN	PRAF2_HUMAN	2.4000000000000004
REEP5_HUMAN	CLMN_HUMAN	0.8
REEP5_HUMAN	CK5P3_HUMAN	0.8
REEP5_HUMAN	AKAP1_HUMAN	0.8
REEP5_HUMAN	DHB12_HUMAN	0.8
REEP5_HUMAN	ATLA2_HUMAN	2.08
REEP5_HUMAN	HS71B_HUMAN	0.8
REEP5_HUMAN	INF2_HUMAN	0.8
REEP5_HUMAN	ITB1_HUMAN	0.8
REEP5_HUMAN	ESYT2_HUMAN	0.8
REEP5_HUMAN	SNX1_HUMAN	3.2
REEP5_HUMAN	KTN1_HUMAN	0.8
REEP5_HUMAN	NCAM1_HUMAN	1.6
REEP5_HUMAN	PBIP1_HUMAN	0.8
REEP5_HUMAN	RTN3_HUMAN	0.8
REEP5_HUMAN	UBB_HUMAN	0.8
REEP5_HUMAN	LPAR1_HUMAN	0.8
REEP5_HUMAN	CKAP4_HUMAN	1.6
LRC59_HUMAN	LRC59_HUMAN	3.2
LRC59_HUMAN	ATLA1_HUMAN	1.6
LRC59_HUMAN	LMNB1_HUMAN	1.6
LRC59_HUMAN	SCFD1_HUMAN	0.8
LRC59_HUMAN	RB3GP_HUMAN	0.8
LRC59_HUMAN	SSRA_HUMAN	1.6
LRC59_HUMAN	VAPB_HUMAN	0.8
LRC59_HUMAN	AT2B1_HUMAN	0.8
LRC59_HUMAN	ESYT1_HUMAN	0.8
LRC59_HUMAN	ACSL3_HUMAN	0.8
LRC59_HUMAN	SRPRB_HUMAN	0.8
LRC59_HUMAN	RTN4_HUMAN	0.8
LRC59_HUMAN	RBGPR_HUMAN	0.8
LRC59_HUMAN	RL6_HUMAN	1.44
LRC59_HUMAN	RAB7A_HUMAN	0.8
LRC59_HUMAN	RAB35_HUMAN	0.8
LRC59_HUMAN	AT2A1_HUMAN	0.8
LRC59_HUMAN	VAPA_HUMAN	0.8
LRC59_HUMAN	CALX_HUMAN	5.6
LRC59_HUMAN	AL3A2_HUMAN	0.8
LRC59_HUMAN	TACC1_HUMAN	0.8
LRC59_HUMAN	S12A2_HUMAN	0.8
LRC59_HUMAN	DDRGK_HUMAN	2.4000000000000004
LRC59_HUMAN	SYAP1_HUMAN	0.8
LRC59_HUMAN	RRBP1_HUMAN	1.6
LRC59_HUMAN	RPN1_HUMAN	1.6
LRC59_HUMAN	RHG01_HUMAN	0.8
LRC59_HUMAN	HMOX2_HUMAN	1.6
LRC59_HUMAN	PGRC1_HUMAN	0.8
LRC59_HUMAN	NCPR_HUMAN	1.6
LRC59_HUMAN	RENR_HUMAN	0.8
LRC59_HUMAN	SC22B_HUMAN	0.8
LRC59_HUMAN	LYRIC_HUMAN	2.4000000000000004
LRC59_HUMAN	FKBP8_HUMAN	1.6
LRC59_HUMAN	RPN2_HUMAN	1.6
LRC59_HUMAN	SNP47_HUMAN	0.8
LRC59_HUMAN	RTN1_HUMAN	0.8
LRC59_HUMAN	CLMN_HUMAN	0.8
LRC59_HUMAN	CK5P3_HUMAN	0.8
LRC59_HUMAN	INF2_HUMAN	1.6
LRC59_HUMAN	ITB1_HUMAN	0.8
LRC59_HUMAN	ESYT2_HUMAN	0.8
LRC59_HUMAN	KTN1_HUMAN	1.6
LRC59_HUMAN	PBIP1_HUMAN	0.8
LRC59_HUMAN	RTN3_HUMAN	1.6
LRC59_HUMAN	CKAP4_HUMAN	2.4000000000000004
HS71A_HUMAN	HS71A_HUMAN	40.2
HS71A_HUMAN	SSRA_HUMAN	0.8
HS71A_HUMAN	MFN2_HUMAN	0.8
HS71A_HUMAN	DDRGK_HUMAN	1.6
HS71A_HUMAN	RPN1_HUMAN	0.8
HS71A_HUMAN	RS9_HUMAN	0.8
HS71A_HUMAN	RPN2_HUMAN	0.8
HS71A_HUMAN	AKAP1_HUMAN	0.8
HS71A_HUMAN	HS71B_HUMAN	2.2
HS71A_HUMAN	UBB_HUMAN	2.4
HS71A_HUMAN	CKAP4_HUMAN	0.8
ATLA1_HUMAN	ATLA1_HUMAN	94.0
ATLA1_HUMAN	SSRA_HUMAN	0.8
ATLA1_HUMAN	RTN4_HUMAN	6.999999999999999
ATLA1_HUMAN	RAB7A_HUMAN	2.4000000000000004
ATLA1_HUMAN	AT2A1_HUMAN	0.8
ATLA1_HUMAN	RPN1_HUMAN	0.8
ATLA1_HUMAN	RPN2_HUMAN	0.8
ATLA1_HUMAN	RTN1_HUMAN	0.6
ATLA1_HUMAN	CKAP4_HUMAN	0.8
LMNB1_HUMAN	LMNB1_HUMAN	12.0
LMNB1_HUMAN	SCFD1_HUMAN	0.8
LMNB1_HUMAN	SSRA_HUMAN	1.6
LMNB1_HUMAN	VAPB_HUMAN	0.8
LMNB1_HUMAN	ACSL3_HUMAN	0.8
LMNB1_HUMAN	RAB35_HUMAN	0.8
LMNB1_HUMAN	VAPA_HUMAN	0.8
LMNB1_HUMAN	CALX_HUMAN	0.8
LMNB1_HUMAN	AL3A2_HUMAN	0.8
LMNB1_HUMAN	DDRGK_HUMAN	0.8
LMNB1_HUMAN	RPN1_HUMAN	1.6
LMNB1_HUMAN	HMOX2_HUMAN	0.8
LMNB1_HUMAN	PGRC1_HUMAN	0.8
LMNB1_HUMAN	RENR_HUMAN	0.8
LMNB1_HUMAN	SC22B_HUMAN	0.8
LMNB1_HUMAN	RPN2_HUMAN	0.8
LMNB1_HUMAN	PRAF2_HUMAN	0.8
LMNB1_HUMAN	CK5P3_HUMAN	0.8
LMNB1_HUMAN	ITB1_HUMAN	0.8
LMNB1_HUMAN	CKAP4_HUMAN	1.6
SCFD1_HUMAN	SSRA_HUMAN	0.8
SCFD1_HUMAN	RAB35_HUMAN	0.8
SCFD1_HUMAN	AT2A1_HUMAN	0.8
SCFD1_HUMAN	CALX_HUMAN	2.4000000000000004
SCFD1_HUMAN	RENR_HUMAN	1.6
SCFD1_HUMAN	SC22B_HUMAN	2.8400000000000003
SCFD1_HUMAN	FKBP8_HUMAN	0.8
SCFD1_HUMAN	RPN2_HUMAN	0.8
SCFD1_HUMAN	CKAP4_HUMAN	0.8
S27A4_HUMAN	AT2A1_HUMAN	0.8
S27A4_HUMAN	RPN1_HUMAN	0.8
RB3GP_HUMAN	SSRA_HUMAN	0.8
RB3GP_HUMAN	VAPB_HUMAN	4.8
RB3GP_HUMAN	RBGPR_HUMAN	3.0000000000000004
RB3GP_HUMAN	AT2A1_HUMAN	0.8
RB3GP_HUMAN	VAPA_HUMAN	3.0400000000000005
RB3GP_HUMAN	CALX_HUMAN	1.6
RB3GP_HUMAN	RPN1_HUMAN	0.8
RB3GP_HUMAN	FKBP8_HUMAN	0.8
RB3GP_HUMAN	SIR2_HUMAN	1.6
RB3GP_HUMAN	RPN2_HUMAN	0.8
RB3GP_HUMAN	CKAP4_HUMAN	0.8
SSRA_HUMAN	VAPB_HUMAN	0.8
SSRA_HUMAN	AT2B1_HUMAN	0.8
SSRA_HUMAN	ESYT1_HUMAN	0.8
SSRA_HUMAN	ACSL3_HUMAN	0.8
SSRA_HUMAN	SRPRB_HUMAN	1.4
SSRA_HUMAN	RTN4_HUMAN	0.8
SSRA_HUMAN	RBGPR_HUMAN	0.8
SSRA_HUMAN	RL6_HUMAN	0.6
SSRA_HUMAN	AT2A1_HUMAN	0.8
SSRA_HUMAN	AT131_HUMAN	0.8
SSRA_HUMAN	VAPA_HUMAN	0.8
SSRA_HUMAN	CALX_HUMAN	7.3999999999999995
SSRA_HUMAN	AL3A2_HUMAN	0.8
SSRA_HUMAN	TACC1_HUMAN	0.8
SSRA_HUMAN	S12A2_HUMAN	0.8
SSRA_HUMAN	DDRGK_HUMAN	1.6
SSRA_HUMAN	SYAP1_HUMAN	0.8
SSRA_HUMAN	RRBP1_HUMAN	0.8
SSRA_HUMAN	RPN1_HUMAN	3.8000000000000003
SSRA_HUMAN	RHG01_HUMAN	0.8
SSRA_HUMAN	HMOX2_HUMAN	0.8
SSRA_HUMAN	PGRC1_HUMAN	0.8
SSRA_HUMAN	RS9_HUMAN	0.6
SSRA_HUMAN	NCPR_HUMAN	0.8
SSRA_HUMAN	RENR_HUMAN	0.8
SSRA_HUMAN	SC22B_HUMAN	0.8
SSRA_HUMAN	LYRIC_HUMAN	0.8
SSRA_HUMAN	FKBP8_HUMAN	1.6
SSRA_HUMAN	RPN2_HUMAN	1.4
SSRA_HUMAN	SNP47_HUMAN	0.8
