UniProtID	UniProtID	score
RENT1_HUMAN	ESR1_HUMAN	2.4000000000000004
RENT1_HUMAN	KIF1B_HUMAN	0.8
RENT1_HUMAN	PABP1_HUMAN	7.239999999999999
RENT1_HUMAN	ERF3B_HUMAN	8.04
RENT1_HUMAN	LAR4B_HUMAN	1.6
RENT1_HUMAN	UNK_HUMAN	0.8
RENT1_HUMAN	TRI25_HUMAN	1.6
RENT1_HUMAN	YAP1_HUMAN	1.6
RENT1_HUMAN	DCTN1_HUMAN	1.6
RENT1_HUMAN	CLH1_HUMAN	0.8
RENT1_HUMAN	P53_HUMAN	0.8
RENT1_HUMAN	TS101_HUMAN	0.8
RENT1_HUMAN	MLP3B_HUMAN	0.8
RENT1_HUMAN	DPPA4_HUMAN	0.8
RENT1_HUMAN	CDC37_HUMAN	3.0400000000000005
RENT1_HUMAN	CBX6_HUMAN	0.8
RENT1_HUMAN	RAF1_HUMAN	0.8
RENT1_HUMAN	HNRPR_HUMAN	1.6
RENT1_HUMAN	DPOD1_HUMAN	2
RENT1_HUMAN	G3BP2_HUMAN	0.8
RENT1_HUMAN	BRD4_HUMAN	1.6
RENT1_HUMAN	BCAR1_HUMAN	0.8
RENT1_HUMAN	MYPT1_HUMAN	0.8
RENT1_HUMAN	HDAC6_HUMAN	0.8
RENT1_HUMAN	ECT2_HUMAN	0.8
RENT1_HUMAN	FUBP3_HUMAN	0.8
RENT1_HUMAN	DDX3X_HUMAN	0.8
RENT1_HUMAN	PP1G_HUMAN	0.8
RENT1_HUMAN	HSP7C_HUMAN	0.8
RENT1_HUMAN	HS90B_HUMAN	0.8
RENT1_HUMAN	MBB1A_HUMAN	0.8
RENT1_HUMAN	RC3H1_HUMAN	3.04
RENT1_HUMAN	IF2A_HUMAN	1.6400000000000001
RENT1_HUMAN	KLF4_HUMAN	1.6
RENT1_HUMAN	ATX2_HUMAN	1.6
RENT1_HUMAN	PRC1_HUMAN	0.8
RENT1_HUMAN	RNPS1_HUMAN	2.6
RENT1_HUMAN	ZFR_HUMAN	0.8
RENT1_HUMAN	RSMN_HUMAN	1
