UniProtID	UniProtID	score
RGS12_HUMAN	EF1A1_HUMAN	2.92
RGS12_HUMAN	NBEA_HUMAN	0.8
RGS12_HUMAN	DLGP3_HUMAN	1.6
RGS12_HUMAN	EHMT2_HUMAN	0.8
RGS12_HUMAN	1433S_HUMAN	3.2
RGS12_HUMAN	1433E_HUMAN	4.8
RGS12_HUMAN	1433Z_HUMAN	1.6
RGS12_HUMAN	ARAF_HUMAN	2.4000000000000004
RGS12_HUMAN	PRC1_HUMAN	0.8
RGS12_HUMAN	1433F_HUMAN	2.4000000000000004
RGS12_HUMAN	BRAF_HUMAN	2.4000000000000004
RGS12_HUMAN	1433T_HUMAN	2.4000000000000004
RGS12_HUMAN	RASH_HUMAN	2.4000000000000004
RGS12_HUMAN	MP2K2_HUMAN	5.6
RGS12_HUMAN	1433B_HUMAN	3.2
RGS12_HUMAN	1433G_HUMAN	4.0
RGS12_HUMAN	KPCD2_HUMAN	0.8
RGS12_HUMAN	GNAI3_HUMAN	5.84
RGS12_HUMAN	RASN_HUMAN	2.4000000000000004
RGS12_HUMAN	GNAI2_HUMAN	1
RGS12_HUMAN	BCR_HUMAN	1
RGS12_HUMAN	HERC2_HUMAN	1
RGS12_HUMAN	MTR1A_HUMAN	1.6
RGS12_HUMAN	GNAI1_HUMAN	5.2
RGS12_HUMAN	ARL4C_HUMAN	2.4000000000000004
RGS12_HUMAN	CAC1B_HUMAN	0.8
RGS12_HUMAN	ITB3_HUMAN	0.8
RGS12_HUMAN	P20D2_HUMAN	3.2
RGS12_HUMAN	CUL4A_HUMAN	1.6
RGS12_HUMAN	CXCR2_HUMAN	2.4000000000000004
RGS12_HUMAN	NTRK1_HUMAN	0.8
RGS12_HUMAN	VIR_HUMAN	0.8
RGS12_HUMAN	KIF14_HUMAN	0.8
RGS12_HUMAN	KI20A_HUMAN	0.8
RGS12_HUMAN	WIZ_HUMAN	0.8
RGS12_HUMAN	EHMT1_HUMAN	0.8
RGS12_HUMAN	MYCB2_HUMAN	2
RGS12_HUMAN	RING1_HUMAN	1
RGS12_HUMAN	RBBP6_HUMAN	1
RGS12_HUMAN	LTN1_HUMAN	1
RGS12_HUMAN	RGS14_HUMAN	0.64
RGS12_HUMAN	DC1I2_HUMAN	0.8
RGS12_HUMAN	SSR3_HUMAN	0.64
