UniProtID	UniProtID	score
RHEB_HUMAN	CYFP1_HUMAN	1.28
RHEB_HUMAN	AKT1_HUMAN	0.6
RHEB_HUMAN	KS6B1_HUMAN	1.6
RHEB_HUMAN	PHB_HUMAN	0.8
RHEB_HUMAN	DP13A_HUMAN	1.28
RHEB_HUMAN	1433Z_HUMAN	0.64
RHEB_HUMAN	SRPRB_HUMAN	1.6
RHEB_HUMAN	RHEB_HUMAN	56.8
RHEB_HUMAN	PTEN_HUMAN	0.6
RHEB_HUMAN	VPS4A_HUMAN	0.8
RHEB_HUMAN	RAB7A_HUMAN	2.44
RHEB_HUMAN	LDHB_HUMAN	0.8
RHEB_HUMAN	HNRH1_HUMAN	0.8
RHEB_HUMAN	NMDE3_HUMAN	2.4000000000000004
RHEB_HUMAN	TSC1_HUMAN	3.4
RHEB_HUMAN	RAC1_HUMAN	0.8
RHEB_HUMAN	HD_HUMAN	2.0
RHEB_HUMAN	ANS1B_HUMAN	0.64
RHEB_HUMAN	CNKR2_HUMAN	1.28
RHEB_HUMAN	APOE_HUMAN	1.44
RHEB_HUMAN	RAN_HUMAN	2.4000000000000004
RHEB_HUMAN	RASH_HUMAN	1.0
RHEB_HUMAN	BNIP3_HUMAN	3.4
RHEB_HUMAN	KCC2A_HUMAN	0.64
RHEB_HUMAN	GCR_HUMAN	0.8
RHEB_HUMAN	MTOR_HUMAN	16.200000000000003
RHEB_HUMAN	HIP1_HUMAN	2.4000000000000004
RHEB_HUMAN	PSN2_HUMAN	1.6
RHEB_HUMAN	PSN1_HUMAN	0.8
RHEB_HUMAN	TSC2_HUMAN	12.4
RHEB_HUMAN	TCTP_HUMAN	2.64
RHEB_HUMAN	LTOR1_HUMAN	0.6
RHEB_HUMAN	4EBP1_HUMAN	0.6
RHEB_HUMAN	RAP1A_HUMAN	1.0
RHEB_HUMAN	RS6_HUMAN	0.6
RHEB_HUMAN	RAF1_HUMAN	7.6
RHEB_HUMAN	1433B_HUMAN	0.6
RHEB_HUMAN	NCAM1_HUMAN	1.6
RHEB_HUMAN	IF4E_HUMAN	0.6
RHEB_HUMAN	UBB_HUMAN	1.6
RHEB_HUMAN	MK01_HUMAN	0.64
RHEB_HUMAN	FKBP8_HUMAN	3.6
CYFP1_HUMAN	KS6B1_HUMAN	1.28
CYFP1_HUMAN	1433Z_HUMAN	1.6
CYFP1_HUMAN	TSC1_HUMAN	1.28
CYFP1_HUMAN	RAC1_HUMAN	5.52
CYFP1_HUMAN	RASH_HUMAN	0.8
CYFP1_HUMAN	KCC2A_HUMAN	1.28
CYFP1_HUMAN	GCR_HUMAN	0.8
CYFP1_HUMAN	TCTP_HUMAN	0.8
CYFP1_HUMAN	RS6_HUMAN	0.8
CYFP1_HUMAN	1433B_HUMAN	0.64
CYFP1_HUMAN	IF4E_HUMAN	6.999999999999999
CYFP1_HUMAN	MK01_HUMAN	0.6
AKT1_HUMAN	AKT1_HUMAN	26.400000000000002
AKT1_HUMAN	KS6B1_HUMAN	4.0
AKT1_HUMAN	DP13A_HUMAN	6.4399999999999995
AKT1_HUMAN	1433Z_HUMAN	4.3999999999999995
AKT1_HUMAN	PTEN_HUMAN	2.4
AKT1_HUMAN	HNRH1_HUMAN	0.8
AKT1_HUMAN	TSC1_HUMAN	3.0400000000000005
AKT1_HUMAN	RAC1_HUMAN	1.6
AKT1_HUMAN	HD_HUMAN	3.8000000000000003
AKT1_HUMAN	RASH_HUMAN	0.6
AKT1_HUMAN	KCC2A_HUMAN	3.2
AKT1_HUMAN	GCR_HUMAN	5.0
AKT1_HUMAN	MTOR_HUMAN	21.440000000000005
AKT1_HUMAN	TSC2_HUMAN	1.6
AKT1_HUMAN	LTOR1_HUMAN	0.6
AKT1_HUMAN	4EBP1_HUMAN	2.2
AKT1_HUMAN	RS6_HUMAN	0.6
AKT1_HUMAN	RAF1_HUMAN	6.799999999999999
AKT1_HUMAN	1433B_HUMAN	0.6
AKT1_HUMAN	UBB_HUMAN	4.4799999999999995
AKT1_HUMAN	MK01_HUMAN	0.6
KS6B1_HUMAN	KS6B1_HUMAN	15.2
KS6B1_HUMAN	PTEN_HUMAN	0.6
KS6B1_HUMAN	TSC1_HUMAN	2.2
KS6B1_HUMAN	RAC1_HUMAN	0.6
KS6B1_HUMAN	HD_HUMAN	1.0
KS6B1_HUMAN	MTOR_HUMAN	31.000000000000004
KS6B1_HUMAN	TSC2_HUMAN	2.2
KS6B1_HUMAN	LTOR1_HUMAN	0.6
KS6B1_HUMAN	4EBP1_HUMAN	1.24
KS6B1_HUMAN	RS6_HUMAN	6.84
KS6B1_HUMAN	1433B_HUMAN	0.6
KS6B1_HUMAN	IF4E_HUMAN	4.6
KS6B1_HUMAN	MK01_HUMAN	1.4
PHB_HUMAN	PHB_HUMAN	1.6
PHB_HUMAN	1433Z_HUMAN	2.24
PHB_HUMAN	SRPRB_HUMAN	0.8
PHB_HUMAN	PTEN_HUMAN	0.8
PHB_HUMAN	RAB7A_HUMAN	2.4000000000000004
PHB_HUMAN	LDHB_HUMAN	0.8
PHB_HUMAN	HNRH1_HUMAN	0.8
PHB_HUMAN	RAC1_HUMAN	1.6
PHB_HUMAN	APOE_HUMAN	0.8
PHB_HUMAN	RAN_HUMAN	0.8
PHB_HUMAN	RASH_HUMAN	0.6
PHB_HUMAN	TCTP_HUMAN	0.8
