UniProtID	UniProtID	score
RHG44_HUMAN	ARHG6_HUMAN	2.4000000000000004
RHG44_HUMAN	SRGP3_HUMAN	0.64
RHG44_HUMAN	TCOF_HUMAN	0.8
RHG44_HUMAN	SHAN3_HUMAN	3.2
RHG44_HUMAN	CD2AP_HUMAN	4.0
RHG44_HUMAN	SH3K1_HUMAN	2.4000000000000004
RHG44_HUMAN	LMNA_HUMAN	0.8
RHG44_HUMAN	NDKB_HUMAN	0.8
RHG44_HUMAN	CALM3_HUMAN	1.28
RHG44_HUMAN	CDC42_HUMAN	1.6400000000000001
RHG44_HUMAN	RAC1_HUMAN	2.44
RHG44_HUMAN	KCC2A_HUMAN	0.64
RHG44_HUMAN	CIP4_HUMAN	4.0
RHG44_HUMAN	NUMA1_HUMAN	0.8
RHG44_HUMAN	HNRPL_HUMAN	0.8
RHG44_HUMAN	CALM2_HUMAN	0.64
RHG44_HUMAN	SRCN1_HUMAN	0.64
RHG44_HUMAN	PDLI5_HUMAN	0.64
RHG44_HUMAN	MYOME_HUMAN	1.28
RHG44_HUMAN	NHRF2_HUMAN	3.2
RHG44_HUMAN	CALM1_HUMAN	0.64
RHG44_HUMAN	PFKAM_HUMAN	0.8
RHG44_HUMAN	STK24_HUMAN	0.8
RHG44_HUMAN	PP2BC_HUMAN	2.4000000000000004
RHG44_HUMAN	CTBP2_HUMAN	0.8
RHG44_HUMAN	THIL_HUMAN	1.6
RHG44_HUMAN	SYNE2_HUMAN	0.64
RHG44_HUMAN	HNRH1_HUMAN	0.8
RHG44_HUMAN	VP26A_HUMAN	2.4000000000000004
RHG44_HUMAN	BOLA2_HUMAN	0.8
RHG44_HUMAN	RHG17_HUMAN	5.6
RHG44_HUMAN	TIPRL_HUMAN	0.8
RHG44_HUMAN	LMNB2_HUMAN	0.8
RHG44_HUMAN	BCL7B_HUMAN	0.8
RHG44_HUMAN	TM263_HUMAN	0.8
RHG44_HUMAN	TOP3B_HUMAN	0.8
RHG44_HUMAN	3BP1_HUMAN	4.0
RHG44_HUMAN	CASP5_HUMAN	2.4000000000000004
RHG44_HUMAN	JUPI1_HUMAN	2.24
RHG44_HUMAN	FBP1L_HUMAN	1.6
RHG44_HUMAN	WDTC1_HUMAN	1.6
RHG44_HUMAN	SURF6_HUMAN	0.8
RHG44_HUMAN	CASP4_HUMAN	0.8
RHG44_HUMAN	NAA25_HUMAN	0.8
RHG44_HUMAN	PUS7_HUMAN	0.8
