UniProtID	UniProtID	score
RIMS2_HUMAN	UN13A_HUMAN	5.4
RIMS2_HUMAN	AGAP2_HUMAN	1.28
RIMS2_HUMAN	RB6I2_HUMAN	0.8
RIMS2_HUMAN	GRB2_HUMAN	0.8
RIMS2_HUMAN	DLG4_HUMAN	0.64
RIMS2_HUMAN	RIMB2_HUMAN	0.6
RIMS2_HUMAN	RAB3A_HUMAN	2.8400000000000003
RIMS2_HUMAN	PCLO_HUMAN	1.4
RIMS2_HUMAN	1433E_HUMAN	0.64
RIMS2_HUMAN	RAB3C_HUMAN	2.04
RIMS2_HUMAN	RAB8A_HUMAN	0.64
RIMS2_HUMAN	RPGF4_HUMAN	3.4
RIMS2_HUMAN	FYN_HUMAN	0.8
RIMS2_HUMAN	LYN_HUMAN	0.8
RIMS2_HUMAN	1433F_HUMAN	4.4
UN13A_HUMAN	UN13A_HUMAN	17.600000000000005
AGAP2_HUMAN	DLG4_HUMAN	3.8400000000000003
AGAP2_HUMAN	PCLO_HUMAN	1.28
AGAP2_HUMAN	RPGF4_HUMAN	1.28
RB6I2_HUMAN	1433E_HUMAN	0.64
RB6I2_HUMAN	1433F_HUMAN	0.8
GRB2_HUMAN	GRB2_HUMAN	275.6
GRB2_HUMAN	DLG4_HUMAN	1.44
GRB2_HUMAN	1433E_HUMAN	4.0
GRB2_HUMAN	FYN_HUMAN	0.6
GRB2_HUMAN	LYN_HUMAN	0.6
GRB2_HUMAN	1433F_HUMAN	2.2
DLG4_HUMAN	DLG4_HUMAN	91.68000000000002
DLG4_HUMAN	PCLO_HUMAN	0.64
DLG4_HUMAN	1433E_HUMAN	2.56
DLG4_HUMAN	RAB3C_HUMAN	1.92
DLG4_HUMAN	FYN_HUMAN	3.0
DLG4_HUMAN	LYN_HUMAN	2.4000000000000004
RIMB2_HUMAN	RAB3C_HUMAN	0.6
RAB3A_HUMAN	RAB3A_HUMAN	1.6
RAB3A_HUMAN	PCLO_HUMAN	0.6
RAB3A_HUMAN	RAB3C_HUMAN	2.52
RAB3A_HUMAN	RAB8A_HUMAN	0.6
PCLO_HUMAN	PCLO_HUMAN	1.6
PCLO_HUMAN	RPGF4_HUMAN	1.4
1433E_HUMAN	1433E_HUMAN	16.799999999999997
1433E_HUMAN	RAB8A_HUMAN	0.6
1433E_HUMAN	1433F_HUMAN	11.48
RAB3C_HUMAN	RAB3C_HUMAN	2.0
RAB3C_HUMAN	RAB8A_HUMAN	1.88
RAB8A_HUMAN	RAB8A_HUMAN	58.56
RAB8A_HUMAN	1433F_HUMAN	0.6
RPGF4_HUMAN	RPGF4_HUMAN	7.999999999999999
FYN_HUMAN	FYN_HUMAN	37.2
FYN_HUMAN	LYN_HUMAN	0.6
LYN_HUMAN	LYN_HUMAN	8.799999999999999
1433F_HUMAN	1433F_HUMAN	30.400000000000006
