UniProtID	UniProtID	score
RL27A_HUMAN	GRB2_HUMAN	0.8
RL27A_HUMAN	ESR1_HUMAN	2.4000000000000004
RL27A_HUMAN	EF1A1_HUMAN	0.64
RL27A_HUMAN	PABP1_HUMAN	0.8
RL27A_HUMAN	TRI25_HUMAN	1.6
RL27A_HUMAN	YAP1_HUMAN	0.8
RL27A_HUMAN	DUX4_HUMAN	2.4000000000000004
RL27A_HUMAN	MDM2_HUMAN	0.8
RL27A_HUMAN	P53_HUMAN	0.8
RL27A_HUMAN	RM49_HUMAN	0.8
RL27A_HUMAN	NPM_HUMAN	1.6
RL27A_HUMAN	TERA_HUMAN	0.8
RL27A_HUMAN	RIN3_HUMAN	1.6
RL27A_HUMAN	G3BP2_HUMAN	0.8
RL27A_HUMAN	CUL7_HUMAN	0.8
RL27A_HUMAN	BRD4_HUMAN	0.8
RL27A_HUMAN	RL13_HUMAN	3.0400000000000005
RL27A_HUMAN	HDAC6_HUMAN	0.8
RL27A_HUMAN	SYDC_HUMAN	0.8
RL27A_HUMAN	RIT1_HUMAN	0.8
RL27A_HUMAN	F16P1_HUMAN	0.8
RL27A_HUMAN	1433S_HUMAN	0.8
RL27A_HUMAN	MK01_HUMAN	0.64
RL27A_HUMAN	PP1G_HUMAN	0.8
RL27A_HUMAN	HSP7C_HUMAN	0.8
RL27A_HUMAN	CDN1B_HUMAN	1.6
RL27A_HUMAN	RC3H1_HUMAN	1.6
RL27A_HUMAN	IF2A_HUMAN	0.8
RL27A_HUMAN	KLF4_HUMAN	1.6
RL27A_HUMAN	PRC1_HUMAN	0.8
RL27A_HUMAN	TF3C1_HUMAN	0.8
RL27A_HUMAN	EZH2_HUMAN	0.8
RL27A_HUMAN	RS6_HUMAN	1.6
RL27A_HUMAN	AGO2_HUMAN	3.2
RL27A_HUMAN	H4_HUMAN	0.8
RL27A_HUMAN	BRCA1_HUMAN	0.8
RL27A_HUMAN	PCBP1_HUMAN	0.8
RL27A_HUMAN	CTBP1_HUMAN	1.6
RL27A_HUMAN	KSR1_HUMAN	0.64
RL27A_HUMAN	KPCI_HUMAN	0.8
RL27A_HUMAN	SIAH1_HUMAN	0.8
RL27A_HUMAN	EGFR_HUMAN	0.8
RL27A_HUMAN	SYQ_HUMAN	0.8
RL27A_HUMAN	SYMC_HUMAN	0.8
RL27A_HUMAN	NUCL_HUMAN	0.8
RL27A_HUMAN	LIS1_HUMAN	0.8
RL27A_HUMAN	ATX1_HUMAN	0.64
RL27A_HUMAN	PAK1_HUMAN	0.8
RL27A_HUMAN	LRP4_HUMAN	0.64
RL27A_HUMAN	RL4_HUMAN	2.24
RL27A_HUMAN	CSK22_HUMAN	0.8
RL27A_HUMAN	CSK21_HUMAN	0.8
RL27A_HUMAN	RL5_HUMAN	3.0400000000000005
RL27A_HUMAN	EIF3E_HUMAN	1.28
RL27A_HUMAN	C1QBP_HUMAN	0.8
RL27A_HUMAN	RS15A_HUMAN	1.44
RL27A_HUMAN	ANDR_HUMAN	0.8
RL27A_HUMAN	PARN_HUMAN	0.8
RL27A_HUMAN	RS20_HUMAN	2.24
RL27A_HUMAN	RL24_HUMAN	2.24
RL27A_HUMAN	ROA1_HUMAN	0.8
RL27A_HUMAN	RS15_HUMAN	0.8
RL27A_HUMAN	RS25_HUMAN	2.24
RL27A_HUMAN	RAB5A_HUMAN	1.6
RL27A_HUMAN	UBC_HUMAN	0.64
RL27A_HUMAN	CHD3_HUMAN	0.8
