UniProtID	UniProtID	score
RL40_HUMAN	GRB2_HUMAN	2.4000000000000004
RL40_HUMAN	DLG4_HUMAN	0.64
RL40_HUMAN	NCK1_HUMAN	1.6
RL40_HUMAN	LYN_HUMAN	0.8
RL40_HUMAN	SRGP2_HUMAN	1.6
RL40_HUMAN	ESR1_HUMAN	3.2
RL40_HUMAN	EF1A1_HUMAN	0.64
RL40_HUMAN	SYUA_HUMAN	5.0
RL40_HUMAN	RBP1_HUMAN	0.8
RL40_HUMAN	DLG1_HUMAN	0.8
RL40_HUMAN	NEDD8_HUMAN	0.8
RL40_HUMAN	RD23A_HUMAN	3.2
RL40_HUMAN	UBQL1_HUMAN	3.2
RL40_HUMAN	PEX14_HUMAN	1.6
RL40_HUMAN	CBL_HUMAN	0.8
RL40_HUMAN	UNK_HUMAN	0.8
RL40_HUMAN	EPN1_HUMAN	0.8
RL40_HUMAN	EREP1_HUMAN	0.8
RL40_HUMAN	CRTC2_HUMAN	0.8
RL40_HUMAN	RNF11_HUMAN	4.0
RL40_HUMAN	YAP1_HUMAN	0.8
RL40_HUMAN	ARK2N_HUMAN	0.8
RL40_HUMAN	ARRB2_HUMAN	0.8
RL40_HUMAN	MDM2_HUMAN	2.4000000000000004
RL40_HUMAN	P53_HUMAN	4.640000000000001
RL40_HUMAN	UBP7_HUMAN	1
RL40_HUMAN	MLP3B_HUMAN	0.8
RL40_HUMAN	SQSTM_HUMAN	2.24
RL40_HUMAN	NED4L_HUMAN	2
RL40_HUMAN	AP2M1_HUMAN	0.8
RL40_HUMAN	OPTN_HUMAN	0.8
RL40_HUMAN	M3K2_HUMAN	0.8
RL40_HUMAN	TERA_HUMAN	3.04
RL40_HUMAN	ATX3_HUMAN	0.8
RL40_HUMAN	RGS20_HUMAN	0.8
RL40_HUMAN	RL13_HUMAN	0.8
RL40_HUMAN	MYPT1_HUMAN	0.8
RL40_HUMAN	ASXL1_HUMAN	0.8
RL40_HUMAN	JAK2_HUMAN	0.8
RL40_HUMAN	GRB10_HUMAN	1.6
RL40_HUMAN	RIT1_HUMAN	0.8
RL40_HUMAN	TAU_HUMAN	0.8
RL40_HUMAN	TF65_HUMAN	1.6
RL40_HUMAN	ARRB1_HUMAN	0.8
RL40_HUMAN	HS90B_HUMAN	0.8
RL40_HUMAN	ARAF_HUMAN	2.4000000000000004
RL40_HUMAN	HDAC2_HUMAN	0.8
RL40_HUMAN	SCN2A_HUMAN	0.8
RL40_HUMAN	NFE2_HUMAN	1.6
RL40_HUMAN	CDK7_HUMAN	0.8
RL40_HUMAN	CIDEA_HUMAN	0.8
RL40_HUMAN	UBP21_HUMAN	2
RL40_HUMAN	SHAN1_HUMAN	1.6
RL40_HUMAN	KPYR_HUMAN	1.44
RL40_HUMAN	BIP_HUMAN	0.8
RL40_HUMAN	IRS1_HUMAN	0.8
RL40_HUMAN	TP53B_HUMAN	2
RL40_HUMAN	H4_HUMAN	5.6
RL40_HUMAN	BRAF_HUMAN	1.6
RL40_HUMAN	BRCA1_HUMAN	0.8
RL40_HUMAN	M3K3_HUMAN	1.6
RL40_HUMAN	TRAF3_HUMAN	1.44
RL40_HUMAN	RIPK1_HUMAN	1.44
RL40_HUMAN	NDKB_HUMAN	0.64
RL40_HUMAN	INSR_HUMAN	0.8
RL40_HUMAN	EGFR_HUMAN	2.4000000000000004
RL40_HUMAN	HS90A_HUMAN	3.5999999999999996
RL40_HUMAN	AKAP1_HUMAN	0.8
RL40_HUMAN	NUCL_HUMAN	0.8
RL40_HUMAN	KCNK3_HUMAN	1.6
RL40_HUMAN	ATX1_HUMAN	1.28
RL40_HUMAN	GCR_HUMAN	0.8
RL40_HUMAN	CD4_HUMAN	1.6
RL40_HUMAN	STX4_HUMAN	0.8
RL40_HUMAN	UBB_HUMAN	0.8
RL40_HUMAN	COF1_HUMAN	0.8
RL40_HUMAN	UBC9_HUMAN	0.64
RL40_HUMAN	CSTN1_HUMAN	0.8
RL40_HUMAN	DLL1_HUMAN	0.8
RL40_HUMAN	RL4_HUMAN	0.8
RL40_HUMAN	RS15A_HUMAN	0.8
RL40_HUMAN	PML_HUMAN	0.8
RL40_HUMAN	RS20_HUMAN	0.8
RL40_HUMAN	RL24_HUMAN	0.8
RL40_HUMAN	ALDOA_HUMAN	1.44
RL40_HUMAN	PKHB2_HUMAN	3.2
RL40_HUMAN	RS25_HUMAN	0.8
RL40_HUMAN	RS27A_HUMAN	2.4000000000000004
RL40_HUMAN	UBC_HUMAN	0.8
RL40_HUMAN	ARF1_HUMAN	0.64
RL40_HUMAN	TBA1B_HUMAN	0.8
RL40_HUMAN	DPYL1_HUMAN	1.6
RL40_HUMAN	G3P_HUMAN	1.44
RL40_HUMAN	AKT1_HUMAN	4.4799999999999995
RL40_HUMAN	TNR4_HUMAN	1.92
RL40_HUMAN	SRC8_HUMAN	0.8
RL40_HUMAN	TRAF6_HUMAN	4.64
RL40_HUMAN	CXA1_HUMAN	1.44
RL40_HUMAN	ECSIT_HUMAN	1.6
RL40_HUMAN	TAXB1_HUMAN	3.2
RL40_HUMAN	DISC1_HUMAN	0.64
RL40_HUMAN	NEMO_HUMAN	2.4000000000000004
RL40_HUMAN	KPYM_HUMAN	0.64
RL40_HUMAN	CXAR_HUMAN	0.8
RL40_HUMAN	SMAD2_HUMAN	1.6
RL40_HUMAN	LAPM5_HUMAN	1.6
RL40_HUMAN	UBE2O_HUMAN	3.2
RL40_HUMAN	DAZP2_HUMAN	7.199999999999999
RL40_HUMAN	MK06_HUMAN	1.6
RL40_HUMAN	UB2D3_HUMAN	0.8
RL40_HUMAN	UB2R2_HUMAN	0.8
RL40_HUMAN	ZNF16_HUMAN	0.8
RL40_HUMAN	SMAD7_HUMAN	0.64
RL40_HUMAN	PRKN_HUMAN	2.4000000000000004
RL40_HUMAN	SNCAP_HUMAN	0.8
RL40_HUMAN	CD5R1_HUMAN	1.6
RL40_HUMAN	S40A1_HUMAN	0.8
RL40_HUMAN	AAKB1_HUMAN	0.8
RL40_HUMAN	CE290_HUMAN	0.64
RL40_HUMAN	FTM_HUMAN	0.64
RL40_HUMAN	NPHP4_HUMAN	1.28
RL40_HUMAN	CDC6_HUMAN	1.28
RL40_HUMAN	HNRPU_HUMAN	1.6
RL40_HUMAN	MCM3_HUMAN	1.28
RL40_HUMAN	KLRG2_HUMAN	2.4000000000000004
RL40_HUMAN	SIA8C_HUMAN	2.4000000000000004
RL40_HUMAN	ZNRF4_HUMAN	2.4000000000000004
RL40_HUMAN	DKK3_HUMAN	2.4000000000000004
RL40_HUMAN	PA2GX_HUMAN	2.4000000000000004
RL40_HUMAN	EI2BB_HUMAN	2.4000000000000004
RL40_HUMAN	NAA40_HUMAN	2.4000000000000004
RL40_HUMAN	S13A2_HUMAN	1.6
RL40_HUMAN	PLPL5_HUMAN	2.4000000000000004
RL40_HUMAN	KLK3_HUMAN	2.4000000000000004
RL40_HUMAN	GCNT1_HUMAN	2.4000000000000004
RL40_HUMAN	GEMI_HUMAN	0.8
RL40_HUMAN	I23O1_HUMAN	0.8
RL40_HUMAN	GBRG2_HUMAN	0.8
RL40_HUMAN	NANP8_HUMAN	2.4000000000000004
RL40_HUMAN	NANOG_HUMAN	2.4000000000000004
RL40_HUMAN	ACD_HUMAN	0.8
RL40_HUMAN	SMO_HUMAN	0.8
RL40_HUMAN	FZD4_HUMAN	0.8
RL40_HUMAN	EPOP_HUMAN	0.64
RL40_HUMAN	CLK2_HUMAN	0.8
RL40_HUMAN	CYH1_HUMAN	1.6
RL40_HUMAN	KPCB_HUMAN	2.4000000000000004
RL40_HUMAN	VAV3_HUMAN	1.6
RL40_HUMAN	DJC11_HUMAN	0.64
RL40_HUMAN	MOT11_HUMAN	0.8
RL40_HUMAN	TNFA_HUMAN	0.8
RL40_HUMAN	PHF3_HUMAN	1.6
RL40_HUMAN	H2BFS_HUMAN	1.6
RL40_HUMAN	H2B1H_HUMAN	1.6
RL40_HUMAN	NP1L1_HUMAN	1.6
RL40_HUMAN	H2A1B_HUMAN	5.6
RL40_HUMAN	PF4V_HUMAN	1.6
RL40_HUMAN	H31T_HUMAN	1.6
RL40_HUMAN	NLRP1_HUMAN	1.6
RL40_HUMAN	H2B2E_HUMAN	1.6
RL40_HUMAN	SLU7_HUMAN	1.6
RL40_HUMAN	SMKR1_HUMAN	1.6
RL40_HUMAN	DEN2D_HUMAN	1.6
RL40_HUMAN	NEAS1_HUMAN	0.8
RL40_HUMAN	TICN2_HUMAN	1.6
RL40_HUMAN	H14_HUMAN	1.6
RL40_HUMAN	ACER1_HUMAN	1.6
RL40_HUMAN	DYH5_HUMAN	1.6
RL40_HUMAN	H2A1H_HUMAN	1.6
RL40_HUMAN	REXO1_HUMAN	1.6
RL40_HUMAN	CLC4K_HUMAN	1.6
RL40_HUMAN	RBM45_HUMAN	0.8
RL40_HUMAN	ANXA2_HUMAN	2.4000000000000004
RL40_HUMAN	PSMD4_HUMAN	1.44
RL40_HUMAN	CFTR_HUMAN	4.64
RL40_HUMAN	TAB3_HUMAN	1.44
RL40_HUMAN	TAB2_HUMAN	5.92
RL40_HUMAN	H33_HUMAN	0.64
RL40_HUMAN	H32_HUMAN	5.28
RL40_HUMAN	H31_HUMAN	1.28
RL40_HUMAN	UIMC1_HUMAN	1.6
RL40_HUMAN	E2F3_HUMAN	0.8
RL40_HUMAN	AXIN1_HUMAN	0.8
RL40_HUMAN	NOTC1_HUMAN	2.4000000000000004
RL40_HUMAN	NFIP2_HUMAN	0.8
RL40_HUMAN	FZD5_HUMAN	0.8
RL40_HUMAN	MK08_HUMAN	0.64
RL40_HUMAN	AATC_HUMAN	0.64
RL40_HUMAN	HMDH_HUMAN	0.8
RL40_HUMAN	ML12B_HUMAN	0.8
RL40_HUMAN	MYOG_HUMAN	0.8
RL40_HUMAN	NICA_HUMAN	0.8
RL40_HUMAN	CD3Z_HUMAN	0.8
RL40_HUMAN	CD3E_HUMAN	0.8
RL40_HUMAN	CPEB3_HUMAN	1.28
RL40_HUMAN	RO52_HUMAN	0.64
RL40_HUMAN	JUN_HUMAN	1.6
RL40_HUMAN	SGK1_HUMAN	0.8
RL40_HUMAN	PTEN_HUMAN	1.6
RL40_HUMAN	M3K1_HUMAN	1.6
RL40_HUMAN	KIT_HUMAN	0.8
RL40_HUMAN	FLT3_HUMAN	0.8
RL40_HUMAN	IRAK1_HUMAN	0.8
RL40_HUMAN	IRAK4_HUMAN	0.8
RL40_HUMAN	GORS1_HUMAN	0.8
RL40_HUMAN	ESR2_HUMAN	1.28
RL40_HUMAN	S1PR2_HUMAN	0.8
RL40_HUMAN	TNR1A_HUMAN	2.08
RL40_HUMAN	FADD_HUMAN	0.64
RL40_HUMAN	UBQL2_HUMAN	3.2
RL40_HUMAN	LITAF_HUMAN	3.2
RL40_HUMAN	PLS4_HUMAN	3.2
RL40_HUMAN	MTURN_HUMAN	3.2
RL40_HUMAN	DESI1_HUMAN	4.0
RL40_HUMAN	ARRD3_HUMAN	3.2
RL40_HUMAN	BAG2_HUMAN	1.6
RL40_HUMAN	SMAD6_HUMAN	0.64
RL40_HUMAN	UBS3B_HUMAN	1.6
RL40_HUMAN	ERRFI_HUMAN	0.8
RL40_HUMAN	NFKB1_HUMAN	1.6
RL40_HUMAN	CIAO1_HUMAN	1.6
RL40_HUMAN	NUP37_HUMAN	1.6
RL40_HUMAN	SMAL1_HUMAN	1.6
