UniProtID	UniProtID	score
RLA2_HUMAN	GRB2_HUMAN	0.8
RLA2_HUMAN	SRC_HUMAN	1.6
RLA2_HUMAN	EF1A1_HUMAN	0.64
RLA2_HUMAN	CTNB1_HUMAN	1.6
RLA2_HUMAN	TMIG1_HUMAN	0.8
RLA2_HUMAN	DCNL1_HUMAN	1.6
RLA2_HUMAN	NEDD8_HUMAN	1.6
RLA2_HUMAN	UBQL1_HUMAN	0.8
RLA2_HUMAN	PABP1_HUMAN	1.44
RLA2_HUMAN	NPM3_HUMAN	0.8
RLA2_HUMAN	TRI25_HUMAN	0.8
RLA2_HUMAN	DUX4_HUMAN	1.28
RLA2_HUMAN	ARRB2_HUMAN	2.4000000000000004
RLA2_HUMAN	P53_HUMAN	0.8
RLA2_HUMAN	MLP3B_HUMAN	1.6
RLA2_HUMAN	MLP3A_HUMAN	0.8
RLA2_HUMAN	RELB_HUMAN	0.8
RLA2_HUMAN	GBRAP_HUMAN	0.8
RLA2_HUMAN	GBRL1_HUMAN	0.8
RLA2_HUMAN	GBRL2_HUMAN	0.8
RLA2_HUMAN	NPM_HUMAN	0.8
RLA2_HUMAN	TERA_HUMAN	0.8
RLA2_HUMAN	RAF1_HUMAN	1.6
RLA2_HUMAN	SHAN3_HUMAN	0.8
RLA2_HUMAN	RIMS1_HUMAN	0.8
RLA2_HUMAN	RIN3_HUMAN	1.6
RLA2_HUMAN	G3BP2_HUMAN	0.8
RLA2_HUMAN	CUL7_HUMAN	0.8
RLA2_HUMAN	RL13_HUMAN	2.24
RLA2_HUMAN	BCAR1_HUMAN	2.4000000000000004
RLA2_HUMAN	HDAC6_HUMAN	1.6
RLA2_HUMAN	ECT2_HUMAN	0.8
RLA2_HUMAN	RIT1_HUMAN	0.8
RLA2_HUMAN	F16P1_HUMAN	0.8
RLA2_HUMAN	MK01_HUMAN	0.64
RLA2_HUMAN	PP1G_HUMAN	2.4000000000000004
RLA2_HUMAN	BAG1_HUMAN	0.8
RLA2_HUMAN	MBB1A_HUMAN	0.8
RLA2_HUMAN	1433Z_HUMAN	0.8
RLA2_HUMAN	RC3H1_HUMAN	0.8
RLA2_HUMAN	CHERP_HUMAN	0.8
RLA2_HUMAN	CDK7_HUMAN	0.8
RLA2_HUMAN	PRC1_HUMAN	0.8
RLA2_HUMAN	EZH2_HUMAN	0.8
RLA2_HUMAN	RS6_HUMAN	4.640000000000001
RLA2_HUMAN	BIP_HUMAN	0.8
RLA2_HUMAN	H4_HUMAN	0.8
RLA2_HUMAN	1433F_HUMAN	0.64
RLA2_HUMAN	1433T_HUMAN	0.8
RLA2_HUMAN	BRCA1_HUMAN	0.8
RLA2_HUMAN	PCBP1_HUMAN	0.8
RLA2_HUMAN	CTBP1_HUMAN	2.4000000000000004
RLA2_HUMAN	EGFR_HUMAN	1.6
RLA2_HUMAN	1433G_HUMAN	1.6
RLA2_HUMAN	CDC42_HUMAN	1.6
RLA2_HUMAN	DNJC1_HUMAN	0.8
RLA2_HUMAN	SETB1_HUMAN	0.8
RLA2_HUMAN	RL4_HUMAN	3.8400000000000007
RLA2_HUMAN	RL5_HUMAN	3.8400000000000007
RLA2_HUMAN	RS15A_HUMAN	2.24
RLA2_HUMAN	RS20_HUMAN	2.24
RLA2_HUMAN	RL24_HUMAN	1.44
