UniProtID	UniProtID	score
RN112_HUMAN	SYUA_HUMAN	2.4000000000000004
RN112_HUMAN	RNF11_HUMAN	2.4000000000000004
RN112_HUMAN	OPTN_HUMAN	2.4000000000000004
RN112_HUMAN	A4_HUMAN	2.4000000000000004
RN112_HUMAN	HD_HUMAN	16.800000000000004
RN112_HUMAN	ATX1_HUMAN	4.8
RN112_HUMAN	PERI_HUMAN	2.4000000000000004
RN112_HUMAN	ZBT16_HUMAN	2.4000000000000004
RN112_HUMAN	PARK7_HUMAN	2.4000000000000004
RN112_HUMAN	UCHL1_HUMAN	2.4000000000000004
RN112_HUMAN	A2MG_HUMAN	2.4000000000000004
RN112_HUMAN	SSR3_HUMAN	0.64
RN112_HUMAN	UB2D1_HUMAN	0.8
RN112_HUMAN	UB2D2_HUMAN	0.8
RN112_HUMAN	UB2D3_HUMAN	0.8
RN112_HUMAN	UB2E1_HUMAN	0.8
RN112_HUMAN	GRN_HUMAN	2.4000000000000004
RN112_HUMAN	MECP2_HUMAN	2.4000000000000004
RN112_HUMAN	NDUV2_HUMAN	2.4000000000000004
RN112_HUMAN	SODC_HUMAN	2.4000000000000004
RN112_HUMAN	TADBP_HUMAN	9.0
RN112_HUMAN	RN123_HUMAN	0.8
RN112_HUMAN	LRC31_HUMAN	0.8
RN112_HUMAN	DOPO_HUMAN	2.4000000000000004
RN112_HUMAN	PAHX_HUMAN	2.4000000000000004
RN112_HUMAN	PEX26_HUMAN	2.4000000000000004
RN112_HUMAN	RN112_HUMAN	1.6
