UniProtID	UniProtID	score
ROA1_HUMAN	KCRU_HUMAN	0.8
ROA1_HUMAN	TRI37_HUMAN	0.8
ROA1_HUMAN	STAU1_HUMAN	1.6
ROA1_HUMAN	SRC_HUMAN	1.6
ROA1_HUMAN	CTRO_HUMAN	0.8
ROA1_HUMAN	PCBP2_HUMAN	2.2
ROA1_HUMAN	EF1G_HUMAN	0.8
ROA1_HUMAN	FAS_HUMAN	0.8
ROA1_HUMAN	HSP72_HUMAN	0.8
ROA1_HUMAN	PPIA_HUMAN	2.4000000000000004
ROA1_HUMAN	RS8_HUMAN	0.8
ROA1_HUMAN	ARF3_HUMAN	0.8
ROA1_HUMAN	MOES_HUMAN	0.8
ROA1_HUMAN	2AAA_HUMAN	0.8
ROA1_HUMAN	KC1E_HUMAN	0.64
ROA1_HUMAN	DDX6_HUMAN	0.8
ROA1_HUMAN	NEDD4_HUMAN	1.6
ROA1_HUMAN	HS90B_HUMAN	1.6
ROA1_HUMAN	CYLD_HUMAN	0.8
ROA1_HUMAN	RS5_HUMAN	0.8
ROA1_HUMAN	ANXA5_HUMAN	0.8
ROA1_HUMAN	PHYIP_HUMAN	0.8
ROA1_HUMAN	GRID2_HUMAN	0.64
ROA1_HUMAN	IF4B_HUMAN	0.8
ROA1_HUMAN	ARRB1_HUMAN	2.24
ROA1_HUMAN	A16L1_HUMAN	1.44
ROA1_HUMAN	OGT1_HUMAN	0.8
ROA1_HUMAN	RSSA_HUMAN	1.4
ROA1_HUMAN	DDRGK_HUMAN	0.8
ROA1_HUMAN	MLP3A_HUMAN	0.8
ROA1_HUMAN	MYH9_HUMAN	0.8
ROA1_HUMAN	GELS_HUMAN	0.8
ROA1_HUMAN	TPIS_HUMAN	0.8
ROA1_HUMAN	K2C6A_HUMAN	0.8
ROA1_HUMAN	FYN_HUMAN	1.6
ROA1_HUMAN	GBRL2_HUMAN	0.8
ROA1_HUMAN	IGSF8_HUMAN	0.8
ROA1_HUMAN	PLCB1_HUMAN	0.64
ROA1_HUMAN	DSRAD_HUMAN	3.2
ROA1_HUMAN	CUL5_HUMAN	1.6
ROA1_HUMAN	MX1_HUMAN	0.8
ROA1_HUMAN	TP53B_HUMAN	0.8
ROA1_HUMAN	RS6_HUMAN	0.8
ROA1_HUMAN	FPPS_HUMAN	0.8
ROA1_HUMAN	RS3_HUMAN	1.6
ROA1_HUMAN	CDC42_HUMAN	0.8
ROA1_HUMAN	IQGA1_HUMAN	0.8
ROA1_HUMAN	XPO1_HUMAN	1.44
ROA1_HUMAN	DNJA3_HUMAN	0.8
