UniProtID	UniProtID	score
ROCK2_HUMAN	PLCG1_HUMAN	0.8
ROCK2_HUMAN	DLG4_HUMAN	1.92
ROCK2_HUMAN	RAC3_HUMAN	0.8
ROCK2_HUMAN	ADA10_HUMAN	0.64
ROCK2_HUMAN	PABP1_HUMAN	0.64
ROCK2_HUMAN	TLN1_HUMAN	0.8
ROCK2_HUMAN	OPTN_HUMAN	0.8
ROCK2_HUMAN	NPM_HUMAN	2.4000000000000004
ROCK2_HUMAN	PROF2_HUMAN	2.08
ROCK2_HUMAN	RAF1_HUMAN	1.6
ROCK2_HUMAN	TGON2_HUMAN	0.8
ROCK2_HUMAN	BRCA2_HUMAN	3
ROCK2_HUMAN	SHAN3_HUMAN	1.92
ROCK2_HUMAN	SUV92_HUMAN	0.8
ROCK2_HUMAN	MYPT1_HUMAN	1.28
ROCK2_HUMAN	JAK2_HUMAN	2
ROCK2_HUMAN	A4_HUMAN	4.8
ROCK2_HUMAN	TAU_HUMAN	1.44
ROCK2_HUMAN	MK01_HUMAN	0.64
ROCK2_HUMAN	HSP7C_HUMAN	2.24
ROCK2_HUMAN	RYBP_HUMAN	0.8
ROCK2_HUMAN	SNW1_HUMAN	1.6
ROCK2_HUMAN	RS6_HUMAN	0.64
ROCK2_HUMAN	LMNA_HUMAN	1.6
ROCK2_HUMAN	VIME_HUMAN	0.8
ROCK2_HUMAN	FGFR1_HUMAN	1.6
ROCK2_HUMAN	RB11A_HUMAN	1.6
ROCK2_HUMAN	RASH_HUMAN	0.8
ROCK2_HUMAN	PCBP1_HUMAN	0.64
ROCK2_HUMAN	EGFR_HUMAN	2.4000000000000004
ROCK2_HUMAN	NUCL_HUMAN	1.6400000000000001
ROCK2_HUMAN	AHR_HUMAN	0.8
ROCK2_HUMAN	NEB2_HUMAN	0.64
ROCK2_HUMAN	SC23A_HUMAN	0.8
ROCK2_HUMAN	CDC42_HUMAN	0.64
ROCK2_HUMAN	RAC1_HUMAN	1.44
ROCK2_HUMAN	KCC2A_HUMAN	0.64
ROCK2_HUMAN	RGAP1_HUMAN	0.8
ROCK2_HUMAN	FLOT2_HUMAN	1
ROCK2_HUMAN	ELAV1_HUMAN	0.8
ROCK2_HUMAN	PERI_HUMAN	0.8
ROCK2_HUMAN	RHOA_HUMAN	2.44
ROCK2_HUMAN	DHX9_HUMAN	0.64
ROCK2_HUMAN	CXA1_HUMAN	0.8
ROCK2_HUMAN	PTPRF_HUMAN	1.8
ROCK2_HUMAN	ROCK1_HUMAN	4.4799999999999995
ROCK2_HUMAN	RLA0_HUMAN	0.64
ROCK2_HUMAN	MUC18_HUMAN	0.8
ROCK2_HUMAN	ACTB_HUMAN	1.44
ROCK2_HUMAN	SMAD4_HUMAN	0.8
ROCK2_HUMAN	RL28_HUMAN	0.64
ROCK2_HUMAN	STAU1_HUMAN	1.44
ROCK2_HUMAN	KCNA3_HUMAN	0.64
ROCK2_HUMAN	ARF6_HUMAN	0.8
ROCK2_HUMAN	STAT3_HUMAN	2.8
ROCK2_HUMAN	IQGA1_HUMAN	0.64
ROCK2_HUMAN	PDPK1_HUMAN	3.2
ROCK2_HUMAN	IKBA_HUMAN	1
ROCK2_HUMAN	RASN_HUMAN	1.6
ROCK2_HUMAN	KS6A3_HUMAN	3.2
ROCK2_HUMAN	CDC73_HUMAN	0.64
ROCK2_HUMAN	MBP_HUMAN	0.64
ROCK2_HUMAN	CYLD_HUMAN	0.8
ROCK2_HUMAN	RASK_HUMAN	2.4000000000000004
ROCK2_HUMAN	TDG_HUMAN	0.8
ROCK2_HUMAN	PRKN_HUMAN	0.8
ROCK2_HUMAN	NDC80_HUMAN	0.8
ROCK2_HUMAN	CDC5L_HUMAN	1.6
ROCK2_HUMAN	DPYL2_HUMAN	0.64
ROCK2_HUMAN	NCKP1_HUMAN	0.8
ROCK2_HUMAN	CYFP1_HUMAN	0.8
ROCK2_HUMAN	GRM8_HUMAN	1.44
ROCK2_HUMAN	KSR2_HUMAN	0.8
ROCK2_HUMAN	FBX42_HUMAN	2.4000000000000004
ROCK2_HUMAN	DJB11_HUMAN	4.0
ROCK2_HUMAN	AMRP_HUMAN	2.4000000000000004
ROCK2_HUMAN	LRRK2_HUMAN	1.6
ROCK2_HUMAN	H2B2E_HUMAN	1.6
ROCK2_HUMAN	HNRC2_HUMAN	1.6
ROCK2_HUMAN	CSF1_HUMAN	0.64
ROCK2_HUMAN	MTR1B_HUMAN	1.28
ROCK2_HUMAN	CLCB_HUMAN	1.6
ROCK2_HUMAN	DEF1_HUMAN	0.8
ROCK2_HUMAN	AKP13_HUMAN	1.6
ROCK2_HUMAN	PHF5A_HUMAN	1.6
ROCK2_HUMAN	SGK3_HUMAN	1.6
ROCK2_HUMAN	STK16_HUMAN	1.6
ROCK2_HUMAN	IKKE_HUMAN	1.6
ROCK2_HUMAN	CTRO_HUMAN	0.8
ROCK2_HUMAN	EP300_HUMAN	1.8
ROCK2_HUMAN	JAK3_HUMAN	1
ROCK2_HUMAN	ANS1B_HUMAN	0.64
ROCK2_HUMAN	BMI1_HUMAN	0.8
ROCK2_HUMAN	PP14B_HUMAN	1.6400000000000001
ROCK2_HUMAN	ML12A_HUMAN	1.28
ROCK2_HUMAN	LAMP1_HUMAN	2.4000000000000004
ROCK2_HUMAN	CFTR_HUMAN	4.8
ROCK2_HUMAN	LZTL1_HUMAN	1.6
ROCK2_HUMAN	MAGC1_HUMAN	1
ROCK2_HUMAN	NTRK1_HUMAN	0.8
ROCK2_HUMAN	CDKN3_HUMAN	3
ROCK2_HUMAN	RPAC1_HUMAN	2.4000000000000004
ROCK2_HUMAN	ADDB_HUMAN	1.6
ROCK2_HUMAN	MLRV_HUMAN	2
ROCK2_HUMAN	TRIP4_HUMAN	0.8
ROCK2_HUMAN	U5S1_HUMAN	0.8
ROCK2_HUMAN	KCNJ2_HUMAN	0.8
ROCK2_HUMAN	VIR_HUMAN	1.6
ROCK2_HUMAN	APEX1_HUMAN	0.8
ROCK2_HUMAN	MGDP1_HUMAN	0.8
ROCK2_HUMAN	MRP6_HUMAN	0.8
ROCK2_HUMAN	PKHA4_HUMAN	0.8
ROCK2_HUMAN	RHBT1_HUMAN	1
ROCK2_HUMAN	PFD1_HUMAN	0.8
ROCK2_HUMAN	DUS16_HUMAN	0.8
ROCK2_HUMAN	ZN641_HUMAN	0.8
ROCK2_HUMAN	LURA1_HUMAN	0.8
ROCK2_HUMAN	S39A7_HUMAN	0.8
ROCK2_HUMAN	HTRA3_HUMAN	0.8
ROCK2_HUMAN	KPB2_HUMAN	0.8
ROCK2_HUMAN	TYW3_HUMAN	0.8
ROCK2_HUMAN	LEG1_HUMAN	0.8
ROCK2_HUMAN	ANR49_HUMAN	0.8
ROCK2_HUMAN	DNJC8_HUMAN	0.8
ROCK2_HUMAN	SPRTN_HUMAN	0.8
ROCK2_HUMAN	MED17_HUMAN	0.8
ROCK2_HUMAN	MILR1_HUMAN	0.8
ROCK2_HUMAN	TBCD9_HUMAN	0.8
ROCK2_HUMAN	FBX2_HUMAN	0.8
ROCK2_HUMAN	SPP2B_HUMAN	0.8
ROCK2_HUMAN	ZN444_HUMAN	0.8
ROCK2_HUMAN	RL10_HUMAN	0.8
ROCK2_HUMAN	BBS1_HUMAN	0.8
ROCK2_HUMAN	ZBTB2_HUMAN	0.8
ROCK2_HUMAN	EGFL7_HUMAN	0.8
ROCK2_HUMAN	RHOJ_HUMAN	0.8
ROCK2_HUMAN	RHOQ_HUMAN	0.8
ROCK2_HUMAN	RHOG_HUMAN	0.8
ROCK2_HUMAN	RHOB_HUMAN	1.6
ROCK2_HUMAN	RHOC_HUMAN	0.8
ROCK2_HUMAN	RHOD_HUMAN	0.8
ROCK2_HUMAN	RHOH_HUMAN	0.8
ROCK2_HUMAN	RHOF_HUMAN	0.8
ROCK2_HUMAN	CUL3_HUMAN	0.8
ROCK2_HUMAN	ZRAN1_HUMAN	0.8
ROCK2_HUMAN	TRI67_HUMAN	0.8
ROCK2_HUMAN	TBG1_HUMAN	0.8
ROCK2_HUMAN	WASC5_HUMAN	1.44
ROCK2_HUMAN	RABX5_HUMAN	0.8
ROCK2_HUMAN	WAC2A_HUMAN	1.44
ROCK2_HUMAN	GEPH_HUMAN	1.44
ROCK2_HUMAN	MTA2_HUMAN	0.8
ROCK2_HUMAN	NH2L1_HUMAN	0.8
ROCK2_HUMAN	ZW10_HUMAN	0.8
ROCK2_HUMAN	SYDM_HUMAN	0.64
ROCK2_HUMAN	IF4E_HUMAN	0.64
ROCK2_HUMAN	LS14A_HUMAN	0.64
ROCK2_HUMAN	DC1I1_HUMAN	0.64
ROCK2_HUMAN	SYN1_HUMAN	0.64
ROCK2_HUMAN	SARNP_HUMAN	0.64
ROCK2_HUMAN	WAC2C_HUMAN	0.64
ROCK2_HUMAN	HNRPU_HUMAN	0.64
ROCK2_HUMAN	CATH_HUMAN	0.64
ROCK2_HUMAN	DDX6_HUMAN	0.64
ROCK2_HUMAN	AINX_HUMAN	0.64
ROCK2_HUMAN	RL6_HUMAN	0.64
ROCK2_HUMAN	RS4X_HUMAN	0.64
ROCK2_HUMAN	DFFA_HUMAN	0.8
ROCK2_HUMAN	SC24A_HUMAN	0.8
ROCK2_HUMAN	CADH1_HUMAN	0.8
ROCK2_HUMAN	ADDA_HUMAN	0.8
ROCK2_HUMAN	PLCB3_HUMAN	0.8
ROCK2_HUMAN	NSUN2_HUMAN	0.8
ROCK2_HUMAN	DNJC3_HUMAN	0.8
ROCK2_HUMAN	EFL1_HUMAN	0.8
ROCK2_HUMAN	TXND5_HUMAN	0.8
ROCK2_HUMAN	STRBP_HUMAN	0.8
ROCK2_HUMAN	COR1C_HUMAN	0.8
ROCK2_HUMAN	DCA15_HUMAN	0.8
ROCK2_HUMAN	LAMP2_HUMAN	0.8
ROCK2_HUMAN	LAMP3_HUMAN	0.8
ROCK2_HUMAN	LTOR1_HUMAN	0.8
ROCK2_HUMAN	MARE3_HUMAN	0.8
ROCK2_HUMAN	RAB2A_HUMAN	0.8
ROCK2_HUMAN	IFM3_HUMAN	0.8
ROCK2_HUMAN	STING_HUMAN	0.64
ROCK2_HUMAN	RAB18_HUMAN	0.64
ROCK2_HUMAN	RFA2_HUMAN	0.8
ROCK2_HUMAN	RFA3_HUMAN	0.8
ROCK2_HUMAN	ROCK2_HUMAN	16
