UniProtID	UniProtID	score
RPGF4_HUMAN	KALRN_HUMAN	0.64
RPGF4_HUMAN	SRGP2_HUMAN	0.64
RPGF4_HUMAN	ADA10_HUMAN	0.64
RPGF4_HUMAN	DOCK1_HUMAN	0.64
RPGF4_HUMAN	SHAN3_HUMAN	2.72
RPGF4_HUMAN	RIMS1_HUMAN	2.4000000000000004
RPGF4_HUMAN	DLGP1_HUMAN	1.92
RPGF4_HUMAN	SOS1_HUMAN	0.64
RPGF4_HUMAN	RIMS2_HUMAN	2.8
RPGF4_HUMAN	TNIK_HUMAN	1.28
RPGF4_HUMAN	RPGF2_HUMAN	0.64
RPGF4_HUMAN	PCLO_HUMAN	0.8
RPGF4_HUMAN	RASH_HUMAN	2.4000000000000004
RPGF4_HUMAN	HD_HUMAN	2.4000000000000004
RPGF4_HUMAN	ATX1_HUMAN	1.6
RPGF4_HUMAN	NEB2_HUMAN	0.64
RPGF4_HUMAN	SWP70_HUMAN	4.0
RPGF4_HUMAN	NLGN1_HUMAN	2.4000000000000004
RPGF4_HUMAN	TRAF2_HUMAN	1.6
RPGF4_HUMAN	SRCN1_HUMAN	0.64
RPGF4_HUMAN	NLGN2_HUMAN	2.4000000000000004
RPGF4_HUMAN	KLH17_HUMAN	0.64
RPGF4_HUMAN	MTA70_HUMAN	1.6
RPGF4_HUMAN	MAGT1_HUMAN	1.6
RPGF4_HUMAN	AGAP2_HUMAN	1.28
RPGF4_HUMAN	HCN1_HUMAN	0.8
RPGF4_HUMAN	MERB1_HUMAN	4.8
RPGF4_HUMAN	ZC11A_HUMAN	1.6
RPGF4_HUMAN	DEFI6_HUMAN	3.2
RPGF4_HUMAN	LA_HUMAN	2.4000000000000004
RPGF4_HUMAN	UBE2A_HUMAN	2.4000000000000004
RPGF4_HUMAN	LRRK2_HUMAN	1.6
RPGF4_HUMAN	DSCAM_HUMAN	1.6
RPGF4_HUMAN	S22A7_HUMAN	0.8
RPGF4_HUMAN	RIMB1_HUMAN	0.8
RPGF4_HUMAN	ABCC8_HUMAN	1
RPGF4_HUMAN	FXL13_HUMAN	0.8
RPGF4_HUMAN	PSDE_HUMAN	0.8
RPGF4_HUMAN	RIGI_HUMAN	0.8
RPGF4_HUMAN	RADX_HUMAN	0.8
RPGF4_HUMAN	PRKN_HUMAN	0.8
RPGF4_HUMAN	RAP2A_HUMAN	1
RPGF4_HUMAN	RAP1A_HUMAN	1
RPGF4_HUMAN	RHG26_HUMAN	0.64
RPGF4_HUMAN	CHIO_HUMAN	0.64
RPGF4_HUMAN	KLHL7_HUMAN	0.64
RPGF4_HUMAN	LPXN_HUMAN	0.64
RPGF4_HUMAN	PDLI5_HUMAN	0.64
RPGF4_HUMAN	PRIC2_HUMAN	0.64
RPGF4_HUMAN	RGF1B_HUMAN	0.64
RPGF4_HUMAN	SRGP1_HUMAN	0.64
RPGF4_HUMAN	STRP2_HUMAN	0.64
RPGF4_HUMAN	NLGN3_HUMAN	2.4000000000000004
RPGF4_HUMAN	RAP1B_HUMAN	7.999999999999999
