UniProtID	UniProtID	score
RPP29_HUMAN	RPP29_HUMAN	3.2
RPP29_HUMAN	S10A4_HUMAN	1.6
RPP29_HUMAN	PP2AA_HUMAN	1.28
RPP29_HUMAN	RL10_HUMAN	1.6
RPP29_HUMAN	NPM_HUMAN	1.6
RPP29_HUMAN	HCD2_HUMAN	0.6
RPP29_HUMAN	DICER_HUMAN	0.6
RPP29_HUMAN	NEB2_HUMAN	1.6
RPP29_HUMAN	RL18A_HUMAN	1.6
RPP29_HUMAN	DDRGK_HUMAN	0.8
S10A4_HUMAN	S10A4_HUMAN	198.4
PP2AA_HUMAN	PP2AA_HUMAN	8.0
PP2AA_HUMAN	NPM_HUMAN	0.8
PP2AA_HUMAN	NEB2_HUMAN	1.24
PP2AA_HUMAN	RL18A_HUMAN	0.6
RL10_HUMAN	RL10_HUMAN	3.6
RL10_HUMAN	NPM_HUMAN	4.0
RL10_HUMAN	RL18A_HUMAN	3.0400000000000005
RL10_HUMAN	DDRGK_HUMAN	0.8
NPM_HUMAN	NPM_HUMAN	155.2
NPM_HUMAN	DICER_HUMAN	0.8
NPM_HUMAN	NEB2_HUMAN	0.64
NPM_HUMAN	RL18A_HUMAN	1.6
NPM_HUMAN	DDRGK_HUMAN	1.6
HCD2_HUMAN	HCD2_HUMAN	86.80000000000001
HCD2_HUMAN	DICER_HUMAN	0.6
HCD2_HUMAN	DDRGK_HUMAN	0.8
DICER_HUMAN	DICER_HUMAN	18.4
NEB2_HUMAN	NEB2_HUMAN	3.8400000000000003
NEB2_HUMAN	RL18A_HUMAN	0.64
RL18A_HUMAN	DDRGK_HUMAN	0.8
DDRGK_HUMAN	DDRGK_HUMAN	1.6
