UniProtID	UniProtID	score
RS16_HUMAN	GRB2_HUMAN	0.8
RS16_HUMAN	ESR1_HUMAN	2.4000000000000004
RS16_HUMAN	IF4B_HUMAN	1.6
RS16_HUMAN	EF1A1_HUMAN	1.44
RS16_HUMAN	SYUA_HUMAN	0.8
RS16_HUMAN	CTNB1_HUMAN	0.8
RS16_HUMAN	NEDD8_HUMAN	2.4000000000000004
RS16_HUMAN	CBLB_HUMAN	1.28
RS16_HUMAN	HNRPM_HUMAN	0.8
RS16_HUMAN	PABP1_HUMAN	1.6
RS16_HUMAN	LAR4B_HUMAN	0.8
RS16_HUMAN	TRI25_HUMAN	0.8
RS16_HUMAN	YAP1_HUMAN	0.8
RS16_HUMAN	DUX4_HUMAN	1.6
RS16_HUMAN	PIAS1_HUMAN	0.8
RS16_HUMAN	P53_HUMAN	0.8
RS16_HUMAN	MLP3B_HUMAN	0.8
RS16_HUMAN	MLP3A_HUMAN	0.8
RS16_HUMAN	SQSTM_HUMAN	0.8
RS16_HUMAN	HNRL1_HUMAN	0.8
RS16_HUMAN	GBRAP_HUMAN	0.8
RS16_HUMAN	GBRL1_HUMAN	0.8
RS16_HUMAN	GBRL2_HUMAN	0.8
RS16_HUMAN	NPM_HUMAN	1.6
RS16_HUMAN	SFPQ_HUMAN	0.8
RS16_HUMAN	ATX3_HUMAN	0.8
RS16_HUMAN	HNRPR_HUMAN	0.8
RS16_HUMAN	CKAP5_HUMAN	1.6
RS16_HUMAN	RIN3_HUMAN	0.8
RS16_HUMAN	G3BP2_HUMAN	0.8
RS16_HUMAN	BRD4_HUMAN	1.6
RS16_HUMAN	RL13_HUMAN	3.0400000000000005
RS16_HUMAN	EIF3D_HUMAN	2.8
RS16_HUMAN	HDAC6_HUMAN	0.8
RS16_HUMAN	ECT2_HUMAN	0.8
RS16_HUMAN	SYDC_HUMAN	0.8
RS16_HUMAN	RIT1_HUMAN	0.8
RS16_HUMAN	F16P1_HUMAN	0.8
RS16_HUMAN	A4_HUMAN	1.6
RS16_HUMAN	DDX3X_HUMAN	1.44
RS16_HUMAN	1433S_HUMAN	0.8
RS16_HUMAN	MK01_HUMAN	0.64
RS16_HUMAN	HSP7C_HUMAN	1.44
RS16_HUMAN	VAPA_HUMAN	0.8
RS16_HUMAN	HS90B_HUMAN	0.8
RS16_HUMAN	MBB1A_HUMAN	0.8
RS16_HUMAN	1433Z_HUMAN	0.64
RS16_HUMAN	RC3H1_HUMAN	1.6
RS16_HUMAN	HDAC2_HUMAN	0.8
RS16_HUMAN	CHERP_HUMAN	0.8
RS16_HUMAN	IF2A_HUMAN	0.8
RS16_HUMAN	ATX2_HUMAN	0.8
RS16_HUMAN	CDK7_HUMAN	0.8
RS16_HUMAN	PRC1_HUMAN	0.8
RS16_HUMAN	RARA_HUMAN	0.64
RS16_HUMAN	SF3B2_HUMAN	0.8
RS16_HUMAN	ZFR_HUMAN	1.6
RS16_HUMAN	YTHD1_HUMAN	1.6
RS16_HUMAN	EZH2_HUMAN	0.8
RS16_HUMAN	ZN622_HUMAN	0.8
RS16_HUMAN	NFRKB_HUMAN	0.8
RS16_HUMAN	RS6_HUMAN	4.64
RS16_HUMAN	BIP_HUMAN	1.6
RS16_HUMAN	S61A1_HUMAN	0.8
RS16_HUMAN	BRCA1_HUMAN	0.8
RS16_HUMAN	PCBP1_HUMAN	0.8
RS16_HUMAN	M3K3_HUMAN	0.8
RS16_HUMAN	IGF1R_HUMAN	0.8
RS16_HUMAN	PSN1_HUMAN	0.64
RS16_HUMAN	PP1A_HUMAN	0.8
RS16_HUMAN	KSR1_HUMAN	0.64
RS16_HUMAN	YBOX1_HUMAN	0.8
RS16_HUMAN	TRADD_HUMAN	0.8
RS16_HUMAN	CDN1A_HUMAN	0.8
RS16_HUMAN	NDKB_HUMAN	1.44
RS16_HUMAN	DAXX_HUMAN	1.6
RS16_HUMAN	EGFR_HUMAN	0.8
RS16_HUMAN	HS90A_HUMAN	0.8
RS16_HUMAN	SYQ_HUMAN	0.8
RS16_HUMAN	SYMC_HUMAN	0.8
RS16_HUMAN	EIF3G_HUMAN	3.6
RS16_HUMAN	NUCL_HUMAN	2.4000000000000004
RS16_HUMAN	TERF1_HUMAN	0.8
RS16_HUMAN	LIS1_HUMAN	0.8
RS16_HUMAN	NEB2_HUMAN	0.64
RS16_HUMAN	RRP12_HUMAN	0.8
RS16_HUMAN	DHX37_HUMAN	0.8
RS16_HUMAN	RL4_HUMAN	3.8400000000000003
RS16_HUMAN	CSK22_HUMAN	0.8
RS16_HUMAN	CSK21_HUMAN	0.8
RS16_HUMAN	RL5_HUMAN	3.8400000000000003
RS16_HUMAN	PRC2A_HUMAN	0.8
RS16_HUMAN	EIF3E_HUMAN	2.08
RS16_HUMAN	RS15A_HUMAN	3.8400000000000003
RS16_HUMAN	ANDR_HUMAN	0.8
RS16_HUMAN	PARN_HUMAN	0.8
RS16_HUMAN	RENT1_HUMAN	0.8
RS16_HUMAN	ELAV1_HUMAN	0.8
RS16_HUMAN	EXOS4_HUMAN	0.8
RS16_HUMAN	EXOS5_HUMAN	2.4000000000000004
RS16_HUMAN	EXOSX_HUMAN	0.8
RS16_HUMAN	RS20_HUMAN	6.84
RS16_HUMAN	SKI2_HUMAN	0.8
RS16_HUMAN	RL24_HUMAN	3.0400000000000005
RS16_HUMAN	XRN1_HUMAN	1.6
RS16_HUMAN	PABP4_HUMAN	0.8
RS16_HUMAN	RS15_HUMAN	6.84
RS16_HUMAN	RS25_HUMAN	6.84
RS16_HUMAN	RS27A_HUMAN	4.4399999999999995
RS16_HUMAN	ARF1_HUMAN	0.8
RS16_HUMAN	AHSA1_HUMAN	0.8
RS16_HUMAN	EF1G_HUMAN	1.44
RS16_HUMAN	UT14A_HUMAN	0.8
RS16_HUMAN	CHD3_HUMAN	1.6
RS16_HUMAN	DHX9_HUMAN	0.8
RS16_HUMAN	CXA1_HUMAN	1.28
RS16_HUMAN	CSN5_HUMAN	1.6
RS16_HUMAN	TAXB1_HUMAN	0.8
RS16_HUMAN	NEMO_HUMAN	0.8
RS16_HUMAN	VHL_HUMAN	0.8
RS16_HUMAN	RS14_HUMAN	4.64
RS16_HUMAN	CUL5_HUMAN	1.6
RS16_HUMAN	DHX30_HUMAN	0.8
RS16_HUMAN	RLA0_HUMAN	3.0400000000000005
RS16_HUMAN	RRBP1_HUMAN	2.08
