UniProtID	UniProtID	score
RS27A_HUMAN	EF1G_HUMAN	0.6
RS27A_HUMAN	RAC1_HUMAN	1.6
RS27A_HUMAN	KC1E_HUMAN	0.6
RS27A_HUMAN	RS5_HUMAN	2.04
RS27A_HUMAN	CYLD_HUMAN	1.4
RS27A_HUMAN	NEDD4_HUMAN	0.6
RS27A_HUMAN	RASN_HUMAN	0.6
RS27A_HUMAN	MFN2_HUMAN	0.6
RS27A_HUMAN	LRSM1_HUMAN	0.6
RS27A_HUMAN	SGIP1_HUMAN	0.6
RS27A_HUMAN	RL37A_HUMAN	1.4
RS27A_HUMAN	RL35_HUMAN	2.04
RS27A_HUMAN	DECR2_HUMAN	0.6
RS27A_HUMAN	UBC12_HUMAN	1.4
RS27A_HUMAN	SH3G3_HUMAN	0.6
RS27A_HUMAN	GBRL2_HUMAN	0.8
RS27A_HUMAN	EGLN1_HUMAN	0.6
RS27A_HUMAN	UBP14_HUMAN	0.8
RS27A_HUMAN	RL23A_HUMAN	2.04
RS27A_HUMAN	RS26_HUMAN	2.04
RS27A_HUMAN	RAF1_HUMAN	0.6
RS27A_HUMAN	GSK3B_HUMAN	0.6
RS27A_HUMAN	RS12_HUMAN	3.4
RS27A_HUMAN	XRCC1_HUMAN	0.6
RS27A_HUMAN	ERBB2_HUMAN	0.6
RS27A_HUMAN	SSRA_HUMAN	0.6
RS27A_HUMAN	RS19_HUMAN	2.64
RS27A_HUMAN	SERA_HUMAN	0.8
RS27A_HUMAN	IRS1_HUMAN	0.8
RS27A_HUMAN	RL27_HUMAN	0.6
RS27A_HUMAN	THIK_HUMAN	0.6
RS27A_HUMAN	RL7_HUMAN	1.24
RS27A_HUMAN	EF1A1_HUMAN	1.24
RS27A_HUMAN	RN19A_HUMAN	0.6
RS27A_HUMAN	RS21_HUMAN	1.24
RS27A_HUMAN	RL15_HUMAN	2.04
RS27A_HUMAN	RS9_HUMAN	1.24
RS27A_HUMAN	GRB2_HUMAN	1.6
RS27A_HUMAN	PSMD2_HUMAN	0.6
RS27A_HUMAN	CUL3_HUMAN	0.6
RS27A_HUMAN	1433B_HUMAN	0.64
RS27A_HUMAN	PSD11_HUMAN	0.6
RS27A_HUMAN	AKT1_HUMAN	4.4799999999999995
RS27A_HUMAN	UBL4A_HUMAN	0.8
RS27A_HUMAN	FBX31_HUMAN	0.6
RS27A_HUMAN	EPN2_HUMAN	0.6
RS27A_HUMAN	RL18_HUMAN	1.4
RS27A_HUMAN	RLA2_HUMAN	1.24
RS27A_HUMAN	CLCB_HUMAN	0.6
RS27A_HUMAN	EIF3E_HUMAN	0.6
RS27A_HUMAN	TNR16_HUMAN	0.6
RS27A_HUMAN	RL28_HUMAN	0.6
RS27A_HUMAN	TF65_HUMAN	2.2
RS27A_HUMAN	SH3G2_HUMAN	0.6
RS27A_HUMAN	CHIP_HUMAN	0.6
RS27A_HUMAN	NEUL1_HUMAN	0.6
RS27A_HUMAN	MP2K1_HUMAN	2.4
RS27A_HUMAN	CATA_HUMAN	0.6
RS27A_HUMAN	CTNB1_HUMAN	1.4
RS27A_HUMAN	AP2A2_HUMAN	0.6
RS27A_HUMAN	ASB7_HUMAN	0.6
RS27A_HUMAN	RS27A_HUMAN	58.2
RS27A_HUMAN	RL27A_HUMAN	0.6
