UniProtID	UniProtID	score
RSSA_HUMAN	GRB2_HUMAN	0.64
RSSA_HUMAN	PLCG1_HUMAN	0.64
RSSA_HUMAN	DLG4_HUMAN	0.64
RSSA_HUMAN	ESR1_HUMAN	4.0
RSSA_HUMAN	EF1A1_HUMAN	2.24
RSSA_HUMAN	CTNB1_HUMAN	1.6
RSSA_HUMAN	SPTA1_HUMAN	0.8
RSSA_HUMAN	HNRPM_HUMAN	0.8
RSSA_HUMAN	SHIP1_HUMAN	0.64
RSSA_HUMAN	PABP1_HUMAN	1.44
RSSA_HUMAN	TRI25_HUMAN	1.6
RSSA_HUMAN	NEDD4_HUMAN	1
RSSA_HUMAN	P63_HUMAN	1.6
RSSA_HUMAN	YAP1_HUMAN	0.8
RSSA_HUMAN	DUX4_HUMAN	0.8
RSSA_HUMAN	PIAS1_HUMAN	0.8
RSSA_HUMAN	CLH1_HUMAN	0.8
RSSA_HUMAN	SCC4_HUMAN	0.8
RSSA_HUMAN	PRUN2_HUMAN	1.44
RSSA_HUMAN	HTSF1_HUMAN	0.64
RSSA_HUMAN	SP1_HUMAN	1.6
RSSA_HUMAN	NPM_HUMAN	0.8
RSSA_HUMAN	ATX3_HUMAN	0.8
RSSA_HUMAN	RAF1_HUMAN	6.3999999999999995
RSSA_HUMAN	SOS2_HUMAN	0.64
RSSA_HUMAN	KI67_HUMAN	1.6
RSSA_HUMAN	RIN3_HUMAN	0.8
RSSA_HUMAN	ASAP1_HUMAN	0.64
RSSA_HUMAN	G3BP2_HUMAN	0.8
RSSA_HUMAN	CUL7_HUMAN	0.8
RSSA_HUMAN	BRD4_HUMAN	0.8
RSSA_HUMAN	SOS1_HUMAN	0.64
RSSA_HUMAN	RL13_HUMAN	1.44
RSSA_HUMAN	EIF3D_HUMAN	2
RSSA_HUMAN	HDAC6_HUMAN	1.6
RSSA_HUMAN	M4K3_HUMAN	0.8
RSSA_HUMAN	ECT2_HUMAN	0.8
RSSA_HUMAN	PLCG2_HUMAN	0.64
RSSA_HUMAN	KCNQ1_HUMAN	0.64
RSSA_HUMAN	RIT1_HUMAN	0.8
RSSA_HUMAN	DDX3X_HUMAN	1.44
RSSA_HUMAN	1433S_HUMAN	0.8
RSSA_HUMAN	MK03_HUMAN	0.64
RSSA_HUMAN	PP1G_HUMAN	0.8
RSSA_HUMAN	HSP7C_HUMAN	0.8
RSSA_HUMAN	DYL1_HUMAN	0.8
RSSA_HUMAN	HS90B_HUMAN	2.24
RSSA_HUMAN	ABCD1_HUMAN	1.6
RSSA_HUMAN	RC3H1_HUMAN	0.8
RSSA_HUMAN	CHERP_HUMAN	1.6
RSSA_HUMAN	PTBP1_HUMAN	0.8
RSSA_HUMAN	CDK7_HUMAN	0.8
RSSA_HUMAN	PRC1_HUMAN	0.8
RSSA_HUMAN	RARA_HUMAN	0.64
RSSA_HUMAN	SF3B2_HUMAN	1.6
RSSA_HUMAN	FGD5_HUMAN	0.8
RSSA_HUMAN	YTHD1_HUMAN	0.8
RSSA_HUMAN	EZH2_HUMAN	0.8
RSSA_HUMAN	HNRPK_HUMAN	0.64
RSSA_HUMAN	CPSF7_HUMAN	0.8
RSSA_HUMAN	IF4G2_HUMAN	0.8
RSSA_HUMAN	RS6_HUMAN	3.8400000000000007
RSSA_HUMAN	HSPB1_HUMAN	4.0
RSSA_HUMAN	BIP_HUMAN	1.6
RSSA_HUMAN	THMS1_HUMAN	0.64
RSSA_HUMAN	GAB2_HUMAN	3.04
RSSA_HUMAN	BRCA1_HUMAN	1.8
RSSA_HUMAN	PP1A_HUMAN	0.8
RSSA_HUMAN	YBOX1_HUMAN	2.4000000000000004
RSSA_HUMAN	RIPK1_HUMAN	1.6
RSSA_HUMAN	CALM3_HUMAN	2.4000000000000004
RSSA_HUMAN	EGFR_HUMAN	2.4000000000000004
RSSA_HUMAN	HS90A_HUMAN	0.8
RSSA_HUMAN	TSC2_HUMAN	1.6
RSSA_HUMAN	LIS1_HUMAN	0.8
RSSA_HUMAN	GAN_HUMAN	0.8
RSSA_HUMAN	ATX1_HUMAN	0.64
RSSA_HUMAN	CD4_HUMAN	0.8
RSSA_HUMAN	SH22A_HUMAN	0.64
RSSA_HUMAN	PAR6G_HUMAN	0.64
RSSA_HUMAN	NRX1A_HUMAN	0.64
RSSA_HUMAN	RRP12_HUMAN	0.8
RSSA_HUMAN	RL4_HUMAN	3.0400000000000005
RSSA_HUMAN	DCTN3_HUMAN	0.64
RSSA_HUMAN	CSK22_HUMAN	0.8
RSSA_HUMAN	CSK21_HUMAN	0.8
RSSA_HUMAN	RL5_HUMAN	3.0400000000000005
RSSA_HUMAN	EIF3E_HUMAN	3.44
RSSA_HUMAN	RS15A_HUMAN	3.04
RSSA_HUMAN	RS20_HUMAN	3.8400000000000007
RSSA_HUMAN	RL24_HUMAN	2.24
RSSA_HUMAN	ROA1_HUMAN	0.8
RSSA_HUMAN	RS15_HUMAN	3.8400000000000007
RSSA_HUMAN	RS25_HUMAN	3.04
RSSA_HUMAN	RS27A_HUMAN	4.64
RSSA_HUMAN	UBC_HUMAN	0.64
RSSA_HUMAN	KCMA1_HUMAN	0.64
RSSA_HUMAN	XRCC6_HUMAN	0.8
RSSA_HUMAN	CHD3_HUMAN	0.8
RSSA_HUMAN	PARP1_HUMAN	0.8
RSSA_HUMAN	DHX9_HUMAN	0.8
RSSA_HUMAN	TRIB3_HUMAN	0.8
RSSA_HUMAN	SRC8_HUMAN	0.8
RSSA_HUMAN	CXA1_HUMAN	0.64
RSSA_HUMAN	CSN5_HUMAN	0.8
RSSA_HUMAN	TAXB1_HUMAN	0.8
RSSA_HUMAN	DISC1_HUMAN	0.8
RSSA_HUMAN	VHL_HUMAN	0.8
RSSA_HUMAN	RL40_HUMAN	0.64
RSSA_HUMAN	2AAA_HUMAN	0.8
RSSA_HUMAN	RS14_HUMAN	5.04
RSSA_HUMAN	DHX30_HUMAN	0.8
RSSA_HUMAN	RLA0_HUMAN	2.24
RSSA_HUMAN	RRBP1_HUMAN	0.64
RSSA_HUMAN	SMUF2_HUMAN	0.8
RSSA_HUMAN	ACTG_HUMAN	0.64
RSSA_HUMAN	RS3A_HUMAN	5.840000000000001
RSSA_HUMAN	ACTB_HUMAN	0.8
RSSA_HUMAN	RL28_HUMAN	0.64
RSSA_HUMAN	PSMD1_HUMAN	0.8
RSSA_HUMAN	EIF3C_HUMAN	2
RSSA_HUMAN	NOM1_HUMAN	0.8
RSSA_HUMAN	PP1RA_HUMAN	0.8
RSSA_HUMAN	STAU1_HUMAN	0.8
RSSA_HUMAN	MPP10_HUMAN	0.8
RSSA_HUMAN	PI42A_HUMAN	0.8
RSSA_HUMAN	PK3CA_HUMAN	0.64
RSSA_HUMAN	DESP_HUMAN	0.64
RSSA_HUMAN	RUFY1_HUMAN	0.8
RSSA_HUMAN	BIRC3_HUMAN	0.8
RSSA_HUMAN	EF1A2_HUMAN	0.8
RSSA_HUMAN	RL29_HUMAN	0.8
RSSA_HUMAN	RL7_HUMAN	2.24
RSSA_HUMAN	P85B_HUMAN	0.64
RSSA_HUMAN	LRC59_HUMAN	0.8
RSSA_HUMAN	CAPR1_HUMAN	0.8
RSSA_HUMAN	ACTC_HUMAN	0.8
RSSA_HUMAN	YAF2_HUMAN	0.8
RSSA_HUMAN	ZN768_HUMAN	0.8
RSSA_HUMAN	RBM39_HUMAN	1.6
RSSA_HUMAN	CALM2_HUMAN	0.8
RSSA_HUMAN	CAC1C_HUMAN	0.64
RSSA_HUMAN	DDX42_HUMAN	0.8
RSSA_HUMAN	RPN1_HUMAN	0.8
RSSA_HUMAN	PSA3_HUMAN	0.8
RSSA_HUMAN	RS27_HUMAN	4.24
RSSA_HUMAN	RS27L_HUMAN	1.44
RSSA_HUMAN	RL14_HUMAN	2.24
RSSA_HUMAN	EIF3H_HUMAN	2
RSSA_HUMAN	CDC73_HUMAN	0.8
RSSA_HUMAN	SYGP1_HUMAN	0.8
RSSA_HUMAN	EIF3F_HUMAN	2
RSSA_HUMAN	RLA1_HUMAN	1.6
RSSA_HUMAN	RS13_HUMAN	5.040000000000001
RSSA_HUMAN	AP2A_HUMAN	0.8
RSSA_HUMAN	CIC_HUMAN	0.8
RSSA_HUMAN	RBM42_HUMAN	0.8
RSSA_HUMAN	PRIO_HUMAN	2.6
RSSA_HUMAN	CYLD_HUMAN	0.8
RSSA_HUMAN	TCTP_HUMAN	0.64
RSSA_HUMAN	RASK_HUMAN	0.8
RSSA_HUMAN	PRKN_HUMAN	2.4000000000000004
RSSA_HUMAN	HNRPD_HUMAN	0.8
RSSA_HUMAN	ARI2_HUMAN	0.8
RSSA_HUMAN	PDE4B_HUMAN	0.8
RSSA_HUMAN	POTE1_HUMAN	1.6
RSSA_HUMAN	RING2_HUMAN	0.8
RSSA_HUMAN	TFE2_HUMAN	0.64
RSSA_HUMAN	FAF1_HUMAN	0.8
RSSA_HUMAN	RS7_HUMAN	5.04
RSSA_HUMAN	RL11_HUMAN	3.0400000000000005
RSSA_HUMAN	RL23_HUMAN	2.24
RSSA_HUMAN	EIF3A_HUMAN	2.64
RSSA_HUMAN	EIF3B_HUMAN	0.8
RSSA_HUMAN	ESR2_HUMAN	0.8
RSSA_HUMAN	CALM1_HUMAN	0.8
RSSA_HUMAN	RBM8A_HUMAN	1.6
RSSA_HUMAN	FINC_HUMAN	0.8
RSSA_HUMAN	RL22_HUMAN	2.24
RSSA_HUMAN	CLC4G_HUMAN	1.6
RSSA_HUMAN	UBE2U_HUMAN	0.8
RSSA_HUMAN	ACADV_HUMAN	1.6
RSSA_HUMAN	PROS_HUMAN	1.6
RSSA_HUMAN	GNMT_HUMAN	1.6
RSSA_HUMAN	ANKH_HUMAN	1.6
RSSA_HUMAN	ILRUN_HUMAN	1.6
RSSA_HUMAN	SYK_HUMAN	12.440000000000001
RSSA_HUMAN	GLUT4_HUMAN	0.64
RSSA_HUMAN	FTM_HUMAN	1.28
RSSA_HUMAN	LRRK2_HUMAN	1.6
RSSA_HUMAN	RS2_HUMAN	8.239999999999998
RSSA_HUMAN	RRS1_HUMAN	2.4000000000000004
RSSA_HUMAN	H11_HUMAN	3.2
RSSA_HUMAN	DKC1_HUMAN	3.2
RSSA_HUMAN	RS17_HUMAN	7.4399999999999995
RSSA_HUMAN	RS3_HUMAN	7.039999999999999
RSSA_HUMAN	ZN121_HUMAN	3.2
RSSA_HUMAN	RS21_HUMAN	11.64
RSSA_HUMAN	CDR2_HUMAN	3.2
RSSA_HUMAN	KRR1_HUMAN	3.2
RSSA_HUMAN	BMS1_HUMAN	3.2
RSSA_HUMAN	CDR2L_HUMAN	3.2
RSSA_HUMAN	PURB_HUMAN	3.2
RSSA_HUMAN	UTP23_HUMAN	3.2
RSSA_HUMAN	ZN358_HUMAN	3.2
RSSA_HUMAN	ZN777_HUMAN	2.4000000000000004
RSSA_HUMAN	RL26L_HUMAN	4.0
RSSA_HUMAN	ZCRB1_HUMAN	3.2
RSSA_HUMAN	DHX57_HUMAN	3.2
RSSA_HUMAN	AAPK1_HUMAN	2.56
RSSA_HUMAN	UBE3A_HUMAN	1.6
RSSA_HUMAN	MET14_HUMAN	1.6
RSSA_HUMAN	NEK4_HUMAN	1.6
RSSA_HUMAN	MECOM_HUMAN	1.28
RSSA_HUMAN	CRY1_HUMAN	0.8
RSSA_HUMAN	MP2K3_HUMAN	1.6
RSSA_HUMAN	NCBP3_HUMAN	0.8
RSSA_HUMAN	NCBP1_HUMAN	1.6
RSSA_HUMAN	SIM26_HUMAN	0.8
RSSA_HUMAN	PCNA_HUMAN	1.6
RSSA_HUMAN	VCAM1_HUMAN	3.2
RSSA_HUMAN	CO1A1_HUMAN	0.8
RSSA_HUMAN	HMGA2_HUMAN	0.64
RSSA_HUMAN	TINF2_HUMAN	2.4000000000000004
RSSA_HUMAN	XPO1_HUMAN	1.44
RSSA_HUMAN	CFTR_HUMAN	9.6
RSSA_HUMAN	GRAP_HUMAN	0.64
RSSA_HUMAN	PK3CB_HUMAN	0.64
RSSA_HUMAN	STABP_HUMAN	0.64
RSSA_HUMAN	GRB7_HUMAN	0.64
RSSA_HUMAN	ARHG5_HUMAN	0.64
RSSA_HUMAN	SYWM_HUMAN	0.64
RSSA_HUMAN	TLX1_HUMAN	1.6
RSSA_HUMAN	JUN_HUMAN	1.6
RSSA_HUMAN	USE1_HUMAN	0.8
RSSA_HUMAN	PKHA7_HUMAN	0.8
RSSA_HUMAN	CAV3_HUMAN	0.64
RSSA_HUMAN	LITD1_HUMAN	0.8
RSSA_HUMAN	HMGB1_HUMAN	1.6
RSSA_HUMAN	ITM2B_HUMAN	2.72
RSSA_HUMAN	BMI1_HUMAN	0.8
RSSA_HUMAN	HBG2_HUMAN	1.6
RSSA_HUMAN	GTR5_HUMAN	1.6
RSSA_HUMAN	DCTN6_HUMAN	1.6
RSSA_HUMAN	RN114_HUMAN	1.6
RSSA_HUMAN	CCD13_HUMAN	3.2
RSSA_HUMAN	CRYAA_HUMAN	2.4000000000000004
RSSA_HUMAN	WFS1_HUMAN	2.4000000000000004
RSSA_HUMAN	CSEN_HUMAN	2.4000000000000004
RSSA_HUMAN	SODC_HUMAN	2.4000000000000004
RSSA_HUMAN	SMAD6_HUMAN	0.64
RSSA_HUMAN	RB33B_HUMAN	0.64
RSSA_HUMAN	RAB21_HUMAN	0.64
RSSA_HUMAN	RAB19_HUMAN	0.64
RSSA_HUMAN	CCNT1_HUMAN	1.6
RSSA_HUMAN	HEXI1_HUMAN	2.4000000000000004
RSSA_HUMAN	ACD_HUMAN	1.6
RSSA_HUMAN	ACTS_HUMAN	0.64
RSSA_HUMAN	RACK1_HUMAN	3.8400000000000003
RSSA_HUMAN	RNF8_HUMAN	4.8
RSSA_HUMAN	NKX31_HUMAN	0.8
RSSA_HUMAN	CBX5_HUMAN	1
RSSA_HUMAN	HDAC5_HUMAN	0.8
RSSA_HUMAN	SIR7_HUMAN	0.8
RSSA_HUMAN	CUL1_HUMAN	0.8
RSSA_HUMAN	CAND1_HUMAN	0.8
RSSA_HUMAN	APEX1_HUMAN	1.6400000000000001
RSSA_HUMAN	UBL4A_HUMAN	0.8
RSSA_HUMAN	ITA4_HUMAN	0.8
RSSA_HUMAN	BAG3_HUMAN	1.6
RSSA_HUMAN	TADBP_HUMAN	0.8
RSSA_HUMAN	ZBTB1_HUMAN	0.8
RSSA_HUMAN	STB5L_HUMAN	0.64
RSSA_HUMAN	OBSL1_HUMAN	0.8
RSSA_HUMAN	EED_HUMAN	0.64
RSSA_HUMAN	LUZP4_HUMAN	0.8
RSSA_HUMAN	WDR76_HUMAN	1.6
RSSA_HUMAN	FBW1B_HUMAN	0.8
RSSA_HUMAN	LARP7_HUMAN	2.4000000000000004
RSSA_HUMAN	SR140_HUMAN	1.6
RSSA_HUMAN	SF3B1_HUMAN	1.6
RSSA_HUMAN	ZN574_HUMAN	3.2
RSSA_HUMAN	OZF_HUMAN	0.8
RSSA_HUMAN	ZN629_HUMAN	0.8
RSSA_HUMAN	KRI1_HUMAN	1.6
RSSA_HUMAN	LTV1_HUMAN	1.6
RSSA_HUMAN	TSR1_HUMAN	3.2
RSSA_HUMAN	ZBT11_HUMAN	1.6
RSSA_HUMAN	IMP3_HUMAN	1.6
RSSA_HUMAN	GZF1_HUMAN	1.6
RSSA_HUMAN	SRS10_HUMAN	2.4000000000000004
RSSA_HUMAN	ZN335_HUMAN	2.4000000000000004
RSSA_HUMAN	NTRK1_HUMAN	0.8
RSSA_HUMAN	HNRPU_HUMAN	0.8
RSSA_HUMAN	RL10_HUMAN	2.4000000000000004
RSSA_HUMAN	LIMA1_HUMAN	0.8
RSSA_HUMAN	OSGEP_HUMAN	0.64
