UniProtID	UniProtID	score
S12A2_HUMAN	LRC59_HUMAN	0.8
S12A2_HUMAN	REEP5_HUMAN	0.8
S12A2_HUMAN	STX7_HUMAN	0.8
S12A2_HUMAN	SSRA_HUMAN	0.8
S12A2_HUMAN	LCK_HUMAN	0.8
S12A2_HUMAN	RAB2A_HUMAN	0.8
S12A2_HUMAN	CXA1_HUMAN	0.8
S12A2_HUMAN	PTEN_HUMAN	0.8
S12A2_HUMAN	LYN_HUMAN	0.8
S12A2_HUMAN	RAB35_HUMAN	0.8
S12A2_HUMAN	ARF6_HUMAN	0.8
S12A2_HUMAN	NPTN_HUMAN	0.64
S12A2_HUMAN	AT2A1_HUMAN	0.8
S12A2_HUMAN	HSP7C_HUMAN	0.8
S12A2_HUMAN	STK39_HUMAN	4.64
S12A2_HUMAN	MARCS_HUMAN	0.8
S12A2_HUMAN	RASH_HUMAN	2.4000000000000004
S12A2_HUMAN	SFPQ_HUMAN	1.6
S12A2_HUMAN	CALX_HUMAN	4.0
S12A2_HUMAN	RASN_HUMAN	2.4000000000000004
S12A2_HUMAN	HS12A_HUMAN	0.8
S12A2_HUMAN	S12A2_HUMAN	6.0
S12A2_HUMAN	RPN1_HUMAN	0.8
S12A2_HUMAN	ATP4A_HUMAN	0.8
S12A2_HUMAN	WNK1_HUMAN	1.24
S12A2_HUMAN	RADI_HUMAN	0.8
S12A2_HUMAN	KAD1_HUMAN	0.8
S12A2_HUMAN	RHOB_HUMAN	0.8
S12A2_HUMAN	EZRI_HUMAN	4.44
S12A2_HUMAN	RAB4A_HUMAN	0.8
S12A2_HUMAN	GBG12_HUMAN	0.8
S12A2_HUMAN	PRIO_HUMAN	0.64
S12A2_HUMAN	CADH1_HUMAN	0.8
S12A2_HUMAN	LTOR1_HUMAN	0.8
S12A2_HUMAN	RAB5C_HUMAN	0.8
S12A2_HUMAN	RPN2_HUMAN	0.8
S12A2_HUMAN	CD9_HUMAN	0.8
S12A2_HUMAN	FLOT1_HUMAN	0.8
S12A2_HUMAN	RB11A_HUMAN	0.8
S12A2_HUMAN	RAB5A_HUMAN	0.8
S12A2_HUMAN	SEC13_HUMAN	0.8
S12A2_HUMAN	KAPCA_HUMAN	1.4
S12A2_HUMAN	STX4_HUMAN	0.8
S12A2_HUMAN	KAPCB_HUMAN	0.6
S12A2_HUMAN	ANFY1_HUMAN	0.8
S12A2_HUMAN	RASK_HUMAN	3.2
S12A2_HUMAN	LEG8_HUMAN	1.6
S12A2_HUMAN	5HT3A_HUMAN	0.8
S12A2_HUMAN	CKAP4_HUMAN	0.8
LRC59_HUMAN	LRC59_HUMAN	3.2
LRC59_HUMAN	REEP5_HUMAN	2.4000000000000004
LRC59_HUMAN	STX7_HUMAN	0.8
LRC59_HUMAN	SSRA_HUMAN	1.6
LRC59_HUMAN	CXA1_HUMAN	0.8
LRC59_HUMAN	RAB35_HUMAN	0.8
LRC59_HUMAN	ARF6_HUMAN	0.8
LRC59_HUMAN	AT2A1_HUMAN	0.8
LRC59_HUMAN	MARCS_HUMAN	0.8
LRC59_HUMAN	CALX_HUMAN	5.6
LRC59_HUMAN	RPN1_HUMAN	1.6
LRC59_HUMAN	RAB4A_HUMAN	0.8
LRC59_HUMAN	CADH1_HUMAN	0.8
LRC59_HUMAN	RAB5C_HUMAN	0.8
LRC59_HUMAN	RPN2_HUMAN	1.6
LRC59_HUMAN	RAB5A_HUMAN	0.8
LRC59_HUMAN	STX4_HUMAN	0.8
LRC59_HUMAN	RASK_HUMAN	0.8
LRC59_HUMAN	CKAP4_HUMAN	2.4000000000000004
REEP5_HUMAN	SSRA_HUMAN	0.8
REEP5_HUMAN	RAB35_HUMAN	0.8
REEP5_HUMAN	AT2A1_HUMAN	0.8
REEP5_HUMAN	CALX_HUMAN	2.4000000000000004
REEP5_HUMAN	RPN1_HUMAN	0.8
REEP5_HUMAN	RPN2_HUMAN	0.8
REEP5_HUMAN	CKAP4_HUMAN	1.6
STX7_HUMAN	RAB2A_HUMAN	0.8
STX7_HUMAN	CXA1_HUMAN	1.6
STX7_HUMAN	LYN_HUMAN	0.8
STX7_HUMAN	RAB35_HUMAN	0.8
STX7_HUMAN	ARF6_HUMAN	0.8
STX7_HUMAN	MARCS_HUMAN	0.8
STX7_HUMAN	RASH_HUMAN	1.6
STX7_HUMAN	RASN_HUMAN	1.6
STX7_HUMAN	ATP4A_HUMAN	1.6
STX7_HUMAN	RHOB_HUMAN	0.8
STX7_HUMAN	RAB4A_HUMAN	0.8
STX7_HUMAN	LTOR1_HUMAN	1.6
STX7_HUMAN	RAB5C_HUMAN	1.6
STX7_HUMAN	RB11A_HUMAN	1.6
STX7_HUMAN	RAB5A_HUMAN	0.8
STX7_HUMAN	SEC13_HUMAN	1.6
STX7_HUMAN	KAPCA_HUMAN	0.8
STX7_HUMAN	STX4_HUMAN	11.0
STX7_HUMAN	ANFY1_HUMAN	1.6
STX7_HUMAN	RASK_HUMAN	1.6
STX7_HUMAN	CKAP4_HUMAN	0.8
SSRA_HUMAN	AT2A1_HUMAN	0.8
SSRA_HUMAN	MARCS_HUMAN	0.8
