UniProtID	UniProtID	score
S2513_HUMAN	GRB2_HUMAN	1.6
S2513_HUMAN	DLG4_HUMAN	0.64
S2513_HUMAN	CRK_HUMAN	1.6
S2513_HUMAN	ESR1_HUMAN	3.2
S2513_HUMAN	SYUA_HUMAN	1.28
S2513_HUMAN	CTNB1_HUMAN	0.8
S2513_HUMAN	TRI25_HUMAN	1.6
S2513_HUMAN	ANK3_HUMAN	0.8
S2513_HUMAN	LATS1_HUMAN	0.8
S2513_HUMAN	P53_HUMAN	1.6
S2513_HUMAN	NU155_HUMAN	0.8
S2513_HUMAN	MLP3B_HUMAN	0.8
S2513_HUMAN	MLP3A_HUMAN	0.8
S2513_HUMAN	TERA_HUMAN	0.8
S2513_HUMAN	CENPA_HUMAN	0.8
S2513_HUMAN	NEK8_HUMAN	1.6
S2513_HUMAN	G3BP2_HUMAN	0.8
S2513_HUMAN	ASXL1_HUMAN	1.6
S2513_HUMAN	KCNQ1_HUMAN	0.64
S2513_HUMAN	DDX3X_HUMAN	0.8
S2513_HUMAN	ARAF_HUMAN	1.6
S2513_HUMAN	PRC1_HUMAN	0.8
S2513_HUMAN	CLN5_HUMAN	0.8
S2513_HUMAN	PR15A_HUMAN	0.8
S2513_HUMAN	RYBP_HUMAN	1.6
S2513_HUMAN	EZH2_HUMAN	0.8
S2513_HUMAN	HSPB1_HUMAN	0.8
S2513_HUMAN	AGO2_HUMAN	0.8
S2513_HUMAN	CSK_HUMAN	0.8
S2513_HUMAN	DDR2_HUMAN	1.6
S2513_HUMAN	EGFR_HUMAN	0.8
S2513_HUMAN	AKAP1_HUMAN	0.8
S2513_HUMAN	MAP1B_HUMAN	0.8
S2513_HUMAN	IFM1_HUMAN	0.8
S2513_HUMAN	MIC60_HUMAN	0.8
S2513_HUMAN	ELAV1_HUMAN	0.8
S2513_HUMAN	COMT_HUMAN	0.8
S2513_HUMAN	PHB2_HUMAN	0.8
S2513_HUMAN	GSK3B_HUMAN	0.8
S2513_HUMAN	UBC_HUMAN	0.8
S2513_HUMAN	BRD7_HUMAN	0.8
S2513_HUMAN	DYR1A_HUMAN	0.8
S2513_HUMAN	PARP1_HUMAN	0.8
S2513_HUMAN	FAS_HUMAN	0.8
S2513_HUMAN	KAPCA_HUMAN	0.8
S2513_HUMAN	CALX_HUMAN	1.6
S2513_HUMAN	ARF6_HUMAN	0.8
S2513_HUMAN	IRAK1_HUMAN	1.6
S2513_HUMAN	IKKB_HUMAN	1.6
S2513_HUMAN	MERL_HUMAN	0.8
S2513_HUMAN	NCPR_HUMAN	0.8
S2513_HUMAN	RUFY1_HUMAN	0.8
S2513_HUMAN	BIRC3_HUMAN	0.8
S2513_HUMAN	PPT1_HUMAN	1.6
S2513_HUMAN	TBA1A_HUMAN	1.6
S2513_HUMAN	LRC59_HUMAN	0.8
