UniProtID	UniProtID	score
SC22B_HUMAN	RAC3_HUMAN	0.8
SC22B_HUMAN	ESR1_HUMAN	0.8
SC22B_HUMAN	SMCA2_HUMAN	0.8
SC22B_HUMAN	LNX1_HUMAN	0.8
SC22B_HUMAN	TCOF_HUMAN	0.8
SC22B_HUMAN	TRI25_HUMAN	0.8
SC22B_HUMAN	TM139_HUMAN	3.2
SC22B_HUMAN	NU155_HUMAN	0.8
SC22B_HUMAN	RET_HUMAN	1.6
SC22B_HUMAN	SEC62_HUMAN	0.8
SC22B_HUMAN	TERA_HUMAN	1.44
SC22B_HUMAN	TGON2_HUMAN	0.8
SC22B_HUMAN	RTN4_HUMAN	0.8
SC22B_HUMAN	CUL7_HUMAN	0.8
SC22B_HUMAN	XRCC1_HUMAN	0.8
SC22B_HUMAN	TAU_HUMAN	0.8
SC22B_HUMAN	PHAG1_HUMAN	0.64
SC22B_HUMAN	PTN1_HUMAN	0.8
SC22B_HUMAN	PCLO_HUMAN	1.6
SC22B_HUMAN	RTF1_HUMAN	0.8
SC22B_HUMAN	EZH2_HUMAN	0.8
SC22B_HUMAN	LMNA_HUMAN	3.04
SC22B_HUMAN	LMNB1_HUMAN	0.8
SC22B_HUMAN	FGFR1_HUMAN	0.8
SC22B_HUMAN	RB11A_HUMAN	0.8
SC22B_HUMAN	H4_HUMAN	0.8
SC22B_HUMAN	RASH_HUMAN	1.6
SC22B_HUMAN	IGF1R_HUMAN	1.6
SC22B_HUMAN	CTBP1_HUMAN	2.4000000000000004
SC22B_HUMAN	TRAF3_HUMAN	0.64
SC22B_HUMAN	INSR_HUMAN	1.28
SC22B_HUMAN	EGFR_HUMAN	0.8
SC22B_HUMAN	STX4_HUMAN	5.0
SC22B_HUMAN	SC23A_HUMAN	33.24000000000001
SC22B_HUMAN	CDC42_HUMAN	0.8
SC22B_HUMAN	RAC1_HUMAN	0.8
SC22B_HUMAN	DNJC1_HUMAN	0.8
SC22B_HUMAN	GANP_HUMAN	0.8
SC22B_HUMAN	ABHGA_HUMAN	3.2
SC22B_HUMAN	SGTA_HUMAN	0.64
SC22B_HUMAN	PML_HUMAN	0.8
SC22B_HUMAN	ELAV1_HUMAN	0.8
SC22B_HUMAN	MIF_HUMAN	0.8
SC22B_HUMAN	STX6_HUMAN	3.2
SC22B_HUMAN	RAB5A_HUMAN	0.8
SC22B_HUMAN	ZYX_HUMAN	0.8
SC22B_HUMAN	ARF1_HUMAN	0.64
SC22B_HUMAN	RHOA_HUMAN	0.8
SC22B_HUMAN	FKBP8_HUMAN	0.8
SC22B_HUMAN	CXA1_HUMAN	0.8
SC22B_HUMAN	CSN5_HUMAN	0.8
SC22B_HUMAN	DICER_HUMAN	0.8
SC22B_HUMAN	TAXB1_HUMAN	0.8
SC22B_HUMAN	CPSM_HUMAN	0.8
SC22B_HUMAN	CXAR_HUMAN	0.8
SC22B_HUMAN	VHL_HUMAN	0.8
SC22B_HUMAN	2AAA_HUMAN	0.8
SC22B_HUMAN	CALX_HUMAN	1.6
SC22B_HUMAN	MIRO2_HUMAN	0.8
SC22B_HUMAN	KCNA3_HUMAN	0.64
SC22B_HUMAN	ARF6_HUMAN	0.8
SC22B_HUMAN	HAX1_HUMAN	0.8
SC22B_HUMAN	RBCC1_HUMAN	0.8
SC22B_HUMAN	BIRC3_HUMAN	0.8
SC22B_HUMAN	RAC2_HUMAN	0.8
SC22B_HUMAN	SMN_HUMAN	1.28
SC22B_HUMAN	LRC59_HUMAN	0.8
