UniProtID	UniProtID	score
SC6A1_HUMAN	KCNB2_HUMAN	0.64
SC6A1_HUMAN	S4A4_HUMAN	0.64
SC6A1_HUMAN	LNX1_HUMAN	0.64
SC6A1_HUMAN	SHAN3_HUMAN	1.92
SC6A1_HUMAN	GABR1_HUMAN	0.64
SC6A1_HUMAN	RTN4_HUMAN	0.64
SC6A1_HUMAN	E41L3_HUMAN	0.64
SC6A1_HUMAN	SYDC_HUMAN	0.64
SC6A1_HUMAN	TAU_HUMAN	0.64
SC6A1_HUMAN	VAPA_HUMAN	0.64
SC6A1_HUMAN	HUNK_HUMAN	1.6
SC6A1_HUMAN	SHAN1_HUMAN	0.64
SC6A1_HUMAN	HD_HUMAN	0.8
SC6A1_HUMAN	SNP25_HUMAN	0.64
SC6A1_HUMAN	CALM3_HUMAN	0.64
SC6A1_HUMAN	EGFR_HUMAN	0.8
SC6A1_HUMAN	GRIA2_HUMAN	0.64
SC6A1_HUMAN	DRD2_HUMAN	1.6
SC6A1_HUMAN	ABCD3_HUMAN	0.64
SC6A1_HUMAN	RS27A_HUMAN	0.64
SC6A1_HUMAN	UBC_HUMAN	0.64
SC6A1_HUMAN	SYT2_HUMAN	0.64
SC6A1_HUMAN	KPYM_HUMAN	0.64
SC6A1_HUMAN	GLNA_HUMAN	0.64
SC6A1_HUMAN	RRBP1_HUMAN	0.64
SC6A1_HUMAN	CALX_HUMAN	0.64
SC6A1_HUMAN	RTN3_HUMAN	0.64
SC6A1_HUMAN	CALM2_HUMAN	0.64
SC6A1_HUMAN	ECHB_HUMAN	0.64
SC6A1_HUMAN	RALY_HUMAN	0.64
SC6A1_HUMAN	PRIO_HUMAN	0.64
SC6A1_HUMAN	5HT6R_HUMAN	1.6
SC6A1_HUMAN	VAMP2_HUMAN	0.64
SC6A1_HUMAN	NDUBA_HUMAN	0.64
SC6A1_HUMAN	EIF3B_HUMAN	0.64
SC6A1_HUMAN	CALM1_HUMAN	0.64
SC6A1_HUMAN	STX1A_HUMAN	4
SC6A1_HUMAN	PLMN_HUMAN	0.8
SC6A1_HUMAN	CX6A1_HUMAN	0.64
SC6A1_HUMAN	SSR3_HUMAN	0.64
SC6A1_HUMAN	SERA_HUMAN	0.64
SC6A1_HUMAN	TRI29_HUMAN	0.8
SC6A1_HUMAN	MYPR_HUMAN	0.64
SC6A1_HUMAN	NCALD_HUMAN	0.64
SC6A1_HUMAN	ACADV_HUMAN	0.64
SC6A1_HUMAN	ECHA_HUMAN	0.64
SC6A1_HUMAN	PRDX2_HUMAN	0.64
SC6A1_HUMAN	FIBB_HUMAN	0.8
SC6A1_HUMAN	VTNC_HUMAN	0.8
SC6A1_HUMAN	IDHP_HUMAN	0.64
SC6A1_HUMAN	ARFG1_HUMAN	1.8
SC6A1_HUMAN	ACBG1_HUMAN	0.64
SC6A1_HUMAN	ASGL1_HUMAN	0.64
SC6A1_HUMAN	GPM6A_HUMAN	0.64
SC6A1_HUMAN	CNTN1_HUMAN	0.64
SC6A1_HUMAN	DX39A_HUMAN	0.8
SC6A1_HUMAN	NPTN_HUMAN	0.64
SC6A1_HUMAN	SYPH_HUMAN	0.64
SC6A1_HUMAN	STX1B_HUMAN	0.64
SC6A1_HUMAN	KTN1_HUMAN	0.64
SC6A1_HUMAN	SNP47_HUMAN	0.64
SC6A1_HUMAN	RL15_HUMAN	0.64
SC6A1_HUMAN	COPD_HUMAN	0.64
SC6A1_HUMAN	ALDOC_HUMAN	0.64
SC6A1_HUMAN	DECR_HUMAN	0.64
SC6A1_HUMAN	NDUV1_HUMAN	0.64
SC6A1_HUMAN	C1TC_HUMAN	0.64
SC6A1_HUMAN	GSTM1_HUMAN	0.64
SC6A1_HUMAN	SYEP_HUMAN	0.64
SC6A1_HUMAN	DGKG_HUMAN	0.64
SC6A1_HUMAN	EIF3I_HUMAN	0.64
SC6A1_HUMAN	GNAO_HUMAN	0.64
SC6A1_HUMAN	EAA2_HUMAN	0.64
SC6A1_HUMAN	MYO5A_HUMAN	0.64
SC6A1_HUMAN	ERN1_HUMAN	0.8
SC6A1_HUMAN	QCR6_HUMAN	0.64
SC6A1_HUMAN	NDUS5_HUMAN	0.64
SC6A1_HUMAN	CX6B1_HUMAN	0.64
SC6A1_HUMAN	F120C_HUMAN	0.64
SC6A1_HUMAN	5NT3A_HUMAN	0.8
SC6A1_HUMAN	H15_HUMAN	0.64
SC6A1_HUMAN	RU2A_HUMAN	0.64
SC6A1_HUMAN	FADS1_HUMAN	0.64
SC6A1_HUMAN	P66B_HUMAN	0.64
SC6A1_HUMAN	ACBD5_HUMAN	0.64
SC6A1_HUMAN	TNC18_HUMAN	0.64
SC6A1_HUMAN	SCD_HUMAN	0.64
SC6A1_HUMAN	VA0D2_HUMAN	0.8
SC6A1_HUMAN	F1712_HUMAN	0.64
SC6A1_HUMAN	F171B_HUMAN	0.64
SC6A1_HUMAN	DIRA2_HUMAN	0.64
SC6A1_HUMAN	FIBA_HUMAN	0.8
SC6A1_HUMAN	FIBG_HUMAN	0.8
SC6A1_HUMAN	PSD3_HUMAN	0.64
SC6A1_HUMAN	DNJC5_HUMAN	3.2
SC6A1_HUMAN	RUFY3_HUMAN	0.64
SC6A1_HUMAN	AT11C_HUMAN	0.8
SC6A1_HUMAN	GDN_HUMAN	0.64
SC6A1_HUMAN	HSF2B_HUMAN	3.2
SC6A1_HUMAN	T4S4_HUMAN	2.4000000000000004
SC6A1_HUMAN	LNX2_HUMAN	0.64
SC6A1_HUMAN	TM242_HUMAN	0.8
SC6A1_HUMAN	PRRT2_HUMAN	0.64
SC6A1_HUMAN	QCR6L_HUMAN	0.64
SC6A1_HUMAN	PITM2_HUMAN	0.64
SC6A1_HUMAN	SC6A1_HUMAN	1.28
SC6A1_HUMAN	SYUB_HUMAN	0.64
SC6A1_HUMAN	SPKAP_HUMAN	0.64
