UniProtID	UniProtID	score
SCAI_HUMAN	REV3L_HUMAN	1.0
SCAI_HUMAN	TP53B_HUMAN	3.2800000000000002
SCAI_HUMAN	CCG5_HUMAN	0.8
SCAI_HUMAN	BSN_HUMAN	1.0
SCAI_HUMAN	PIN1_HUMAN	3.2
SCAI_HUMAN	ITB1_HUMAN	0.6
SCAI_HUMAN	SOX7_HUMAN	3.2
SCAI_HUMAN	EHMT2_HUMAN	0.8
SCAI_HUMAN	PFKAL_HUMAN	1.28
SCAI_HUMAN	FAS_HUMAN	0.8
SCAI_HUMAN	BCR_HUMAN	1.6400000000000001
SCAI_HUMAN	OGT1_HUMAN	1.6
SCAI_HUMAN	ROA1_HUMAN	1.6
SCAI_HUMAN	SC6A4_HUMAN	0.64
SCAI_HUMAN	CDIPT_HUMAN	3.2
REV3L_HUMAN	REV3L_HUMAN	2.0
TP53B_HUMAN	TP53B_HUMAN	97.6
TP53B_HUMAN	FAS_HUMAN	0.8
TP53B_HUMAN	OGT1_HUMAN	1.6
TP53B_HUMAN	ROA1_HUMAN	0.8
PIN1_HUMAN	PIN1_HUMAN	20.0
ITB1_HUMAN	ITB1_HUMAN	43.2
ITB1_HUMAN	FAS_HUMAN	0.64
EHMT2_HUMAN	EHMT2_HUMAN	67.28
EHMT2_HUMAN	FAS_HUMAN	0.8
PFKAL_HUMAN	PFKAL_HUMAN	7.199999999999999
PFKAL_HUMAN	SC6A4_HUMAN	0.64
FAS_HUMAN	FAS_HUMAN	74.80000000000001
FAS_HUMAN	ROA1_HUMAN	0.8
BCR_HUMAN	BCR_HUMAN	46.0
OGT1_HUMAN	OGT1_HUMAN	161.6
OGT1_HUMAN	ROA1_HUMAN	0.8
ROA1_HUMAN	ROA1_HUMAN	51.2
SC6A4_HUMAN	SC6A4_HUMAN	1.28
