UniProtID	UniProtID	score
SCD_HUMAN	ESR1_HUMAN	2.4000000000000004
SCD_HUMAN	MLP3B_HUMAN	0.8
SCD_HUMAN	NED4L_HUMAN	0.8
SCD_HUMAN	SEC62_HUMAN	0.8
SCD_HUMAN	TERA_HUMAN	1.8
SCD_HUMAN	RTN4_HUMAN	0.8
SCD_HUMAN	A4_HUMAN	0.8
SCD_HUMAN	VAPA_HUMAN	0.8
SCD_HUMAN	H4_HUMAN	0.8
SCD_HUMAN	RASH_HUMAN	0.8
SCD_HUMAN	PSN1_HUMAN	1.6
SCD_HUMAN	KSR1_HUMAN	1.6
SCD_HUMAN	EGFR_HUMAN	1.6
SCD_HUMAN	RNF5_HUMAN	3.2
SCD_HUMAN	ELAV1_HUMAN	0.8
SCD_HUMAN	UBC_HUMAN	1.44
SCD_HUMAN	RHOA_HUMAN	0.8
SCD_HUMAN	FAS_HUMAN	0.8
SCD_HUMAN	2AAA_HUMAN	0.8
SCD_HUMAN	RBCC1_HUMAN	0.8
SCD_HUMAN	RAC2_HUMAN	0.8
SCD_HUMAN	RASN_HUMAN	1.6
SCD_HUMAN	RPN1_HUMAN	1.6
SCD_HUMAN	RL14_HUMAN	0.8
SCD_HUMAN	AT1A1_HUMAN	0.8
SCD_HUMAN	RASK_HUMAN	2.4000000000000004
SCD_HUMAN	PRKN_HUMAN	0.8
SCD_HUMAN	ESR2_HUMAN	0.8
SCD_HUMAN	PJA2_HUMAN	0.8
SCD_HUMAN	CKAP4_HUMAN	0.8
SCD_HUMAN	QCR2_HUMAN	0.8
SCD_HUMAN	RPN2_HUMAN	0.8
SCD_HUMAN	MYC_HUMAN	0.8
SCD_HUMAN	CUL3_HUMAN	0.8
SCD_HUMAN	SPOP_HUMAN	0.8
SCD_HUMAN	STOM_HUMAN	3.2
SCD_HUMAN	GEPH_HUMAN	0.64
SCD_HUMAN	AMFR_HUMAN	0.8
SCD_HUMAN	SSRA_HUMAN	0.8
SCD_HUMAN	PGRC1_HUMAN	0.8
SCD_HUMAN	MK06_HUMAN	0.8
SCD_HUMAN	OST48_HUMAN	0.8
SCD_HUMAN	RU17_HUMAN	0.8
SCD_HUMAN	HNRH1_HUMAN	0.8
SCD_HUMAN	RAB7A_HUMAN	0.8
SCD_HUMAN	CFTR_HUMAN	0.8
SCD_HUMAN	RHOG_HUMAN	0.8
SCD_HUMAN	ZRAN1_HUMAN	0.8
SCD_HUMAN	RAB18_HUMAN	0.64
SCD_HUMAN	ESYT1_HUMAN	0.8
SCD_HUMAN	S25A3_HUMAN	0.8
SCD_HUMAN	RS3_HUMAN	0.8
SCD_HUMAN	MARH5_HUMAN	3.2
SCD_HUMAN	SSRD_HUMAN	0.8
SCD_HUMAN	VAPB_HUMAN	0.8
SCD_HUMAN	RIGI_HUMAN	0.8
SCD_HUMAN	BMI1_HUMAN	0.8
SCD_HUMAN	DPTOR_HUMAN	0.8
SCD_HUMAN	SNX27_HUMAN	0.8
SCD_HUMAN	DHB12_HUMAN	0.8
SCD_HUMAN	ATG7_HUMAN	0.8
SCD_HUMAN	TNR6A_HUMAN	0.8
SCD_HUMAN	BAP31_HUMAN	0.8
SCD_HUMAN	UBE3B_HUMAN	0.8
SCD_HUMAN	STING_HUMAN	0.64
SCD_HUMAN	CCD47_HUMAN	0.8
SCD_HUMAN	TIDC1_HUMAN	3.2
SCD_HUMAN	SC61B_HUMAN	0.8
SCD_HUMAN	MGST3_HUMAN	3.2
SCD_HUMAN	TES_HUMAN	0.8
SCD_HUMAN	STT3B_HUMAN	0.8
SCD_HUMAN	NR2C2_HUMAN	0.8
SCD_HUMAN	CGRF1_HUMAN	0.8
SCD_HUMAN	R113A_HUMAN	0.8
SCD_HUMAN	MIDN_HUMAN	0.8
SCD_HUMAN	RETR3_HUMAN	3.2
SCD_HUMAN	SPAG4_HUMAN	3.2
SCD_HUMAN	ASXL3_HUMAN	1.6
SCD_HUMAN	E2F3_HUMAN	2.4000000000000004
SCD_HUMAN	SG196_HUMAN	1.6
SCD_HUMAN	CLC4K_HUMAN	3.2
SCD_HUMAN	REEP2_HUMAN	3.2
SCD_HUMAN	CERS4_HUMAN	3.2
SCD_HUMAN	SOAT_HUMAN	3.2
SCD_HUMAN	GPX8_HUMAN	3.2
SCD_HUMAN	CY561_HUMAN	3.2
SCD_HUMAN	SC11C_HUMAN	3.2
SCD_HUMAN	DHB13_HUMAN	3.2
SCD_HUMAN	TLCD4_HUMAN	3.2
SCD_HUMAN	SCN3B_HUMAN	3.2
SCD_HUMAN	PVR_HUMAN	3.2
