UniProtID	UniProtID	score
SCFD1_HUMAN	HSP76_HUMAN	0.8
SCFD1_HUMAN	LRC59_HUMAN	0.8
SCFD1_HUMAN	LMNB1_HUMAN	0.8
SCFD1_HUMAN	REEP5_HUMAN	0.8
SCFD1_HUMAN	STAU1_HUMAN	1.6
SCFD1_HUMAN	SSRA_HUMAN	0.8
SCFD1_HUMAN	STX7_HUMAN	0.8
SCFD1_HUMAN	USO1_HUMAN	7.4399999999999995
SCFD1_HUMAN	ACTZ_HUMAN	0.8
SCFD1_HUMAN	CXA1_HUMAN	0.8
SCFD1_HUMAN	SC31A_HUMAN	0.6
SCFD1_HUMAN	TPPC4_HUMAN	0.6
SCFD1_HUMAN	VPS45_HUMAN	0.8
SCFD1_HUMAN	RAB35_HUMAN	0.8
SCFD1_HUMAN	SC23A_HUMAN	0.6
SCFD1_HUMAN	HD_HUMAN	2.4000000000000004
SCFD1_HUMAN	AT2A1_HUMAN	0.8
SCFD1_HUMAN	GRIA1_HUMAN	0.6
SCFD1_HUMAN	TERA_HUMAN	1.44
SCFD1_HUMAN	WDR1_HUMAN	0.64
SCFD1_HUMAN	GOGA2_HUMAN	0.8
SCFD1_HUMAN	SNAA_HUMAN	2.2
SCFD1_HUMAN	CALX_HUMAN	2.4000000000000004
SCFD1_HUMAN	MPCP_HUMAN	0.8
SCFD1_HUMAN	ODO2_HUMAN	1.6
SCFD1_HUMAN	MIRO2_HUMAN	0.8
SCFD1_HUMAN	HOOK3_HUMAN	0.8
SCFD1_HUMAN	RHOB_HUMAN	0.8
SCFD1_HUMAN	COG3_HUMAN	2.4
SCFD1_HUMAN	VINC_HUMAN	0.64
SCFD1_HUMAN	SNAG_HUMAN	0.6
SCFD1_HUMAN	RENR_HUMAN	1.6
SCFD1_HUMAN	SC22B_HUMAN	2.8400000000000003
SCFD1_HUMAN	ODO1_HUMAN	0.8
SCFD1_HUMAN	RAB1A_HUMAN	0.6
SCFD1_HUMAN	NSF_HUMAN	3.6400000000000006
SCFD1_HUMAN	CD59_HUMAN	0.6
SCFD1_HUMAN	FKBP8_HUMAN	0.8
SCFD1_HUMAN	RAB5C_HUMAN	1.6
SCFD1_HUMAN	RPN2_HUMAN	0.8
SCFD1_HUMAN	CNIH3_HUMAN	0.6
SCFD1_HUMAN	SNP23_HUMAN	0.8
SCFD1_HUMAN	LMNA_HUMAN	2.4000000000000004
SCFD1_HUMAN	VAMP2_HUMAN	0.8
SCFD1_HUMAN	RAB5A_HUMAN	0.8
SCFD1_HUMAN	RB11A_HUMAN	0.8
SCFD1_HUMAN	CUL5_HUMAN	1.6
SCFD1_HUMAN	S2546_HUMAN	1.6
SCFD1_HUMAN	VPP1_HUMAN	0.8
SCFD1_HUMAN	SEC13_HUMAN	0.6
SCFD1_HUMAN	CNIH2_HUMAN	0.6
SCFD1_HUMAN	GOSR1_HUMAN	2.2
SCFD1_HUMAN	1433B_HUMAN	0.64
SCFD1_HUMAN	STX4_HUMAN	0.8
SCFD1_HUMAN	SC24C_HUMAN	0.6
SCFD1_HUMAN	RASK_HUMAN	0.8
SCFD1_HUMAN	DNJA3_HUMAN	0.8
SCFD1_HUMAN	RAB1B_HUMAN	0.6
SCFD1_HUMAN	CKAP4_HUMAN	0.8
HSP76_HUMAN	HSP76_HUMAN	4.0
LRC59_HUMAN	LRC59_HUMAN	3.2
LRC59_HUMAN	LMNB1_HUMAN	1.6
LRC59_HUMAN	REEP5_HUMAN	2.4000000000000004
LRC59_HUMAN	STAU1_HUMAN	3.2
LRC59_HUMAN	SSRA_HUMAN	1.6
LRC59_HUMAN	STX7_HUMAN	0.8
LRC59_HUMAN	CXA1_HUMAN	0.8
LRC59_HUMAN	RAB35_HUMAN	0.8
LRC59_HUMAN	AT2A1_HUMAN	0.8
LRC59_HUMAN	TERA_HUMAN	0.8
LRC59_HUMAN	CALX_HUMAN	5.6
LRC59_HUMAN	VINC_HUMAN	0.64
LRC59_HUMAN	RENR_HUMAN	0.8
LRC59_HUMAN	SC22B_HUMAN	0.8
LRC59_HUMAN	FKBP8_HUMAN	1.6
LRC59_HUMAN	RAB5C_HUMAN	0.8
LRC59_HUMAN	RPN2_HUMAN	1.6
LRC59_HUMAN	LMNA_HUMAN	2.4000000000000004
LRC59_HUMAN	RAB5A_HUMAN	0.8
LRC59_HUMAN	S2546_HUMAN	0.8
LRC59_HUMAN	1433B_HUMAN	0.64
LRC59_HUMAN	STX4_HUMAN	0.8
LRC59_HUMAN	RASK_HUMAN	0.8
LRC59_HUMAN	CKAP4_HUMAN	2.4000000000000004
LMNB1_HUMAN	LMNB1_HUMAN	12.0
LMNB1_HUMAN	REEP5_HUMAN	0.8
LMNB1_HUMAN	STAU1_HUMAN	0.8
LMNB1_HUMAN	SSRA_HUMAN	1.6
LMNB1_HUMAN	STX7_HUMAN	0.8
LMNB1_HUMAN	ACTZ_HUMAN	0.8
LMNB1_HUMAN	CXA1_HUMAN	1.44
LMNB1_HUMAN	RAB35_HUMAN	0.8
LMNB1_HUMAN	CALX_HUMAN	0.8
LMNB1_HUMAN	ODO2_HUMAN	4.640000000000001
LMNB1_HUMAN	RENR_HUMAN	0.8
LMNB1_HUMAN	SC22B_HUMAN	0.8
LMNB1_HUMAN	RAB5C_HUMAN	0.8
LMNB1_HUMAN	RPN2_HUMAN	0.8
LMNB1_HUMAN	LMNA_HUMAN	30.520000000000017
LMNB1_HUMAN	RB11A_HUMAN	0.8
LMNB1_HUMAN	S2546_HUMAN	0.8
LMNB1_HUMAN	STX4_HUMAN	0.8
LMNB1_HUMAN	RASK_HUMAN	1.6
LMNB1_HUMAN	CKAP4_HUMAN	1.6
REEP5_HUMAN	SSRA_HUMAN	0.8
REEP5_HUMAN	RAB35_HUMAN	0.8
REEP5_HUMAN	AT2A1_HUMAN	0.8
REEP5_HUMAN	CALX_HUMAN	2.4000000000000004
REEP5_HUMAN	RENR_HUMAN	0.8
REEP5_HUMAN	SC22B_HUMAN	0.8
REEP5_HUMAN	FKBP8_HUMAN	0.8
REEP5_HUMAN	RPN2_HUMAN	0.8
REEP5_HUMAN	CKAP4_HUMAN	1.6
STAU1_HUMAN	STAU1_HUMAN	5.6
STAU1_HUMAN	SC23A_HUMAN	0.8
STAU1_HUMAN	GOGA2_HUMAN	0.8
STAU1_HUMAN	CALX_HUMAN	2.4000000000000004
STAU1_HUMAN	MPCP_HUMAN	0.8
STAU1_HUMAN	NSF_HUMAN	2.24
STAU1_HUMAN	RAB5C_HUMAN	0.8
STAU1_HUMAN	LMNA_HUMAN	0.8
STAU1_HUMAN	RB11A_HUMAN	2.4000000000000004
STAU1_HUMAN	VPP1_HUMAN	0.8
STAU1_HUMAN	CKAP4_HUMAN	0.8
SSRA_HUMAN	AT2A1_HUMAN	0.8
SSRA_HUMAN	CALX_HUMAN	7.3999999999999995
SSRA_HUMAN	RENR_HUMAN	0.8
SSRA_HUMAN	SC22B_HUMAN	0.8
SSRA_HUMAN	FKBP8_HUMAN	1.6
SSRA_HUMAN	RAB5C_HUMAN	0.8
SSRA_HUMAN	RPN2_HUMAN	1.4
SSRA_HUMAN	LMNA_HUMAN	0.8
SSRA_HUMAN	RAB5A_HUMAN	1.6
SSRA_HUMAN	1433B_HUMAN	0.64
SSRA_HUMAN	STX4_HUMAN	0.8
SSRA_HUMAN	RASK_HUMAN	0.8
SSRA_HUMAN	CKAP4_HUMAN	1.6
STX7_HUMAN	CXA1_HUMAN	1.6
STX7_HUMAN	VPS45_HUMAN	1.6
STX7_HUMAN	RAB35_HUMAN	0.8
STX7_HUMAN	HD_HUMAN	0.8
STX7_HUMAN	GOGA2_HUMAN	1.6
STX7_HUMAN	SNAA_HUMAN	4.8
STX7_HUMAN	RHOB_HUMAN	0.8
STX7_HUMAN	SNAG_HUMAN	2.2
STX7_HUMAN	RENR_HUMAN	0.8
STX7_HUMAN	SC22B_HUMAN	2.2
STX7_HUMAN	RAB1A_HUMAN	1.6
STX7_HUMAN	NSF_HUMAN	3.0000000000000004
STX7_HUMAN	RAB5C_HUMAN	1.6
STX7_HUMAN	SNP23_HUMAN	3.0000000000000004
STX7_HUMAN	LMNA_HUMAN	0.8
STX7_HUMAN	VAMP2_HUMAN	5.079999999999999
STX7_HUMAN	RAB5A_HUMAN	0.8
STX7_HUMAN	RB11A_HUMAN	1.6
STX7_HUMAN	SEC13_HUMAN	1.6
STX7_HUMAN	GOSR1_HUMAN	2.2
STX7_HUMAN	1433B_HUMAN	0.64
STX7_HUMAN	STX4_HUMAN	11.0
STX7_HUMAN	RASK_HUMAN	1.6
STX7_HUMAN	RAB1B_HUMAN	0.8
STX7_HUMAN	CKAP4_HUMAN	0.8
USO1_HUMAN	USO1_HUMAN	10.000000000000002
USO1_HUMAN	ACTZ_HUMAN	0.6
USO1_HUMAN	CXA1_HUMAN	0.8
USO1_HUMAN	SC31A_HUMAN	0.6
USO1_HUMAN	TPPC4_HUMAN	0.6
USO1_HUMAN	SC23A_HUMAN	0.6
USO1_HUMAN	GRIA1_HUMAN	0.6
USO1_HUMAN	TERA_HUMAN	0.8
USO1_HUMAN	GOGA2_HUMAN	11.88
USO1_HUMAN	SNAA_HUMAN	0.6
USO1_HUMAN	COG3_HUMAN	0.6
USO1_HUMAN	VINC_HUMAN	0.8
USO1_HUMAN	SNAG_HUMAN	0.6
USO1_HUMAN	SC22B_HUMAN	5.08
USO1_HUMAN	RAB1A_HUMAN	4.3999999999999995
USO1_HUMAN	NSF_HUMAN	1.24
USO1_HUMAN	CD59_HUMAN	0.6
USO1_HUMAN	CNIH3_HUMAN	0.6
USO1_HUMAN	SEC13_HUMAN	2.52
USO1_HUMAN	CNIH2_HUMAN	0.6
USO1_HUMAN	GOSR1_HUMAN	9.639999999999999
USO1_HUMAN	SC24C_HUMAN	2.52
USO1_HUMAN	RAB1B_HUMAN	0.6
ACTZ_HUMAN	ACTZ_HUMAN	2.56
ACTZ_HUMAN	CXA1_HUMAN	0.64
ACTZ_HUMAN	TERA_HUMAN	0.8
ACTZ_HUMAN	COG3_HUMAN	1.4
ACTZ_HUMAN	RAB1A_HUMAN	0.6
ACTZ_HUMAN	CD59_HUMAN	0.6
ACTZ_HUMAN	RAB5A_HUMAN	1.6
ACTZ_HUMAN	RB11A_HUMAN	0.6
ACTZ_HUMAN	GOSR1_HUMAN	0.6
ACTZ_HUMAN	1433B_HUMAN	0.64
ACTZ_HUMAN	RAB1B_HUMAN	0.6
CXA1_HUMAN	CXA1_HUMAN	4.880000000000001
CXA1_HUMAN	SC31A_HUMAN	0.8
CXA1_HUMAN	VPS45_HUMAN	0.8
CXA1_HUMAN	RAB35_HUMAN	0.8
CXA1_HUMAN	AT2A1_HUMAN	0.8
CXA1_HUMAN	TERA_HUMAN	0.64
CXA1_HUMAN	WDR1_HUMAN	0.64
CXA1_HUMAN	GOGA2_HUMAN	0.8
CXA1_HUMAN	ODO2_HUMAN	0.64
CXA1_HUMAN	RHOB_HUMAN	0.8
CXA1_HUMAN	VINC_HUMAN	1.44
CXA1_HUMAN	SC22B_HUMAN	0.8
CXA1_HUMAN	ODO1_HUMAN	0.64
CXA1_HUMAN	RAB5C_HUMAN	0.8
CXA1_HUMAN	SNP23_HUMAN	0.8
CXA1_HUMAN	VAMP2_HUMAN	0.8
CXA1_HUMAN	RAB5A_HUMAN	0.8
CXA1_HUMAN	1433B_HUMAN	0.64
CXA1_HUMAN	STX4_HUMAN	0.8
CXA1_HUMAN	RASK_HUMAN	1.6
CXA1_HUMAN	CKAP4_HUMAN	0.8
SC31A_HUMAN	TPPC4_HUMAN	0.6
SC31A_HUMAN	VPS45_HUMAN	0.8
SC31A_HUMAN	SC23A_HUMAN	5.639999999999999
SC31A_HUMAN	GRIA1_HUMAN	0.6
SC31A_HUMAN	TERA_HUMAN	0.8
SC31A_HUMAN	CALX_HUMAN	0.6
SC31A_HUMAN	SC22B_HUMAN	0.6
SC31A_HUMAN	RAB1A_HUMAN	0.6
SC31A_HUMAN	NSF_HUMAN	0.8
SC31A_HUMAN	CD59_HUMAN	0.6
SC31A_HUMAN	RAB5C_HUMAN	0.8
SC31A_HUMAN	CNIH3_HUMAN	0.6
SC31A_HUMAN	SEC13_HUMAN	17.640000000000008
SC31A_HUMAN	CNIH2_HUMAN	0.6
SC31A_HUMAN	SC24C_HUMAN	2.2
SC31A_HUMAN	RAB1B_HUMAN	1.4
TPPC4_HUMAN	TPPC4_HUMAN	25.6
TPPC4_HUMAN	SC23A_HUMAN	0.6
TPPC4_HUMAN	GRIA1_HUMAN	0.6
TPPC4_HUMAN	SC22B_HUMAN	0.6
TPPC4_HUMAN	RAB1A_HUMAN	0.6
TPPC4_HUMAN	CD59_HUMAN	0.6
TPPC4_HUMAN	CNIH3_HUMAN	0.6
TPPC4_HUMAN	SEC13_HUMAN	0.6
TPPC4_HUMAN	CNIH2_HUMAN	0.6
TPPC4_HUMAN	SC24C_HUMAN	0.6
TPPC4_HUMAN	RAB1B_HUMAN	0.6
VPS45_HUMAN	RAB35_HUMAN	0.8
VPS45_HUMAN	SNAA_HUMAN	1.6
VPS45_HUMAN	HOOK3_HUMAN	0.8
VPS45_HUMAN	RHOB_HUMAN	0.8
VPS45_HUMAN	RAB5C_HUMAN	0.8
VPS45_HUMAN	RAB5A_HUMAN	5.04
VPS45_HUMAN	RB11A_HUMAN	0.8
VPS45_HUMAN	1433B_HUMAN	0.64
VPS45_HUMAN	STX4_HUMAN	0.8
VPS45_HUMAN	SC24C_HUMAN	0.8
VPS45_HUMAN	RASK_HUMAN	1.6
VPS45_HUMAN	RAB1B_HUMAN	0.8
RAB35_HUMAN	HD_HUMAN	3.2
RAB35_HUMAN	WDR1_HUMAN	0.64
RAB35_HUMAN	RENR_HUMAN	0.8
RAB35_HUMAN	SC22B_HUMAN	0.8
RAB35_HUMAN	RAB1A_HUMAN	2.04
RAB35_HUMAN	FKBP8_HUMAN	0.8
RAB35_HUMAN	RAB5C_HUMAN	0.6
RAB35_HUMAN	SNP23_HUMAN	0.8
RAB35_HUMAN	VAMP2_HUMAN	0.8
RAB35_HUMAN	RAB5A_HUMAN	0.6
RAB35_HUMAN	RB11A_HUMAN	0.6
RAB35_HUMAN	RAB1B_HUMAN	1.24
RAB35_HUMAN	CKAP4_HUMAN	0.8
SC23A_HUMAN	SC23A_HUMAN	2.0
SC23A_HUMAN	GRIA1_HUMAN	0.6
SC23A_HUMAN	SNAA_HUMAN	0.6
SC23A_HUMAN	CALX_HUMAN	3.0000000000000004
SC23A_HUMAN	SNAG_HUMAN	0.6
SC23A_HUMAN	SC22B_HUMAN	13.040000000000001
SC23A_HUMAN	RAB1A_HUMAN	0.6
SC23A_HUMAN	NSF_HUMAN	0.6
SC23A_HUMAN	CD59_HUMAN	0.6
SC23A_HUMAN	CNIH3_HUMAN	0.6
SC23A_HUMAN	S2546_HUMAN	0.8
SC23A_HUMAN	SEC13_HUMAN	4.839999999999999
SC23A_HUMAN	CNIH2_HUMAN	0.6
SC23A_HUMAN	1433B_HUMAN	0.64
SC23A_HUMAN	SC24C_HUMAN	10.640000000000002
SC23A_HUMAN	RAB1B_HUMAN	0.6
HD_HUMAN	HD_HUMAN	40.400000000000006
HD_HUMAN	TERA_HUMAN	17.4
HD_HUMAN	GOGA2_HUMAN	2.4000000000000004
HD_HUMAN	SNAA_HUMAN	2.4000000000000004
HD_HUMAN	MPCP_HUMAN	0.64
HD_HUMAN	ODO2_HUMAN	3.04
HD_HUMAN	ODO1_HUMAN	2.4000000000000004
HD_HUMAN	CD59_HUMAN	7.999999999999999
HD_HUMAN	RAB5A_HUMAN	0.8
HD_HUMAN	RB11A_HUMAN	1.8
HD_HUMAN	CUL5_HUMAN	7.999999999999999
HD_HUMAN	SEC13_HUMAN	1.6
HD_HUMAN	1433B_HUMAN	8.799999999999999
HD_HUMAN	DNJA3_HUMAN	4.0
AT2A1_HUMAN	CALX_HUMAN	1.6
AT2A1_HUMAN	ODO2_HUMAN	3.2
AT2A1_HUMAN	RENR_HUMAN	0.8
AT2A1_HUMAN	SC22B_HUMAN	0.8
AT2A1_HUMAN	FKBP8_HUMAN	0.8
AT2A1_HUMAN	VAMP2_HUMAN	0.8
AT2A1_HUMAN	CKAP4_HUMAN	0.8
GRIA1_HUMAN	GRIA1_HUMAN	20.800000000000008
GRIA1_HUMAN	SNAA_HUMAN	0.6
GRIA1_HUMAN	SNAG_HUMAN	0.6
GRIA1_HUMAN	SC22B_HUMAN	0.6
GRIA1_HUMAN	RAB1A_HUMAN	0.6
GRIA1_HUMAN	NSF_HUMAN	0.6
GRIA1_HUMAN	CD59_HUMAN	0.6
GRIA1_HUMAN	CNIH3_HUMAN	0.6
GRIA1_HUMAN	RB11A_HUMAN	1.0
GRIA1_HUMAN	SEC13_HUMAN	0.6
GRIA1_HUMAN	CNIH2_HUMAN	8.6
GRIA1_HUMAN	1433B_HUMAN	0.64
GRIA1_HUMAN	SC24C_HUMAN	0.6
GRIA1_HUMAN	RAB1B_HUMAN	0.6
TERA_HUMAN	TERA_HUMAN	566.4000000000001
TERA_HUMAN	GOGA2_HUMAN	0.8
TERA_HUMAN	SNAA_HUMAN	0.8
TERA_HUMAN	CALX_HUMAN	4.8
TERA_HUMAN	MPCP_HUMAN	0.8
TERA_HUMAN	VINC_HUMAN	1.6
TERA_HUMAN	SC22B_HUMAN	1.44
TERA_HUMAN	NSF_HUMAN	0.8
TERA_HUMAN	RPN2_HUMAN	0.8
TERA_HUMAN	LMNA_HUMAN	0.8
TERA_HUMAN	VAMP2_HUMAN	3.2
TERA_HUMAN	CUL5_HUMAN	0.8
TERA_HUMAN	S2546_HUMAN	0.8
TERA_HUMAN	SEC13_HUMAN	0.8
TERA_HUMAN	1433B_HUMAN	1.44
WDR1_HUMAN	CALX_HUMAN	1.6
WDR1_HUMAN	RENR_HUMAN	0.8
WDR1_HUMAN	RAB1A_HUMAN	0.64
WDR1_HUMAN	RAB5C_HUMAN	0.64
GOGA2_HUMAN	GOGA2_HUMAN	14.400000000000004
GOGA2_HUMAN	CALX_HUMAN	0.8
GOGA2_HUMAN	RAB1A_HUMAN	4.8
GOGA2_HUMAN	RB11A_HUMAN	0.8
GOGA2_HUMAN	CUL5_HUMAN	4.0
GOGA2_HUMAN	GOSR1_HUMAN	2.08
GOGA2_HUMAN	SC24C_HUMAN	0.64
GOGA2_HUMAN	RAB1B_HUMAN	3.0
SNAA_HUMAN	CALX_HUMAN	1.6
SNAA_HUMAN	COG3_HUMAN	0.6
SNAA_HUMAN	SNAG_HUMAN	4.6
SNAA_HUMAN	SC22B_HUMAN	4.44
SNAA_HUMAN	RAB1A_HUMAN	0.6
SNAA_HUMAN	NSF_HUMAN	8.24
SNAA_HUMAN	CD59_HUMAN	0.6
SNAA_HUMAN	RAB5C_HUMAN	0.6
SNAA_HUMAN	CNIH3_HUMAN	0.6
SNAA_HUMAN	SNP23_HUMAN	5.3999999999999995
SNAA_HUMAN	VAMP2_HUMAN	3.8400000000000003
SNAA_HUMAN	CNIH2_HUMAN	0.6
SNAA_HUMAN	GOSR1_HUMAN	1.4
SNAA_HUMAN	1433B_HUMAN	0.64
SNAA_HUMAN	STX4_HUMAN	5.3999999999999995
SNAA_HUMAN	SC24C_HUMAN	0.6
SNAA_HUMAN	RASK_HUMAN	0.8
SNAA_HUMAN	RAB1B_HUMAN	0.6
CALX_HUMAN	CALX_HUMAN	11.200000000000001
CALX_HUMAN	MPCP_HUMAN	0.8
CALX_HUMAN	ODO2_HUMAN	2.4000000000000004
