UniProtID	UniProtID	score
SCOT1_HUMAN	CH60_HUMAN	2.4000000000000004
SCOT1_HUMAN	PUR9_HUMAN	0.8
SCOT1_HUMAN	VAPB_HUMAN	0.8
SCOT1_HUMAN	TRAP1_HUMAN	0.8
SCOT1_HUMAN	EPS15_HUMAN	1.6
SCOT1_HUMAN	MDHM_HUMAN	0.8
SCOT1_HUMAN	CXA1_HUMAN	0.64
SCOT1_HUMAN	MDHC_HUMAN	0.8
SCOT1_HUMAN	HSPB1_HUMAN	0.8
SCOT1_HUMAN	UCHL1_HUMAN	0.8
SCOT1_HUMAN	PTEN_HUMAN	0.64
SCOT1_HUMAN	AT1B1_HUMAN	0.64
SCOT1_HUMAN	C1QBP_HUMAN	4.0
SCOT1_HUMAN	TAU_HUMAN	0.64
SCOT1_HUMAN	PRDX6_HUMAN	1.4
SCOT1_HUMAN	SUCB1_HUMAN	1.6
SCOT1_HUMAN	ADT2_HUMAN	0.8
SCOT1_HUMAN	ZDHC5_HUMAN	0.8
SCOT1_HUMAN	NDUV1_HUMAN	2.2
SCOT1_HUMAN	AGRB3_HUMAN	1.6
SCOT1_HUMAN	FUMH_HUMAN	1.6
SCOT1_HUMAN	DLG4_HUMAN	0.64
SCOT1_HUMAN	WDR1_HUMAN	0.8
SCOT1_HUMAN	UCRI_HUMAN	0.8
SCOT1_HUMAN	OGT1_HUMAN	0.8
SCOT1_HUMAN	SRC8_HUMAN	0.8
SCOT1_HUMAN	NDUS3_HUMAN	1.6
SCOT1_HUMAN	CISY_HUMAN	1.6
SCOT1_HUMAN	SC6A4_HUMAN	0.64
SCOT1_HUMAN	GLYM_HUMAN	1.6
SCOT1_HUMAN	THIL_HUMAN	0.6
SCOT1_HUMAN	PSN1_HUMAN	1.6
SCOT1_HUMAN	NDKA_HUMAN	0.8
SCOT1_HUMAN	PGK1_HUMAN	0.8
SCOT1_HUMAN	AATC_HUMAN	0.8
SCOT1_HUMAN	TPIS_HUMAN	0.8
SCOT1_HUMAN	PTN11_HUMAN	0.8
SCOT1_HUMAN	AHNK_HUMAN	0.8
SCOT1_HUMAN	TALDO_HUMAN	0.8
SCOT1_HUMAN	ANXA6_HUMAN	0.8
SCOT1_HUMAN	MGST3_HUMAN	0.8
SCOT1_HUMAN	AIFM1_HUMAN	0.8
SCOT1_HUMAN	KCY_HUMAN	0.8
SCOT1_HUMAN	STXB1_HUMAN	0.8
SCOT1_HUMAN	HCDH_HUMAN	0.6
SCOT1_HUMAN	AUHM_HUMAN	0.8
SCOT1_HUMAN	AL1L1_HUMAN	1.6
SCOT1_HUMAN	SCOT1_HUMAN	11.6
SCOT1_HUMAN	ENOG_HUMAN	0.8
SCOT1_HUMAN	SEP11_HUMAN	0.8
SCOT1_HUMAN	IF4G2_HUMAN	0.8
SCOT1_HUMAN	SUCA_HUMAN	2.2
SCOT1_HUMAN	KAP1_HUMAN	0.64
SCOT1_HUMAN	6PGD_HUMAN	0.8
SCOT1_HUMAN	BDH_HUMAN	0.6
CH60_HUMAN	CH60_HUMAN	151.2
CH60_HUMAN	TRAP1_HUMAN	2.04
CH60_HUMAN	MDHM_HUMAN	2.4000000000000004
CH60_HUMAN	CXA1_HUMAN	1.28
CH60_HUMAN	PTEN_HUMAN	1.44
