UniProtID	UniProtID	score
SHC4_HUMAN	SRC_HUMAN	0.6
SHC4_HUMAN	ERBB2_HUMAN	1.4
SHC4_HUMAN	GRB2_HUMAN	2.6
SHC4_HUMAN	NTRK2_HUMAN	1.6
SHC4_HUMAN	NBEA_HUMAN	0.8
SHC4_HUMAN	ABL1_HUMAN	0.6
SHC4_HUMAN	PTN11_HUMAN	2.0
SHC4_HUMAN	JAK2_HUMAN	0.6
SHC4_HUMAN	BCR_HUMAN	0.6
SHC4_HUMAN	ERBB4_HUMAN	1.4
SHC4_HUMAN	FYN_HUMAN	0.6
SHC4_HUMAN	NTRK3_HUMAN	0.6
SHC4_HUMAN	FAK1_HUMAN	0.6
SRC_HUMAN	SRC_HUMAN	101.28
SRC_HUMAN	ERBB2_HUMAN	19.840000000000003
SRC_HUMAN	GRB2_HUMAN	2.6
SRC_HUMAN	NTRK2_HUMAN	0.6
SRC_HUMAN	ABL1_HUMAN	3.4
SRC_HUMAN	PTN11_HUMAN	4.5200000000000005
SRC_HUMAN	JAK2_HUMAN	4.0
SRC_HUMAN	BCR_HUMAN	1.28
SRC_HUMAN	ERBB4_HUMAN	0.8
SRC_HUMAN	FYN_HUMAN	6.8
SRC_HUMAN	NTRK3_HUMAN	0.6
SRC_HUMAN	FAK1_HUMAN	33.24000000000001
ERBB2_HUMAN	ERBB2_HUMAN	75.19999999999999
ERBB2_HUMAN	GRB2_HUMAN	15.600000000000001
ERBB2_HUMAN	NTRK2_HUMAN	0.8
ERBB2_HUMAN	ABL1_HUMAN	6.2
ERBB2_HUMAN	PTN11_HUMAN	8.639999999999999
ERBB2_HUMAN	JAK2_HUMAN	1.6
ERBB2_HUMAN	ERBB4_HUMAN	7.999999999999999
ERBB2_HUMAN	FYN_HUMAN	2.6
ERBB2_HUMAN	NTRK3_HUMAN	0.8
ERBB2_HUMAN	FAK1_HUMAN	5.199999999999999
GRB2_HUMAN	GRB2_HUMAN	275.6
GRB2_HUMAN	NTRK2_HUMAN	0.6
GRB2_HUMAN	ABL1_HUMAN	12.799999999999999
GRB2_HUMAN	PTN11_HUMAN	45.96000000000001
GRB2_HUMAN	JAK2_HUMAN	5.3999999999999995
GRB2_HUMAN	BCR_HUMAN	27.280000000000005
GRB2_HUMAN	ERBB4_HUMAN	8.799999999999999
GRB2_HUMAN	FYN_HUMAN	0.6
GRB2_HUMAN	NTRK3_HUMAN	0.6
GRB2_HUMAN	FAK1_HUMAN	17.44
NTRK2_HUMAN	NTRK2_HUMAN	5.6
NTRK2_HUMAN	ABL1_HUMAN	0.6
NTRK2_HUMAN	PTN11_HUMAN	2.8400000000000003
NTRK2_HUMAN	ERBB4_HUMAN	3.0
NTRK2_HUMAN	FYN_HUMAN	2.0
NBEA_HUMAN	NBEA_HUMAN	2.0
NBEA_HUMAN	ABL1_HUMAN	0.8
NBEA_HUMAN	FYN_HUMAN	0.8
ABL1_HUMAN	ABL1_HUMAN	176.39999999999998
ABL1_HUMAN	PTN11_HUMAN	1.28
ABL1_HUMAN	BCR_HUMAN	5.6
ABL1_HUMAN	ERBB4_HUMAN	2.4000000000000004
ABL1_HUMAN	FYN_HUMAN	1.4
ABL1_HUMAN	NTRK3_HUMAN	0.6
PTN11_HUMAN	PTN11_HUMAN	80.48
PTN11_HUMAN	JAK2_HUMAN	8.799999999999999
PTN11_HUMAN	ERBB4_HUMAN	5.6
PTN11_HUMAN	FYN_HUMAN	2.4
PTN11_HUMAN	NTRK3_HUMAN	0.6
PTN11_HUMAN	FAK1_HUMAN	4.8
JAK2_HUMAN	JAK2_HUMAN	246.39999999999998
JAK2_HUMAN	BCR_HUMAN	0.6
JAK2_HUMAN	ERBB4_HUMAN	0.6
JAK2_HUMAN	FYN_HUMAN	2.6
JAK2_HUMAN	FAK1_HUMAN	2.6
BCR_HUMAN	BCR_HUMAN	46.0
ERBB4_HUMAN	ERBB4_HUMAN	53.2
ERBB4_HUMAN	FYN_HUMAN	3.6
FYN_HUMAN	FYN_HUMAN	37.2
FYN_HUMAN	FAK1_HUMAN	5.64
NTRK3_HUMAN	NTRK3_HUMAN	6.0
FAK1_HUMAN	FAK1_HUMAN	147.59999999999997
