UniProtID	UniProtID	score
SKIV2_HUMAN	TCPA_HUMAN	0.6
SKIV2_HUMAN	STAU1_HUMAN	0.8
SKIV2_HUMAN	RENT1_HUMAN	0.6
SKIV2_HUMAN	CACB3_HUMAN	3.2
SKIV2_HUMAN	TCPZ_HUMAN	0.6
SKIV2_HUMAN	TCPB_HUMAN	0.6
SKIV2_HUMAN	TCPG_HUMAN	0.6
SKIV2_HUMAN	NPM_HUMAN	1.6
SKIV2_HUMAN	PLCG1_HUMAN	0.8
SKIV2_HUMAN	ITSN1_HUMAN	0.8
SKIV2_HUMAN	WDR1_HUMAN	1.6
SKIV2_HUMAN	RAN_HUMAN	0.8
SKIV2_HUMAN	TCPQ_HUMAN	0.6
SKIV2_HUMAN	RRBP1_HUMAN	1.28
SKIV2_HUMAN	TTC37_HUMAN	3.2
SKIV2_HUMAN	CDKL5_HUMAN	1.6
SKIV2_HUMAN	RL10_HUMAN	1.6
SKIV2_HUMAN	RL35_HUMAN	1.28
SKIV2_HUMAN	TCPH_HUMAN	1.4
SKIV2_HUMAN	EIF3A_HUMAN	1.28
SKIV2_HUMAN	TCPW_HUMAN	0.6
SKIV2_HUMAN	TCPE_HUMAN	0.6
SKIV2_HUMAN	DUS10_HUMAN	0.8
SKIV2_HUMAN	SKIV2_HUMAN	1.6
SKIV2_HUMAN	RAB4B_HUMAN	1.6
SKIV2_HUMAN	TCPD_HUMAN	0.6
TCPA_HUMAN	STAU1_HUMAN	0.8
TCPA_HUMAN	TCPZ_HUMAN	6.44
TCPA_HUMAN	TCPB_HUMAN	12.76
TCPA_HUMAN	TCPG_HUMAN	24.759999999999998
TCPA_HUMAN	NPM_HUMAN	0.8
TCPA_HUMAN	RAN_HUMAN	0.6
TCPA_HUMAN	TCPQ_HUMAN	20.32
TCPA_HUMAN	TCPH_HUMAN	26.92
TCPA_HUMAN	TCPW_HUMAN	2.2
TCPA_HUMAN	TCPE_HUMAN	9.239999999999998
TCPA_HUMAN	TCPD_HUMAN	24.759999999999998
STAU1_HUMAN	STAU1_HUMAN	5.6
STAU1_HUMAN	RENT1_HUMAN	13.480000000000004
STAU1_HUMAN	TCPZ_HUMAN	0.8
STAU1_HUMAN	TCPB_HUMAN	0.8
STAU1_HUMAN	TCPG_HUMAN	0.8
STAU1_HUMAN	NPM_HUMAN	1.6
STAU1_HUMAN	PLCG1_HUMAN	0.8
STAU1_HUMAN	RAN_HUMAN	1.6
STAU1_HUMAN	TCPQ_HUMAN	0.8
STAU1_HUMAN	RRBP1_HUMAN	0.8
STAU1_HUMAN	TTC37_HUMAN	0.8
STAU1_HUMAN	RL10_HUMAN	2.4000000000000004
STAU1_HUMAN	RL35_HUMAN	0.8
STAU1_HUMAN	EIF3A_HUMAN	1.6
STAU1_HUMAN	TCPE_HUMAN	0.8
STAU1_HUMAN	TCPD_HUMAN	1.6
RENT1_HUMAN	RENT1_HUMAN	16.8
RENT1_HUMAN	RL35_HUMAN	0.6
RENT1_HUMAN	EIF3A_HUMAN	3.64
CACB3_HUMAN	CACB3_HUMAN	3.2
CACB3_HUMAN	PLCG1_HUMAN	0.8
TCPZ_HUMAN	TCPZ_HUMAN	16.0
TCPZ_HUMAN	TCPB_HUMAN	6.519999999999999
TCPZ_HUMAN	TCPG_HUMAN	37.32
TCPZ_HUMAN	RAN_HUMAN	0.6
TCPZ_HUMAN	TCPQ_HUMAN	27.72
TCPZ_HUMAN	TCPH_HUMAN	11.319999999999999
TCPZ_HUMAN	TCPW_HUMAN	1.4
TCPZ_HUMAN	TCPE_HUMAN	4.44
TCPZ_HUMAN	TCPD_HUMAN	6.3599999999999985
TCPB_HUMAN	TCPB_HUMAN	17.28
TCPB_HUMAN	TCPG_HUMAN	9.4
TCPB_HUMAN	NPM_HUMAN	0.8
TCPB_HUMAN	RAN_HUMAN	0.6
TCPB_HUMAN	TCPQ_HUMAN	6.999999999999999
TCPB_HUMAN	TCPH_HUMAN	15.200000000000001
TCPB_HUMAN	TCPW_HUMAN	2.2
TCPB_HUMAN	TCPE_HUMAN	37.32
TCPB_HUMAN	TCPD_HUMAN	30.64
TCPG_HUMAN	TCPG_HUMAN	23.68000000000001
TCPG_HUMAN	TCPQ_HUMAN	30.799999999999997
TCPG_HUMAN	TCPH_HUMAN	13.4
TCPG_HUMAN	TCPW_HUMAN	3.8000000000000003
TCPG_HUMAN	TCPE_HUMAN	8.52
TCPG_HUMAN	TCPD_HUMAN	9.239999999999998
NPM_HUMAN	NPM_HUMAN	155.2
NPM_HUMAN	PLCG1_HUMAN	2.0
NPM_HUMAN	RAN_HUMAN	0.6
NPM_HUMAN	RRBP1_HUMAN	1.28
NPM_HUMAN	TTC37_HUMAN	1.6
NPM_HUMAN	RL10_HUMAN	4.0
NPM_HUMAN	RL35_HUMAN	3.6800000000000006
NPM_HUMAN	EIF3A_HUMAN	2.8800000000000003
PLCG1_HUMAN	PLCG1_HUMAN	20.799999999999997
ITSN1_HUMAN	ITSN1_HUMAN	19.2
ITSN1_HUMAN	TTC37_HUMAN	0.8
WDR1_HUMAN	RAB4B_HUMAN	0.64
RAN_HUMAN	RAN_HUMAN	74.0
RAN_HUMAN	TCPD_HUMAN	0.6
TCPQ_HUMAN	TCPQ_HUMAN	3.6
TCPQ_HUMAN	RL35_HUMAN	0.8
TCPQ_HUMAN	TCPH_HUMAN	23.0
TCPQ_HUMAN	TCPW_HUMAN	1.4
TCPQ_HUMAN	TCPE_HUMAN	7.719999999999999
TCPQ_HUMAN	TCPD_HUMAN	6.839999999999999
RRBP1_HUMAN	TTC37_HUMAN	1.28
RRBP1_HUMAN	RL10_HUMAN	1.28
RRBP1_HUMAN	RL35_HUMAN	1.28
TTC37_HUMAN	RL10_HUMAN	1.6
TTC37_HUMAN	RL35_HUMAN	1.28
TTC37_HUMAN	EIF3A_HUMAN	1.28
TTC37_HUMAN	DUS10_HUMAN	0.8
