UniProtID	UniProtID	score
SLMAP_HUMAN	SSRA_HUMAN	0.8
SLMAP_HUMAN	MYPR_HUMAN	0.8
SLMAP_HUMAN	UBC_HUMAN	0.64
SLMAP_HUMAN	STRN4_HUMAN	4.6
SLMAP_HUMAN	PAR2_HUMAN	1.6
SLMAP_HUMAN	RABE1_HUMAN	3.2
SLMAP_HUMAN	RHG21_HUMAN	0.64
SLMAP_HUMAN	STRN_HUMAN	11.96
SLMAP_HUMAN	OPHN1_HUMAN	0.64
SLMAP_HUMAN	2AAA_HUMAN	6.199999999999999
SLMAP_HUMAN	RBP1_HUMAN	0.64
SLMAP_HUMAN	AT2A1_HUMAN	0.8
SLMAP_HUMAN	RGPA1_HUMAN	1.6
SLMAP_HUMAN	PRIC2_HUMAN	0.64
SLMAP_HUMAN	RHG26_HUMAN	0.64
SLMAP_HUMAN	VAC14_HUMAN	0.8
SLMAP_HUMAN	FRYL_HUMAN	1.6
SLMAP_HUMAN	NMDZ1_HUMAN	1.28
SLMAP_HUMAN	PP2AA_HUMAN	8.28
SLMAP_HUMAN	RADI_HUMAN	0.8
SLMAP_HUMAN	PRS6A_HUMAN	1.6
SLMAP_HUMAN	4EBP1_HUMAN	1.6
SLMAP_HUMAN	SYGP1_HUMAN	0.64
SLMAP_HUMAN	RAB5A_HUMAN	0.8
SLMAP_HUMAN	SLMAP_HUMAN	4.0
SLMAP_HUMAN	FGD4_HUMAN	0.64
SLMAP_HUMAN	STX3_HUMAN	1.6
SLMAP_HUMAN	SRGP2_HUMAN	0.64
SLMAP_HUMAN	STX4_HUMAN	0.8
SLMAP_HUMAN	PDLI5_HUMAN	0.64
SLMAP_HUMAN	RASK_HUMAN	0.64
SLMAP_HUMAN	PROF1_HUMAN	0.8
SSRA_HUMAN	UBC_HUMAN	1.2
SSRA_HUMAN	AT2A1_HUMAN	0.8
SSRA_HUMAN	RAB5A_HUMAN	1.6
SSRA_HUMAN	STX4_HUMAN	0.8
SSRA_HUMAN	RASK_HUMAN	0.8
MYPR_HUMAN	MYPR_HUMAN	4.0
MYPR_HUMAN	UBC_HUMAN	0.64
MYPR_HUMAN	STRN4_HUMAN	0.8
MYPR_HUMAN	STRN_HUMAN	0.8
MYPR_HUMAN	STX4_HUMAN	0.8
UBC_HUMAN	UBC_HUMAN	444.19999999999993
UBC_HUMAN	STRN4_HUMAN	0.64
UBC_HUMAN	RABE1_HUMAN	2.8800000000000003
UBC_HUMAN	2AAA_HUMAN	1.4
UBC_HUMAN	RBP1_HUMAN	1.8
UBC_HUMAN	NMDZ1_HUMAN	1.44
UBC_HUMAN	PP2AA_HUMAN	0.6
UBC_HUMAN	PRS6A_HUMAN	5.12
UBC_HUMAN	RAB5A_HUMAN	0.6
UBC_HUMAN	RASK_HUMAN	1.24
STRN4_HUMAN	STRN_HUMAN	8.12
STRN4_HUMAN	2AAA_HUMAN	11.48
STRN4_HUMAN	PP2AA_HUMAN	8.28
PAR2_HUMAN	PRS6A_HUMAN	1.6
RABE1_HUMAN	RABE1_HUMAN	37.6
RABE1_HUMAN	RAB5A_HUMAN	24.4
RABE1_HUMAN	PROF1_HUMAN	0.8
RHG21_HUMAN	RHG21_HUMAN	2.0
RHG21_HUMAN	RBP1_HUMAN	0.64
RHG21_HUMAN	PRIC2_HUMAN	0.64
RHG21_HUMAN	RHG26_HUMAN	0.64
RHG21_HUMAN	SYGP1_HUMAN	0.64
RHG21_HUMAN	FGD4_HUMAN	0.64
RHG21_HUMAN	SRGP2_HUMAN	0.64
RHG21_HUMAN	PDLI5_HUMAN	0.64
RHG21_HUMAN	RASK_HUMAN	1.6
RHG21_HUMAN	PROF1_HUMAN	0.8
STRN_HUMAN	2AAA_HUMAN	20.600000000000012
STRN_HUMAN	RGPA1_HUMAN	0.64
STRN_HUMAN	PP2AA_HUMAN	10.520000000000001
STRN_HUMAN	4EBP1_HUMAN	0.64
STRN_HUMAN	SYGP1_HUMAN	1.28
OPHN1_HUMAN	RBP1_HUMAN	0.64
OPHN1_HUMAN	RHG26_HUMAN	0.8
2AAA_HUMAN	2AAA_HUMAN	22.16
2AAA_HUMAN	NMDZ1_HUMAN	0.64
2AAA_HUMAN	PP2AA_HUMAN	113.51999999999991
2AAA_HUMAN	PRS6A_HUMAN	0.6
2AAA_HUMAN	SRGP2_HUMAN	0.8
2AAA_HUMAN	RASK_HUMAN	0.6
RBP1_HUMAN	RBP1_HUMAN	1.6
RBP1_HUMAN	PRIC2_HUMAN	0.64
RBP1_HUMAN	RHG26_HUMAN	0.64
RBP1_HUMAN	SYGP1_HUMAN	0.64
RBP1_HUMAN	FGD4_HUMAN	0.64
RBP1_HUMAN	SRGP2_HUMAN	0.64
RBP1_HUMAN	PDLI5_HUMAN	1.92
RBP1_HUMAN	RASK_HUMAN	1.4
RGPA1_HUMAN	4EBP1_HUMAN	0.64
RGPA1_HUMAN	RASK_HUMAN	0.8
PRIC2_HUMAN	RHG26_HUMAN	0.64
PRIC2_HUMAN	NMDZ1_HUMAN	1.6
PRIC2_HUMAN	SYGP1_HUMAN	0.64
PRIC2_HUMAN	FGD4_HUMAN	0.64
PRIC2_HUMAN	SRGP2_HUMAN	0.64
PRIC2_HUMAN	PDLI5_HUMAN	0.64
RHG26_HUMAN	SYGP1_HUMAN	0.64
RHG26_HUMAN	FGD4_HUMAN	0.64
RHG26_HUMAN	SRGP2_HUMAN	0.64
RHG26_HUMAN	PDLI5_HUMAN	0.64
VAC14_HUMAN	VAC14_HUMAN	11.600000000000001
VAC14_HUMAN	PP2AA_HUMAN	4.0
NMDZ1_HUMAN	NMDZ1_HUMAN	53.359999999999985
NMDZ1_HUMAN	PP2AA_HUMAN	2.56
NMDZ1_HUMAN	SYGP1_HUMAN	4.48
NMDZ1_HUMAN	FGD4_HUMAN	0.64
NMDZ1_HUMAN	PDLI5_HUMAN	0.6
NMDZ1_HUMAN	RASK_HUMAN	0.6
PP2AA_HUMAN	PP2AA_HUMAN	8.0
PP2AA_HUMAN	PRS6A_HUMAN	0.6
PP2AA_HUMAN	4EBP1_HUMAN	0.6
PP2AA_HUMAN	RASK_HUMAN	1.4
RADI_HUMAN	RADI_HUMAN	24.00000000000001
RADI_HUMAN	PROF1_HUMAN	0.8
PRS6A_HUMAN	PRS6A_HUMAN	16.400000000000006
PRS6A_HUMAN	RASK_HUMAN	1.6
SYGP1_HUMAN	SYGP1_HUMAN	16.000000000000004
SYGP1_HUMAN	FGD4_HUMAN	0.64
SYGP1_HUMAN	SRGP2_HUMAN	1.92
SYGP1_HUMAN	PDLI5_HUMAN	0.64
SYGP1_HUMAN	RASK_HUMAN	0.6
RAB5A_HUMAN	RAB5A_HUMAN	50.8
RAB5A_HUMAN	STX3_HUMAN	0.8
RAB5A_HUMAN	STX4_HUMAN	1.0
FGD4_HUMAN	SRGP2_HUMAN	0.64
FGD4_HUMAN	PDLI5_HUMAN	0.64
STX3_HUMAN	STX4_HUMAN	9.44
STX3_HUMAN	RASK_HUMAN	3.2
SRGP2_HUMAN	SRGP2_HUMAN	22.0
SRGP2_HUMAN	PDLI5_HUMAN	0.64
SRGP2_HUMAN	RASK_HUMAN	0.8
SRGP2_HUMAN	PROF1_HUMAN	1.4
STX4_HUMAN	STX4_HUMAN	3.2
STX4_HUMAN	RASK_HUMAN	0.8
PDLI5_HUMAN	PDLI5_HUMAN	8.0
RASK_HUMAN	RASK_HUMAN	676.0
PROF1_HUMAN	PROF1_HUMAN	6.0
