UniProtID	UniProtID	score
SNPH_HUMAN	CLAP1_HUMAN	1.0
SNPH_HUMAN	STX1A_HUMAN	1.4
SNPH_HUMAN	KAPCA_HUMAN	1.0
SNPH_HUMAN	KIF2A_HUMAN	1.0
SNPH_HUMAN	TBB3_HUMAN	1.0
SNPH_HUMAN	CHIP_HUMAN	2.0
SNPH_HUMAN	VATH_HUMAN	3.2
CLAP1_HUMAN	CLAP1_HUMAN	6.0
CLAP1_HUMAN	KAPCA_HUMAN	0.6
CLAP1_HUMAN	KIF2A_HUMAN	1.4
STX1A_HUMAN	STX1A_HUMAN	47.75999999999996
KAPCA_HUMAN	KAPCA_HUMAN	37.20000000000001
KAPCA_HUMAN	CHIP_HUMAN	4.4
KIF2A_HUMAN	KIF2A_HUMAN	3.2
TBB3_HUMAN	TBB3_HUMAN	11.6
TBB3_HUMAN	CHIP_HUMAN	0.8
CHIP_HUMAN	CHIP_HUMAN	82.79999999999994
