UniProtID	UniProtID	score
SNX2_HUMAN	VAPB_HUMAN	2.4000000000000004
SNX2_HUMAN	VP26A_HUMAN	3.8400000000000003
SNX2_HUMAN	CTRO_HUMAN	0.8
SNX2_HUMAN	STX7_HUMAN	0.8
SNX2_HUMAN	DCTN1_HUMAN	0.64
SNX2_HUMAN	ARF1_HUMAN	0.6
SNX2_HUMAN	SNX6_HUMAN	11.64
SNX2_HUMAN	HGS_HUMAN	0.8
SNX2_HUMAN	PDXK_HUMAN	0.8
SNX2_HUMAN	RTN4_HUMAN	0.8
SNX2_HUMAN	AP1B1_HUMAN	0.6
SNX2_HUMAN	RAB7A_HUMAN	0.64
SNX2_HUMAN	SNX27_HUMAN	0.64
SNX2_HUMAN	RAB35_HUMAN	0.8
SNX2_HUMAN	STAT1_HUMAN	0.8
SNX2_HUMAN	PAK6_HUMAN	1.6
SNX2_HUMAN	HD_HUMAN	4.8
SNX2_HUMAN	ARF6_HUMAN	0.8
SNX2_HUMAN	AP3S1_HUMAN	0.6
SNX2_HUMAN	AP1S1_HUMAN	0.6
SNX2_HUMAN	VPS35_HUMAN	4.44
SNX2_HUMAN	PICAL_HUMAN	0.6
SNX2_HUMAN	CYLD_HUMAN	0.8
SNX2_HUMAN	TBCD_HUMAN	1.44
SNX2_HUMAN	HSP7C_HUMAN	0.6
SNX2_HUMAN	AP1M1_HUMAN	0.6
SNX2_HUMAN	DTBP1_HUMAN	0.6
SNX2_HUMAN	SNX2_HUMAN	2.0
SNX2_HUMAN	VATC1_HUMAN	1.44
SNX2_HUMAN	MARCS_HUMAN	0.8
SNX2_HUMAN	HIP1R_HUMAN	0.6
SNX2_HUMAN	CSK2B_HUMAN	2.4000000000000004
SNX2_HUMAN	SRC8_HUMAN	0.8
SNX2_HUMAN	SNAA_HUMAN	0.6
SNX2_HUMAN	AP3B1_HUMAN	0.6
SNX2_HUMAN	UBP46_HUMAN	1.6
SNX2_HUMAN	DYN3_HUMAN	1.6
SNX2_HUMAN	FRIH_HUMAN	0.6
SNX2_HUMAN	ARRB1_HUMAN	0.6
SNX2_HUMAN	SNX9_HUMAN	0.6
SNX2_HUMAN	HOOK3_HUMAN	0.8
SNX2_HUMAN	RADI_HUMAN	0.8
SNX2_HUMAN	DLDH_HUMAN	2.4000000000000004
SNX2_HUMAN	SH3G2_HUMAN	0.6
SNX2_HUMAN	RAB4A_HUMAN	0.8
SNX2_HUMAN	A4_HUMAN	2.4000000000000004
SNX2_HUMAN	CADH1_HUMAN	0.8
SNX2_HUMAN	RAB5C_HUMAN	1.4
SNX2_HUMAN	LTOR1_HUMAN	0.8
SNX2_HUMAN	TPD53_HUMAN	0.6
SNX2_HUMAN	VPS29_HUMAN	3.8400000000000003
SNX2_HUMAN	RAB5A_HUMAN	0.8
SNX2_HUMAN	RB11A_HUMAN	0.8
SNX2_HUMAN	SNX4_HUMAN	1.44
SNX2_HUMAN	VAMP2_HUMAN	0.6
SNX2_HUMAN	GDAP1_HUMAN	2.4000000000000004
SNX2_HUMAN	SNX5_HUMAN	3.6400000000000006
SNX2_HUMAN	RB6I2_HUMAN	0.8
SNX2_HUMAN	DUS10_HUMAN	1.6
SNX2_HUMAN	GAK_HUMAN	0.6
SNX2_HUMAN	PAR1_HUMAN	0.6
SNX2_HUMAN	ANFY1_HUMAN	1.44
SNX2_HUMAN	SNX1_HUMAN	5.639999999999999
SNX2_HUMAN	AUXI_HUMAN	0.6
SNX2_HUMAN	RASK_HUMAN	0.8
SNX2_HUMAN	DYN2_HUMAN	0.6
SNX2_HUMAN	AP1G1_HUMAN	0.6
VAPB_HUMAN	VAPB_HUMAN	3.6
VAPB_HUMAN	STX7_HUMAN	0.8
VAPB_HUMAN	SNX6_HUMAN	2.4000000000000004
VAPB_HUMAN	RAB35_HUMAN	0.8
VAPB_HUMAN	ARF6_HUMAN	0.8
