UniProtID	UniProtID	score
SPIR1_HUMAN	MYO5A_HUMAN	0.6
SPIR1_HUMAN	CTRO_HUMAN	0.8
SPIR1_HUMAN	FMN2_HUMAN	2.6
SPIR1_HUMAN	AT1A3_HUMAN	2.4000000000000004
SPIR1_HUMAN	SPIR1_HUMAN	4.0
SPIR1_HUMAN	1433T_HUMAN	2.4000000000000004
SPIR1_HUMAN	1433G_HUMAN	0.8
SPIR1_HUMAN	1433Z_HUMAN	0.8
SPIR1_HUMAN	1433S_HUMAN	1.6
SPIR1_HUMAN	MTCH2_HUMAN	0.8
SPIR1_HUMAN	MYO5B_HUMAN	0.6
SPIR1_HUMAN	1433F_HUMAN	0.8
MYO5A_HUMAN	MYO5A_HUMAN	30.40000000000001
MYO5A_HUMAN	1433Z_HUMAN	0.64
CTRO_HUMAN	CTRO_HUMAN	1.6
CTRO_HUMAN	MTCH2_HUMAN	0.8
FMN2_HUMAN	FMN2_HUMAN	2.0
1433T_HUMAN	1433T_HUMAN	67.6
1433T_HUMAN	1433G_HUMAN	5.239999999999999
1433T_HUMAN	1433Z_HUMAN	8.28
1433T_HUMAN	1433S_HUMAN	3.8000000000000003
1433T_HUMAN	1433F_HUMAN	6.839999999999999
1433G_HUMAN	1433G_HUMAN	153.2
1433G_HUMAN	1433Z_HUMAN	9.72
1433G_HUMAN	1433S_HUMAN	5.3999999999999995
1433G_HUMAN	1433F_HUMAN	6.839999999999999
1433Z_HUMAN	1433Z_HUMAN	164.4
1433Z_HUMAN	1433S_HUMAN	5.3999999999999995
1433Z_HUMAN	MTCH2_HUMAN	0.8
1433Z_HUMAN	1433F_HUMAN	11.32
1433S_HUMAN	1433S_HUMAN	609.2
1433S_HUMAN	1433F_HUMAN	1.4
1433F_HUMAN	1433F_HUMAN	30.400000000000006
