UniProtID	UniProtID	score
SPN90_HUMAN	PACN1_HUMAN	4.8
SPN90_HUMAN	GRB2_HUMAN	16.0
SPN90_HUMAN	PLCG1_HUMAN	2.4000000000000004
SPN90_HUMAN	DLG4_HUMAN	0.8
SPN90_HUMAN	ARHG7_HUMAN	1.6
SPN90_HUMAN	ARHG6_HUMAN	1.6
SPN90_HUMAN	VINEX_HUMAN	3.2
SPN90_HUMAN	NCK1_HUMAN	4.6
SPN90_HUMAN	CRK_HUMAN	0.8
SPN90_HUMAN	ABL1_HUMAN	0.8
SPN90_HUMAN	CRKL_HUMAN	1.28
SPN90_HUMAN	TNFL6_HUMAN	1.6
SPN90_HUMAN	NCK2_HUMAN	4.0
SPN90_HUMAN	FYN_HUMAN	1.6
SPN90_HUMAN	DIAP3_HUMAN	6.2
SPN90_HUMAN	STAC_HUMAN	2.4000000000000004
SPN90_HUMAN	1433B_HUMAN	1.6
SPN90_HUMAN	DCAF7_HUMAN	0.8
SPN90_HUMAN	GEMI4_HUMAN	1.6
SPN90_HUMAN	DDX20_HUMAN	1.6
SPN90_HUMAN	CSN3_HUMAN	1.6
SPN90_HUMAN	GEMI5_HUMAN	0.8
SPN90_HUMAN	SMN_HUMAN	1.6
SPN90_HUMAN	GEMI6_HUMAN	2.4000000000000004
SPN90_HUMAN	GEMI2_HUMAN	2.4000000000000004
SPN90_HUMAN	PACN2_HUMAN	2.4000000000000004
SPN90_HUMAN	SNX1_HUMAN	0.8
SPN90_HUMAN	GEMI7_HUMAN	0.8
SPN90_HUMAN	1433G_HUMAN	3.2
SPN90_HUMAN	1433F_HUMAN	1.6
SPN90_HUMAN	1433T_HUMAN	1.6
SPN90_HUMAN	1433Z_HUMAN	2.4000000000000004
SPN90_HUMAN	WASL_HUMAN	2.4000000000000004
SPN90_HUMAN	SRCN1_HUMAN	0.64
SPN90_HUMAN	DYN1_HUMAN	4.0
SPN90_HUMAN	RAC1_HUMAN	1
SPN90_HUMAN	PALLD_HUMAN	2.6
SPN90_HUMAN	XPO1_HUMAN	1.44
SPN90_HUMAN	DAPK1_HUMAN	1.6
SPN90_HUMAN	CLH1_HUMAN	0.8
SPN90_HUMAN	BAIP2_HUMAN	4.2
SPN90_HUMAN	BICD1_HUMAN	3.2
SPN90_HUMAN	VAMP2_HUMAN	0.8
SPN90_HUMAN	SYPH_HUMAN	0.8
SPN90_HUMAN	PSMD9_HUMAN	4.0
SPN90_HUMAN	SHAN3_HUMAN	1.6
SPN90_HUMAN	CLTR2_HUMAN	1.6
SPN90_HUMAN	RL3R1_HUMAN	1.6
SPN90_HUMAN	CSN5_HUMAN	1.6
SPN90_HUMAN	HSPB1_HUMAN	1.6
SPN90_HUMAN	CNTRB_HUMAN	1.6
SPN90_HUMAN	CFTR_HUMAN	2.4000000000000004
SPN90_HUMAN	JCAD_HUMAN	0.8
SPN90_HUMAN	GEMI8_HUMAN	2.4000000000000004
SPN90_HUMAN	UBP54_HUMAN	0.8
SPN90_HUMAN	MIC60_HUMAN	0.8
SPN90_HUMAN	RC3H2_HUMAN	0.8
