UniProtID	UniProtID	score
SPTB1_HUMAN	STAT1_HUMAN	2.4000000000000004
SPTB1_HUMAN	RL30_HUMAN	1.6
SPTB1_HUMAN	SPTB1_HUMAN	6.0
SPTB1_HUMAN	B3AT_HUMAN	0.8
SPTB1_HUMAN	CTRO_HUMAN	0.8
SPTB1_HUMAN	CHM4B_HUMAN	0.8
SPTB1_HUMAN	ADDA_HUMAN	2.0
SPTB1_HUMAN	ENOB_HUMAN	1.6
SPTB1_HUMAN	ACTB_HUMAN	1.0
SPTB1_HUMAN	SPTN1_HUMAN	2.8
SPTB1_HUMAN	A4_HUMAN	4.8
SPTB1_HUMAN	1433T_HUMAN	0.8
SPTB1_HUMAN	NCAM1_HUMAN	1.0
SPTB1_HUMAN	ANK1_HUMAN	7.0
SPTB1_HUMAN	EPB41_HUMAN	1.0
STAT1_HUMAN	STAT1_HUMAN	48.0
STAT1_HUMAN	SPTN1_HUMAN	2.4000000000000004
RL30_HUMAN	RL30_HUMAN	6.0
RL30_HUMAN	CTRO_HUMAN	0.8
RL30_HUMAN	A4_HUMAN	1.6
B3AT_HUMAN	B3AT_HUMAN	44.0
B3AT_HUMAN	ANK1_HUMAN	2.6
B3AT_HUMAN	EPB41_HUMAN	0.6
CTRO_HUMAN	CTRO_HUMAN	1.6
CTRO_HUMAN	CHM4B_HUMAN	0.8
CTRO_HUMAN	ACTB_HUMAN	2.4000000000000004
CTRO_HUMAN	SPTN1_HUMAN	0.8
CHM4B_HUMAN	CHM4B_HUMAN	28.8
CHM4B_HUMAN	ACTB_HUMAN	1.28
CHM4B_HUMAN	SPTN1_HUMAN	0.8
CHM4B_HUMAN	A4_HUMAN	0.8
CHM4B_HUMAN	1433T_HUMAN	0.8
ADDA_HUMAN	ACTB_HUMAN	0.8
ADDA_HUMAN	SPTN1_HUMAN	1.6
ENOB_HUMAN	ENOB_HUMAN	5.2
ENOB_HUMAN	A4_HUMAN	0.8
ACTB_HUMAN	ACTB_HUMAN	98.39999999999999
ACTB_HUMAN	SPTN1_HUMAN	2.08
ACTB_HUMAN	A4_HUMAN	6.3999999999999995
ACTB_HUMAN	1433T_HUMAN	1.44
SPTN1_HUMAN	SPTN1_HUMAN	5.6
SPTN1_HUMAN	A4_HUMAN	0.8
SPTN1_HUMAN	ANK1_HUMAN	0.6
SPTN1_HUMAN	EPB41_HUMAN	1.0
A4_HUMAN	A4_HUMAN	2360.8
A4_HUMAN	NCAM1_HUMAN	0.64
1433T_HUMAN	1433T_HUMAN	67.6
NCAM1_HUMAN	NCAM1_HUMAN	47.28
ANK1_HUMAN	ANK1_HUMAN	16.0
EPB41_HUMAN	EPB41_HUMAN	6.0
