UniProtID	UniProtID	score
SPTN4_HUMAN	KCNQ2_HUMAN	0.6
SPTN4_HUMAN	ERBB2_HUMAN	0.8
SPTN4_HUMAN	CTRO_HUMAN	0.8
SPTN4_HUMAN	COPD_HUMAN	0.6
SPTN4_HUMAN	DC1L2_HUMAN	0.6
SPTN4_HUMAN	ARF1_HUMAN	0.6
SPTN4_HUMAN	USO1_HUMAN	0.6
SPTN4_HUMAN	SPTN1_HUMAN	1.6
SPTN4_HUMAN	ACTZ_HUMAN	0.6
SPTN4_HUMAN	TMED3_HUMAN	0.6
SPTN4_HUMAN	TAU_HUMAN	0.8
SPTN4_HUMAN	FAK1_HUMAN	0.6
SPTN4_HUMAN	L1CAM_HUMAN	0.6
SPTN4_HUMAN	HNRH1_HUMAN	0.8
SPTN4_HUMAN	ARF3_HUMAN	0.6
SPTN4_HUMAN	ARFG3_HUMAN	0.6
SPTN4_HUMAN	DCTN4_HUMAN	0.6
SPTN4_HUMAN	CHM4B_HUMAN	0.8
SPTN4_HUMAN	CAZA2_HUMAN	0.6
SPTN4_HUMAN	ARF4_HUMAN	0.6
SPTN4_HUMAN	SCN8A_HUMAN	0.6
SPTN4_HUMAN	ARFG2_HUMAN	0.6
SPTN4_HUMAN	SPTN2_HUMAN	0.6
SPTN4_HUMAN	SNAA_HUMAN	0.6
SPTN4_HUMAN	RASH_HUMAN	0.6
SPTN4_HUMAN	SCN2A_HUMAN	0.6
SPTN4_HUMAN	RASN_HUMAN	0.6
SPTN4_HUMAN	DC1L1_HUMAN	0.6
SPTN4_HUMAN	COPB2_HUMAN	0.6
SPTN4_HUMAN	GOGB1_HUMAN	0.6
SPTN4_HUMAN	RYR2_HUMAN	0.64
SPTN4_HUMAN	COPA_HUMAN	0.6
SPTN4_HUMAN	CDKL5_HUMAN	0.8
SPTN4_HUMAN	COG3_HUMAN	0.6
SPTN4_HUMAN	CD59_HUMAN	0.6
SPTN4_HUMAN	SNAG_HUMAN	0.6
SPTN4_HUMAN	RAB1A_HUMAN	0.6
SPTN4_HUMAN	DYHC1_HUMAN	0.6
SPTN4_HUMAN	NSF_HUMAN	0.6
SPTN4_HUMAN	DYL1_HUMAN	0.6
SPTN4_HUMAN	NFASC_HUMAN	0.6
SPTN4_HUMAN	ANK2_HUMAN	1.4
SPTN4_HUMAN	NLGN2_HUMAN	0.64
SPTN4_HUMAN	ANK1_HUMAN	0.6
SPTN4_HUMAN	DC1I1_HUMAN	0.6
SPTN4_HUMAN	DCTN2_HUMAN	0.6
SPTN4_HUMAN	NRCAM_HUMAN	0.6
SPTN4_HUMAN	DCTN3_HUMAN	0.6
SPTN4_HUMAN	DISC1_HUMAN	4.2
SPTN4_HUMAN	FYN_HUMAN	0.6
SPTN4_HUMAN	SPTB2_HUMAN	0.6
SPTN4_HUMAN	ARC_HUMAN	1.0
SPTN4_HUMAN	GOSR1_HUMAN	0.6
SPTN4_HUMAN	SHAN3_HUMAN	0.64
SPTN4_HUMAN	GSK3B_HUMAN	1.6
SPTN4_HUMAN	DYL2_HUMAN	0.6
SPTN4_HUMAN	ARF5_HUMAN	0.6
SPTN4_HUMAN	DC1I2_HUMAN	0.6
SPTN4_HUMAN	DMD_HUMAN	0.64
