UniProtID	UniProtID	score
SRGP3_HUMAN	RAPH1_HUMAN	0.8
SRGP3_HUMAN	CCD22_HUMAN	0.8
SRGP3_HUMAN	TNIK_HUMAN	3.68
SRGP3_HUMAN	ABR_HUMAN	0.64
SRGP3_HUMAN	RAC1_HUMAN	1.4
SRGP3_HUMAN	HD_HUMAN	3.2
SRGP3_HUMAN	FMR1_HUMAN	0.8
SRGP3_HUMAN	OPHN1_HUMAN	0.64
SRGP3_HUMAN	DLG4_HUMAN	0.64
SRGP3_HUMAN	DTBP1_HUMAN	0.8
SRGP3_HUMAN	PSA_HUMAN	0.6
SRGP3_HUMAN	SH3G1_HUMAN	4.04
SRGP3_HUMAN	AMPH_HUMAN	2.4000000000000004
SRGP3_HUMAN	DDRGK_HUMAN	0.8
SRGP3_HUMAN	MIRO2_HUMAN	0.6
SRGP3_HUMAN	RHOG_HUMAN	0.6
SRGP3_HUMAN	AGAP2_HUMAN	1.28
SRGP3_HUMAN	RHOB_HUMAN	0.6
SRGP3_HUMAN	GRB2_HUMAN	2.8
SRGP3_HUMAN	SH3G2_HUMAN	3.4000000000000004
SRGP3_HUMAN	RHOA_HUMAN	0.6
SRGP3_HUMAN	A4_HUMAN	0.64
SRGP3_HUMAN	1433E_HUMAN	0.64
SRGP3_HUMAN	KIF2C_HUMAN	0.8
SRGP3_HUMAN	RHG44_HUMAN	0.64
SRGP3_HUMAN	CYFP2_HUMAN	1.28
SRGP3_HUMAN	MIRO1_HUMAN	0.6
SRGP3_HUMAN	DISC1_HUMAN	1.6
SRGP3_HUMAN	WASF1_HUMAN	1.24
SRGP3_HUMAN	SRGP2_HUMAN	2.2
SRGP3_HUMAN	RAC2_HUMAN	0.6
SRGP3_HUMAN	CDC42_HUMAN	0.6
SRGP3_HUMAN	RAC3_HUMAN	0.6
SRGP3_HUMAN	SRGP3_HUMAN	2.0
SRGP3_HUMAN	SC6A4_HUMAN	0.64
RAPH1_HUMAN	RAPH1_HUMAN	12.0
RAPH1_HUMAN	SH3G1_HUMAN	11.200000000000001
RAPH1_HUMAN	RHOB_HUMAN	0.8
RAPH1_HUMAN	SH3G2_HUMAN	4.8
CCD22_HUMAN	DTBP1_HUMAN	0.8
CCD22_HUMAN	CYFP2_HUMAN	0.8
CCD22_HUMAN	DISC1_HUMAN	0.64
TNIK_HUMAN	TNIK_HUMAN	30.0
TNIK_HUMAN	RAC1_HUMAN	1.28
TNIK_HUMAN	FMR1_HUMAN	1.28
TNIK_HUMAN	DLG4_HUMAN	1.92
TNIK_HUMAN	AGAP2_HUMAN	3.2
TNIK_HUMAN	RHOB_HUMAN	0.8
TNIK_HUMAN	SH3G2_HUMAN	1.28
TNIK_HUMAN	KIF2C_HUMAN	1.28
TNIK_HUMAN	CYFP2_HUMAN	2.56
TNIK_HUMAN	DISC1_HUMAN	6.3999999999999995
TNIK_HUMAN	WASF1_HUMAN	1.28
TNIK_HUMAN	SC6A4_HUMAN	0.64
ABR_HUMAN	RAC1_HUMAN	2.04
ABR_HUMAN	DLG4_HUMAN	3.2
ABR_HUMAN	MIRO2_HUMAN	0.6
ABR_HUMAN	RHOG_HUMAN	0.6
ABR_HUMAN	RHOB_HUMAN	1.4
ABR_HUMAN	RHOA_HUMAN	0.6
ABR_HUMAN	A4_HUMAN	0.8
ABR_HUMAN	MIRO1_HUMAN	0.6
ABR_HUMAN	RAC2_HUMAN	0.6
ABR_HUMAN	CDC42_HUMAN	0.6
ABR_HUMAN	RAC3_HUMAN	0.6
RAC1_HUMAN	RAC1_HUMAN	41.2
RAC1_HUMAN	HD_HUMAN	1.44
RAC1_HUMAN	OPHN1_HUMAN	2.24
RAC1_HUMAN	DLG4_HUMAN	3.2
