UniProtID	UniProtID	score
SRPK2_HUMAN	SRC_HUMAN	0.8
SRPK2_HUMAN	FMNL1_HUMAN	0.8
SRPK2_HUMAN	PPIA_HUMAN	2.4000000000000004
SRPK2_HUMAN	CLAP1_HUMAN	0.8
SRPK2_HUMAN	FMR1_HUMAN	0.64
SRPK2_HUMAN	MYO1E_HUMAN	0.8
SRPK2_HUMAN	DDX6_HUMAN	1.6
SRPK2_HUMAN	ABL1_HUMAN	1.6
SRPK2_HUMAN	IF4B_HUMAN	0.8
SRPK2_HUMAN	HOME3_HUMAN	1.6
SRPK2_HUMAN	A16L1_HUMAN	1.44
SRPK2_HUMAN	RL13_HUMAN	0.8
SRPK2_HUMAN	DDRGK_HUMAN	0.8
SRPK2_HUMAN	EIF3A_HUMAN	0.8
SRPK2_HUMAN	ZO2_HUMAN	3.2
SRPK2_HUMAN	CCG2_HUMAN	1.6
SRPK2_HUMAN	PKHA5_HUMAN	0.8
SRPK2_HUMAN	IF4G1_HUMAN	0.8
SRPK2_HUMAN	RS6_HUMAN	0.8
SRPK2_HUMAN	MP2K3_HUMAN	0.8
SRPK2_HUMAN	RS26_HUMAN	0.8
SRPK2_HUMAN	ANFY1_HUMAN	0.8
SRPK2_HUMAN	RASK_HUMAN	0.8
SRPK2_HUMAN	IF4A3_HUMAN	1.6
SRPK2_HUMAN	RABE1_HUMAN	0.8
SRPK2_HUMAN	SORCN_HUMAN	1.6
SRPK2_HUMAN	KANK2_HUMAN	0.8
SRPK2_HUMAN	UBR4_HUMAN	0.8
SRPK2_HUMAN	FXR1_HUMAN	2.08
SRPK2_HUMAN	ACTG_HUMAN	0.8
SRPK2_HUMAN	HNRPK_HUMAN	0.8
SRPK2_HUMAN	AP1M1_HUMAN	0.8
SRPK2_HUMAN	PROF1_HUMAN	0.8
SRPK2_HUMAN	FXR2_HUMAN	4.8
SRPK2_HUMAN	ATAT_HUMAN	1.6
SRPK2_HUMAN	RL34_HUMAN	0.8
SRPK2_HUMAN	NGDN_HUMAN	0.8
SRPK2_HUMAN	BAIP2_HUMAN	1.6
SRPK2_HUMAN	DGCR8_HUMAN	0.8
SRPK2_HUMAN	ACTB_HUMAN	0.8
SRPK2_HUMAN	CUL3_HUMAN	1.6
SRPK2_HUMAN	MPP3_HUMAN	1.6
SRPK2_HUMAN	PABP4_HUMAN	3.2
SRPK2_HUMAN	BAG3_HUMAN	0.8
SRPK2_HUMAN	1433B_HUMAN	3.5999999999999996
SRPK2_HUMAN	RL31_HUMAN	0.8
SRPK2_HUMAN	CLUS_HUMAN	0.8
SRPK2_HUMAN	PPIL1_HUMAN	1.6
SRPK2_HUMAN	NCK2_HUMAN	1.6
SRPK2_HUMAN	LMNB1_HUMAN	0.8
SRPK2_HUMAN	AKT1_HUMAN	4.0
SRPK2_HUMAN	DOCK3_HUMAN	0.8
SRPK2_HUMAN	MA7D1_HUMAN	0.8
SRPK2_HUMAN	RBMX_HUMAN	0.8
SRPK2_HUMAN	RLA2_HUMAN	0.8
SRPK2_HUMAN	TAU_HUMAN	4.8
SRPK2_HUMAN	ARRB2_HUMAN	1.6
SRPK2_HUMAN	CACO1_HUMAN	0.8
SRPK2_HUMAN	RNC_HUMAN	1.6
SRPK2_HUMAN	E41L1_HUMAN	1.6
SRPK2_HUMAN	CLAP2_HUMAN	0.8
SRPK2_HUMAN	CAND1_HUMAN	1.6
SRPK2_HUMAN	SRPK2_HUMAN	16.0
SRPK2_HUMAN	PHLB1_HUMAN	0.8
SRPK2_HUMAN	A4_HUMAN	1.6
SRPK2_HUMAN	DDX3X_HUMAN	0.8
SRPK2_HUMAN	PCBP1_HUMAN	2.4000000000000004
SRPK2_HUMAN	PABP1_HUMAN	2.24
SRPK2_HUMAN	RB6I2_HUMAN	0.8
SRPK2_HUMAN	MACF1_HUMAN	0.8
SRPK2_HUMAN	CRTC1_HUMAN	0.8
