UniProtID	UniProtID	score
STAU2_HUMAN	ESR1_HUMAN	2.4000000000000004
STAU2_HUMAN	PABP1_HUMAN	0.8
STAU2_HUMAN	ERF3B_HUMAN	0.8
STAU2_HUMAN	LAR4B_HUMAN	0.8
STAU2_HUMAN	NPM_HUMAN	0.8
STAU2_HUMAN	RBM14_HUMAN	0.8
STAU2_HUMAN	CBX6_HUMAN	0.8
STAU2_HUMAN	RAF1_HUMAN	0.8
STAU2_HUMAN	KI67_HUMAN	1.6
STAU2_HUMAN	CDKL5_HUMAN	0.64
STAU2_HUMAN	RIMS1_HUMAN	0.8
STAU2_HUMAN	RL13_HUMAN	0.8
STAU2_HUMAN	HSP7C_HUMAN	0.8
STAU2_HUMAN	MBB1A_HUMAN	0.8
STAU2_HUMAN	KAP1_HUMAN	0.64
STAU2_HUMAN	ATX2_HUMAN	0.8
STAU2_HUMAN	RYBP_HUMAN	0.8
STAU2_HUMAN	PTBP3_HUMAN	0.8
STAU2_HUMAN	RS6_HUMAN	0.8
STAU2_HUMAN	KSR1_HUMAN	3.2
STAU2_HUMAN	YBOX1_HUMAN	0.8
STAU2_HUMAN	PAIP1_HUMAN	2.4000000000000004
STAU2_HUMAN	MAP1B_HUMAN	0.8
STAU2_HUMAN	NRX1A_HUMAN	0.64
STAU2_HUMAN	CNTP2_HUMAN	0.64
STAU2_HUMAN	CLU_HUMAN	0.64
STAU2_HUMAN	PML_HUMAN	0.8
STAU2_HUMAN	RENT1_HUMAN	2.4000000000000004
STAU2_HUMAN	ELAV1_HUMAN	0.8
STAU2_HUMAN	GSK3B_HUMAN	0.8
STAU2_HUMAN	CE126_HUMAN	1.6
STAU2_HUMAN	DYR1A_HUMAN	0.8
STAU2_HUMAN	DHX9_HUMAN	0.8
STAU2_HUMAN	CSN5_HUMAN	1.6
STAU2_HUMAN	DICER_HUMAN	1.6
STAU2_HUMAN	RLA0_HUMAN	0.8
STAU2_HUMAN	RRBP1_HUMAN	0.64
STAU2_HUMAN	RS3A_HUMAN	0.8
STAU2_HUMAN	ACTB_HUMAN	1.44
