UniProtID	UniProtID	score
STIP1_HUMAN	DLG4_HUMAN	0.64
STIP1_HUMAN	YES_HUMAN	0.8
STIP1_HUMAN	ESR1_HUMAN	2.4000000000000004
STIP1_HUMAN	DNM1L_HUMAN	2.4000000000000004
STIP1_HUMAN	SYUA_HUMAN	0.8
STIP1_HUMAN	SCRIB_HUMAN	0.8
STIP1_HUMAN	CTNB1_HUMAN	1.6
STIP1_HUMAN	EXOC4_HUMAN	0.8
STIP1_HUMAN	ACTN1_HUMAN	0.8
STIP1_HUMAN	ACTN4_HUMAN	0.8
STIP1_HUMAN	LCK_HUMAN	0.8
STIP1_HUMAN	ARHGG_HUMAN	0.8
STIP1_HUMAN	SPTN1_HUMAN	0.8
STIP1_HUMAN	HNRPM_HUMAN	0.8
STIP1_HUMAN	IRS4_HUMAN	1.6
STIP1_HUMAN	RBM33_HUMAN	0.8
STIP1_HUMAN	PABP1_HUMAN	0.8
STIP1_HUMAN	PICAL_HUMAN	0.8
STIP1_HUMAN	TRI25_HUMAN	0.8
STIP1_HUMAN	YAP1_HUMAN	0.8
STIP1_HUMAN	VASP_HUMAN	0.8
STIP1_HUMAN	FAF2_HUMAN	0.8
STIP1_HUMAN	AP2B1_HUMAN	0.8
STIP1_HUMAN	DCTN1_HUMAN	0.8
STIP1_HUMAN	EPN4_HUMAN	0.8
STIP1_HUMAN	PP6R3_HUMAN	0.8
STIP1_HUMAN	CLH1_HUMAN	0.8
STIP1_HUMAN	P53_HUMAN	4.8
STIP1_HUMAN	PLEC_HUMAN	0.8
STIP1_HUMAN	IMB1_HUMAN	0.8
STIP1_HUMAN	NU153_HUMAN	0.8
STIP1_HUMAN	PDC6I_HUMAN	0.8
STIP1_HUMAN	NU155_HUMAN	0.8
STIP1_HUMAN	UBP7_HUMAN	0.8
STIP1_HUMAN	NU214_HUMAN	0.8
STIP1_HUMAN	SQSTM_HUMAN	0.8
STIP1_HUMAN	NEK9_HUMAN	0.8
STIP1_HUMAN	TITIN_HUMAN	0.8
STIP1_HUMAN	TLN1_HUMAN	0.8
STIP1_HUMAN	TPTE_HUMAN	0.8
STIP1_HUMAN	TPTE2_HUMAN	0.8
STIP1_HUMAN	HNRL1_HUMAN	0.8
STIP1_HUMAN	DP13A_HUMAN	0.8
STIP1_HUMAN	GBRL2_HUMAN	0.8
STIP1_HUMAN	CDC37_HUMAN	1.44
STIP1_HUMAN	NPM_HUMAN	0.8
STIP1_HUMAN	RBM14_HUMAN	0.8
STIP1_HUMAN	DYN2_HUMAN	0.8
STIP1_HUMAN	SFPQ_HUMAN	0.8
STIP1_HUMAN	TERA_HUMAN	3.2
STIP1_HUMAN	ATX3_HUMAN	0.8
STIP1_HUMAN	RAF1_HUMAN	0.8
STIP1_HUMAN	PEBP1_HUMAN	0.8
STIP1_HUMAN	M4K1_HUMAN	0.8
STIP1_HUMAN	HNRPR_HUMAN	0.8
STIP1_HUMAN	DDX41_HUMAN	0.8
STIP1_HUMAN	SF3B4_HUMAN	0.8
STIP1_HUMAN	DPOD1_HUMAN	0.8
STIP1_HUMAN	CKAP5_HUMAN	0.8
STIP1_HUMAN	LRBA_HUMAN	0.8
STIP1_HUMAN	NEK8_HUMAN	2.4000000000000004
STIP1_HUMAN	NELFB_HUMAN	0.8
STIP1_HUMAN	CUL7_HUMAN	0.8
STIP1_HUMAN	FLNA_HUMAN	0.8
STIP1_HUMAN	TAL1_HUMAN	1.6
STIP1_HUMAN	FLNB_HUMAN	0.8
STIP1_HUMAN	THOC2_HUMAN	0.8
STIP1_HUMAN	EIF3D_HUMAN	0.8
STIP1_HUMAN	BCAR1_HUMAN	0.8
STIP1_HUMAN	HDAC6_HUMAN	1.6
STIP1_HUMAN	MOS_HUMAN	0.8
STIP1_HUMAN	SYDC_HUMAN	0.8
STIP1_HUMAN	SMRC1_HUMAN	0.8
STIP1_HUMAN	FUBP3_HUMAN	0.8
STIP1_HUMAN	TNPO1_HUMAN	0.8
STIP1_HUMAN	A4_HUMAN	0.8
STIP1_HUMAN	TAU_HUMAN	1.44
STIP1_HUMAN	TBK1_HUMAN	0.8
STIP1_HUMAN	DDX3X_HUMAN	0.8
STIP1_HUMAN	MK03_HUMAN	0.64
STIP1_HUMAN	1433E_HUMAN	0.8
STIP1_HUMAN	PP1G_HUMAN	0.8
STIP1_HUMAN	BAG1_HUMAN	0.8
STIP1_HUMAN	HSP7C_HUMAN	13.040000000000003
STIP1_HUMAN	TCPH_HUMAN	0.8
STIP1_HUMAN	4F2_HUMAN	0.8
STIP1_HUMAN	VAPA_HUMAN	0.8
STIP1_HUMAN	HS90B_HUMAN	16.640000000000004
STIP1_HUMAN	MBB1A_HUMAN	0.8
STIP1_HUMAN	1433Z_HUMAN	0.8
STIP1_HUMAN	HEAT1_HUMAN	0.8
STIP1_HUMAN	XPO5_HUMAN	0.8
STIP1_HUMAN	HDAC2_HUMAN	0.8
STIP1_HUMAN	CHERP_HUMAN	0.8
STIP1_HUMAN	IF2A_HUMAN	0.8
STIP1_HUMAN	ATX2_HUMAN	0.8
STIP1_HUMAN	SF3B2_HUMAN	0.8
STIP1_HUMAN	TCRG1_HUMAN	0.8
STIP1_HUMAN	SIM2_HUMAN	0.8
STIP1_HUMAN	RSMN_HUMAN	0.8
STIP1_HUMAN	YTHD1_HUMAN	0.8
STIP1_HUMAN	EZH2_HUMAN	0.8
STIP1_HUMAN	PTBP3_HUMAN	0.8
STIP1_HUMAN	HNRPK_HUMAN	0.8
STIP1_HUMAN	SCYL2_HUMAN	0.8
STIP1_HUMAN	CPSF7_HUMAN	0.8
STIP1_HUMAN	NAL12_HUMAN	0.8
STIP1_HUMAN	IF4G2_HUMAN	0.8
STIP1_HUMAN	HSPB1_HUMAN	1.6
STIP1_HUMAN	LMNA_HUMAN	0.8
STIP1_HUMAN	VIME_HUMAN	0.8
STIP1_HUMAN	LMNB1_HUMAN	0.8
STIP1_HUMAN	BIP_HUMAN	3.2
STIP1_HUMAN	RB11A_HUMAN	0.8
STIP1_HUMAN	BAG6_HUMAN	0.8
STIP1_HUMAN	PTN23_HUMAN	2.4000000000000004
STIP1_HUMAN	HCD2_HUMAN	1.6
STIP1_HUMAN	VAV2_HUMAN	1.28
STIP1_HUMAN	1433T_HUMAN	0.8
STIP1_HUMAN	MP2K2_HUMAN	0.8
STIP1_HUMAN	BRCA1_HUMAN	0.8
STIP1_HUMAN	PCBP2_HUMAN	1.6
STIP1_HUMAN	PCBP1_HUMAN	1.6
STIP1_HUMAN	IGF1R_HUMAN	0.64
STIP1_HUMAN	HD_HUMAN	0.8
STIP1_HUMAN	KSR1_HUMAN	0.64
STIP1_HUMAN	CSK_HUMAN	2.4000000000000004
