UniProtID	UniProtID	score
STK38_HUMAN	NCK1_HUMAN	4.3999999999999995
STK38_HUMAN	CRK_HUMAN	1.6
STK38_HUMAN	SH3G3_HUMAN	1.6
STK38_HUMAN	ESR1_HUMAN	0.8
STK38_HUMAN	SYUA_HUMAN	1.6
STK38_HUMAN	LCK_HUMAN	1.6
STK38_HUMAN	TRI25_HUMAN	1.8
STK38_HUMAN	ARRB2_HUMAN	4.0
STK38_HUMAN	SCC4_HUMAN	0.8
STK38_HUMAN	MDM2_HUMAN	0.64
STK38_HUMAN	P53_HUMAN	0.8
STK38_HUMAN	NPM_HUMAN	0.8
STK38_HUMAN	M3K2_HUMAN	2.8
STK38_HUMAN	PEBP1_HUMAN	4.3999999999999995
STK38_HUMAN	BRD4_HUMAN	0.8
STK38_HUMAN	BCAR1_HUMAN	0.8
STK38_HUMAN	EHMT2_HUMAN	0.8
STK38_HUMAN	ARRB1_HUMAN	4.0
STK38_HUMAN	HS90B_HUMAN	1.6
STK38_HUMAN	1433Z_HUMAN	1.6
STK38_HUMAN	RC3H1_HUMAN	0.8
STK38_HUMAN	HDAC2_HUMAN	1.6
STK38_HUMAN	CHERP_HUMAN	1.6
STK38_HUMAN	CDK7_HUMAN	0.8
STK38_HUMAN	EZH2_HUMAN	1.28
STK38_HUMAN	RB11A_HUMAN	0.8
STK38_HUMAN	GAB2_HUMAN	1.6
STK38_HUMAN	MP2K1_HUMAN	1.6
STK38_HUMAN	RASH_HUMAN	0.8
STK38_HUMAN	1433B_HUMAN	1.6
STK38_HUMAN	CTBP1_HUMAN	3.2
STK38_HUMAN	TRAF3_HUMAN	4.8
STK38_HUMAN	CALM3_HUMAN	1
STK38_HUMAN	EGFR_HUMAN	1.6
STK38_HUMAN	HS90A_HUMAN	0.8
STK38_HUMAN	1433G_HUMAN	0.8
STK38_HUMAN	GAN_HUMAN	0.8
STK38_HUMAN	MAP1B_HUMAN	1.6
STK38_HUMAN	KPCZ_HUMAN	0.8
STK38_HUMAN	RAB5A_HUMAN	1.6
STK38_HUMAN	PERI_HUMAN	0.8
STK38_HUMAN	KAT5_HUMAN	0.64
STK38_HUMAN	CXA1_HUMAN	0.8
STK38_HUMAN	DISC1_HUMAN	0.64
STK38_HUMAN	VHL_HUMAN	0.8
STK38_HUMAN	UBR4_HUMAN	1.6
STK38_HUMAN	NOTC1_HUMAN	2.6
STK38_HUMAN	BANP_HUMAN	0.8
STK38_HUMAN	MYD88_HUMAN	0.64
STK38_HUMAN	SAP_HUMAN	1.28
STK38_HUMAN	RBM39_HUMAN	0.8
STK38_HUMAN	DYHC1_HUMAN	1.6
STK38_HUMAN	CALM2_HUMAN	1
STK38_HUMAN	GBF1_HUMAN	0.8
STK38_HUMAN	BECN1_HUMAN	1
STK38_HUMAN	MTOR_HUMAN	1.6
STK38_HUMAN	CIC_HUMAN	0.8
STK38_HUMAN	CYLD_HUMAN	0.8
STK38_HUMAN	S100B_HUMAN	2
STK38_HUMAN	PRKN_HUMAN	0.8
STK38_HUMAN	TFE2_HUMAN	0.8
STK38_HUMAN	CHK2_HUMAN	1.28
STK38_HUMAN	FAF1_HUMAN	0.8
STK38_HUMAN	NCKP1_HUMAN	1.6
STK38_HUMAN	CALM1_HUMAN	1
STK38_HUMAN	ID2_HUMAN	0.8
STK38_HUMAN	DNJB1_HUMAN	0.8
STK38_HUMAN	UBE2H_HUMAN	0.8
STK38_HUMAN	UBC12_HUMAN	2.4000000000000004
STK38_HUMAN	MRCKB_HUMAN	0.8
STK38_HUMAN	RFA1_HUMAN	0.8
STK38_HUMAN	RFA2_HUMAN	0.8
