UniProtID	UniProtID	score
STRN3_HUMAN	FYN_HUMAN	0.8
STRN3_HUMAN	ESR1_HUMAN	2.4000000000000004
STRN3_HUMAN	CTNB1_HUMAN	1.6
STRN3_HUMAN	EXOC4_HUMAN	0.64
STRN3_HUMAN	TNKS1_HUMAN	0.8
STRN3_HUMAN	TRI25_HUMAN	0.8
STRN3_HUMAN	CLH1_HUMAN	0.64
STRN3_HUMAN	ARRB2_HUMAN	0.64
STRN3_HUMAN	K1671_HUMAN	1.6
STRN3_HUMAN	TPTE2_HUMAN	1.6
STRN3_HUMAN	GBRL1_HUMAN	0.8
STRN3_HUMAN	GIPC1_HUMAN	1.6
STRN3_HUMAN	RIMS1_HUMAN	0.64
STRN3_HUMAN	RTN4_HUMAN	0.8
STRN3_HUMAN	MYPT1_HUMAN	0.8
STRN3_HUMAN	TNIK_HUMAN	3.6799999999999997
STRN3_HUMAN	LIPA3_HUMAN	0.64
STRN3_HUMAN	DYL1_HUMAN	4.4799999999999995
STRN3_HUMAN	TCPH_HUMAN	6.72
STRN3_HUMAN	STRP1_HUMAN	24.560000000000006
STRN3_HUMAN	PRD14_HUMAN	2.4000000000000004
STRN3_HUMAN	FMNL1_HUMAN	1.6
STRN3_HUMAN	STK3_HUMAN	4.0
STRN3_HUMAN	M3K3_HUMAN	0.8
STRN3_HUMAN	DMD_HUMAN	0.64
STRN3_HUMAN	PHOCN_HUMAN	26.480000000000004
STRN3_HUMAN	CALM3_HUMAN	1.28
STRN3_HUMAN	DYL2_HUMAN	1.6
STRN3_HUMAN	GCR_HUMAN	0.8
STRN3_HUMAN	C1QBP_HUMAN	1.28
STRN3_HUMAN	IMA1_HUMAN	1.28
STRN3_HUMAN	ELAV1_HUMAN	0.8
STRN3_HUMAN	TCPE_HUMAN	6.72
STRN3_HUMAN	TBA1B_HUMAN	0.8
STRN3_HUMAN	TCPG_HUMAN	6.72
STRN3_HUMAN	SRC8_HUMAN	0.8
STRN3_HUMAN	TNR6_HUMAN	0.8
STRN3_HUMAN	CSN5_HUMAN	0.8
STRN3_HUMAN	TOPK_HUMAN	1.6
STRN3_HUMAN	RRAS2_HUMAN	1.28
STRN3_HUMAN	MYO6_HUMAN	1.6
STRN3_HUMAN	2AAA_HUMAN	40.56000000000001
STRN3_HUMAN	STK25_HUMAN	10.4
STRN3_HUMAN	GOGA2_HUMAN	4.0
STRN3_HUMAN	STK26_HUMAN	14.080000000000004
STRN3_HUMAN	TNR1A_HUMAN	1.6
STRN3_HUMAN	PROF1_HUMAN	0.8
STRN3_HUMAN	SLMAP_HUMAN	13.280000000000003
STRN3_HUMAN	CALM2_HUMAN	0.64
STRN3_HUMAN	PRIO_HUMAN	0.8
STRN3_HUMAN	PRKN_HUMAN	0.8
STRN3_HUMAN	RHG24_HUMAN	0.8
STRN3_HUMAN	EXOC1_HUMAN	1.6
STRN3_HUMAN	PP2AA_HUMAN	27.000000000000007
STRN3_HUMAN	PKN3_HUMAN	1.6
STRN3_HUMAN	S10A4_HUMAN	1.28
STRN3_HUMAN	ESR2_HUMAN	0.8
STRN3_HUMAN	CALM1_HUMAN	0.64
STRN3_HUMAN	IGBP1_HUMAN	0.64
STRN3_HUMAN	S10A9_HUMAN	0.64
STRN3_HUMAN	CHM1A_HUMAN	0.8
STRN3_HUMAN	MINK1_HUMAN	3.2
STRN3_HUMAN	TCPA_HUMAN	6.72
STRN3_HUMAN	CRCM_HUMAN	1.6
STRN3_HUMAN	STK24_HUMAN	15.680000000000005
STRN3_HUMAN	TCPB_HUMAN	6.72
STRN3_HUMAN	NTRK1_HUMAN	0.8
STRN3_HUMAN	RMD3_HUMAN	0.8
STRN3_HUMAN	NCOA3_HUMAN	0.64
STRN3_HUMAN	ZN219_HUMAN	0.8
STRN3_HUMAN	RFA2_HUMAN	0.8
STRN3_HUMAN	RFA3_HUMAN	0.8
STRN3_HUMAN	HNRPC_HUMAN	0.8
STRN3_HUMAN	XPO1_HUMAN	1.44
STRN3_HUMAN	S27A4_HUMAN	1.28
STRN3_HUMAN	SHLB2_HUMAN	0.64
STRN3_HUMAN	RABE2_HUMAN	0.8
STRN3_HUMAN	ARP5L_HUMAN	1.28
STRN3_HUMAN	IQCB1_HUMAN	1.28
STRN3_HUMAN	CO4A5_HUMAN	1.6
STRN3_HUMAN	ARPC3_HUMAN	1.28
STRN3_HUMAN	PP2AB_HUMAN	12.320000000000002
STRN3_HUMAN	ZN331_HUMAN	1.6
STRN3_HUMAN	TCPD_HUMAN	6.72
STRN3_HUMAN	M4K4_HUMAN	4.0
STRN3_HUMAN	PRP31_HUMAN	0.8
STRN3_HUMAN	2AAB_HUMAN	8.479999999999999
STRN3_HUMAN	DNJA2_HUMAN	1.6
STRN3_HUMAN	KCC2B_HUMAN	1.6
STRN3_HUMAN	APC_HUMAN	2.6
STRN3_HUMAN	FKB15_HUMAN	1.6
STRN3_HUMAN	STK4_HUMAN	3.2
STRN3_HUMAN	MYPC3_HUMAN	0.64
STRN3_HUMAN	PON2_HUMAN	1.6
STRN3_HUMAN	MAGA1_HUMAN	0.8
STRN3_HUMAN	FLIP1_HUMAN	0.8
STRN3_HUMAN	UBP15_HUMAN	1.44
STRN3_HUMAN	ARK72_HUMAN	1.28
STRN3_HUMAN	CFTR_HUMAN	2.4000000000000004
STRN3_HUMAN	PLCB3_HUMAN	0.8
STRN3_HUMAN	ZRAN1_HUMAN	4.64
STRN3_HUMAN	GLUT4_HUMAN	1.44
STRN3_HUMAN	DC1L2_HUMAN	0.64
STRN3_HUMAN	TKT_HUMAN	1.28
STRN3_HUMAN	STRN_HUMAN	20.640000000000008
STRN3_HUMAN	CT2NL_HUMAN	14.880000000000004
STRN3_HUMAN	T3JAM_HUMAN	5.4399999999999995
STRN3_HUMAN	SIKE1_HUMAN	18.080000000000005
STRN3_HUMAN	STRP2_HUMAN	9.120000000000001
STRN3_HUMAN	FGOP2_HUMAN	12.320000000000004
STRN3_HUMAN	PDC10_HUMAN	12.480000000000002
STRN3_HUMAN	STRN3_HUMAN	49.6
STRN3_HUMAN	TCPZ_HUMAN	6.08
STRN3_HUMAN	TCPQ_HUMAN	6.72
STRN3_HUMAN	CTTB2_HUMAN	7.039999999999999
STRN3_HUMAN	STRN4_HUMAN	11.680000000000003
STRN3_HUMAN	FTM_HUMAN	0.64
STRN3_HUMAN	RASF3_HUMAN	1.6
STRN3_HUMAN	PGAM5_HUMAN	1.6
STRN3_HUMAN	RUVB2_HUMAN	1.6
STRN3_HUMAN	CH10_HUMAN	1.6
STRN3_HUMAN	HTF4_HUMAN	1.6
STRN3_HUMAN	T126A_HUMAN	1.6
