UniProtID	UniProtID	score
STX7_HUMAN	SYNJ1_HUMAN	0.8
STX7_HUMAN	SRC_HUMAN	0.8
STX7_HUMAN	LYN_HUMAN	0.8
STX7_HUMAN	YES_HUMAN	0.8
STX7_HUMAN	RAC3_HUMAN	0.8
STX7_HUMAN	SCRIB_HUMAN	0.8
STX7_HUMAN	KCNB2_HUMAN	0.8
STX7_HUMAN	DLG1_HUMAN	0.8
STX7_HUMAN	EXOC4_HUMAN	0.8
STX7_HUMAN	ERBIN_HUMAN	0.8
STX7_HUMAN	ITSN1_HUMAN	0.8
STX7_HUMAN	SPTN1_HUMAN	0.8
STX7_HUMAN	IRS4_HUMAN	0.8
STX7_HUMAN	PICAL_HUMAN	0.8
STX7_HUMAN	STON2_HUMAN	0.8
STX7_HUMAN	SH3B4_HUMAN	0.8
STX7_HUMAN	SCAM3_HUMAN	0.8
STX7_HUMAN	ANK3_HUMAN	0.8
STX7_HUMAN	BI2L1_HUMAN	0.8
STX7_HUMAN	SYNP2_HUMAN	1
STX7_HUMAN	AGFG1_HUMAN	0.8
STX7_HUMAN	EPN4_HUMAN	0.8
STX7_HUMAN	AFTIN_HUMAN	0.8
STX7_HUMAN	STBD1_HUMAN	0.8
STX7_HUMAN	WASF2_HUMAN	0.8
STX7_HUMAN	AP2M1_HUMAN	0.8
STX7_HUMAN	NUMB_HUMAN	0.8
STX7_HUMAN	NPM_HUMAN	0.8
STX7_HUMAN	GGA3_HUMAN	0.8
STX7_HUMAN	TMM51_HUMAN	0.8
STX7_HUMAN	GOPC_HUMAN	0.8
STX7_HUMAN	RAF1_HUMAN	0.8
STX7_HUMAN	NBEA_HUMAN	0.8
STX7_HUMAN	TGON2_HUMAN	3.2
STX7_HUMAN	LRBA_HUMAN	0.8
STX7_HUMAN	LRP2_HUMAN	0.8
STX7_HUMAN	RTN4_HUMAN	0.8
STX7_HUMAN	SNX3_HUMAN	1.6
STX7_HUMAN	E41L3_HUMAN	0.8
STX7_HUMAN	PLAK2_HUMAN	0.8
STX7_HUMAN	CELR2_HUMAN	0.8
STX7_HUMAN	RLGPB_HUMAN	0.8
STX7_HUMAN	IL3RA_HUMAN	0.8
STX7_HUMAN	DAB2_HUMAN	0.8
STX7_HUMAN	LY6D_HUMAN	0.8
STX7_HUMAN	SC24B_HUMAN	0.8
STX7_HUMAN	PTPRJ_HUMAN	0.8
STX7_HUMAN	4F2_HUMAN	0.8
STX7_HUMAN	VAPA_HUMAN	0.8
STX7_HUMAN	BAIP2_HUMAN	0.8
STX7_HUMAN	EFNB2_HUMAN	0.8
STX7_HUMAN	GAB1_HUMAN	0.8
STX7_HUMAN	CAHD1_HUMAN	0.8
STX7_HUMAN	PTN1_HUMAN	0.8
STX7_HUMAN	CDK7_HUMAN	0.8
STX7_HUMAN	RNPS1_HUMAN	0.8
STX7_HUMAN	ZDH12_HUMAN	0.8
STX7_HUMAN	C2D1A_HUMAN	0.8
STX7_HUMAN	SCYL2_HUMAN	0.8
STX7_HUMAN	RAB4A_HUMAN	1.6
STX7_HUMAN	LMNA_HUMAN	0.8
STX7_HUMAN	LMNB1_HUMAN	0.8
STX7_HUMAN	RB11A_HUMAN	2.4000000000000004
STX7_HUMAN	RASH_HUMAN	2.4000000000000004
STX7_HUMAN	DTNA_HUMAN	0.8
STX7_HUMAN	CTBP1_HUMAN	0.8
STX7_HUMAN	ITB1_HUMAN	0.8
STX7_HUMAN	HD_HUMAN	0.8
STX7_HUMAN	MPRI_HUMAN	1.6
STX7_HUMAN	MPRD_HUMAN	0.8
STX7_HUMAN	SNP25_HUMAN	0.8
STX7_HUMAN	EGFR_HUMAN	0.8
STX7_HUMAN	APBB1_HUMAN	0.8
STX7_HUMAN	APBB2_HUMAN	0.8
STX7_HUMAN	KCNK3_HUMAN	0.8
STX7_HUMAN	DLG5_HUMAN	0.8
STX7_HUMAN	EEA1_HUMAN	0.8
STX7_HUMAN	STXB5_HUMAN	2.4000000000000004
STX7_HUMAN	STX4_HUMAN	11.200000000000001
STX7_HUMAN	SNP23_HUMAN	4.0
STX7_HUMAN	CDC42_HUMAN	0.8
STX7_HUMAN	RAC1_HUMAN	0.8
STX7_HUMAN	SWP70_HUMAN	0.8
STX7_HUMAN	DYST_HUMAN	0.8
STX7_HUMAN	LRP4_HUMAN	0.64
STX7_HUMAN	SEM6A_HUMAN	0.8
STX7_HUMAN	K1549_HUMAN	0.8
STX7_HUMAN	LRP8_HUMAN	0.8
STX7_HUMAN	ABI1_HUMAN	0.8
STX7_HUMAN	KS6C1_HUMAN	0.8
STX7_HUMAN	S29A1_HUMAN	0.8
STX7_HUMAN	FLOT2_HUMAN	0.8
STX7_HUMAN	IFM1_HUMAN	0.8
STX7_HUMAN	HM13_HUMAN	0.8
STX7_HUMAN	GPC5C_HUMAN	0.8
STX7_HUMAN	ELAV1_HUMAN	0.8
STX7_HUMAN	VPS11_HUMAN	3.4000000000000004
STX7_HUMAN	STX6_HUMAN	5.6
STX7_HUMAN	RAB5A_HUMAN	0.8
STX7_HUMAN	UBC_HUMAN	0.64
STX7_HUMAN	ARF1_HUMAN	0.8
STX7_HUMAN	E41L1_HUMAN	0.8
STX7_HUMAN	HIP1_HUMAN	0.8
STX7_HUMAN	RHOA_HUMAN	0.8
STX7_HUMAN	KAPCA_HUMAN	0.8
STX7_HUMAN	CXA1_HUMAN	1.6
STX7_HUMAN	EFNB1_HUMAN	0.8
STX7_HUMAN	NECT2_HUMAN	0.8
STX7_HUMAN	CXAR_HUMAN	0.8
STX7_HUMAN	SPTB2_HUMAN	0.8
STX7_HUMAN	MYO6_HUMAN	0.8
STX7_HUMAN	RL40_HUMAN	0.8
STX7_HUMAN	GOGB1_HUMAN	0.8
STX7_HUMAN	RRBP1_HUMAN	0.8
STX7_HUMAN	BIG2_HUMAN	0.8
STX7_HUMAN	S12A4_HUMAN	0.8
STX7_HUMAN	MUC18_HUMAN	1.6
STX7_HUMAN	NOTC2_HUMAN	0.8
STX7_HUMAN	ZFYV9_HUMAN	0.8
STX7_HUMAN	PLAK_HUMAN	0.8
STX7_HUMAN	VPS8_HUMAN	0.8
STX7_HUMAN	PPR37_HUMAN	0.8
STX7_HUMAN	ZFY16_HUMAN	0.8
STX7_HUMAN	GOGA2_HUMAN	2.4000000000000004
STX7_HUMAN	S12A6_HUMAN	0.8
STX7_HUMAN	S12A2_HUMAN	0.8
STX7_HUMAN	TACC1_HUMAN	0.8
STX7_HUMAN	NOTC1_HUMAN	0.8
STX7_HUMAN	ARF6_HUMAN	0.8
STX7_HUMAN	SNX1_HUMAN	0.8
STX7_HUMAN	SNX5_HUMAN	0.8
STX7_HUMAN	MERL_HUMAN	0.8
STX7_HUMAN	RUFY1_HUMAN	0.8
STX7_HUMAN	HIP1R_HUMAN	0.8
STX7_HUMAN	RAC2_HUMAN	0.8
STX7_HUMAN	LRC59_HUMAN	0.8
STX7_HUMAN	CTNA1_HUMAN	0.8
STX7_HUMAN	PACN2_HUMAN	0.8
STX7_HUMAN	E41L2_HUMAN	0.8
STX7_HUMAN	GOGA4_HUMAN	0.8
STX7_HUMAN	RASN_HUMAN	2.4000000000000004
STX7_HUMAN	AKA12_HUMAN	0.8
STX7_HUMAN	AT2B1_HUMAN	0.8
STX7_HUMAN	CAC1C_HUMAN	0.8
STX7_HUMAN	ATP7A_HUMAN	0.8
STX7_HUMAN	SV2A_HUMAN	0.8
STX7_HUMAN	GRAP1_HUMAN	0.8
STX7_HUMAN	TPD54_HUMAN	0.8
STX7_HUMAN	OCLN_HUMAN	0.8
STX7_HUMAN	NSF_HUMAN	3.2
STX7_HUMAN	LIPA1_HUMAN	0.8
STX7_HUMAN	SNX6_HUMAN	0.8
STX7_HUMAN	EXOC5_HUMAN	0.8
STX7_HUMAN	AT1A1_HUMAN	0.8
STX7_HUMAN	RAP1B_HUMAN	0.8
STX7_HUMAN	RASK_HUMAN	2.4000000000000004
STX7_HUMAN	NHRF1_HUMAN	0.8
STX7_HUMAN	SEM4C_HUMAN	0.8
STX7_HUMAN	OCRL_HUMAN	0.8
STX7_HUMAN	RAB1A_HUMAN	1.6
STX7_HUMAN	RAB14_HUMAN	1.6
STX7_HUMAN	CK5P3_HUMAN	0.8
STX7_HUMAN	COL12_HUMAN	0.8
STX7_HUMAN	GRDN_HUMAN	0.8
STX7_HUMAN	RBGP1_HUMAN	0.8
STX7_HUMAN	STX18_HUMAN	2.4000000000000004
STX7_HUMAN	RBNS5_HUMAN	0.8
STX7_HUMAN	SNX2_HUMAN	0.8
STX7_HUMAN	VAMP2_HUMAN	5.279999999999999
STX7_HUMAN	PP2AA_HUMAN	0.8
STX7_HUMAN	PACE1_HUMAN	0.8
STX7_HUMAN	TSC1_HUMAN	0.8
STX7_HUMAN	RFIP5_HUMAN	0.8
STX7_HUMAN	WDR6_HUMAN	0.8
STX7_HUMAN	VANG1_HUMAN	0.8
STX7_HUMAN	VANG2_HUMAN	0.8
STX7_HUMAN	ZFPL1_HUMAN	0.8
STX7_HUMAN	VAMP7_HUMAN	7.52
STX7_HUMAN	LMTK2_HUMAN	0.8
STX7_HUMAN	SEPT7_HUMAN	0.8
STX7_HUMAN	STX5_HUMAN	3.2
STX7_HUMAN	STX1A_HUMAN	3.2
STX7_HUMAN	EPHA2_HUMAN	0.8
STX7_HUMAN	BASI_HUMAN	2.4000000000000004
STX7_HUMAN	UB2J1_HUMAN	0.8
STX7_HUMAN	LZTS2_HUMAN	0.8
STX7_HUMAN	RHOB_HUMAN	1.6
STX7_HUMAN	PKHA1_HUMAN	0.8
STX7_HUMAN	VPS18_HUMAN	4.04
