UniProtID	UniProtID	score
SYCP1_HUMAN	UBA1_HUMAN	1.28
SYCP1_HUMAN	LMNB1_HUMAN	0.6
SYCP1_HUMAN	BIP_HUMAN	1.6
SYCP1_HUMAN	MK03_HUMAN	0.64
SYCP1_HUMAN	SYNE1_HUMAN	0.6
SYCP1_HUMAN	TIAM1_HUMAN	1.0
SYCP1_HUMAN	1433B_HUMAN	0.64
SYCP1_HUMAN	AGRIN_HUMAN	0.8
SYCP1_HUMAN	HSP72_HUMAN	0.6
SYCP1_HUMAN	DJC11_HUMAN	0.64
SYCP1_HUMAN	SMC3_HUMAN	0.6
SYCP1_HUMAN	SYCP1_HUMAN	48.0
UBA1_HUMAN	UBA1_HUMAN	13.360000000000001
UBA1_HUMAN	MK03_HUMAN	0.8
LMNB1_HUMAN	LMNB1_HUMAN	12.0
LMNB1_HUMAN	SYNE1_HUMAN	0.6
LMNB1_HUMAN	HSP72_HUMAN	0.6
LMNB1_HUMAN	SMC3_HUMAN	0.6
BIP_HUMAN	BIP_HUMAN	54.480000000000004
BIP_HUMAN	MK03_HUMAN	3.04
BIP_HUMAN	1433B_HUMAN	3.04
BIP_HUMAN	HSP72_HUMAN	0.6
BIP_HUMAN	DJC11_HUMAN	0.64
MK03_HUMAN	MK03_HUMAN	18.48
MK03_HUMAN	1433B_HUMAN	0.6
MK03_HUMAN	HSP72_HUMAN	0.64
SYNE1_HUMAN	SYNE1_HUMAN	4.0
SYNE1_HUMAN	AGRIN_HUMAN	0.8
SYNE1_HUMAN	HSP72_HUMAN	0.6
SYNE1_HUMAN	SMC3_HUMAN	0.6
TIAM1_HUMAN	TIAM1_HUMAN	34.800000000000004
1433B_HUMAN	1433B_HUMAN	60.40000000000001
1433B_HUMAN	DJC11_HUMAN	0.64
AGRIN_HUMAN	AGRIN_HUMAN	6.3999999999999995
HSP72_HUMAN	HSP72_HUMAN	9.6
HSP72_HUMAN	SMC3_HUMAN	0.6
SMC3_HUMAN	SMC3_HUMAN	13.6
