UniProtID	UniProtID	score
SYN2_HUMAN	PLCG1_HUMAN	4.0
SYN2_HUMAN	DLG4_HUMAN	1.28
SYN2_HUMAN	P53_HUMAN	0.8
SYN2_HUMAN	PDC6I_HUMAN	0.8
SYN2_HUMAN	DYN1_HUMAN	0.64
SYN2_HUMAN	PROF2_HUMAN	1.28
SYN2_HUMAN	NBEA_HUMAN	0.64
SYN2_HUMAN	A4_HUMAN	0.64
SYN2_HUMAN	TAU_HUMAN	1.28
SYN2_HUMAN	1433E_HUMAN	2.2800000000000002
SYN2_HUMAN	HSP7C_HUMAN	0.64
SYN2_HUMAN	1433Z_HUMAN	2.2800000000000002
SYN2_HUMAN	KAP1_HUMAN	0.64
SYN2_HUMAN	1433B_HUMAN	0.8
SYN2_HUMAN	PP1A_HUMAN	0.64
SYN2_HUMAN	HD_HUMAN	0.64
SYN2_HUMAN	CALM3_HUMAN	1.92
SYN2_HUMAN	1433G_HUMAN	0.8
SYN2_HUMAN	GRIA2_HUMAN	1.6
SYN2_HUMAN	NEB2_HUMAN	0.64
SYN2_HUMAN	UBC_HUMAN	0.64
SYN2_HUMAN	KCMA1_HUMAN	0.64
SYN2_HUMAN	GRID2_HUMAN	0.64
SYN2_HUMAN	ACTB_HUMAN	0.64
SYN2_HUMAN	HAX1_HUMAN	2.4000000000000004
SYN2_HUMAN	CALM2_HUMAN	1.28
SYN2_HUMAN	SYGP1_HUMAN	1.6
SYN2_HUMAN	PRS6A_HUMAN	2
SYN2_HUMAN	PRIO_HUMAN	1.6
SYN2_HUMAN	VAMP2_HUMAN	0.64
SYN2_HUMAN	NCKP1_HUMAN	0.64
SYN2_HUMAN	CALM1_HUMAN	1.28
SYN2_HUMAN	RACK1_HUMAN	1
SYN2_HUMAN	ARMC1_HUMAN	2.4000000000000004
SYN2_HUMAN	IQCB1_HUMAN	1.6
SYN2_HUMAN	GPM6A_HUMAN	0.8
SYN2_HUMAN	CAPZB_HUMAN	0.8
SYN2_HUMAN	MTR1A_HUMAN	1.92
SYN2_HUMAN	GRIA1_HUMAN	1.6
SYN2_HUMAN	SPTCS_HUMAN	0.64
SYN2_HUMAN	SYN3_HUMAN	1.8
SYN2_HUMAN	CAPON_HUMAN	1.8
SYN2_HUMAN	FTM_HUMAN	0.64
SYN2_HUMAN	NAC1_HUMAN	2.56
SYN2_HUMAN	ITM2B_HUMAN	1.28
SYN2_HUMAN	ACM4_HUMAN	1.6
SYN2_HUMAN	SYN2_HUMAN	14.800000000000004
SYN2_HUMAN	SYN1_HUMAN	3.64
SYN2_HUMAN	CHD5_HUMAN	0.8
SYN2_HUMAN	DGUOK_HUMAN	2.4000000000000004
SYN2_HUMAN	KTU_HUMAN	2.4000000000000004
SYN2_HUMAN	DPOLL_HUMAN	2.4000000000000004
SYN2_HUMAN	DUS2_HUMAN	0.8
SYN2_HUMAN	UBP53_HUMAN	0.8
SYN2_HUMAN	CPLX1_HUMAN	0.64
