UniProtID	UniProtID	score
TACC1_HUMAN	LRC59_HUMAN	0.8
TACC1_HUMAN	REEP5_HUMAN	0.8
TACC1_HUMAN	VAPB_HUMAN	1.6
TACC1_HUMAN	CKAP5_HUMAN	13.200000000000001
TACC1_HUMAN	MTCH1_HUMAN	0.8
TACC1_HUMAN	SSRA_HUMAN	0.8
TACC1_HUMAN	STX7_HUMAN	0.8
TACC1_HUMAN	CXA1_HUMAN	0.8
TACC1_HUMAN	TMOD1_HUMAN	0.8
TACC1_HUMAN	MARE1_HUMAN	0.8
TACC1_HUMAN	RAB35_HUMAN	0.8
TACC1_HUMAN	FIS1_HUMAN	0.8
TACC1_HUMAN	HD_HUMAN	4.0
TACC1_HUMAN	AT2A1_HUMAN	0.8
TACC1_HUMAN	DTBP1_HUMAN	1.6
TACC1_HUMAN	MARCS_HUMAN	0.8
TACC1_HUMAN	VAPA_HUMAN	2.4000000000000004
TACC1_HUMAN	CALX_HUMAN	2.4000000000000004
TACC1_HUMAN	RASN_HUMAN	0.8
TACC1_HUMAN	RPN1_HUMAN	0.8
TACC1_HUMAN	MIRO2_HUMAN	0.8
TACC1_HUMAN	TBA1A_HUMAN	2.4000000000000004
TACC1_HUMAN	RAB4A_HUMAN	0.8
TACC1_HUMAN	FKBP8_HUMAN	0.8
TACC1_HUMAN	MGST3_HUMAN	1.6
TACC1_HUMAN	RPN2_HUMAN	1.6
TACC1_HUMAN	RAB5C_HUMAN	0.8
TACC1_HUMAN	TOM20_HUMAN	1.6
TACC1_HUMAN	AKAP1_HUMAN	0.8
TACC1_HUMAN	RAB5A_HUMAN	0.8
TACC1_HUMAN	RB11A_HUMAN	0.8
TACC1_HUMAN	S2546_HUMAN	0.8
TACC1_HUMAN	STX4_HUMAN	0.8
TACC1_HUMAN	AURKA_HUMAN	5.6
TACC1_HUMAN	MARE3_HUMAN	0.8
TACC1_HUMAN	MTCH2_HUMAN	0.8
TACC1_HUMAN	RASK_HUMAN	1.6
