UniProtID	UniProtID	score
TAGL2_HUMAN	C1TM_HUMAN	0.8
TAGL2_HUMAN	PDIA3_HUMAN	0.8
TAGL2_HUMAN	FABP5_HUMAN	0.8
TAGL2_HUMAN	PHB_HUMAN	0.8
TAGL2_HUMAN	HSDL2_HUMAN	0.8
TAGL2_HUMAN	CYBP_HUMAN	0.8
TAGL2_HUMAN	ENOB_HUMAN	0.8
TAGL2_HUMAN	PGAM1_HUMAN	0.8
TAGL2_HUMAN	PPIA_HUMAN	1.4
TAGL2_HUMAN	GSTO1_HUMAN	0.8
TAGL2_HUMAN	1433F_HUMAN	0.64
TAGL2_HUMAN	HS74L_HUMAN	0.8
TAGL2_HUMAN	HD_HUMAN	2.4000000000000004
TAGL2_HUMAN	BIP_HUMAN	1.6
TAGL2_HUMAN	MOES_HUMAN	0.8
TAGL2_HUMAN	KC1E_HUMAN	1.28
TAGL2_HUMAN	FKB1B_HUMAN	0.8
TAGL2_HUMAN	TKT_HUMAN	0.8
TAGL2_HUMAN	PIN1_HUMAN	0.8
TAGL2_HUMAN	SAHH2_HUMAN	0.8
TAGL2_HUMAN	NDKB_HUMAN	1.6
TAGL2_HUMAN	A16L1_HUMAN	1.44
TAGL2_HUMAN	ENOA_HUMAN	0.8
TAGL2_HUMAN	STIP1_HUMAN	0.8
TAGL2_HUMAN	ODO2_HUMAN	2.4000000000000004
TAGL2_HUMAN	ALDOC_HUMAN	0.8
TAGL2_HUMAN	GDIA_HUMAN	0.8
TAGL2_HUMAN	SNX12_HUMAN	0.8
TAGL2_HUMAN	RADI_HUMAN	0.8
TAGL2_HUMAN	UB2V1_HUMAN	1.6
TAGL2_HUMAN	MK03_HUMAN	0.64
TAGL2_HUMAN	FABPH_HUMAN	0.8
TAGL2_HUMAN	ACTB_HUMAN	4.44
TAGL2_HUMAN	DNM1L_HUMAN	1.6
TAGL2_HUMAN	PRKN_HUMAN	0.8
TAGL2_HUMAN	A4_HUMAN	0.8
TAGL2_HUMAN	COF1_HUMAN	0.8
TAGL2_HUMAN	EZRI_HUMAN	0.8
TAGL2_HUMAN	HS105_HUMAN	0.8
TAGL2_HUMAN	PGK1_HUMAN	0.8
TAGL2_HUMAN	SNX3_HUMAN	0.8
TAGL2_HUMAN	CADH1_HUMAN	0.8
TAGL2_HUMAN	EPB41_HUMAN	1.6
TAGL2_HUMAN	FABP7_HUMAN	0.8
TAGL2_HUMAN	HSP74_HUMAN	0.8
TAGL2_HUMAN	ALDOA_HUMAN	0.8
TAGL2_HUMAN	TAGL3_HUMAN	3.0000000000000004
TAGL2_HUMAN	CPLX1_HUMAN	0.8
TAGL2_HUMAN	GDAP1_HUMAN	2.4000000000000004
TAGL2_HUMAN	SYNPO_HUMAN	0.8
TAGL2_HUMAN	RAB10_HUMAN	0.8
TAGL2_HUMAN	GPX4_HUMAN	0.8
TAGL2_HUMAN	HCD2_HUMAN	3.2
TAGL2_HUMAN	VHL_HUMAN	1.6
TAGL2_HUMAN	ENOG_HUMAN	0.8
TAGL2_HUMAN	LMNA_HUMAN	0.8
TAGL2_HUMAN	EF2_HUMAN	0.8
TAGL2_HUMAN	ABL2_HUMAN	0.64
C1TM_HUMAN	MK03_HUMAN	0.64
PDIA3_HUMAN	PDIA3_HUMAN	12.0
PDIA3_HUMAN	PGAM1_HUMAN	0.8
PDIA3_HUMAN	1433F_HUMAN	0.64
PDIA3_HUMAN	BIP_HUMAN	2.2
PDIA3_HUMAN	TKT_HUMAN	0.8
PDIA3_HUMAN	A16L1_HUMAN	1.44
PDIA3_HUMAN	ENOA_HUMAN	0.8
PDIA3_HUMAN	ODO2_HUMAN	3.2
PDIA3_HUMAN	PRKN_HUMAN	1.6
PDIA3_HUMAN	A4_HUMAN	7.199999999999999
PDIA3_HUMAN	PGK1_HUMAN	0.8
PDIA3_HUMAN	ALDOA_HUMAN	0.8
FABP5_HUMAN	FABP5_HUMAN	44.8
FABP5_HUMAN	ENOB_HUMAN	1.4
FABP5_HUMAN	PGAM1_HUMAN	1.4
FABP5_HUMAN	MOES_HUMAN	0.8
FABP5_HUMAN	FKB1B_HUMAN	1.4
FABP5_HUMAN	TKT_HUMAN	0.8
FABP5_HUMAN	PIN1_HUMAN	1.4
FABP5_HUMAN	ENOA_HUMAN	1.4
FABP5_HUMAN	STIP1_HUMAN	0.8
FABP5_HUMAN	ALDOC_HUMAN	0.8
FABP5_HUMAN	RADI_HUMAN	0.8
FABP5_HUMAN	EZRI_HUMAN	0.8
FABP5_HUMAN	EPB41_HUMAN	0.8
FABP5_HUMAN	ALDOA_HUMAN	0.8
FABP5_HUMAN	TAGL3_HUMAN	1.4
FABP5_HUMAN	HCD2_HUMAN	0.8
FABP5_HUMAN	VHL_HUMAN	0.8
FABP5_HUMAN	ENOG_HUMAN	1.4
PHB_HUMAN	PHB_HUMAN	1.6
PHB_HUMAN	PPIA_HUMAN	1.6
PHB_HUMAN	BIP_HUMAN	1.6
PHB_HUMAN	A16L1_HUMAN	1.44
PHB_HUMAN	ENOA_HUMAN	0.8
PHB_HUMAN	ODO2_HUMAN	0.8
PHB_HUMAN	ACTB_HUMAN	3.2
PHB_HUMAN	PRKN_HUMAN	0.8
PHB_HUMAN	COF1_HUMAN	0.8
PHB_HUMAN	EZRI_HUMAN	0.8
PHB_HUMAN	HS105_HUMAN	0.8
PHB_HUMAN	HSP74_HUMAN	0.8
PHB_HUMAN	SYNPO_HUMAN	0.8
PHB_HUMAN	HCD2_HUMAN	1.6
PHB_HUMAN	LMNA_HUMAN	1.6
PHB_HUMAN	EF2_HUMAN	1.6
HSDL2_HUMAN	HSDL2_HUMAN	2.0
HSDL2_HUMAN	ENOA_HUMAN	1.6
HSDL2_HUMAN	ODO2_HUMAN	2.4000000000000004
HSDL2_HUMAN	PRKN_HUMAN	0.8
CYBP_HUMAN	CYBP_HUMAN	34.8
CYBP_HUMAN	1433F_HUMAN	0.64
CYBP_HUMAN	NDKB_HUMAN	0.8
CYBP_HUMAN	A16L1_HUMAN	1.44
CYBP_HUMAN	EPB41_HUMAN	0.8
CYBP_HUMAN	HCD2_HUMAN	0.8
ENOB_HUMAN	ENOB_HUMAN	5.2
ENOB_HUMAN	PGAM1_HUMAN	1.4
ENOB_HUMAN	HD_HUMAN	1.28
ENOB_HUMAN	FKB1B_HUMAN	1.4
ENOB_HUMAN	TKT_HUMAN	1.4
ENOB_HUMAN	NDKB_HUMAN	1.6
ENOB_HUMAN	ENOA_HUMAN	2.2
ENOB_HUMAN	STIP1_HUMAN	0.8
ENOB_HUMAN	ODO2_HUMAN	3.8400000000000007
ENOB_HUMAN	ALDOC_HUMAN	0.6
ENOB_HUMAN	A4_HUMAN	0.8
ENOB_HUMAN	PGK1_HUMAN	2.04
ENOB_HUMAN	ALDOA_HUMAN	2.24
ENOB_HUMAN	TAGL3_HUMAN	1.4
ENOB_HUMAN	SYNPO_HUMAN	0.8
ENOB_HUMAN	GPX4_HUMAN	1.4
ENOB_HUMAN	HCD2_HUMAN	4.48
ENOB_HUMAN	ENOG_HUMAN	3.6400000000000006
PGAM1_HUMAN	PGAM1_HUMAN	56.0
PGAM1_HUMAN	TKT_HUMAN	0.8
PGAM1_HUMAN	ENOA_HUMAN	1.4
PGAM1_HUMAN	ODO2_HUMAN	1.6
PGAM1_HUMAN	ALDOC_HUMAN	1.4
PGAM1_HUMAN	DNM1L_HUMAN	1.6
PGAM1_HUMAN	PRKN_HUMAN	2.4000000000000004
PGAM1_HUMAN	A4_HUMAN	3.2
PGAM1_HUMAN	PGK1_HUMAN	2.04
PGAM1_HUMAN	HCD2_HUMAN	0.64
PGAM1_HUMAN	ENOG_HUMAN	1.4
