UniProtID	UniProtID	score
TALDO_HUMAN	PFKAM_HUMAN	0.6
TALDO_HUMAN	LDHA_HUMAN	1.4
TALDO_HUMAN	PGAM1_HUMAN	0.6
TALDO_HUMAN	ENOB_HUMAN	0.6
TALDO_HUMAN	UBC_HUMAN	0.64
TALDO_HUMAN	PGAM2_HUMAN	0.6
TALDO_HUMAN	G6PD_HUMAN	0.6
TALDO_HUMAN	LDHB_HUMAN	1.4
TALDO_HUMAN	PRDX2_HUMAN	0.8
TALDO_HUMAN	HD_HUMAN	2.4000000000000004
TALDO_HUMAN	RAC1_HUMAN	0.8
TALDO_HUMAN	ARF6_HUMAN	0.8
TALDO_HUMAN	TKT_HUMAN	2.2
TALDO_HUMAN	AK1A1_HUMAN	0.8
TALDO_HUMAN	KCMA1_HUMAN	1.28
TALDO_HUMAN	WDR1_HUMAN	1.44
TALDO_HUMAN	NDKB_HUMAN	1.44
TALDO_HUMAN	ENOA_HUMAN	1.4
TALDO_HUMAN	KPYR_HUMAN	0.6
TALDO_HUMAN	ALDOC_HUMAN	0.6
TALDO_HUMAN	ODPB_HUMAN	0.6
TALDO_HUMAN	AATC_HUMAN	0.8
TALDO_HUMAN	TPIS_HUMAN	0.6
TALDO_HUMAN	TALDO_HUMAN	5.2
TALDO_HUMAN	ODPA_HUMAN	0.6
TALDO_HUMAN	PARK7_HUMAN	0.8
TALDO_HUMAN	PCBP1_HUMAN	0.8
TALDO_HUMAN	GLOD4_HUMAN	0.8
TALDO_HUMAN	PPAC_HUMAN	1.4
TALDO_HUMAN	ALDOA_HUMAN	0.8
TALDO_HUMAN	PFKAP_HUMAN	0.6
TALDO_HUMAN	G3P_HUMAN	0.6
TALDO_HUMAN	PEA15_HUMAN	0.8
TALDO_HUMAN	FPPS_HUMAN	1.44
TALDO_HUMAN	KAPCB_HUMAN	0.8
TALDO_HUMAN	PFKAL_HUMAN	0.6
TALDO_HUMAN	SCOT1_HUMAN	0.8
TALDO_HUMAN	ENOG_HUMAN	0.6
TALDO_HUMAN	HXK1_HUMAN	0.6
TALDO_HUMAN	6PGD_HUMAN	2.04
TALDO_HUMAN	CSRP1_HUMAN	0.8
PFKAM_HUMAN	PFKAM_HUMAN	9.2
PFKAM_HUMAN	UBC_HUMAN	0.8
PFKAM_HUMAN	TKT_HUMAN	0.6
PFKAM_HUMAN	ENOA_HUMAN	0.6
PFKAM_HUMAN	KPYR_HUMAN	0.6
PFKAM_HUMAN	ALDOC_HUMAN	0.6
PFKAM_HUMAN	TPIS_HUMAN	0.6
PFKAM_HUMAN	ODPA_HUMAN	0.64
PFKAM_HUMAN	PCBP1_HUMAN	0.8
PFKAM_HUMAN	PFKAP_HUMAN	5.4399999999999995
PFKAM_HUMAN	PFKAL_HUMAN	9.44
PFKAM_HUMAN	HXK1_HUMAN	0.6
LDHA_HUMAN	LDHA_HUMAN	848.3999999999999
LDHA_HUMAN	PGAM1_HUMAN	0.6
LDHA_HUMAN	UBC_HUMAN	1.44
LDHA_HUMAN	PGAM2_HUMAN	0.8
LDHA_HUMAN	G6PD_HUMAN	0.6
LDHA_HUMAN	LDHB_HUMAN	9.399999999999999
LDHA_HUMAN	PRDX2_HUMAN	0.8
LDHA_HUMAN	HD_HUMAN	1.28
LDHA_HUMAN	TKT_HUMAN	1.4
LDHA_HUMAN	KCMA1_HUMAN	1.92
LDHA_HUMAN	WDR1_HUMAN	0.8
