UniProtID	UniProtID	score
TBC17_HUMAN	MLP3B_HUMAN	1
TBC17_HUMAN	MLP3A_HUMAN	1.6
TBC17_HUMAN	OPTN_HUMAN	11.4
TBC17_HUMAN	GBRL1_HUMAN	2.24
TBC17_HUMAN	GGA3_HUMAN	0.64
TBC17_HUMAN	PP2BA_HUMAN	0.64
TBC17_HUMAN	AOFB_HUMAN	0.64
TBC17_HUMAN	TF3C1_HUMAN	1.6
TBC17_HUMAN	TCPE_HUMAN	2.24
TBC17_HUMAN	RAB5B_HUMAN	0.8
TBC17_HUMAN	RAB5A_HUMAN	1.44
TBC17_HUMAN	TAXB1_HUMAN	1.6
TBC17_HUMAN	CACO1_HUMAN	1.6
TBC17_HUMAN	KCAB2_HUMAN	0.64
TBC17_HUMAN	RAB1A_HUMAN	1.6
TBC17_HUMAN	RAB8A_HUMAN	4
TBC17_HUMAN	MEMO1_HUMAN	0.64
TBC17_HUMAN	RS16_HUMAN	0.8
TBC17_HUMAN	FIS1_HUMAN	1.6
TBC17_HUMAN	CC121_HUMAN	3.2
TBC17_HUMAN	XPO1_HUMAN	1.44
TBC17_HUMAN	COR1B_HUMAN	1.44
TBC17_HUMAN	PP1R7_HUMAN	0.64
TBC17_HUMAN	NIPS1_HUMAN	1.44
TBC17_HUMAN	CAPZB_HUMAN	0.8
TBC17_HUMAN	EED_HUMAN	0.64
TBC17_HUMAN	TWF2_HUMAN	0.64
TBC17_HUMAN	PARVA_HUMAN	0.8
TBC17_HUMAN	FBRL_HUMAN	1.6
TBC17_HUMAN	CUL2_HUMAN	2.24
TBC17_HUMAN	STX12_HUMAN	3.2
TBC17_HUMAN	UBAC2_HUMAN	2.4000000000000004
TBC17_HUMAN	ASCC2_HUMAN	1.6
TBC17_HUMAN	DHX29_HUMAN	1.44
TBC17_HUMAN	CSN1_HUMAN	0.8
TBC17_HUMAN	AAAT_HUMAN	0.8
TBC17_HUMAN	CDN2D_HUMAN	1.6
TBC17_HUMAN	TFR1_HUMAN	1
TBC17_HUMAN	RAB5C_HUMAN	0.8
TBC17_HUMAN	LGR4_HUMAN	0.8
TBC17_HUMAN	UBXN8_HUMAN	0.8
TBC17_HUMAN	TBC15_HUMAN	1.6
TBC17_HUMAN	ZBBX_HUMAN	0.8
TBC17_HUMAN	TES_HUMAN	0.8
TBC17_HUMAN	APEX1_HUMAN	0.8
TBC17_HUMAN	BNIP5_HUMAN	0.8
TBC17_HUMAN	HIDE1_HUMAN	0.8
TBC17_HUMAN	CXCR4_HUMAN	0.8
TBC17_HUMAN	CYS1_HUMAN	0.8
TBC17_HUMAN	ADT2_HUMAN	0.8
TBC17_HUMAN	KLRG2_HUMAN	0.8
TBC17_HUMAN	ADT4_HUMAN	0.8
TBC17_HUMAN	TRI67_HUMAN	0.8
TBC17_HUMAN	TOP3B_HUMAN	0.8
TBC17_HUMAN	SPPL3_HUMAN	0.8
TBC17_HUMAN	OSBP1_HUMAN	1.44
TBC17_HUMAN	ZRAB2_HUMAN	0.8
TBC17_HUMAN	LICH_HUMAN	0.64
TBC17_HUMAN	MECR_HUMAN	0.64
TBC17_HUMAN	PSMD9_HUMAN	0.64
TBC17_HUMAN	SELO_HUMAN	0.64
TBC17_HUMAN	AOFA_HUMAN	0.64
TBC17_HUMAN	PLAP_HUMAN	0.64
TBC17_HUMAN	KAPCB_HUMAN	0.64
TBC17_HUMAN	UBXN7_HUMAN	0.64
TBC17_HUMAN	AHSA2_HUMAN	0.64
TBC17_HUMAN	HAOX1_HUMAN	0.64
TBC17_HUMAN	CARME_HUMAN	0.64
TBC17_HUMAN	TBC25_HUMAN	0.64
TBC17_HUMAN	MTCH2_HUMAN	0.8
TBC17_HUMAN	DJB13_HUMAN	0.8
TBC17_HUMAN	STING_HUMAN	0.64
