UniProtID	UniProtID	score
TBK1_HUMAN	SRC_HUMAN	1
TBK1_HUMAN	NCK1_HUMAN	2
TBK1_HUMAN	ESR1_HUMAN	1
TBK1_HUMAN	IF4B_HUMAN	0.8
TBK1_HUMAN	EF1A1_HUMAN	0.8
TBK1_HUMAN	EGLN1_HUMAN	2
TBK1_HUMAN	PP6R2_HUMAN	0.8
TBK1_HUMAN	HNRPM_HUMAN	0.8
TBK1_HUMAN	TCOF_HUMAN	0.8
TBK1_HUMAN	NEDD4_HUMAN	2.8
TBK1_HUMAN	SCAM3_HUMAN	0.8
TBK1_HUMAN	FOXJ3_HUMAN	1.6
TBK1_HUMAN	RNF11_HUMAN	2
TBK1_HUMAN	YAP1_HUMAN	2
TBK1_HUMAN	AGFG1_HUMAN	0.8
TBK1_HUMAN	PP6R1_HUMAN	0.8
TBK1_HUMAN	SUMO1_HUMAN	2.4000000000000004
TBK1_HUMAN	I2BPL_HUMAN	0.8
TBK1_HUMAN	MLP3B_HUMAN	3.5999999999999996
TBK1_HUMAN	MLP3A_HUMAN	1.8
TBK1_HUMAN	SQSTM_HUMAN	7.3999999999999995
TBK1_HUMAN	ATG9A_HUMAN	3.2
TBK1_HUMAN	OPTN_HUMAN	63.59999999999999
TBK1_HUMAN	AZI2_HUMAN	23.280000000000005
TBK1_HUMAN	GBRL2_HUMAN	0.8
TBK1_HUMAN	CDC37_HUMAN	1.6
TBK1_HUMAN	MAVS_HUMAN	24.0
TBK1_HUMAN	SFPQ_HUMAN	0.8
TBK1_HUMAN	RAF1_HUMAN	0.8
TBK1_HUMAN	M4K1_HUMAN	2
TBK1_HUMAN	DDX41_HUMAN	0.8
TBK1_HUMAN	ABR_HUMAN	1.6
TBK1_HUMAN	KI67_HUMAN	2.4000000000000004
TBK1_HUMAN	ICAL_HUMAN	0.8
TBK1_HUMAN	E41L3_HUMAN	0.8
TBK1_HUMAN	TPX2_HUMAN	0.8
TBK1_HUMAN	RL13_HUMAN	0.8
TBK1_HUMAN	TRAIP_HUMAN	1.8
TBK1_HUMAN	HMGN2_HUMAN	0.8
TBK1_HUMAN	CRBB3_HUMAN	0.8
TBK1_HUMAN	A4_HUMAN	0.8
TBK1_HUMAN	DDX3X_HUMAN	8.2
