UniProtID	UniProtID	score
TCPA_HUMAN	TRI37_HUMAN	0.8
TCPA_HUMAN	STAU1_HUMAN	0.8
TCPA_HUMAN	CALM1_HUMAN	0.8
TCPA_HUMAN	CTRO_HUMAN	0.8
TCPA_HUMAN	TBB6_HUMAN	0.6
TCPA_HUMAN	USP9X_HUMAN	1.44
TCPA_HUMAN	EF1G_HUMAN	0.6
TCPA_HUMAN	GNB5_HUMAN	1.4
TCPA_HUMAN	TBA4A_HUMAN	2.04
TCPA_HUMAN	ACTZ_HUMAN	0.8
TCPA_HUMAN	PPIA_HUMAN	0.8
TCPA_HUMAN	TCPZ_HUMAN	6.44
TCPA_HUMAN	TCPB_HUMAN	12.76
TCPA_HUMAN	DOCK5_HUMAN	0.8
TCPA_HUMAN	RAP2C_HUMAN	1.6
TCPA_HUMAN	HS90B_HUMAN	1.6
TCPA_HUMAN	CYLD_HUMAN	1.6
TCPA_HUMAN	OGT1_HUMAN	0.8
TCPA_HUMAN	A16L1_HUMAN	1.44
TCPA_HUMAN	RAN_HUMAN	0.6
TCPA_HUMAN	BIG2_HUMAN	0.6
TCPA_HUMAN	RSSA_HUMAN	1.4
TCPA_HUMAN	ERLN2_HUMAN	1.6
TCPA_HUMAN	RASN_HUMAN	0.8
TCPA_HUMAN	DDRGK_HUMAN	0.8
TCPA_HUMAN	RPN1_HUMAN	0.8
TCPA_HUMAN	MLP3A_HUMAN	0.8
TCPA_HUMAN	COPA_HUMAN	1.44
TCPA_HUMAN	MK03_HUMAN	0.64
TCPA_HUMAN	PSMD1_HUMAN	0.64
TCPA_HUMAN	UBC12_HUMAN	0.8
TCPA_HUMAN	DC1I1_HUMAN	0.8
TCPA_HUMAN	GBRL2_HUMAN	0.8
TCPA_HUMAN	RAF1_HUMAN	2.4000000000000004
TCPA_HUMAN	WDR48_HUMAN	1.28
TCPA_HUMAN	ACTY_HUMAN	1.28
TCPA_HUMAN	GSK3B_HUMAN	0.8
TCPA_HUMAN	RS3_HUMAN	0.8
TCPA_HUMAN	GBG3_HUMAN	0.6
TCPA_HUMAN	GBG2_HUMAN	0.6
TCPA_HUMAN	RGS6_HUMAN	0.6
TCPA_HUMAN	KCC2A_HUMAN	0.64
TCPA_HUMAN	PHB_HUMAN	0.8
TCPA_HUMAN	SSRA_HUMAN	1.4
TCPA_HUMAN	ARP2_HUMAN	2.4000000000000004
TCPA_HUMAN	UBC_HUMAN	1.44
TCPA_HUMAN	BAG5_HUMAN	0.8
TCPA_HUMAN	PTEN_HUMAN	1.44
TCPA_HUMAN	STRN_HUMAN	5.239999999999999
TCPA_HUMAN	SAM50_HUMAN	2.08
TCPA_HUMAN	HD_HUMAN	2.4000000000000004
TCPA_HUMAN	TCPG_HUMAN	24.759999999999998
TCPA_HUMAN	GBB4_HUMAN	0.6
TCPA_HUMAN	RGS9_HUMAN	0.6
TCPA_HUMAN	CTTB2_HUMAN	2.8400000000000003
TCPA_HUMAN	TBG1_HUMAN	6.56
TCPA_HUMAN	PPP5_HUMAN	0.6
TCPA_HUMAN	RL15_HUMAN	0.6
TCPA_HUMAN	PP2AA_HUMAN	7.479999999999999
TCPA_HUMAN	WDR37_HUMAN	2.4000000000000004
TCPA_HUMAN	TBA1A_HUMAN	7.2799999999999985
TCPA_HUMAN	GRB2_HUMAN	0.8
TCPA_HUMAN	ACTB_HUMAN	3.52
TCPA_HUMAN	GBB1_HUMAN	1.88
TCPA_HUMAN	1433T_HUMAN	0.8
TCPA_HUMAN	GBG12_HUMAN	0.6
TCPA_HUMAN	VATA_HUMAN	0.64
TCPA_HUMAN	PSMD2_HUMAN	0.64
TCPA_HUMAN	DJC11_HUMAN	1.28
TCPA_HUMAN	RS4X_HUMAN	0.6
TCPA_HUMAN	TCPW_HUMAN	2.2
TCPA_HUMAN	CUL3_HUMAN	1.6
TCPA_HUMAN	DNJA2_HUMAN	0.8
TCPA_HUMAN	EEA1_HUMAN	1.0
TCPA_HUMAN	TXTP_HUMAN	0.8
TCPA_HUMAN	EHMT2_HUMAN	1.6
TCPA_HUMAN	1433B_HUMAN	0.64
TCPA_HUMAN	CALM3_HUMAN	0.8
TCPA_HUMAN	SC6A4_HUMAN	0.64
TCPA_HUMAN	CH60_HUMAN	0.6
TCPA_HUMAN	CDK5_HUMAN	1.6
TCPA_HUMAN	AKT1_HUMAN	1.6
TCPA_HUMAN	LCK_HUMAN	2.4000000000000004
TCPA_HUMAN	1433Z_HUMAN	0.8
TCPA_HUMAN	IF2A_HUMAN	0.6
TCPA_HUMAN	TIP_HUMAN	0.8
TCPA_HUMAN	TAU_HUMAN	0.64
TCPA_HUMAN	PDK3_HUMAN	1.6
TCPA_HUMAN	HS71L_HUMAN	0.64
TCPA_HUMAN	RL5_HUMAN	0.6
TCPA_HUMAN	HSP7C_HUMAN	1.4
TCPA_HUMAN	TBK1_HUMAN	0.8
TCPA_HUMAN	TCPQ_HUMAN	20.32
TCPA_HUMAN	STIP1_HUMAN	0.6
TCPA_HUMAN	FUS_HUMAN	0.8
TCPA_HUMAN	NDKA_HUMAN	2.4000000000000004
TCPA_HUMAN	YES_HUMAN	2.4000000000000004
TCPA_HUMAN	TBG2_HUMAN	1.6
TCPA_HUMAN	GBB2_HUMAN	2.2
TCPA_HUMAN	SYNPO_HUMAN	0.8
TCPA_HUMAN	TCPE_HUMAN	9.239999999999998
TCPA_HUMAN	SKIV2_HUMAN	0.6
TCPA_HUMAN	TCPD_HUMAN	24.759999999999998
TCPA_HUMAN	TBB2A_HUMAN	0.6
TCPA_HUMAN	VHL_HUMAN	4.6
TCPA_HUMAN	HS90A_HUMAN	1.4
TCPA_HUMAN	HSP74_HUMAN	1.6
TCPA_HUMAN	TSC1_HUMAN	0.6
TCPA_HUMAN	RGS7_HUMAN	0.6
TCPA_HUMAN	STRN4_HUMAN	1.4
TCPA_HUMAN	CTNB1_HUMAN	0.8
TCPA_HUMAN	QCR2_HUMAN	0.8
TCPA_HUMAN	ARP3B_HUMAN	0.8
TCPA_HUMAN	NIPS1_HUMAN	1.6
TCPA_HUMAN	NPM_HUMAN	0.8
TCPA_HUMAN	TERA_HUMAN	0.8
TCPA_HUMAN	RS20_HUMAN	0.8
TCPA_HUMAN	TBB2B_HUMAN	0.6
TCPA_HUMAN	KI21A_HUMAN	1.6
TCPA_HUMAN	PRKN_HUMAN	4.0
TCPA_HUMAN	NEB2_HUMAN	0.64
TCPA_HUMAN	TCPH_HUMAN	26.92
TCPA_HUMAN	CALM2_HUMAN	0.8
TCPA_HUMAN	GBG7_HUMAN	0.6
TCPA_HUMAN	PSDE_HUMAN	1.44
TCPA_HUMAN	TBA1B_HUMAN	3.4800000000000004
TCPA_HUMAN	ACON_HUMAN	0.8
TCPA_HUMAN	TBB3_HUMAN	0.8
TCPA_HUMAN	DC1I2_HUMAN	0.8
TCPA_HUMAN	GRIA4_HUMAN	0.64
TCPA_HUMAN	ARP3_HUMAN	0.8
TCPA_HUMAN	STAT3_HUMAN	0.6
TRI37_HUMAN	TRI37_HUMAN	9.2
TRI37_HUMAN	STAU1_HUMAN	0.8
TRI37_HUMAN	CALM1_HUMAN	0.8
TRI37_HUMAN	EF1G_HUMAN	0.8
TRI37_HUMAN	PPIA_HUMAN	0.8
TRI37_HUMAN	HS90B_HUMAN	1.6
TRI37_HUMAN	RPN1_HUMAN	0.8
TRI37_HUMAN	COPA_HUMAN	0.8
TRI37_HUMAN	UBC12_HUMAN	0.6
TRI37_HUMAN	RS3_HUMAN	0.8
TRI37_HUMAN	PHB_HUMAN	0.8
TRI37_HUMAN	ARP2_HUMAN	0.8
TRI37_HUMAN	UBC_HUMAN	2.4
TRI37_HUMAN	PTEN_HUMAN	0.8
TRI37_HUMAN	TBA1A_HUMAN	0.8
TRI37_HUMAN	ACTB_HUMAN	0.8
TRI37_HUMAN	GBB1_HUMAN	0.8
TRI37_HUMAN	1433T_HUMAN	0.8
TRI37_HUMAN	CUL3_HUMAN	0.6
TRI37_HUMAN	CALM3_HUMAN	0.8
TRI37_HUMAN	CH60_HUMAN	0.8
TRI37_HUMAN	1433Z_HUMAN	0.8
TRI37_HUMAN	RL5_HUMAN	0.8
TRI37_HUMAN	HSP7C_HUMAN	1.6
TRI37_HUMAN	NDKA_HUMAN	0.8
TRI37_HUMAN	VHL_HUMAN	0.6
TRI37_HUMAN	HS90A_HUMAN	1.6
TRI37_HUMAN	CTNB1_HUMAN	1.0
TRI37_HUMAN	NPM_HUMAN	0.8
TRI37_HUMAN	RS20_HUMAN	0.8
TRI37_HUMAN	PRKN_HUMAN	0.6
TRI37_HUMAN	NEB2_HUMAN	0.8
TRI37_HUMAN	CALM2_HUMAN	0.8
TRI37_HUMAN	TBA1B_HUMAN	0.8
TRI37_HUMAN	TBB3_HUMAN	0.8
TRI37_HUMAN	ARP3_HUMAN	0.8
STAU1_HUMAN	STAU1_HUMAN	5.6
STAU1_HUMAN	USP9X_HUMAN	0.8
STAU1_HUMAN	EF1G_HUMAN	1.6
STAU1_HUMAN	TBA4A_HUMAN	0.8
STAU1_HUMAN	TCPZ_HUMAN	0.8
STAU1_HUMAN	TCPB_HUMAN	0.8
STAU1_HUMAN	CYLD_HUMAN	0.8
STAU1_HUMAN	OGT1_HUMAN	0.8
STAU1_HUMAN	RAN_HUMAN	1.6
STAU1_HUMAN	DDRGK_HUMAN	0.8
STAU1_HUMAN	RPN1_HUMAN	1.6
STAU1_HUMAN	COPA_HUMAN	2.24
STAU1_HUMAN	PSMD1_HUMAN	0.8
STAU1_HUMAN	DC1I1_HUMAN	3.0400000000000005
STAU1_HUMAN	RS3_HUMAN	1.44
STAU1_HUMAN	PHB_HUMAN	2.4000000000000004
STAU1_HUMAN	TCPG_HUMAN	0.8
STAU1_HUMAN	RL15_HUMAN	2.4000000000000004
STAU1_HUMAN	TBA1A_HUMAN	2.4000000000000004
STAU1_HUMAN	ACTB_HUMAN	2.24
STAU1_HUMAN	1433T_HUMAN	0.8
STAU1_HUMAN	VATA_HUMAN	0.8
STAU1_HUMAN	PSMD2_HUMAN	1.6
STAU1_HUMAN	RS4X_HUMAN	3.0400000000000005
STAU1_HUMAN	CUL3_HUMAN	1.6
STAU1_HUMAN	CH60_HUMAN	1.6
STAU1_HUMAN	1433Z_HUMAN	0.8
STAU1_HUMAN	IF2A_HUMAN	0.8
STAU1_HUMAN	TAU_HUMAN	3.0400000000000005
STAU1_HUMAN	HS71L_HUMAN	0.8
STAU1_HUMAN	RL5_HUMAN	1.6
STAU1_HUMAN	HSP7C_HUMAN	2.4000000000000004
STAU1_HUMAN	TBK1_HUMAN	0.8
STAU1_HUMAN	TCPQ_HUMAN	0.8
STAU1_HUMAN	STIP1_HUMAN	0.8
STAU1_HUMAN	SYNPO_HUMAN	0.8
STAU1_HUMAN	TCPE_HUMAN	0.8
STAU1_HUMAN	SKIV2_HUMAN	0.8
STAU1_HUMAN	TCPD_HUMAN	1.6
STAU1_HUMAN	CTNB1_HUMAN	0.8
STAU1_HUMAN	NPM_HUMAN	1.6
STAU1_HUMAN	TBB3_HUMAN	1.6
CALM1_HUMAN	CALM1_HUMAN	191.2
CALM1_HUMAN	CTRO_HUMAN	0.8
CALM1_HUMAN	HS90B_HUMAN	1.88
CALM1_HUMAN	CYLD_HUMAN	0.8
CALM1_HUMAN	RSSA_HUMAN	0.8
CALM1_HUMAN	DDRGK_HUMAN	0.8
CALM1_HUMAN	UBC12_HUMAN	0.8
CALM1_HUMAN	DC1I1_HUMAN	0.64
CALM1_HUMAN	RAF1_HUMAN	1.0
CALM1_HUMAN	KCC2A_HUMAN	4.16
CALM1_HUMAN	UBC_HUMAN	1.44
CALM1_HUMAN	BAG5_HUMAN	0.8
CALM1_HUMAN	PTEN_HUMAN	0.8
CALM1_HUMAN	STRN_HUMAN	0.64
CALM1_HUMAN	HD_HUMAN	0.8
CALM1_HUMAN	WDR37_HUMAN	0.64
CALM1_HUMAN	TBA1A_HUMAN	0.64
CALM1_HUMAN	GRB2_HUMAN	0.8
CALM1_HUMAN	1433T_HUMAN	3.24
CALM1_HUMAN	PSMD2_HUMAN	0.8
CALM1_HUMAN	CUL3_HUMAN	2.4000000000000004
CALM1_HUMAN	1433B_HUMAN	0.8
CALM1_HUMAN	CALM3_HUMAN	3.5999999999999996
CALM1_HUMAN	SC6A4_HUMAN	0.8
CALM1_HUMAN	AKT1_HUMAN	2.44
CALM1_HUMAN	1433Z_HUMAN	1.28
CALM1_HUMAN	TIP_HUMAN	0.8
CALM1_HUMAN	TAU_HUMAN	1.8
CALM1_HUMAN	YES_HUMAN	0.8
CALM1_HUMAN	HS90A_HUMAN	1.6
CALM1_HUMAN	HSP74_HUMAN	1.0
CALM1_HUMAN	TSC1_HUMAN	0.8
CALM1_HUMAN	CTNB1_HUMAN	1.44
CALM1_HUMAN	NIPS1_HUMAN	0.64
CALM1_HUMAN	RS20_HUMAN	0.64
CALM1_HUMAN	KI21A_HUMAN	0.64
CALM1_HUMAN	CALM2_HUMAN	1.2
CALM1_HUMAN	TBA1B_HUMAN	0.64
CTRO_HUMAN	CTRO_HUMAN	1.6
CTRO_HUMAN	EF1G_HUMAN	0.8
CTRO_HUMAN	PPIA_HUMAN	0.8
CTRO_HUMAN	TCPZ_HUMAN	0.8
CTRO_HUMAN	TCPB_HUMAN	0.8
CTRO_HUMAN	HS90B_HUMAN	0.8
CTRO_HUMAN	CYLD_HUMAN	0.8
CTRO_HUMAN	RAN_HUMAN	0.8
CTRO_HUMAN	RSSA_HUMAN	0.8
CTRO_HUMAN	RPN1_HUMAN	0.8
CTRO_HUMAN	COPA_HUMAN	0.8
CTRO_HUMAN	RAF1_HUMAN	0.8
CTRO_HUMAN	ACTY_HUMAN	0.8
CTRO_HUMAN	RS3_HUMAN	0.8
CTRO_HUMAN	PHB_HUMAN	0.8
CTRO_HUMAN	ARP2_HUMAN	0.8
CTRO_HUMAN	TCPG_HUMAN	0.8
CTRO_HUMAN	GBB4_HUMAN	0.8
CTRO_HUMAN	RL15_HUMAN	0.8
CTRO_HUMAN	TBA1A_HUMAN	0.8
CTRO_HUMAN	ACTB_HUMAN	2.4000000000000004
CTRO_HUMAN	PSMD2_HUMAN	0.8
CTRO_HUMAN	RS4X_HUMAN	0.8
CTRO_HUMAN	CUL3_HUMAN	0.8
CTRO_HUMAN	TXTP_HUMAN	0.8
CTRO_HUMAN	1433B_HUMAN	0.64
CTRO_HUMAN	CALM3_HUMAN	0.8
CTRO_HUMAN	CH60_HUMAN	0.8
CTRO_HUMAN	IF2A_HUMAN	0.8
CTRO_HUMAN	HS71L_HUMAN	0.8
CTRO_HUMAN	RL5_HUMAN	0.8
CTRO_HUMAN	HSP7C_HUMAN	0.8
CTRO_HUMAN	TCPQ_HUMAN	0.8
CTRO_HUMAN	FUS_HUMAN	0.8
CTRO_HUMAN	SYNPO_HUMAN	0.8
CTRO_HUMAN	TCPE_HUMAN	0.8
CTRO_HUMAN	TCPD_HUMAN	0.8
CTRO_HUMAN	HS90A_HUMAN	0.8
CTRO_HUMAN	CTNB1_HUMAN	0.8
CTRO_HUMAN	QCR2_HUMAN	0.8
CTRO_HUMAN	NIPS1_HUMAN	0.8
CTRO_HUMAN	NPM_HUMAN	0.8
CTRO_HUMAN	RS20_HUMAN	0.8
CTRO_HUMAN	CALM2_HUMAN	0.8
CTRO_HUMAN	ARP3_HUMAN	0.8
CTRO_HUMAN	STAT3_HUMAN	0.8
TBB6_HUMAN	TBA4A_HUMAN	1.4
TBB6_HUMAN	TCPZ_HUMAN	0.6
TBB6_HUMAN	TCPB_HUMAN	0.6
TBB6_HUMAN	CYLD_HUMAN	0.8
TBB6_HUMAN	OGT1_HUMAN	0.8
TBB6_HUMAN	RAF1_HUMAN	1.6
TBB6_HUMAN	PHB_HUMAN	0.8
TBB6_HUMAN	BAG5_HUMAN	0.8
TBB6_HUMAN	PTEN_HUMAN	0.64
TBB6_HUMAN	HD_HUMAN	2.4000000000000004
TBB6_HUMAN	TCPG_HUMAN	0.6
TBB6_HUMAN	TBG1_HUMAN	1.28
TBB6_HUMAN	TBA1A_HUMAN	4.4
TBB6_HUMAN	GRB2_HUMAN	1.6
TBB6_HUMAN	DJC11_HUMAN	0.8
TBB6_HUMAN	TCPW_HUMAN	0.6
TBB6_HUMAN	CUL3_HUMAN	1.6
TBB6_HUMAN	DNJA2_HUMAN	0.8
TBB6_HUMAN	1433Z_HUMAN	0.64
TBB6_HUMAN	TAU_HUMAN	0.64
TBB6_HUMAN	HSP7C_HUMAN	0.8
TBB6_HUMAN	TCPQ_HUMAN	0.6
TBB6_HUMAN	SYNPO_HUMAN	0.8
TBB6_HUMAN	TCPE_HUMAN	0.6
TBB6_HUMAN	TCPD_HUMAN	0.6
TBB6_HUMAN	TBB2A_HUMAN	0.6
TBB6_HUMAN	TBB2B_HUMAN	0.6
TBB6_HUMAN	PRKN_HUMAN	0.8
TBB6_HUMAN	TCPH_HUMAN	0.6
TBB6_HUMAN	TBA1B_HUMAN	1.4
USP9X_HUMAN	USP9X_HUMAN	12.0
USP9X_HUMAN	DDRGK_HUMAN	0.8
USP9X_HUMAN	PHB_HUMAN	0.8
USP9X_HUMAN	UBC_HUMAN	6.2799999999999985
USP9X_HUMAN	PTEN_HUMAN	1.8
USP9X_HUMAN	HD_HUMAN	7.199999999999999
USP9X_HUMAN	CUL3_HUMAN	1.6
USP9X_HUMAN	SC6A4_HUMAN	0.64
USP9X_HUMAN	SYNPO_HUMAN	0.8
USP9X_HUMAN	TCPD_HUMAN	1.44
USP9X_HUMAN	VHL_HUMAN	3.0
USP9X_HUMAN	TSC1_HUMAN	1.28
USP9X_HUMAN	CTNB1_HUMAN	9.6
EF1G_HUMAN	EF1G_HUMAN	39.2
EF1G_HUMAN	HS90B_HUMAN	0.6
EF1G_HUMAN	CYLD_HUMAN	0.8
EF1G_HUMAN	OGT1_HUMAN	0.8
EF1G_HUMAN	A16L1_HUMAN	1.44
EF1G_HUMAN	RSSA_HUMAN	0.6
EF1G_HUMAN	DDRGK_HUMAN	0.8
EF1G_HUMAN	MLP3A_HUMAN	0.8
EF1G_HUMAN	MK03_HUMAN	0.64
EF1G_HUMAN	PSMD1_HUMAN	0.8
EF1G_HUMAN	UBC12_HUMAN	0.8
EF1G_HUMAN	GBRL2_HUMAN	0.8
EF1G_HUMAN	GSK3B_HUMAN	1.6
EF1G_HUMAN	RS3_HUMAN	0.6
EF1G_HUMAN	PHB_HUMAN	0.8
EF1G_HUMAN	UBC_HUMAN	0.6
EF1G_HUMAN	BAG5_HUMAN	0.8
EF1G_HUMAN	PTEN_HUMAN	0.64
EF1G_HUMAN	HD_HUMAN	1.6
EF1G_HUMAN	TCPG_HUMAN	0.8
EF1G_HUMAN	RL15_HUMAN	0.6
EF1G_HUMAN	GRB2_HUMAN	1.6
EF1G_HUMAN	DJC11_HUMAN	0.64
EF1G_HUMAN	RS4X_HUMAN	1.24
EF1G_HUMAN	CUL3_HUMAN	1.6
EF1G_HUMAN	1433B_HUMAN	0.64
EF1G_HUMAN	AKT1_HUMAN	1.6
EF1G_HUMAN	LCK_HUMAN	1.6
EF1G_HUMAN	1433Z_HUMAN	0.64
EF1G_HUMAN	IF2A_HUMAN	0.6
EF1G_HUMAN	RL5_HUMAN	1.4
EF1G_HUMAN	FUS_HUMAN	0.8
EF1G_HUMAN	SYNPO_HUMAN	0.8
EF1G_HUMAN	TCPE_HUMAN	0.6
EF1G_HUMAN	NPM_HUMAN	0.8
EF1G_HUMAN	RS20_HUMAN	0.6
EF1G_HUMAN	PRKN_HUMAN	0.8
EF1G_HUMAN	NEB2_HUMAN	0.64
EF1G_HUMAN	TCPH_HUMAN	2.24
EF1G_HUMAN	PSDE_HUMAN	0.8
EF1G_HUMAN	TBB3_HUMAN	0.8
GNB5_HUMAN	GNB5_HUMAN	1.6
GNB5_HUMAN	TCPZ_HUMAN	0.6
