UniProtID	UniProtID	score
TCPE_HUMAN	STAU1_HUMAN	0.8
TCPE_HUMAN	CTRO_HUMAN	0.8
TCPE_HUMAN	TBB6_HUMAN	0.6
TCPE_HUMAN	EF1G_HUMAN	0.6
TCPE_HUMAN	GNB5_HUMAN	2.04
TCPE_HUMAN	TBA4A_HUMAN	1.4
TCPE_HUMAN	ACTZ_HUMAN	0.8
TCPE_HUMAN	RL6_HUMAN	0.6
TCPE_HUMAN	RS8_HUMAN	0.6
TCPE_HUMAN	TCPZ_HUMAN	4.44
TCPE_HUMAN	TCPB_HUMAN	37.32
TCPE_HUMAN	DOCK5_HUMAN	0.8
TCPE_HUMAN	RS16_HUMAN	0.6
TCPE_HUMAN	CYLD_HUMAN	0.8
TCPE_HUMAN	HS90B_HUMAN	0.6
TCPE_HUMAN	OGT1_HUMAN	2.4000000000000004
TCPE_HUMAN	BIG2_HUMAN	0.6
TCPE_HUMAN	RSSA_HUMAN	0.6
TCPE_HUMAN	DDRGK_HUMAN	0.8
TCPE_HUMAN	RL9_HUMAN	0.6
TCPE_HUMAN	MLP3A_HUMAN	0.8
TCPE_HUMAN	MK03_HUMAN	0.64
TCPE_HUMAN	PTN11_HUMAN	0.8
TCPE_HUMAN	UBC12_HUMAN	0.8
TCPE_HUMAN	DC1I1_HUMAN	0.8
TCPE_HUMAN	UBP14_HUMAN	0.8
TCPE_HUMAN	RL3_HUMAN	0.6
TCPE_HUMAN	RAF1_HUMAN	2.4000000000000004
TCPE_HUMAN	WDR48_HUMAN	1.28
TCPE_HUMAN	ACTY_HUMAN	1.28
TCPE_HUMAN	GBG3_HUMAN	0.6
TCPE_HUMAN	RS3_HUMAN	0.6
TCPE_HUMAN	GBG2_HUMAN	0.6
TCPE_HUMAN	XPO1_HUMAN	0.8
TCPE_HUMAN	RGS6_HUMAN	0.6
TCPE_HUMAN	RASK_HUMAN	1.6
TCPE_HUMAN	KPCZ_HUMAN	0.8
TCPE_HUMAN	PHB_HUMAN	0.8
TCPE_HUMAN	SSRA_HUMAN	0.8
TCPE_HUMAN	ARP2_HUMAN	3.8400000000000007
TCPE_HUMAN	UBC_HUMAN	0.8
TCPE_HUMAN	BAG5_HUMAN	0.8
TCPE_HUMAN	PTEN_HUMAN	0.64
TCPE_HUMAN	STRN_HUMAN	5.239999999999999
TCPE_HUMAN	EF1A1_HUMAN	0.6
TCPE_HUMAN	SAM50_HUMAN	2.08
TCPE_HUMAN	HD_HUMAN	2.4000000000000004
TCPE_HUMAN	TCPG_HUMAN	8.52
TCPE_HUMAN	GBB4_HUMAN	0.6
TCPE_HUMAN	RS3A_HUMAN	0.6
TCPE_HUMAN	HNRPK_HUMAN	0.64
TCPE_HUMAN	RGS9_HUMAN	0.6
TCPE_HUMAN	CTTB2_HUMAN	2.8400000000000003
TCPE_HUMAN	TBG1_HUMAN	6.56
TCPE_HUMAN	PPP5_HUMAN	0.6
TCPE_HUMAN	RL15_HUMAN	0.6
TCPE_HUMAN	PP2AA_HUMAN	6.679999999999999
TCPE_HUMAN	TBA1A_HUMAN	5.999999999999999
TCPE_HUMAN	GRB2_HUMAN	0.8
TCPE_HUMAN	GBB1_HUMAN	2.68
TCPE_HUMAN	ACTB_HUMAN	1.8
TCPE_HUMAN	GBG12_HUMAN	0.6
TCPE_HUMAN	RS4X_HUMAN	0.6
TCPE_HUMAN	DJC11_HUMAN	0.64
TCPE_HUMAN	TCPW_HUMAN	2.2
TCPE_HUMAN	CUL3_HUMAN	1.6
TCPE_HUMAN	BAG3_HUMAN	2.4000000000000004
TCPE_HUMAN	TXTP_HUMAN	0.8
TCPE_HUMAN	SHAN3_HUMAN	1.92
TCPE_HUMAN	1433B_HUMAN	0.64
TCPE_HUMAN	PSA4_HUMAN	0.6
TCPE_HUMAN	CDK5_HUMAN	3.2
TCPE_HUMAN	AKT1_HUMAN	1.6
TCPE_HUMAN	TBC17_HUMAN	2.24
TCPE_HUMAN	LCK_HUMAN	2.4000000000000004
TCPE_HUMAN	IMB1_HUMAN	0.6
TCPE_HUMAN	IF2A_HUMAN	0.6
TCPE_HUMAN	TIP_HUMAN	0.8
TCPE_HUMAN	TAU_HUMAN	2.08
TCPE_HUMAN	HNRH1_HUMAN	1.44
TCPE_HUMAN	1433F_HUMAN	0.64
TCPE_HUMAN	PDK3_HUMAN	1.6
TCPE_HUMAN	ANS1B_HUMAN	0.64
TCPE_HUMAN	EIF3E_HUMAN	0.6
TCPE_HUMAN	RL5_HUMAN	0.6
TCPE_HUMAN	HSP7C_HUMAN	1.4
TCPE_HUMAN	TBK1_HUMAN	0.8
TCPE_HUMAN	VDAC2_HUMAN	2.4000000000000004
TCPE_HUMAN	TCPQ_HUMAN	7.719999999999999
TCPE_HUMAN	RL4_HUMAN	0.6
TCPE_HUMAN	STIP1_HUMAN	0.6
TCPE_HUMAN	FUS_HUMAN	0.8
TCPE_HUMAN	NDKA_HUMAN	2.4000000000000004
TCPE_HUMAN	CHIP_HUMAN	1.4
TCPE_HUMAN	AHNK_HUMAN	0.8
TCPE_HUMAN	GBB2_HUMAN	0.6
TCPE_HUMAN	SKIV2_HUMAN	0.6
TCPE_HUMAN	TCPD_HUMAN	23.56
TCPE_HUMAN	TBB2A_HUMAN	0.6
TCPE_HUMAN	VHL_HUMAN	1.6
TCPE_HUMAN	HS90A_HUMAN	0.6
TCPE_HUMAN	RS2_HUMAN	0.6
TCPE_HUMAN	HSP74_HUMAN	0.6
TCPE_HUMAN	TSC1_HUMAN	0.6
TCPE_HUMAN	CSK21_HUMAN	1.6
TCPE_HUMAN	RGS7_HUMAN	1.4
TCPE_HUMAN	TCPA_HUMAN	9.239999999999998
TCPE_HUMAN	STRN4_HUMAN	1.4
TCPE_HUMAN	RS13_HUMAN	0.6
TCPE_HUMAN	MIC60_HUMAN	1.6
TCPE_HUMAN	NIPS1_HUMAN	1.6
TCPE_HUMAN	ARFG3_HUMAN	2.4000000000000004
TCPE_HUMAN	SAHH2_HUMAN	0.8
TCPE_HUMAN	TERA_HUMAN	1.6
TCPE_HUMAN	EF2_HUMAN	0.6
TCPE_HUMAN	TXNL1_HUMAN	0.8
TCPE_HUMAN	RL8_HUMAN	0.6
TCPE_HUMAN	CSN3_HUMAN	3.0000000000000004
TCPE_HUMAN	RS20_HUMAN	0.6
TCPE_HUMAN	TBB2B_HUMAN	0.6
TCPE_HUMAN	KI21A_HUMAN	1.6
TCPE_HUMAN	PRKN_HUMAN	2.4000000000000004
TCPE_HUMAN	NEB2_HUMAN	0.64
TCPE_HUMAN	TCPH_HUMAN	23.32
TCPE_HUMAN	GBG7_HUMAN	0.6
TCPE_HUMAN	PSDE_HUMAN	0.8
TCPE_HUMAN	TBA1B_HUMAN	0.6
TCPE_HUMAN	TBB3_HUMAN	0.8
TCPE_HUMAN	DC1I2_HUMAN	1.6
TCPE_HUMAN	ARP3_HUMAN	0.8
TCPE_HUMAN	RLA0_HUMAN	0.6
TCPE_HUMAN	STAT3_HUMAN	0.6
STAU1_HUMAN	STAU1_HUMAN	5.6
STAU1_HUMAN	EF1G_HUMAN	1.6
STAU1_HUMAN	TBA4A_HUMAN	0.8
STAU1_HUMAN	RL6_HUMAN	4.64
STAU1_HUMAN	RS8_HUMAN	3.0400000000000005
STAU1_HUMAN	TCPZ_HUMAN	0.8
STAU1_HUMAN	TCPB_HUMAN	0.8
STAU1_HUMAN	CYLD_HUMAN	0.8
STAU1_HUMAN	OGT1_HUMAN	0.8
STAU1_HUMAN	DDRGK_HUMAN	0.8
STAU1_HUMAN	RL9_HUMAN	0.8
STAU1_HUMAN	PTN11_HUMAN	0.8
STAU1_HUMAN	DC1I1_HUMAN	3.0400000000000005
STAU1_HUMAN	RL3_HUMAN	1.6
STAU1_HUMAN	RS3_HUMAN	1.44
STAU1_HUMAN	XPO1_HUMAN	3.2
STAU1_HUMAN	PHB_HUMAN	2.4000000000000004
STAU1_HUMAN	EF1A1_HUMAN	2.4000000000000004
STAU1_HUMAN	TCPG_HUMAN	0.8
STAU1_HUMAN	RS3A_HUMAN	2.4000000000000004
STAU1_HUMAN	HNRPK_HUMAN	0.8
STAU1_HUMAN	RL15_HUMAN	2.4000000000000004
STAU1_HUMAN	TBA1A_HUMAN	2.4000000000000004
STAU1_HUMAN	ACTB_HUMAN	2.24
STAU1_HUMAN	RS4X_HUMAN	3.0400000000000005
STAU1_HUMAN	CUL3_HUMAN	1.6
STAU1_HUMAN	IMB1_HUMAN	1.6
STAU1_HUMAN	IF2A_HUMAN	0.8
STAU1_HUMAN	TAU_HUMAN	3.0400000000000005
STAU1_HUMAN	HNRH1_HUMAN	1.44
STAU1_HUMAN	EIF3E_HUMAN	1.6
STAU1_HUMAN	RL5_HUMAN	1.6
STAU1_HUMAN	HSP7C_HUMAN	2.4000000000000004
STAU1_HUMAN	TBK1_HUMAN	0.8
STAU1_HUMAN	TCPQ_HUMAN	0.8
STAU1_HUMAN	RL4_HUMAN	1.6
STAU1_HUMAN	STIP1_HUMAN	0.8
STAU1_HUMAN	CHIP_HUMAN	0.64
STAU1_HUMAN	SKIV2_HUMAN	0.8
STAU1_HUMAN	TCPD_HUMAN	1.6
STAU1_HUMAN	RS2_HUMAN	3.2
STAU1_HUMAN	TCPA_HUMAN	0.8
STAU1_HUMAN	RS13_HUMAN	0.8
STAU1_HUMAN	RL8_HUMAN	2.4000000000000004
STAU1_HUMAN	TBB3_HUMAN	1.6
STAU1_HUMAN	RLA0_HUMAN	8.04
CTRO_HUMAN	CTRO_HUMAN	1.6
CTRO_HUMAN	EF1G_HUMAN	0.8
CTRO_HUMAN	RL6_HUMAN	0.8
CTRO_HUMAN	RS8_HUMAN	0.8
CTRO_HUMAN	TCPZ_HUMAN	0.8
CTRO_HUMAN	TCPB_HUMAN	0.8
CTRO_HUMAN	RS16_HUMAN	0.8
CTRO_HUMAN	CYLD_HUMAN	0.8
CTRO_HUMAN	HS90B_HUMAN	0.8
CTRO_HUMAN	RSSA_HUMAN	0.8
CTRO_HUMAN	RL9_HUMAN	0.8
CTRO_HUMAN	RL3_HUMAN	0.8
CTRO_HUMAN	RAF1_HUMAN	0.8
CTRO_HUMAN	ACTY_HUMAN	0.8
CTRO_HUMAN	RS3_HUMAN	0.8
CTRO_HUMAN	XPO1_HUMAN	0.8
CTRO_HUMAN	PHB_HUMAN	0.8
CTRO_HUMAN	ARP2_HUMAN	0.8
CTRO_HUMAN	TCPG_HUMAN	0.8
CTRO_HUMAN	GBB4_HUMAN	0.8
CTRO_HUMAN	RS3A_HUMAN	0.8
CTRO_HUMAN	HNRPK_HUMAN	0.8
CTRO_HUMAN	RL15_HUMAN	0.8
CTRO_HUMAN	TBA1A_HUMAN	0.8
CTRO_HUMAN	ACTB_HUMAN	2.4000000000000004
CTRO_HUMAN	RS4X_HUMAN	0.8
CTRO_HUMAN	CUL3_HUMAN	0.8
CTRO_HUMAN	TXTP_HUMAN	0.8
CTRO_HUMAN	SHAN3_HUMAN	1.92
CTRO_HUMAN	1433B_HUMAN	0.64
CTRO_HUMAN	IMB1_HUMAN	0.8
CTRO_HUMAN	IF2A_HUMAN	0.8
CTRO_HUMAN	EIF3E_HUMAN	0.8
CTRO_HUMAN	RL5_HUMAN	0.8
CTRO_HUMAN	HSP7C_HUMAN	0.8
CTRO_HUMAN	VDAC2_HUMAN	0.8
CTRO_HUMAN	TCPQ_HUMAN	0.8
CTRO_HUMAN	RL4_HUMAN	0.8
CTRO_HUMAN	FUS_HUMAN	0.8
CTRO_HUMAN	AHNK_HUMAN	0.8
CTRO_HUMAN	TCPD_HUMAN	0.8
CTRO_HUMAN	HS90A_HUMAN	0.8
CTRO_HUMAN	RS2_HUMAN	0.8
CTRO_HUMAN	CSK21_HUMAN	0.8
CTRO_HUMAN	TCPA_HUMAN	0.8
CTRO_HUMAN	RS13_HUMAN	0.8
CTRO_HUMAN	MIC60_HUMAN	0.8
CTRO_HUMAN	NIPS1_HUMAN	0.8
CTRO_HUMAN	EF2_HUMAN	0.8
CTRO_HUMAN	RL8_HUMAN	0.8
CTRO_HUMAN	RS20_HUMAN	0.8
CTRO_HUMAN	ARP3_HUMAN	0.8
CTRO_HUMAN	RLA0_HUMAN	0.8
CTRO_HUMAN	STAT3_HUMAN	0.8
TBB6_HUMAN	TBA4A_HUMAN	1.4
TBB6_HUMAN	TCPZ_HUMAN	0.6
TBB6_HUMAN	TCPB_HUMAN	0.6
TBB6_HUMAN	CYLD_HUMAN	0.8
TBB6_HUMAN	OGT1_HUMAN	0.8
TBB6_HUMAN	RAF1_HUMAN	1.6
TBB6_HUMAN	KPCZ_HUMAN	3.2
TBB6_HUMAN	PHB_HUMAN	0.8
TBB6_HUMAN	BAG5_HUMAN	0.8
TBB6_HUMAN	PTEN_HUMAN	0.64
TBB6_HUMAN	HD_HUMAN	2.4000000000000004
TBB6_HUMAN	TCPG_HUMAN	0.6
TBB6_HUMAN	TBG1_HUMAN	1.28
TBB6_HUMAN	TBA1A_HUMAN	4.4
TBB6_HUMAN	GRB2_HUMAN	1.6
TBB6_HUMAN	DJC11_HUMAN	0.8
TBB6_HUMAN	TCPW_HUMAN	0.6
TBB6_HUMAN	CUL3_HUMAN	1.6
TBB6_HUMAN	TAU_HUMAN	0.64
TBB6_HUMAN	HSP7C_HUMAN	0.8
TBB6_HUMAN	TCPQ_HUMAN	0.6
TBB6_HUMAN	TCPD_HUMAN	0.6
TBB6_HUMAN	TBB2A_HUMAN	0.6
TBB6_HUMAN	TCPA_HUMAN	0.6
TBB6_HUMAN	SAHH2_HUMAN	0.8
TBB6_HUMAN	TBB2B_HUMAN	0.6
TBB6_HUMAN	PRKN_HUMAN	0.8
TBB6_HUMAN	TCPH_HUMAN	0.6
TBB6_HUMAN	TBA1B_HUMAN	1.4
EF1G_HUMAN	EF1G_HUMAN	39.2
EF1G_HUMAN	RL6_HUMAN	1.24
EF1G_HUMAN	RS8_HUMAN	0.6
EF1G_HUMAN	RS16_HUMAN	1.24
EF1G_HUMAN	CYLD_HUMAN	0.8
EF1G_HUMAN	HS90B_HUMAN	0.6
EF1G_HUMAN	OGT1_HUMAN	0.8
EF1G_HUMAN	RSSA_HUMAN	0.6
EF1G_HUMAN	DDRGK_HUMAN	0.8
EF1G_HUMAN	RL9_HUMAN	0.6
EF1G_HUMAN	MLP3A_HUMAN	0.8
EF1G_HUMAN	MK03_HUMAN	0.64
EF1G_HUMAN	UBC12_HUMAN	0.8
EF1G_HUMAN	RL3_HUMAN	0.6
EF1G_HUMAN	RS3_HUMAN	0.6
EF1G_HUMAN	KPCZ_HUMAN	0.8
EF1G_HUMAN	PHB_HUMAN	0.8
EF1G_HUMAN	UBC_HUMAN	0.6
EF1G_HUMAN	BAG5_HUMAN	0.8
EF1G_HUMAN	PTEN_HUMAN	0.64
EF1G_HUMAN	EF1A1_HUMAN	7.319999999999999
EF1G_HUMAN	HD_HUMAN	1.6
EF1G_HUMAN	TCPG_HUMAN	0.8
EF1G_HUMAN	RS3A_HUMAN	0.6
EF1G_HUMAN	RL15_HUMAN	0.6
EF1G_HUMAN	GRB2_HUMAN	1.6
EF1G_HUMAN	RS4X_HUMAN	1.24
EF1G_HUMAN	DJC11_HUMAN	0.64
EF1G_HUMAN	CUL3_HUMAN	1.6
EF1G_HUMAN	1433B_HUMAN	0.64
EF1G_HUMAN	AKT1_HUMAN	1.6
EF1G_HUMAN	LCK_HUMAN	1.6
EF1G_HUMAN	IF2A_HUMAN	0.6
EF1G_HUMAN	RL5_HUMAN	1.4
EF1G_HUMAN	RL4_HUMAN	2.04
EF1G_HUMAN	FUS_HUMAN	0.8
EF1G_HUMAN	RS2_HUMAN	1.24
EF1G_HUMAN	TCPA_HUMAN	0.6
EF1G_HUMAN	RS13_HUMAN	0.6
EF1G_HUMAN	SAHH2_HUMAN	1.6
EF1G_HUMAN	EF2_HUMAN	0.6
EF1G_HUMAN	RL8_HUMAN	2.04
EF1G_HUMAN	RS20_HUMAN	0.6
EF1G_HUMAN	PRKN_HUMAN	0.8
EF1G_HUMAN	NEB2_HUMAN	0.64
EF1G_HUMAN	TCPH_HUMAN	2.24
EF1G_HUMAN	PSDE_HUMAN	0.8
EF1G_HUMAN	TBB3_HUMAN	0.8
EF1G_HUMAN	RLA0_HUMAN	0.6
GNB5_HUMAN	GNB5_HUMAN	1.6
GNB5_HUMAN	TCPZ_HUMAN	0.6
GNB5_HUMAN	TCPB_HUMAN	1.4
GNB5_HUMAN	MK03_HUMAN	0.64
GNB5_HUMAN	GBG3_HUMAN	3.04
GNB5_HUMAN	GBG2_HUMAN	4.64
GNB5_HUMAN	RGS6_HUMAN	3.2
GNB5_HUMAN	UBC_HUMAN	0.64
GNB5_HUMAN	TCPG_HUMAN	2.2
GNB5_HUMAN	GBB4_HUMAN	0.6
GNB5_HUMAN	RGS9_HUMAN	4.8
GNB5_HUMAN	GBB1_HUMAN	0.6
GNB5_HUMAN	GBG12_HUMAN	1.24
GNB5_HUMAN	TCPW_HUMAN	1.4
GNB5_HUMAN	1433B_HUMAN	0.64
GNB5_HUMAN	AKT1_HUMAN	0.6
GNB5_HUMAN	TAU_HUMAN	0.64
GNB5_HUMAN	TCPQ_HUMAN	0.6
GNB5_HUMAN	STIP1_HUMAN	0.8
GNB5_HUMAN	GBB2_HUMAN	0.6
GNB5_HUMAN	TCPD_HUMAN	0.6
GNB5_HUMAN	RGS7_HUMAN	9.44
GNB5_HUMAN	TCPA_HUMAN	1.4
GNB5_HUMAN	NEB2_HUMAN	0.8
GNB5_HUMAN	TCPH_HUMAN	1.4
GNB5_HUMAN	GBG7_HUMAN	4.44
TBA4A_HUMAN	ACTZ_HUMAN	0.6
TBA4A_HUMAN	TCPZ_HUMAN	1.4
TBA4A_HUMAN	TCPB_HUMAN	1.4
TBA4A_HUMAN	DOCK5_HUMAN	0.8
TBA4A_HUMAN	CYLD_HUMAN	0.8
TBA4A_HUMAN	OGT1_HUMAN	0.8
TBA4A_HUMAN	MLP3A_HUMAN	0.8
TBA4A_HUMAN	MK03_HUMAN	0.64
TBA4A_HUMAN	RAF1_HUMAN	1.6
TBA4A_HUMAN	XPO1_HUMAN	1.44
TBA4A_HUMAN	KPCZ_HUMAN	0.8
TBA4A_HUMAN	PHB_HUMAN	0.8
TBA4A_HUMAN	UBC_HUMAN	1.28
TBA4A_HUMAN	EF1A1_HUMAN	0.8
TBA4A_HUMAN	TCPG_HUMAN	1.4
TBA4A_HUMAN	RS3A_HUMAN	0.8
TBA4A_HUMAN	HNRPK_HUMAN	0.8
TBA4A_HUMAN	TBG1_HUMAN	1.4
TBA4A_HUMAN	TBA1A_HUMAN	6.639999999999999
TBA4A_HUMAN	GRB2_HUMAN	0.8
TBA4A_HUMAN	TCPW_HUMAN	0.6
TBA4A_HUMAN	CUL3_HUMAN	1.6
TBA4A_HUMAN	TXTP_HUMAN	0.8
TBA4A_HUMAN	TAU_HUMAN	2.0
TBA4A_HUMAN	1433F_HUMAN	0.64
TBA4A_HUMAN	HSP7C_HUMAN	0.8
TBA4A_HUMAN	TCPQ_HUMAN	1.4
TBA4A_HUMAN	STIP1_HUMAN	0.8
TBA4A_HUMAN	TCPD_HUMAN	1.4
TBA4A_HUMAN	TBB2A_HUMAN	3.6400000000000006
TBA4A_HUMAN	VHL_HUMAN	0.8
TBA4A_HUMAN	HS90A_HUMAN	0.6
TBA4A_HUMAN	TCPA_HUMAN	2.04
TBA4A_HUMAN	TBB2B_HUMAN	2.04
TBA4A_HUMAN	PRKN_HUMAN	0.8
TBA4A_HUMAN	NEB2_HUMAN	0.64
TBA4A_HUMAN	TCPH_HUMAN	3.0000000000000004
TBA4A_HUMAN	PSDE_HUMAN	0.64
TBA4A_HUMAN	TBA1B_HUMAN	1.24
TBA4A_HUMAN	TBB3_HUMAN	3.8000000000000003
TBA4A_HUMAN	DC1I2_HUMAN	0.6
ACTZ_HUMAN	ACTZ_HUMAN	2.56
ACTZ_HUMAN	TCPZ_HUMAN	0.8
ACTZ_HUMAN	TCPB_HUMAN	2.08
ACTZ_HUMAN	CYLD_HUMAN	0.8
ACTZ_HUMAN	HS90B_HUMAN	0.6
ACTZ_HUMAN	UBC12_HUMAN	0.8
ACTZ_HUMAN	DC1I1_HUMAN	1.4
ACTZ_HUMAN	RAF1_HUMAN	0.8
ACTZ_HUMAN	ACTY_HUMAN	7.799999999999999
ACTZ_HUMAN	KPCZ_HUMAN	1.28
ACTZ_HUMAN	UBC_HUMAN	0.8
ACTZ_HUMAN	PTEN_HUMAN	0.64
ACTZ_HUMAN	TCPG_HUMAN	0.8
ACTZ_HUMAN	RS3A_HUMAN	0.8
ACTZ_HUMAN	TBG1_HUMAN	0.6
ACTZ_HUMAN	TBA1A_HUMAN	0.6
ACTZ_HUMAN	ACTB_HUMAN	0.8
ACTZ_HUMAN	CUL3_HUMAN	1.6
ACTZ_HUMAN	1433B_HUMAN	0.64
ACTZ_HUMAN	TAU_HUMAN	1.28
ACTZ_HUMAN	1433F_HUMAN	0.64
ACTZ_HUMAN	ANS1B_HUMAN	0.64
ACTZ_HUMAN	TCPQ_HUMAN	0.8
ACTZ_HUMAN	STIP1_HUMAN	0.8
ACTZ_HUMAN	TCPD_HUMAN	2.08
ACTZ_HUMAN	HS90A_HUMAN	0.6
ACTZ_HUMAN	TCPA_HUMAN	0.8
ACTZ_HUMAN	ARFG3_HUMAN	0.6
ACTZ_HUMAN	TERA_HUMAN	0.8
ACTZ_HUMAN	TXNL1_HUMAN	0.8
ACTZ_HUMAN	NEB2_HUMAN	0.64
ACTZ_HUMAN	DC1I2_HUMAN	1.4
RL6_HUMAN	RS8_HUMAN	2.8400000000000003
RL6_HUMAN	TCPB_HUMAN	0.6
RL6_HUMAN	RS16_HUMAN	2.8400000000000003
