UniProtID	UniProtID	score
TCPQ_HUMAN	GRB2_HUMAN	0.8
TCPQ_HUMAN	FYN_HUMAN	1.6
TCPQ_HUMAN	ESR1_HUMAN	2.4000000000000004
TCPQ_HUMAN	DNM1L_HUMAN	3.2
TCPQ_HUMAN	IF4B_HUMAN	0.8
TCPQ_HUMAN	LCK_HUMAN	2.4000000000000004
TCPQ_HUMAN	PEX14_HUMAN	2.4000000000000004
TCPQ_HUMAN	CBL_HUMAN	1.44
TCPQ_HUMAN	ACK1_HUMAN	1.6
TCPQ_HUMAN	PABP1_HUMAN	0.8
TCPQ_HUMAN	UNK_HUMAN	1.44
TCPQ_HUMAN	WDR83_HUMAN	1.6
TCPQ_HUMAN	DOCK5_HUMAN	0.8
TCPQ_HUMAN	P63_HUMAN	1.6
TCPQ_HUMAN	YAP1_HUMAN	3.2
TCPQ_HUMAN	DUX4_HUMAN	0.8
TCPQ_HUMAN	P53_HUMAN	2.4000000000000004
TCPQ_HUMAN	MLP3A_HUMAN	0.8
TCPQ_HUMAN	SEC62_HUMAN	0.8
TCPQ_HUMAN	GBRL1_HUMAN	0.8
TCPQ_HUMAN	TERA_HUMAN	1.6
TCPQ_HUMAN	ATX3_HUMAN	0.8
TCPQ_HUMAN	RAF1_HUMAN	7.999999999999999
TCPQ_HUMAN	M4K1_HUMAN	1.6
TCPQ_HUMAN	FLNC_HUMAN	0.8
TCPQ_HUMAN	TGON2_HUMAN	0.8
TCPQ_HUMAN	SHAN3_HUMAN	1.28
TCPQ_HUMAN	DPOD1_HUMAN	0.8
TCPQ_HUMAN	SUV92_HUMAN	1.6
TCPQ_HUMAN	SNX12_HUMAN	2.4000000000000004
TCPQ_HUMAN	RIN3_HUMAN	1.6
TCPQ_HUMAN	NELFB_HUMAN	0.8
TCPQ_HUMAN	CUL7_HUMAN	0.8
TCPQ_HUMAN	FLNA_HUMAN	0.8
TCPQ_HUMAN	BMX_HUMAN	2.4000000000000004
TCPQ_HUMAN	BRD4_HUMAN	0.8
TCPQ_HUMAN	FLNB_HUMAN	0.8
TCPQ_HUMAN	HDAC6_HUMAN	0.8
TCPQ_HUMAN	ASXL1_HUMAN	1.6
TCPQ_HUMAN	TNPO1_HUMAN	0.64
TCPQ_HUMAN	MP2K5_HUMAN	2.4000000000000004
TCPQ_HUMAN	MAP4_HUMAN	0.8
TCPQ_HUMAN	A4_HUMAN	0.8
TCPQ_HUMAN	TBK1_HUMAN	0.8
TCPQ_HUMAN	MK03_HUMAN	0.64
TCPQ_HUMAN	BAG1_HUMAN	0.8
TCPQ_HUMAN	HSP7C_HUMAN	0.8
TCPQ_HUMAN	TCPH_HUMAN	25.6
TCPQ_HUMAN	1433Z_HUMAN	0.8
TCPQ_HUMAN	ARAF_HUMAN	2.4000000000000004
TCPQ_HUMAN	IF2A_HUMAN	0.64
TCPQ_HUMAN	PTN1_HUMAN	0.8
TCPQ_HUMAN	STRAB_HUMAN	1.6
TCPQ_HUMAN	PRC1_HUMAN	0.8
TCPQ_HUMAN	FGD5_HUMAN	0.8
TCPQ_HUMAN	PR15A_HUMAN	0.8
TCPQ_HUMAN	IRF7_HUMAN	1.6
TCPQ_HUMAN	EZH2_HUMAN	0.8
TCPQ_HUMAN	SNW1_HUMAN	1.6
TCPQ_HUMAN	BIP_HUMAN	0.8
TCPQ_HUMAN	HCD2_HUMAN	2.4000000000000004
TCPQ_HUMAN	BRCA1_HUMAN	0.8
TCPQ_HUMAN	PCBP1_HUMAN	0.8
TCPQ_HUMAN	M3K3_HUMAN	2.4000000000000004
TCPQ_HUMAN	PP1A_HUMAN	0.64
TCPQ_HUMAN	HD_HUMAN	3.2
TCPQ_HUMAN	KSR1_HUMAN	0.64
TCPQ_HUMAN	PHOCN_HUMAN	1.6
TCPQ_HUMAN	KINH_HUMAN	0.8
TCPQ_HUMAN	SYQ_HUMAN	0.8
TCPQ_HUMAN	SYMC_HUMAN	0.8
TCPQ_HUMAN	KAP0_HUMAN	0.8
TCPQ_HUMAN	NDKA_HUMAN	2.4000000000000004
TCPQ_HUMAN	GAN_HUMAN	0.8
TCPQ_HUMAN	MAP1B_HUMAN	0.8
TCPQ_HUMAN	ATX1_HUMAN	0.64
TCPQ_HUMAN	NEB2_HUMAN	0.64
TCPQ_HUMAN	CNTP2_HUMAN	0.64
TCPQ_HUMAN	HACE1_HUMAN	0.64
TCPQ_HUMAN	CLU_HUMAN	0.64
TCPQ_HUMAN	CSK21_HUMAN	0.8
TCPQ_HUMAN	DX39B_HUMAN	0.8
TCPQ_HUMAN	PML_HUMAN	0.8
TCPQ_HUMAN	TCPE_HUMAN	23.52
TCPQ_HUMAN	NDUAD_HUMAN	1.28
TCPQ_HUMAN	GSK3B_HUMAN	0.8
TCPQ_HUMAN	UBC_HUMAN	0.8
TCPQ_HUMAN	CDK1_HUMAN	1.28
TCPQ_HUMAN	AHSA1_HUMAN	0.8
TCPQ_HUMAN	TBA1B_HUMAN	0.8
TCPQ_HUMAN	XRCC6_HUMAN	0.8
TCPQ_HUMAN	TCPG_HUMAN	26.400000000000002
TCPQ_HUMAN	BRD7_HUMAN	0.8
TCPQ_HUMAN	TRIB3_HUMAN	1.6
TCPQ_HUMAN	AKT1_HUMAN	1.6
TCPQ_HUMAN	FAS_HUMAN	0.8
TCPQ_HUMAN	KAPCA_HUMAN	0.8
TCPQ_HUMAN	PTN11_HUMAN	0.8
TCPQ_HUMAN	CSN5_HUMAN	1.6
TCPQ_HUMAN	ANGI_HUMAN	0.8
TCPQ_HUMAN	TAXB1_HUMAN	0.8
TCPQ_HUMAN	VHL_HUMAN	1.6
TCPQ_HUMAN	ACTG_HUMAN	0.8
TCPQ_HUMAN	ACTB_HUMAN	4.32
TCPQ_HUMAN	VIGLN_HUMAN	0.8
TCPQ_HUMAN	PP1B_HUMAN	2.4000000000000004
TCPQ_HUMAN	STAU1_HUMAN	1.6
TCPQ_HUMAN	NOTC1_HUMAN	1.6
TCPQ_HUMAN	IRAK1_HUMAN	1.6
TCPQ_HUMAN	HUWE1_HUMAN	0.8
TCPQ_HUMAN	GTR1_HUMAN	1.28
TCPQ_HUMAN	DDX5_HUMAN	0.8
TCPQ_HUMAN	MK08_HUMAN	1.6
TCPQ_HUMAN	RUFY1_HUMAN	1.6
TCPQ_HUMAN	BIRC3_HUMAN	0.8
TCPQ_HUMAN	PPT1_HUMAN	0.8
TCPQ_HUMAN	TBA1A_HUMAN	4.8
TCPQ_HUMAN	IPO5_HUMAN	0.8
TCPQ_HUMAN	RADI_HUMAN	0.8
TCPQ_HUMAN	CTNA1_HUMAN	0.8
TCPQ_HUMAN	SAHH_HUMAN	0.8
TCPQ_HUMAN	HGH1_HUMAN	1.28
TCPQ_HUMAN	ACTC_HUMAN	0.8
TCPQ_HUMAN	AKA10_HUMAN	0.8
TCPQ_HUMAN	RBM39_HUMAN	0.8
TCPQ_HUMAN	RPN1_HUMAN	0.8
TCPQ_HUMAN	PSA4_HUMAN	0.8
TCPQ_HUMAN	PSA3_HUMAN	1.44
TCPQ_HUMAN	PSB6_HUMAN	0.8
TCPQ_HUMAN	GBF1_HUMAN	0.8
TCPQ_HUMAN	PTEN_HUMAN	1.44
TCPQ_HUMAN	CDC73_HUMAN	0.8
TCPQ_HUMAN	HS71B_HUMAN	0.8
TCPQ_HUMAN	HS71A_HUMAN	0.8
TCPQ_HUMAN	CIC_HUMAN	0.8
TCPQ_HUMAN	SRSF3_HUMAN	0.8
TCPQ_HUMAN	PRIO_HUMAN	1.6
TCPQ_HUMAN	CYLD_HUMAN	0.8
TCPQ_HUMAN	AT1A1_HUMAN	0.8
TCPQ_HUMAN	RASK_HUMAN	0.8
TCPQ_HUMAN	PRKN_HUMAN	3.2
TCPQ_HUMAN	RHG24_HUMAN	0.8
TCPQ_HUMAN	CDC5L_HUMAN	1.6
TCPQ_HUMAN	DPYL2_HUMAN	0.8
TCPQ_HUMAN	GBB1_HUMAN	1.28
TCPQ_HUMAN	RAD21_HUMAN	0.8
TCPQ_HUMAN	TBB5_HUMAN	6.88
TCPQ_HUMAN	PARK7_HUMAN	4.0
TCPQ_HUMAN	CDK18_HUMAN	1.6
TCPQ_HUMAN	PP2AA_HUMAN	6.879999999999999
TCPQ_HUMAN	FAF1_HUMAN	0.8
TCPQ_HUMAN	PSD10_HUMAN	0.8
TCPQ_HUMAN	TSC1_HUMAN	1.28
TCPQ_HUMAN	ESR2_HUMAN	0.8
TCPQ_HUMAN	DC1I2_HUMAN	1.6
TCPQ_HUMAN	IGBP1_HUMAN	3.8400000000000003
TCPQ_HUMAN	UBXN6_HUMAN	0.8
TCPQ_HUMAN	UBP14_HUMAN	0.8
TCPQ_HUMAN	DJB11_HUMAN	0.8
TCPQ_HUMAN	FINC_HUMAN	0.8
