UniProtID	UniProtID	score
TENR_HUMAN	DLG4_HUMAN	0.64
TENR_HUMAN	NCK2_HUMAN	0.8
TENR_HUMAN	CNKR2_HUMAN	1.28
TENR_HUMAN	NFASC_HUMAN	0.64
TENR_HUMAN	SHAN3_HUMAN	1.92
TENR_HUMAN	TNIK_HUMAN	1.28
TENR_HUMAN	1433Z_HUMAN	0.64
TENR_HUMAN	NEB2_HUMAN	0.64
TENR_HUMAN	CSN6_HUMAN	0.64
TENR_HUMAN	DHX9_HUMAN	0.64
TENR_HUMAN	HUWE1_HUMAN	1.28
TENR_HUMAN	FMR1_HUMAN	0.64
TENR_HUMAN	SRCN1_HUMAN	0.64
TENR_HUMAN	HOME1_HUMAN	1.28
TENR_HUMAN	PRIO_HUMAN	2.4000000000000004
TENR_HUMAN	MYOME_HUMAN	1.28
TENR_HUMAN	TSC1_HUMAN	1.28
TENR_HUMAN	AGAP2_HUMAN	1.28
TENR_HUMAN	CYFP2_HUMAN	0.64
TENR_HUMAN	FXR1_HUMAN	1.28
TENR_HUMAN	PSA1_HUMAN	0.8
TENR_HUMAN	MYC_HUMAN	0.8
TENR_HUMAN	CNTN1_HUMAN	0.64
TENR_HUMAN	SC6A4_HUMAN	0.64
TENR_HUMAN	ANS1B_HUMAN	0.64
TENR_HUMAN	TRI54_HUMAN	1.6
TENR_HUMAN	TLR4_HUMAN	0.8
TENR_HUMAN	PEX5R_HUMAN	1.28
TENR_HUMAN	ITM2B_HUMAN	2.56
TENR_HUMAN	PGCA_HUMAN	4.64
TENR_HUMAN	MAGB4_HUMAN	0.8
TENR_HUMAN	RPC3_HUMAN	0.8
TENR_HUMAN	NTAQ1_HUMAN	1.44
TENR_HUMAN	PPL13_HUMAN	0.8
TENR_HUMAN	CC146_HUMAN	0.8
TENR_HUMAN	PGCB_HUMAN	1.44
TENR_HUMAN	IL34_HUMAN	1.6
TENR_HUMAN	RN123_HUMAN	0.8
TENR_HUMAN	PRRT2_HUMAN	0.64
TENR_HUMAN	PTPRZ_HUMAN	2.64
TENR_HUMAN	NCAN_HUMAN	1.6400000000000001
TENR_HUMAN	CSN8_HUMAN	0.64
