UniProtID	UniProtID	score
TIP_HUMAN	EF1A1_HUMAN	0.8
TIP_HUMAN	RBP1_HUMAN	0.8
TIP_HUMAN	CTNB1_HUMAN	0.8
TIP_HUMAN	HNRPM_HUMAN	0.8
TIP_HUMAN	IRS4_HUMAN	0.8
TIP_HUMAN	PABP1_HUMAN	0.8
TIP_HUMAN	TCOF_HUMAN	0.8
TIP_HUMAN	PP6R3_HUMAN	0.8
TIP_HUMAN	HTSF1_HUMAN	0.8
TIP_HUMAN	SP1_HUMAN	0.8
TIP_HUMAN	RELB_HUMAN	0.8
TIP_HUMAN	HNRL1_HUMAN	0.8
TIP_HUMAN	ATG9A_HUMAN	0.8
TIP_HUMAN	NPM_HUMAN	0.8
TIP_HUMAN	RBM14_HUMAN	0.8
TIP_HUMAN	TERA_HUMAN	0.8
TIP_HUMAN	HNRPR_HUMAN	0.8
TIP_HUMAN	TGON2_HUMAN	0.8
TIP_HUMAN	CKAP5_HUMAN	0.8
TIP_HUMAN	GPIX_HUMAN	0.8
TIP_HUMAN	PCDA9_HUMAN	0.8
TIP_HUMAN	PCDAB_HUMAN	0.8
TIP_HUMAN	RL13_HUMAN	0.8
TIP_HUMAN	EIF3D_HUMAN	0.8
TIP_HUMAN	HDAC6_HUMAN	0.8
TIP_HUMAN	SYDC_HUMAN	0.8
TIP_HUMAN	SMRC2_HUMAN	0.8
TIP_HUMAN	TNR14_HUMAN	1.6
TIP_HUMAN	MAP4_HUMAN	0.8
TIP_HUMAN	DDX3X_HUMAN	0.8
TIP_HUMAN	1433E_HUMAN	0.8
TIP_HUMAN	HSP7C_HUMAN	0.8
TIP_HUMAN	DYL1_HUMAN	0.8
TIP_HUMAN	TCPH_HUMAN	0.8
TIP_HUMAN	4F2_HUMAN	0.8
TIP_HUMAN	HS90B_HUMAN	0.8
TIP_HUMAN	PTBP1_HUMAN	0.8
TIP_HUMAN	MAP1A_HUMAN	0.8
TIP_HUMAN	MEF2A_HUMAN	0.8
TIP_HUMAN	HNRPK_HUMAN	0.8
TIP_HUMAN	RS6_HUMAN	0.8
TIP_HUMAN	BIP_HUMAN	0.8
TIP_HUMAN	S61A1_HUMAN	0.8
TIP_HUMAN	H4_HUMAN	0.8
TIP_HUMAN	PCBP2_HUMAN	0.8
TIP_HUMAN	CTIP_HUMAN	0.8
TIP_HUMAN	PP1A_HUMAN	0.8
TIP_HUMAN	YBOX1_HUMAN	0.8
TIP_HUMAN	CSK_HUMAN	0.8
TIP_HUMAN	CALM3_HUMAN	0.8
TIP_HUMAN	HS90A_HUMAN	0.8
TIP_HUMAN	SYQ_HUMAN	0.8
TIP_HUMAN	SYMC_HUMAN	0.8
TIP_HUMAN	EIF3G_HUMAN	0.8
TIP_HUMAN	NUCL_HUMAN	0.8
TIP_HUMAN	MAP1B_HUMAN	0.8
TIP_HUMAN	PICK1_HUMAN	0.8
TIP_HUMAN	ENPL_HUMAN	0.8
TIP_HUMAN	SC23A_HUMAN	0.8
TIP_HUMAN	RL4_HUMAN	0.8
TIP_HUMAN	FLOT2_HUMAN	0.8
TIP_HUMAN	DNJA1_HUMAN	0.8
TIP_HUMAN	CSK2B_HUMAN	0.8
TIP_HUMAN	CSK21_HUMAN	0.8
TIP_HUMAN	RL5_HUMAN	0.8
TIP_HUMAN	MIC60_HUMAN	0.8
TIP_HUMAN	C1QBP_HUMAN	0.8
TIP_HUMAN	RS15A_HUMAN	0.8
TIP_HUMAN	DDB1_HUMAN	0.8
TIP_HUMAN	ELAV1_HUMAN	0.8
TIP_HUMAN	DLRB1_HUMAN	0.8
TIP_HUMAN	RS20_HUMAN	0.8
TIP_HUMAN	RL24_HUMAN	0.8
TIP_HUMAN	PABP4_HUMAN	0.8
TIP_HUMAN	TCPE_HUMAN	0.8
TIP_HUMAN	ROA1_HUMAN	0.8
TIP_HUMAN	XRN2_HUMAN	0.8
TIP_HUMAN	TR112_HUMAN	0.8
TIP_HUMAN	RS15_HUMAN	0.8
TIP_HUMAN	PHB2_HUMAN	0.8
TIP_HUMAN	RS25_HUMAN	0.8
TIP_HUMAN	RS27A_HUMAN	0.8
TIP_HUMAN	TBA1B_HUMAN	0.8
TIP_HUMAN	XRCC6_HUMAN	0.8
TIP_HUMAN	G3P_HUMAN	0.8
TIP_HUMAN	TCPG_HUMAN	0.8
TIP_HUMAN	SUMO3_HUMAN	0.8
TIP_HUMAN	PARP1_HUMAN	0.8
TIP_HUMAN	DHX9_HUMAN	0.8
TIP_HUMAN	FAS_HUMAN	0.8
TIP_HUMAN	SRC8_HUMAN	0.8
TIP_HUMAN	TIM50_HUMAN	0.8
TIP_HUMAN	NECT4_HUMAN	0.8
TIP_HUMAN	2AAA_HUMAN	0.8
TIP_HUMAN	RS14_HUMAN	0.8
TIP_HUMAN	DHX30_HUMAN	0.8
TIP_HUMAN	RLA0_HUMAN	0.8
TIP_HUMAN	CALX_HUMAN	0.8
TIP_HUMAN	HLAB_HUMAN	0.8
TIP_HUMAN	LC7L2_HUMAN	0.8
TIP_HUMAN	RS3A_HUMAN	0.8
TIP_HUMAN	ACTB_HUMAN	0.8
TIP_HUMAN	RL28_HUMAN	0.8
TIP_HUMAN	VIGLN_HUMAN	0.8
TIP_HUMAN	DNJA3_HUMAN	0.8
TIP_HUMAN	DDX5_HUMAN	0.8
TIP_HUMAN	NACAM_HUMAN	0.8
TIP_HUMAN	ATPB_HUMAN	0.8
TIP_HUMAN	DNJB6_HUMAN	0.8
TIP_HUMAN	RL29_HUMAN	0.8
TIP_HUMAN	RN138_HUMAN	0.8
TIP_HUMAN	TBA1A_HUMAN	0.8
TIP_HUMAN	KHDR1_HUMAN	0.8
TIP_HUMAN	LRC59_HUMAN	0.8
TIP_HUMAN	CAPR1_HUMAN	0.8
TIP_HUMAN	CTNA1_HUMAN	0.8
TIP_HUMAN	SAHH_HUMAN	0.8
TIP_HUMAN	ACTC_HUMAN	0.8
TIP_HUMAN	HNRPL_HUMAN	1.6
TIP_HUMAN	NP1L1_HUMAN	0.8
TIP_HUMAN	RBM39_HUMAN	0.8
TIP_HUMAN	CALM2_HUMAN	0.8
TIP_HUMAN	CEP97_HUMAN	0.8
TIP_HUMAN	CAC1C_HUMAN	1.6
TIP_HUMAN	RPN1_HUMAN	0.8
TIP_HUMAN	RS27_HUMAN	0.8
TIP_HUMAN	ECHB_HUMAN	0.8
TIP_HUMAN	RL14_HUMAN	0.8
TIP_HUMAN	CDC73_HUMAN	1.6
TIP_HUMAN	OCLN_HUMAN	0.8
TIP_HUMAN	EIF3F_HUMAN	0.8
TIP_HUMAN	RLA1_HUMAN	0.8
TIP_HUMAN	RS13_HUMAN	0.8
TIP_HUMAN	HS71B_HUMAN	0.8
TIP_HUMAN	HS71A_HUMAN	0.8
TIP_HUMAN	MATR3_HUMAN	0.8
TIP_HUMAN	SRSF3_HUMAN	0.8
TIP_HUMAN	PUF60_HUMAN	0.8
TIP_HUMAN	HNRPD_HUMAN	0.8
TIP_HUMAN	EF2_HUMAN	0.8
TIP_HUMAN	CE170_HUMAN	0.8
TIP_HUMAN	TBB5_HUMAN	0.8
TIP_HUMAN	RTRAF_HUMAN	0.8
TIP_HUMAN	PP2AA_HUMAN	0.8
TIP_HUMAN	RS7_HUMAN	0.8
TIP_HUMAN	RL11_HUMAN	0.8
TIP_HUMAN	RL23_HUMAN	0.8
TIP_HUMAN	NDUBA_HUMAN	0.8
TIP_HUMAN	EIF3B_HUMAN	0.8
TIP_HUMAN	WDR6_HUMAN	0.8
TIP_HUMAN	RO52_HUMAN	0.8
TIP_HUMAN	EF1D_HUMAN	0.8
TIP_HUMAN	ROA2_HUMAN	0.8
TIP_HUMAN	RECQ1_HUMAN	0.8
TIP_HUMAN	CALM1_HUMAN	0.8
TIP_HUMAN	AP3D1_HUMAN	0.8
TIP_HUMAN	DJB11_HUMAN	0.8
TIP_HUMAN	TFG_HUMAN	0.8
TIP_HUMAN	RL22_HUMAN	0.8
TIP_HUMAN	NDUB9_HUMAN	0.8
TIP_HUMAN	RSSA_HUMAN	0.8
TIP_HUMAN	TCPA_HUMAN	0.8
TIP_HUMAN	COPE_HUMAN	0.8
TIP_HUMAN	RS17_HUMAN	0.8
TIP_HUMAN	RL19_HUMAN	0.8
TIP_HUMAN	RS23_HUMAN	0.8
TIP_HUMAN	ROAA_HUMAN	0.8
TIP_HUMAN	RL12_HUMAN	0.8
TIP_HUMAN	HNRPQ_HUMAN	0.8
TIP_HUMAN	TYY1_HUMAN	0.8
TIP_HUMAN	SERB1_HUMAN	2.4000000000000004
TIP_HUMAN	HNRPF_HUMAN	0.8
TIP_HUMAN	TCPB_HUMAN	0.8
TIP_HUMAN	HMOX2_HUMAN	1.6
TIP_HUMAN	RS2_HUMAN	0.8
TIP_HUMAN	RS16_HUMAN	0.8
TIP_HUMAN	RS5_HUMAN	0.8
TIP_HUMAN	AIFM1_HUMAN	0.8
TIP_HUMAN	CKAP4_HUMAN	0.8
TIP_HUMAN	RACK1_HUMAN	0.8
TIP_HUMAN	CTND1_HUMAN	0.8
TIP_HUMAN	RL31_HUMAN	0.8
TIP_HUMAN	TBB2B_HUMAN	0.8
TIP_HUMAN	ATRAP_HUMAN	0.8
TIP_HUMAN	RBMX_HUMAN	0.8
TIP_HUMAN	LYAR_HUMAN	0.8
TIP_HUMAN	PRKRA_HUMAN	0.8
TIP_HUMAN	CH60_HUMAN	0.8
TIP_HUMAN	ADT3_HUMAN	0.8
TIP_HUMAN	DHE3_HUMAN	0.8
TIP_HUMAN	ECHA_HUMAN	0.8
TIP_HUMAN	RPN2_HUMAN	0.8
TIP_HUMAN	PDIA6_HUMAN	0.8
TIP_HUMAN	BORG5_HUMAN	0.8
TIP_HUMAN	RL38_HUMAN	0.8
TIP_HUMAN	RL35_HUMAN	0.8
TIP_HUMAN	H12_HUMAN	0.8
TIP_HUMAN	PDIA1_HUMAN	0.8
TIP_HUMAN	FUS_HUMAN	0.8
TIP_HUMAN	EWS_HUMAN	0.8
TIP_HUMAN	RL13A_HUMAN	0.8
TIP_HUMAN	HLAA_HUMAN	0.8
TIP_HUMAN	HNRPC_HUMAN	0.8
TIP_HUMAN	IDHP_HUMAN	0.8
TIP_HUMAN	SART3_HUMAN	0.8
TIP_HUMAN	RL26_HUMAN	0.8
TIP_HUMAN	RL6_HUMAN	0.8
TIP_HUMAN	RPAC1_HUMAN	0.8
TIP_HUMAN	RL10A_HUMAN	0.8
TIP_HUMAN	RL30_HUMAN	0.8
TIP_HUMAN	RS24_HUMAN	0.8
TIP_HUMAN	KPRA_HUMAN	0.8
TIP_HUMAN	RCN2_HUMAN	0.8
TIP_HUMAN	RL7A_HUMAN	0.8
TIP_HUMAN	RS9_HUMAN	0.8
TIP_HUMAN	HSP13_HUMAN	0.8
TIP_HUMAN	ZNRD2_HUMAN	0.8
TIP_HUMAN	SF3B3_HUMAN	0.8
TIP_HUMAN	GNL3_HUMAN	0.8
TIP_HUMAN	RS19_HUMAN	0.8
TIP_HUMAN	RIF1_HUMAN	0.8
TIP_HUMAN	RBBP4_HUMAN	0.8
TIP_HUMAN	CAB45_HUMAN	0.8
TIP_HUMAN	NSG2_HUMAN	0.8
TIP_HUMAN	F118B_HUMAN	1.6
TIP_HUMAN	RM44_HUMAN	1.6
TIP_HUMAN	NUDT3_HUMAN	1.6
TIP_HUMAN	TAF1D_HUMAN	1.6
TIP_HUMAN	DPA1_HUMAN	3.2
TIP_HUMAN	CC50B_HUMAN	2.4000000000000004
TIP_HUMAN	CADH5_HUMAN	2.4000000000000004
TIP_HUMAN	CD1B_HUMAN	3.2
TIP_HUMAN	HCN1_HUMAN	0.8
TIP_HUMAN	FBX6_HUMAN	1.6
TIP_HUMAN	CEA21_HUMAN	2.4000000000000004
TIP_HUMAN	HLAC_HUMAN	1.6
TIP_HUMAN	PCDGD_HUMAN	1.6
TIP_HUMAN	RNF4_HUMAN	0.8
TIP_HUMAN	SDF2L_HUMAN	0.8
TIP_HUMAN	GHC1_HUMAN	0.8
TIP_HUMAN	TIP_HUMAN	1.6
TIP_HUMAN	M2OM_HUMAN	0.8
TIP_HUMAN	S2533_HUMAN	0.8
TIP_HUMAN	LSR_HUMAN	0.8
TIP_HUMAN	SGMR1_HUMAN	0.8
TIP_HUMAN	LMAN2_HUMAN	0.8
TIP_HUMAN	SDF2_HUMAN	0.8
TIP_HUMAN	GPX8_HUMAN	0.8
TIP_HUMAN	COA1_HUMAN	0.8
TIP_HUMAN	ADT2_HUMAN	0.8
TIP_HUMAN	ALG5_HUMAN	0.8
TIP_HUMAN	RUVB1_HUMAN	2.4000000000000004
TIP_HUMAN	S25A3_HUMAN	0.8
TIP_HUMAN	GANAB_HUMAN	0.8
TIP_HUMAN	TBA1C_HUMAN	0.8
TIP_HUMAN	VAS1_HUMAN	0.8
TIP_HUMAN	TBB4B_HUMAN	0.8
TIP_HUMAN	DSG2_HUMAN	0.8
TIP_HUMAN	TMM59_HUMAN	0.8
TIP_HUMAN	ZN470_HUMAN	0.8
TIP_HUMAN	DNJA2_HUMAN	0.8
TIP_HUMAN	TXTP_HUMAN	0.8
TIP_HUMAN	RUVB2_HUMAN	1.6
TIP_HUMAN	LMA2L_HUMAN	0.8
TIP_HUMAN	ATPG_HUMAN	0.8
