UniProtID	UniProtID	score
TMED3_HUMAN	CCPG1_HUMAN	2.4000000000000004
TMED3_HUMAN	TGON2_HUMAN	0.8
TMED3_HUMAN	MBB1A_HUMAN	0.8
TMED3_HUMAN	SC23A_HUMAN	0.8
TMED3_HUMAN	ESR2_HUMAN	0.8
TMED3_HUMAN	GO45_HUMAN	3.2
TMED3_HUMAN	TMED2_HUMAN	5.28
TMED3_HUMAN	GORS2_HUMAN	2
TMED3_HUMAN	PSB10_HUMAN	0.8
TMED3_HUMAN	PGRC1_HUMAN	0.8
TMED3_HUMAN	MOV10_HUMAN	0.8
TMED3_HUMAN	NXF1_HUMAN	0.8
TMED3_HUMAN	TMEDA_HUMAN	6.08
TMED3_HUMAN	CC50A_HUMAN	2.4000000000000004
TMED3_HUMAN	GORS1_HUMAN	2
TMED3_HUMAN	H1BP3_HUMAN	3.2
TMED3_HUMAN	TMED4_HUMAN	2.4000000000000004
TMED3_HUMAN	OSBL8_HUMAN	0.8
TMED3_HUMAN	LNP_HUMAN	1.6
TMED3_HUMAN	KIF14_HUMAN	0.8
TMED3_HUMAN	CFAD_HUMAN	0.64
TMED3_HUMAN	FNDC5_HUMAN	0.64
TMED3_HUMAN	SPP2B_HUMAN	0.8
TMED3_HUMAN	TECT2_HUMAN	0.8
TMED3_HUMAN	TMED9_HUMAN	0.8
TMED3_HUMAN	CHST8_HUMAN	0.8
