UniProtID	UniProtID	score
TRPC1_HUMAN	SRC_HUMAN	0.8
TRPC1_HUMAN	GRM1_HUMAN	1.8
TRPC1_HUMAN	ITPR1_HUMAN	0.8
TRPC1_HUMAN	DRD2_HUMAN	3.8
TRPC1_HUMAN	ELAV1_HUMAN	0.8
TRPC1_HUMAN	RHOA_HUMAN	2
TRPC1_HUMAN	TRPC3_HUMAN	3
TRPC1_HUMAN	STAU1_HUMAN	0.8
TRPC1_HUMAN	TNR1A_HUMAN	1
TRPC1_HUMAN	BMPR2_HUMAN	1.28
TRPC1_HUMAN	HOME3_HUMAN	1.8
TRPC1_HUMAN	HOME1_HUMAN	0.8
TRPC1_HUMAN	FKBP4_HUMAN	2.24
TRPC1_HUMAN	KIF23_HUMAN	0.8
TRPC1_HUMAN	CTRO_HUMAN	0.8
TRPC1_HUMAN	CAV1_HUMAN	7.999999999999999
TRPC1_HUMAN	MX1_HUMAN	1
TRPC1_HUMAN	PKD2_HUMAN	15.0
TRPC1_HUMAN	PODO_HUMAN	0.8
TRPC1_HUMAN	H2B1H_HUMAN	1.6
TRPC1_HUMAN	STIM1_HUMAN	6.0
TRPC1_HUMAN	CRCM1_HUMAN	2
TRPC1_HUMAN	TRPV4_HUMAN	6.3999999999999995
TRPC1_HUMAN	ENKUR_HUMAN	1.8
TRPC1_HUMAN	TRPC6_HUMAN	1
TRPC1_HUMAN	TRPC4_HUMAN	3.5999999999999996
TRPC1_HUMAN	TRPC5_HUMAN	1.8
TRPC1_HUMAN	ITPR3_HUMAN	3
TRPC1_HUMAN	TP4AP_HUMAN	1
TRPC1_HUMAN	TRPC1_HUMAN	1.6
