UniProtID	UniProtID	score
TTYH1_HUMAN	ABCB6_HUMAN	0.8
TTYH1_HUMAN	MRP4_HUMAN	0.8
TTYH1_HUMAN	EREP3_HUMAN	0.8
TTYH1_HUMAN	PIGQ_HUMAN	0.8
TTYH1_HUMAN	TMM94_HUMAN	0.8
TTYH1_HUMAN	SEC62_HUMAN	0.8
TTYH1_HUMAN	HCN2_HUMAN	0.8
TTYH1_HUMAN	MIA2_HUMAN	0.8
TTYH1_HUMAN	PLCD_HUMAN	0.8
TTYH1_HUMAN	AGRE5_HUMAN	0.8
TTYH1_HUMAN	ABCD1_HUMAN	0.8
TTYH1_HUMAN	ADCY3_HUMAN	0.8
TTYH1_HUMAN	PTN1_HUMAN	0.8
TTYH1_HUMAN	FZD2_HUMAN	0.8
TTYH1_HUMAN	SNP25_HUMAN	0.8
TTYH1_HUMAN	CXG1_HUMAN	0.8
TTYH1_HUMAN	DRD2_HUMAN	1.6
TTYH1_HUMAN	DNJC1_HUMAN	0.8
TTYH1_HUMAN	S29A1_HUMAN	0.8
TTYH1_HUMAN	GPC5C_HUMAN	0.8
TTYH1_HUMAN	CXA1_HUMAN	0.8
TTYH1_HUMAN	EFNB1_HUMAN	0.8
TTYH1_HUMAN	SMAD5_HUMAN	0.8
TTYH1_HUMAN	S12A4_HUMAN	0.8
TTYH1_HUMAN	TUSC3_HUMAN	0.8
TTYH1_HUMAN	S12A6_HUMAN	0.8
TTYH1_HUMAN	S12A2_HUMAN	0.8
TTYH1_HUMAN	ASTRA_HUMAN	0.8
TTYH1_HUMAN	STX18_HUMAN	0.8
TTYH1_HUMAN	AT2B2_HUMAN	0.8
TTYH1_HUMAN	5HT6R_HUMAN	1.6
TTYH1_HUMAN	MDR1_HUMAN	0.8
TTYH1_HUMAN	LTMD1_HUMAN	0.8
TTYH1_HUMAN	VANG2_HUMAN	0.8
TTYH1_HUMAN	STX5_HUMAN	0.8
TTYH1_HUMAN	SSR3_HUMAN	0.64
TTYH1_HUMAN	ABCA2_HUMAN	0.8
TTYH1_HUMAN	AGRL1_HUMAN	0.8
TTYH1_HUMAN	TGO1_HUMAN	0.8
TTYH1_HUMAN	P121A_HUMAN	0.8
TTYH1_HUMAN	STX7_HUMAN	0.8
TTYH1_HUMAN	LRC8E_HUMAN	0.8
TTYH1_HUMAN	CPT1A_HUMAN	0.8
TTYH1_HUMAN	STEA3_HUMAN	0.8
TTYH1_HUMAN	SC11A_HUMAN	0.8
TTYH1_HUMAN	ALG12_HUMAN	0.8
TTYH1_HUMAN	MACOI_HUMAN	0.8
TTYH1_HUMAN	SRBP2_HUMAN	0.8
TTYH1_HUMAN	ZNT1_HUMAN	0.8
TTYH1_HUMAN	S1PR2_HUMAN	0.8
TTYH1_HUMAN	MYO9A_HUMAN	0.8
TTYH1_HUMAN	MTR1L_HUMAN	0.8
TTYH1_HUMAN	PIGW_HUMAN	0.8
TTYH1_HUMAN	EBP_HUMAN	0.8
TTYH1_HUMAN	ALG3_HUMAN	0.8
TTYH1_HUMAN	DJC30_HUMAN	0.8
TTYH1_HUMAN	SPCS2_HUMAN	0.8
TTYH1_HUMAN	S4A7_HUMAN	0.8
TTYH1_HUMAN	DCAKD_HUMAN	0.8
TTYH1_HUMAN	FZD7_HUMAN	0.8
TTYH1_HUMAN	LPAR1_HUMAN	0.8
TTYH1_HUMAN	TRPM7_HUMAN	0.8
TTYH1_HUMAN	KDIS_HUMAN	0.8
TTYH1_HUMAN	GLRB_HUMAN	0.8
TTYH1_HUMAN	RN149_HUMAN	0.8
TTYH1_HUMAN	DGKE_HUMAN	0.8
TTYH1_HUMAN	RIGI_HUMAN	0.8
TTYH1_HUMAN	AT2B4_HUMAN	0.8
TTYH1_HUMAN	RDH12_HUMAN	0.8
TTYH1_HUMAN	POPD1_HUMAN	0.8
TTYH1_HUMAN	ACSL4_HUMAN	0.8
TTYH1_HUMAN	HACD3_HUMAN	0.8
TTYH1_HUMAN	GOSR1_HUMAN	0.8
TTYH1_HUMAN	WWOX_HUMAN	0.8
TTYH1_HUMAN	UBE4A_HUMAN	0.8
TTYH1_HUMAN	UN93B_HUMAN	0.8
